房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
5栋31H,88.38,111465.67,65.87,149557.25,9851336.69,在售,未销售
5栋31G,86.53,106538.01,64.49,142948.28,9218734.80,在售,未销售
5栋31F,88.80,93274.18,66.18,125154.85,8282748.02,在售,未销售
5栋31E,87.63,93644.40,65.31,125647.81,8206058.96,在售,未销售
5栋31D,87.63,92829.50,65.31,124554.43,8134649.83,在售,未销售
5栋31C,88.80,93214.61,66.18,125074.91,8277457.80,在售,未销售
5栋31B,86.53,99324.18,64.49,133269.06,8594522.11,在售,未销售
5栋31A,88.38,109578.44,65.87,147025.09,9684542.94,在售,未销售
5栋30H,88.38,110827.38,65.87,148700.83,9794923.92,在售,未销售
5栋30G,86.53,105952.91,64.49,142163.21,9168105.54,在售,未销售
5栋30F,88.80,92742.27,66.18,124441.12,8235513.97,在售,未销售
5栋30E,87.63,101623.12,65.31,136353.30,8905234.49,在售,未销售
5栋30D,87.63,100808.23,65.31,135259.91,8833825.36,在售,未销售
5栋30C,88.80,92682.70,66.18,124361.19,8230223.76,在售,未销售
5栋30B,86.53,98792.27,64.49,132555.36,8548495.51,在售,未销售
5栋30A,88.38,108940.14,65.87,146168.66,9628130.18,在售,未销售
5栋29H,88.38,110189.08,65.87,147844.40,9738511.15,在售,未销售
5栋29G,86.53,105367.80,64.49,141378.14,9117476.29,在售,未销售
5栋29F,88.80,92210.35,66.18,123727.40,8188279.93,在售,未销售
5栋29E,87.63,92580.57,65.31,124220.41,8112835.55,在售,未销售
5栋29D,87.63,91765.67,65.31,123127.03,8041426.43,在售,未销售
5栋29C,88.80,92150.78,66.18,123647.47,8182989.72,在售,未销售
5栋29B,86.53,98260.35,64.49,131841.66,8502468.91,在售,未销售
5栋29A,88.38,108301.84,65.87,145312.24,9571717.41,在售,未销售
5栋28H,88.38,109550.78,65.87,146987.98,9682098.39,在售,未销售
5栋28G,86.53,104782.70,64.49,140593.06,9066847.03,在售,未销售
5栋28F,88.80,91678.44,66.18,123013.68,8141045.89,在售,未销售
5栋28E,87.63,100559.29,65.31,134925.90,8812011.09,在售,未销售
5栋28D,87.63,99744.40,65.31,133832.52,8740601.96,在售,未销售
5栋28C,88.80,91618.87,66.18,122933.75,8135755.68,在售,未销售
5栋28B,86.53,97728.44,64.49,131127.96,8456442.32,在售,未销售
5栋28A,88.38,107663.55,65.87,144455.81,9515304.64,在售,未销售
5栋27H,88.38,108912.48,65.87,146131.55,9625685.62,在售,未销售
5栋27G,86.53,104197.59,64.49,139807.99,9016217.78,在售,未销售
5栋27F,88.80,91146.52,66.18,122299.96,8093811.85,在售,未销售
5栋27E,87.63,91516.74,65.31,122793.02,8019612.15,在售,未销售
5栋27D,87.63,90701.84,65.31,121699.63,7948203.02,在售,未销售
5栋27C,88.80,91086.95,66.18,122220.03,8088521.63,在售,未销售
5栋27B,86.53,97196.52,64.49,130414.26,8410415.72,在售,未销售
5栋27A,88.38,107025.25,65.87,143599.39,9458891.88,在售,未销售
5栋26H,88.38,108274.18,65.87,145275.13,9569272.86,在售,未销售
5栋26G,86.53,103612.48,64.49,139022.92,8965588.52,在售,未销售
5栋26F,88.80,90614.61,66.18,121586.24,8046577.80,在售,未销售
5栋26E,87.63,99495.46,65.31,133498.50,8718787.68,在售,未销售
5栋26D,87.63,98680.57,65.31,132405.12,8647378.55,在售,未销售
5栋26C,88.80,90555.04,66.18,121506.30,8041287.59,在售,未销售
5栋26B,86.53,96664.61,64.49,129700.56,8364389.13,在售,未销售
5栋26A,88.38,106386.95,65.87,142742.96,9402479.11,在售,未销售
5栋25H,88.38,107635.89,65.87,144418.70,9512860.09,在售,未销售
5栋25G,86.53,103027.38,64.49,138237.85,8914959.27,在售,未销售
5栋25F,88.80,90082.70,66.18,120872.52,7999343.76,在售,未销售
5栋25E,87.63,90452.91,65.31,121365.62,7926388.75,在售,未销售
5栋25D,87.63,89638.01,65.31,120272.23,7854979.62,在售,未销售
5栋25C,88.80,90023.12,66.18,120792.58,7994053.55,在售,未销售
5栋25B,86.53,96132.70,64.49,128986.85,8318362.53,在售,未销售
5栋25A,88.38,105748.65,65.87,141886.53,9346066.35,在售,未销售
5栋24H,88.38,105720.99,65.87,141849.42,9343621.79,在售,未销售
5栋24G,86.53,101165.67,64.49,135739.90,8753866.18,在售,未销售
5栋24F,88.80,88274.18,66.18,118445.87,7838748.02,在售,未销售
5栋24E,87.63,97155.04,65.31,130358.23,8513696.19,在售,未销售
5栋24D,87.63,96340.14,65.31,129264.84,8442287.07,在售,未销售
5栋24C,88.80,88214.61,66.18,118365.93,7833457.80,在售,未销售
5栋24B,86.53,94324.18,64.49,126560.27,8161872.11,在售,未销售
5栋24A,88.38,103833.76,65.87,139317.26,9176828.05,在售,未销售
5栋23H,88.38,105082.70,65.87,140993.00,9287209.03,在售,未销售
5栋23G,86.53,100580.57,64.49,134954.82,8703236.93,在售,未销售
5栋23F,88.80,87742.27,66.18,117732.15,7791513.97,在售,未销售
5栋23E,87.63,88112.48,65.31,118225.34,7721297.26,在售,未销售
5栋23D,87.63,87297.59,65.31,117131.95,7649888.13,在售,未销售
5栋23C,88.80,87682.70,66.18,117652.21,7786223.76,在售,未销售
5栋23B,86.53,93792.27,64.49,125846.57,8115845.51,在售,未销售
5栋23A,88.38,103195.46,65.87,138460.83,9120415.28,在售,未销售
5栋22H,88.38,104444.40,65.87,140136.57,9230796.26,在售,未销售
5栋22G,86.53,99995.46,64.49,134169.75,8652607.67,在售,未销售
5栋22F,88.80,87210.35,66.18,117018.43,7744279.93,在售,未销售
5栋22E,87.63,96091.21,65.31,128930.83,8420472.79,在售,未销售
5栋22D,87.63,95276.31,65.31,127837.44,8349063.66,在售,未销售
5栋22C,88.80,87150.78,66.18,116938.49,7738989.72,在售,未销售
5栋22B,86.53,93260.35,64.49,125132.87,8069818.91,在售,未销售
5栋22A,88.38,102557.16,65.87,137604.41,9064002.52,在售,未销售
5栋21H,88.38,103806.10,65.87,139280.15,9174383.49,在售,未销售
5栋21G,86.53,99410.35,64.49,133384.68,8601978.41,在售,未销售
5栋21F,88.80,86678.44,66.18,116304.71,7697045.89,在售,未销售
5栋21E,87.63,87048.65,65.31,116797.94,7628073.85,在售,未销售
5栋21D,87.63,86233.76,65.31,115704.55,7556664.72,在售,未销售
5栋21C,88.80,86618.87,66.18,116224.77,7691755.68,在售,未销售
5栋21B,86.53,92728.44,64.49,124419.17,8023792.32,在售,未销售
5栋21A,88.38,101918.87,65.87,136747.98,9007589.75,在售,未销售
5栋20H,88.28,103167.80,65.79,138435.23,9107653.95,在售,未销售
5栋20G,86.54,98825.25,64.49,132614.93,8552337.41,在售,未销售
5栋20F,88.80,86146.52,66.18,115590.99,7649811.85,在售,未销售
5栋20E,87.63,95027.38,65.31,127503.43,8327249.38,在售,未销售
5栋20D,87.63,94212.48,65.31,126410.04,8255840.26,在售,未销售
5栋20C,88.80,86086.95,66.18,115511.05,7644521.63,在售,未销售
5栋20B,86.54,92196.52,64.49,123719.76,7978687.69,在售,未销售
5栋20A,88.28,101280.57,65.79,135902.85,8941048.93,在售,未销售
5栋19H,88.28,101252.91,65.79,135865.74,8938607.14,在售,未销售
5栋19G,86.54,96963.55,64.49,130116.69,8391225.71,在售,未销售
5栋19F,88.80,83593.33,66.18,112165.13,7423088.44,在售,未销售
5栋19E,87.63,83963.55,65.31,112658.49,7357725.98,在售,未销售
5栋19D,87.63,84850.78,65.31,113848.94,7435474.30,在售,未销售
5栋19C,88.80,85342.27,66.18,114511.84,7578393.97,在售,未销售
