房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋A座5105,331.95,201820.43,263.92,253843.18,66994294.07,在售,住宅
3栋A座5005,251.42,127609.91,200.22,160242.15,32083683.75,在售,住宅
3栋A座5003,368.22,196042.54,293.04,246337.64,72186784.92,在售,住宅
3栋A座5002,512.40,204357.27,407.74,256812.35,104712669.82,在售,住宅
3栋A座5001,527.84,216884.64,420.04,272546.40,114480392.36,在售,住宅
3栋A座4906,205.19,130496.85,163.52,163751.52,26776648.97,在售,住宅
3栋A座4905,253.33,117609.91,201.98,147510.24,29794118.68,在售,住宅
3栋A座4903,258.59,106042.54,206.17,133004.51,27421541.01,在售,住宅
3栋A座4902,328.63,106988.85,262.01,134192.39,35159748.43,在售,住宅
3栋A座4901,335.99,163200.43,267.88,204695.06,54833714.83,在售,住宅
3栋A座4805,253.41,117083.59,201.98,146896.49,29670153.78,在售,住宅
3栋A座4803,258.66,105516.22,206.17,132380.20,27292827.14,在售,住宅
3栋A座4802,328.73,106462.54,262.01,133572.88,34997431.52,在售,住宅
3栋A座4801,336.09,162147.80,267.88,203435.32,54496255.93,在售,住宅
3栋A座4706,205.25,123186.75,163.63,154519.83,25284081.01,在售,住宅
3栋A座4705,253.33,116557.27,201.98,146189.99,29527455.52,在售,住宅
3栋A座4703,258.59,104989.91,206.17,131684.24,27149341.01,在售,住宅
3栋A座4702,328.63,105936.22,262.01,132872.11,34813822.11,在售,住宅
3栋A座4701,335.99,161095.17,267.88,202054.52,54126367.46,在售,住宅
3栋A座4605,253.41,116030.96,201.98,145575.83,29403406.42,在售,住宅
3栋A座4603,258.66,104463.59,206.17,131059.57,27020553.46,在售,住宅
3栋A座4602,328.73,105409.91,262.01,132252.20,34651399.94,在售,住宅
3栋A座4601,336.09,160042.54,267.88,200794.00,53788698.03,在售,住宅
3栋A座4506,205.25,121923.59,163.63,152935.38,25024817.85,在售,住宅
3栋A座4505,253.33,115504.64,201.98,144869.75,29260792.36,在售,住宅
3栋A座4503,258.59,103937.27,206.17,130363.97,26877141.01,在售,住宅
3栋A座4502,328.63,104883.59,262.01,131551.83,34467895.79,在售,住宅
3栋A座4501,335.99,158989.91,267.88,199413.99,53419020.10,在售,住宅
3栋A座4405,253.41,114978.33,201.98,144255.16,29136659.05,在售,住宅
3栋A座4403,258.66,103410.96,206.17,129738.95,26748279.77,在售,住宅
3栋A座4402,328.73,104357.27,262.01,130931.52,34305368.36,在售,住宅
3栋A座4401,336.09,157937.27,267.88,198152.68,53081140.14,在售,住宅
3栋A座4306,205.25,120660.43,163.63,151350.94,24765554.70,在售,住宅
3栋A座4305,253.33,114452.01,201.98,143549.50,28994129.20,在售,住宅
3栋A座4303,258.59,102884.64,206.17,129043.70,26604941.01,在售,住宅
3栋A座4302,328.63,103830.96,262.01,130231.55,34121969.48,在售,住宅
3栋A座4301,335.99,156884.64,267.88,196773.45,52711672.73,在售,住宅
3栋A座4205,253.41,113925.70,201.98,142934.50,28869911.68,在售,住宅
3栋A座4203,258.66,102358.33,206.17,128418.32,26476006.09,在售,住宅
3栋A座4202,328.73,103304.64,262.01,129610.84,33959336.79,在售,住宅
3栋A座4201,336.09,155832.01,267.88,195511.35,52373582.24,在售,住宅
3栋A座4106,205.25,119397.27,163.63,149766.49,24506291.54,在售,住宅
3栋A座4105,253.33,113399.38,201.98,142229.26,28727466.04,在售,住宅
3栋A座4103,258.59,101832.01,206.17,127723.43,26332741.01,在售,住宅
3栋A座4102,328.63,102778.33,262.01,128911.27,33776043.16,在售,住宅
3栋A座4101,335.99,154779.38,267.88,194132.91,52004325.36,在售,住宅
3栋A座4005,253.41,112873.06,201.98,141613.84,28603164.31,在售,住宅
3栋A座4003,258.66,101305.70,206.17,127097.69,26203732.41,在售,住宅
3栋A座4002,328.73,102252.01,262.01,128290.16,33613305.21,在售,住宅
3栋A座4001,336.09,153726.75,267.88,192870.03,51666024.35,在售,住宅
3栋A座3906,205.25,118134.12,163.63,148182.04,24247028.38,在售,住宅
3栋A座3905,253.33,112346.75,201.98,140909.01,28460802.89,在售,住宅
3栋A座3903,258.59,100779.38,206.17,126403.16,26060541.01,在售,住宅
3栋A座3902,328.63,101725.70,262.01,127590.99,33430116.85,在售,住宅
3栋A座3901,335.99,151621.48,267.88,190172.10,50943304.31,在售,住宅
3栋A座3805,253.41,111820.43,201.98,140293.18,28336416.94,在售,住宅
3栋A座3803,258.66,100253.06,206.17,125777.07,25931458.72,在售,住宅
3栋A座3802,328.73,101199.38,262.01,126969.48,33267273.63,在售,住宅
3栋A座3801,336.09,150568.85,267.88,188908.04,50604687.51,在售,住宅
3栋A座3706,205.25,116870.96,163.63,146597.59,23987765.22,在售,住宅
3栋A座3705,253.33,111294.12,201.98,139588.76,28194139.73,在售,住宅
3栋A座3703,258.59,99726.75,206.17,125082.89,25788341.01,在售,住宅
3栋A座3702,328.63,100673.06,262.01,126270.71,33084190.53,在售,住宅
3栋A座3701,335.99,149516.22,267.88,187531.56,50235956.94,在售,住宅
3栋A座3505,252.06,110241.48,200.93,138294.28,27787469.88,在售,住宅
3栋A座3503,257.70,98674.12,205.43,123780.95,25428321.04,在售,住宅
3栋A座3502,328.26,99620.43,261.67,124971.92,32701404.65,在售,住宅
3栋A座3501,335.84,147410.96,267.71,184925.84,49506497.92,在售,住宅
3栋A座3406,205.26,113502.54,163.65,142361.94,23297531.83,在售,住宅
3栋A座3405,251.99,109715.17,200.93,137595.81,27647126.66,在售,住宅
3栋A座3403,257.63,98147.80,205.43,123087.27,25285819.11,在售,住宅
3栋A座3402,328.17,99094.12,261.67,124277.59,32519717.76,在售,住宅
3栋A座3401,335.74,146358.33,267.71,183550.65,49138346.30,在售,住宅
3栋A座3305,252.06,109188.85,200.93,136973.78,27522143.56,在售,住宅
3栋A座3303,257.70,97621.48,205.43,122460.48,25157057.88,在售,住宅
3栋A座3302,328.26,98567.80,261.67,123651.42,32355867.81,在售,住宅
3栋A座3301,335.84,145305.70,267.71,182284.80,48799466.35,在售,住宅
3栋A座3206,205.26,112239.38,163.65,140777.61,23038256.04,在售,住宅
