房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4407,389.18,55200.00,255.13,84203.09,21482736.00,在售,办公
4406,169.67,54100.00,111.23,82524.02,9179147.00,在售,办公
4405,180.40,56700.00,118.27,86485.83,10228680.00,在售,办公
4404,351.93,58400.00,230.71,89084.61,20552712.00,在售,办公
4403,172.17,57800.00,112.87,88167.14,9951426.00,在售,办公
4402,181.30,56700.00,118.85,86493.14,10279710.00,在售,办公
4401,360.91,57200.00,236.60,87252.96,20644052.00,在售,办公
4307,389.18,53200.00,255.13,81152.25,20704376.00,在售,办公
4306,169.67,52100.00,111.23,79473.22,8839807.00,在售,办公
4305,180.40,54700.00,118.27,83435.19,9867880.00,在售,办公
4304,351.93,56400.00,230.71,86033.77,19848852.00,在售,办公
4303,172.17,55800.00,112.87,85116.38,9607086.00,在售,办公
4302,181.30,54700.00,118.85,83442.23,9917110.00,在售,办公
4301,360.91,55200.00,236.60,84202.16,19922232.00,在售,办公
4207,389.18,52900.00,255.13,80694.63,20587622.00,在售,办公
4206,169.67,51900.00,111.23,79168.14,8805873.00,在售,办公
4205,180.40,54500.00,118.27,83130.12,9831800.00,在售,办公
4204,351.93,56200.00,230.71,85728.68,19778466.00,在售,办公
4203,172.17,55600.00,112.87,84811.30,9572652.00,在售,办公
4202,181.30,54400.00,118.85,82984.60,9862720.00,在售,办公
4201,360.91,55000.00,236.60,83897.08,19850050.00,在售,办公
4107,389.18,52700.00,255.13,80389.55,20509786.00,在售,办公
4106,169.67,51600.00,111.23,78710.52,8754972.00,在售,办公
4105,180.40,54200.00,118.27,82672.52,9777680.00,在售,办公
4104,351.93,55900.00,230.71,85271.06,19672887.00,在售,办公
4103,172.17,55300.00,112.87,84353.69,9521001.00,在售,办公
4102,181.30,54200.00,118.85,82679.51,9826460.00,在售,办公
4101,360.91,54700.00,236.60,83439.46,19741777.00,在售,办公
4007,389.18,52400.00,255.13,79931.92,20393032.00,在售,办公
4006,169.67,51400.00,111.23,78405.44,8721038.00,在售,办公
4005,180.40,54000.00,118.27,82367.46,9741600.00,在售,办公
4004,351.93,55700.00,230.71,84965.97,19602501.00,在售,办公
4003,172.17,55100.00,112.87,84048.61,9486567.00,在售,办公
4002,181.30,53900.00,118.85,82221.87,9772070.00,在售,办公
4001,360.91,54500.00,236.60,83134.38,19669595.00,在售,办公
3907,388.24,52200.00,255.13,79434.51,20266128.00,在售,办公
3906,169.26,51100.00,111.23,77759.47,8649186.00,在售,办公
3905,179.97,53700.00,118.27,81714.62,9664389.00,在售,办公
3904,351.08,55400.00,230.71,84304.24,19449832.00,在售,办公
3903,171.75,54800.00,112.87,83387.08,9411900.00,在售,办公
3902,180.86,53700.00,118.85,81717.98,9712182.00,在售,办公
3901,360.04,54200.00,236.60,82477.46,19514168.00,在售,办公
3807,388.24,51900.00,255.13,78977.99,20149656.00,在售,办公
3806,169.26,50900.00,111.23,77455.12,8615334.00,在售,办公
3805,179.97,53500.00,118.27,81410.29,9628395.00,在售,办公
3804,351.08,55200.00,230.71,83999.89,19379616.00,在售,办公
3803,171.75,54600.00,112.87,83082.75,9377550.00,在售,办公
3802,180.86,53400.00,118.85,81261.45,9657924.00,在售,办公
3801,360.04,54000.00,236.60,82173.11,19442160.00,在售,办公
3707,388.24,51700.00,255.13,78673.64,20072008.00,在售,办公
3706,169.26,50600.00,111.23,76998.61,8564556.00,在售,办公
3705,179.97,53200.00,118.27,80953.78,9574404.00,在售,办公
3704,351.08,54900.00,230.71,83543.37,19274292.00,在售,办公
3703,171.75,54300.00,112.87,82626.25,9326025.00,在售,办公
3702,180.86,53200.00,118.85,80957.10,9621752.00,在售,办公
3701,360.04,53700.00,236.60,81716.60,19334148.00,在售,办公
3607,388.24,51400.00,255.13,78217.12,19955536.00,在售,办公
3606,169.26,50400.00,111.23,76694.27,8530704.00,在售,办公
3605,179.97,53000.00,118.27,80649.44,9538410.00,在售,办公
3604,351.08,54700.00,230.71,83239.02,19204076.00,在售,办公
3603,171.75,54100.00,112.87,82321.91,9291675.00,在售,办公
3602,180.86,52900.00,118.85,80500.58,9567494.00,在售,办公
3601,360.04,53500.00,236.60,81412.25,19262140.00,在售,办公
3507,388.24,51200.00,255.13,77912.78,19877888.00,在售,办公
3506,169.26,50100.00,111.23,76237.75,8479926.00,在售,办公
3505,179.97,52700.00,118.27,80192.93,9484419.00,在售,办公
3504,351.08,54400.00,230.71,82782.50,19098752.00,在售,办公
3503,171.75,53800.00,112.87,81865.42,9240150.00,在售,办公
3502,180.86,52700.00,118.85,80196.23,9531322.00,在售,办公
3501,360.04,53200.00,236.60,80955.73,19154128.00,在售,办公
3407,388.24,50900.00,255.13,77456.26,19761416.00,在售,办公
3406,169.26,49900.00,111.23,75933.41,8446074.00,在售,办公
3405,179.97,52500.00,118.27,79888.60,9448425.00,在售,办公
3404,351.08,54200.00,230.71,82478.15,19028536.00,在售,办公
3403,171.75,53600.00,112.87,81561.08,9205800.00,在售,办公
3402,180.86,52400.00,118.85,79739.70,9477064.00,在售,办公
3401,360.04,53000.00,236.60,80651.39,19082120.00,在售,办公
