房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3-21,28.92,37302.00,27.90,38665.72,1078774.00,在售,商业
3-20,17.77,36375.00,17.15,37690.01,646384.00,在售,商业
3-19,28.92,38838.00,27.90,40257.88,1123195.00,在售,商业
3-18,85.54,45111.00,82.53,46756.26,3858795.00,在售,商业
3-17,36.51,43956.00,35.22,45565.97,1604834.00,在售,商业
3-16,20.44,41728.00,19.72,43251.53,852920.00,在售,商业
3-15,20.44,41191.00,19.72,42694.93,841944.00,在售,商业
3-14,36.51,40346.00,35.22,41823.74,1473032.00,在售,商业
3-13,89.90,38774.00,86.74,40186.56,3485783.00,在售,商业
3-12,23.67,35686.00,22.83,36999.01,844688.00,在售,商业
3-11,17.94,35454.00,17.31,36744.35,636045.00,在售,商业
3-10,44.91,35724.00,43.33,37026.65,1604365.00,在售,商业
3-09,44.92,35412.00,43.34,36702.97,1590707.00,在售,商业
3-08,17.94,35832.00,17.31,37136.11,642826.00,在售,商业
3-07,23.75,37985.00,22.92,39360.54,902144.00,在售,商业
3-06,59.95,42802.00,57.84,44363.41,2565980.00,在售,商业
3-05,19.07,45609.00,18.40,47269.76,869764.00,在售,商业
3-04,45.82,46609.00,44.20,48317.29,2135624.00,在售,商业
3-03,44.16,48682.00,42.60,50464.72,2149797.00,在售,商业
3-02,19.07,49755.00,18.40,51566.73,948828.00,在售,商业
3-01,49.41,48219.00,47.67,49979.03,2382501.00,在售,商业
2-09,147.64,42716.00,141.20,44664.23,6306590.00,在售,商业
2-08,147.00,42226.00,140.57,44157.51,6207222.00,在售,商业
2-07,160.43,42497.00,153.43,44435.85,6817794.00,在售,商业
2-06,142.07,44674.00,135.87,46712.55,6346835.00,在售,商业
2-05,124.03,43037.00,118.63,44996.03,5337879.00,在售,商业
2-03,221.86,43893.00,212.17,45897.63,9738101.00,在售,商业
2-02,221.86,46507.00,212.17,48631.01,10318043.00,在售,商业
2-01,225.60,48366.00,215.75,50574.13,10911370.00,在售,商业
1-4-39,36.86,27150.00,19.87,50364.82,1000749.00,在售,商业
1-4-38,36.86,28100.00,19.87,52127.12,1035766.00,在售,商业
1-4-37,48.51,28540.00,26.15,52943.60,1384475.00,在售,商业
1-4-36,28.81,29120.00,15.53,54021.06,838947.00,在售,商业
1-4-35,27.80,29400.00,14.98,54560.74,817320.00,在售,商业
1-4-34,49.80,26850.00,26.84,49818.55,1337130.00,在售,商业
1-4-33,72.63,27985.00,39.15,51917.00,2032551.00,在售,商业
1-4-32,72.63,26900.00,39.15,49904.13,1953747.00,在售,商业
1-4-31,60.47,27100.00,32.59,50283.43,1638737.00,在售,商业
1-4-30,59.73,26950.00,32.20,49991.41,1609724.00,在售,商业
1-4-29,67.53,26580.00,36.40,49311.74,1794947.00,在售,商业
1-4-28,87.63,28320.00,47.23,52544.60,2481682.00,在售,商业
1-4-27,42.90,28510.00,23.12,52901.34,1223079.00,在售,商业
1-4-26,43.13,27530.00,23.25,51069.63,1187369.00,在售,商业
1-4-25,66.73,27410.00,35.97,50849.85,1829069.00,在售,商业
1-4-24,92.24,28750.00,49.72,53336.68,2651900.00,在售,商业
1-4-23,82.19,29850.00,44.30,55380.84,2453372.00,在售,商业
1-4-22,74.01,31200.00,39.89,57886.98,2309112.00,在售,商业
1-4-21,74.92,30100.00,40.38,55846.75,2255092.00,在售,商业
1-4-20,80.63,30240.00,43.46,56103.34,2438251.00,在售,商业
1-4-19,64.12,30800.00,34.56,57143.98,1974896.00,在售,商业
1-4-18,66.07,27850.00,35.61,51672.26,1840050.00,在售,商业
1-4-17,149.31,26450.00,80.48,49071.19,3949250.00,在售,商业
1-4-16,52.99,26850.00,28.56,49817.27,1422782.00,在售,商业
1-4-15,73.04,28750.00,39.37,53337.56,2099900.00,在售,商业
