房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
201,68.28,22161.00,50.18,30154.50,1513153.00,在售,在售
202,68.28,22703.00,50.18,30892.00,1550161.00,在售,在售
203,50.48,21366.00,37.10,29071.59,1078556.00,在售,在售
205,32.26,21831.00,23.71,29703.41,704268.00,在售,在售
206,44.73,24241.00,32.87,32987.52,1084300.00,在售,在售
207,50.35,21239.00,37.00,28902.27,1069384.00,在售,在售
208,44.73,24241.00,32.87,32987.52,1084300.00,在售,在售
209,49.76,20837.00,36.57,28352.44,1036849.00,在售,在售
210,49.76,20877.00,36.57,28406.89,1038840.00,在售,在售
211,49.76,20845.00,36.57,28363.33,1037247.00,在售,在售
212,49.11,20887.00,36.09,28422.30,1025761.00,在售,在售
213,50.35,20510.00,37.00,27910.24,1032679.00,在售,在售
215,32.26,20983.00,23.71,28549.64,676912.00,在售,在售
216,44.73,24241.00,32.87,32987.52,1084300.00,在售,在售
217,50.48,20233.00,37.10,27529.97,1021362.00,在售,在售
218,44.73,24241.00,32.87,32987.52,1084300.00,在售,在售
219,68.28,21022.00,50.18,28604.66,1435382.00,在售,在售
220,68.28,21184.00,50.18,28825.10,1446444.00,在售,在售
301,68.28,21585.00,50.18,29370.74,1473824.00,在售,在售
302,68.28,21248.00,50.18,28912.17,1450813.00,在售,在售
303,50.48,21178.00,37.10,28815.76,1069065.00,在售,在售
305,32.26,21881.00,23.71,29771.44,705881.00,在售,在售
306,44.73,22015.00,32.87,29958.35,984731.00,在售,在售
307,50.35,21051.00,37.00,28646.43,1059918.00,在售,在售
308,44.73,22015.00,32.87,29958.35,984731.00,在售,在售
309,49.76,20646.00,36.57,28092.56,1027345.00,在售,在售
310,49.76,20184.00,36.57,27463.93,1004356.00,在售,在售
311,49.76,20634.00,36.57,28076.23,1026748.00,在售,在售
312,49.11,20184.00,36.09,27465.66,991236.00,在售,在售
313,50.35,20302.00,37.00,27627.18,1022206.00,在售,在售
315,32.26,21013.00,23.71,28590.42,677879.00,在售,在售
316,44.73,22015.00,32.87,29958.35,984731.00,在售,在售
317,50.48,20025.00,37.10,27246.95,1010862.00,在售,在售
318,44.73,22015.00,32.87,29958.35,984731.00,在售,在售
319,68.28,21052.00,50.18,28645.49,1437431.00,在售,在售
320,68.28,20628.00,50.18,28068.55,1408480.00,在售,在售
405,32.26,21931.00,23.71,29839.47,707494.00,在售,在售
406,44.73,22025.00,32.87,29971.95,985178.00,在售,在售
408,44.73,22025.00,32.87,29971.95,985178.00,在售,在售
409,49.76,20696.00,36.57,28160.59,1029833.00,在售,在售
410,49.76,20194.00,36.57,27477.52,1004853.00,在售,在售
411,49.76,20664.00,36.57,28117.06,1028241.00,在售,在售
