房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
7栋C座32F,82.60,24887.37,68.99,29797.02,2055697.00,在售,期房待售
7栋C座32E,93.03,24252.15,77.71,29033.30,2256178.00,在售,期房待售
7栋C座32D,132.85,23828.33,110.97,28526.57,3165594.00,在售,期房待售
7栋C座32C,126.26,24356.80,105.47,29157.95,3075290.00,在售,期房待售
7栋C座32B,125.74,24462.48,105.03,29286.04,3075913.00,在售,期房待售
7栋C座32A,126.41,24357.85,105.59,29160.68,3079077.00,在售,期房待售
7栋C座31F,86.00,24919.08,71.84,29830.74,2143041.00,在售,期房待售
7栋C座31E,93.03,24283.86,77.71,29071.26,2259128.00,在售,期房待售
7栋C座31D,132.84,23860.04,110.97,28562.38,3169568.00,在售,期房待售
7栋C座31C,126.25,24388.50,105.47,29193.60,3079049.00,在售,期房待售
7栋C座31B,125.73,24494.20,105.03,29321.67,3079656.00,在售,期房待售
7栋C座31A,130.71,24389.56,109.19,29196.44,3187960.00,在售,期房待售
7栋C座30F,86.01,24887.37,71.84,29796.25,2140563.00,在售,期房待售
7栋C座30E,91.72,24252.15,76.61,29035.47,2224408.00,在售,期房待售
7栋C座30D,131.65,23828.33,109.97,28525.96,3137000.00,在售,期房待售
7栋C座30C,123.96,24356.80,103.55,29157.59,3019269.00,在售,期房待售
7栋C座30B,123.44,24462.49,103.11,29285.71,3019650.00,在售,期房待售
7栋C座30A,130.72,24357.85,109.19,29160.71,3184059.00,在售,期房待售
7栋C座29F,86.01,24855.66,71.84,29758.29,2137836.00,在售,期房待售
7栋C座29E,91.73,24220.46,76.61,29000.69,2221743.00,在售,期房待售
7栋C座29D,129.43,23796.62,108.11,28489.47,3079997.00,在售,期房待售
7栋C座29C,122.10,24325.09,101.99,29121.42,2970094.00,在售,期房待售
7栋C座29B,121.61,24430.77,101.58,29248.14,2971027.00,在售,期房待售
7栋C座29A,128.75,24326.15,107.54,29123.97,3131992.00,在售,期房待售
7栋C座28F,86.01,24823.96,71.84,29720.33,2135109.00,在售,期房待售
7栋C座28E,91.73,24188.74,76.61,28962.72,2218834.00,在售,期房待售
7栋C座28D,129.43,23764.92,108.11,28451.52,3075894.00,在售,期房待售
7栋C座28C,122.10,24293.39,101.99,29083.46,2966223.00,在售,期房待售
7栋C座28B,121.61,24399.07,101.58,29210.19,2967172.00,在售,期房待售
7栋C座28A,128.75,24294.44,107.54,29086.01,3127910.00,在售,期房待售
7栋C座27F,86.01,24792.25,71.84,29682.37,2132382.00,在售,期房待售
7栋C座27E,91.73,24157.03,76.61,28924.74,2215925.00,在售,期房待售
7栋C座27D,129.43,23733.21,108.11,28413.56,3071790.00,在售,期房待售
7栋C座27C,122.10,24261.67,101.99,29045.50,2962351.00,在售,期房待售
7栋C座27B,121.61,24367.37,101.58,29172.23,2963316.00,在售,期房待售
7栋C座27A,128.75,24262.73,107.54,29048.04,3123827.00,在售,期房待售
7栋C座26F,86.01,24760.53,71.84,29644.40,2129654.00,在售,期房待售
7栋C座26E,91.73,24125.33,76.61,28886.79,2213017.00,在售,期房待售
7栋C座26D,129.43,23701.50,108.11,28375.59,3067686.00,在售,期房待售
7栋C座26C,122.10,24229.97,101.99,29007.54,2958480.00,在售,期房待售
7栋C座26B,121.61,24335.65,101.58,29134.26,2959459.00,在售,期房待售
7栋C座26A,128.75,24231.02,107.54,29010.08,3119745.00,在售,期房待售
7栋C座25F,86.01,24728.83,71.84,29606.44,2126927.00,在售,期房待售
7栋C座25E,91.73,24093.62,76.61,28848.81,2210108.00,在售,期房待售
7栋C座25D,129.43,23669.79,108.11,28337.63,3063582.00,在售,期房待售
7栋C座25C,122.10,24198.26,101.99,28969.58,2954608.00,在售,期房待售
7栋C座25B,121.61,24303.95,101.58,29096.31,2955604.00,在售,期房待售
7栋C座25A,128.75,24199.31,107.54,28972.12,3115662.00,在售,期房待售
7栋C座24F,86.01,24591.44,71.84,29441.95,2115110.00,在售,期房待售
7栋C座24E,91.73,23956.21,76.61,28684.29,2197504.00,在售,期房待售
7栋C座24D,129.43,23532.39,108.11,28173.13,3045798.00,在售,期房待售
7栋C座24C,122.10,24060.86,101.99,28805.09,2937832.00,在售,期房待售
7栋C座24B,121.61,24166.55,101.58,28931.82,2938895.00,在售,期房待售
7栋C座24A,128.75,24061.91,107.54,28807.62,3097972.00,在售,期房待售
7栋C座23F,86.01,24559.72,71.84,29403.98,2112382.00,在售,期房待售
7栋C座23E,91.73,23924.51,76.61,28646.33,2194596.00,在售,期房待售
