房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6010,266.18,68849.33,156.54,117071.13,18326315.00,在售,产业研发用房
6009,363.91,70228.63,214.01,119419.20,25556904.00,在售,产业研发用房
6008,396.78,69768.86,233.34,118637.57,27682892.00,在售,产业研发用房
6006,363.35,69998.75,213.68,119028.67,25434047.00,在售,产业研发用房
6005,265.54,68504.50,156.16,116487.48,18190685.00,在售,产业研发用房
6003,363.91,67929.78,214.01,115510.15,24720329.00,在售,产业研发用房
6002,396.78,68159.67,233.34,115901.23,27044395.00,在售,产业研发用房
6001,363.71,69079.21,213.89,117465.99,25124801.00,在售,产业研发用房
5910,266.06,68791.85,156.54,116920.67,18302762.00,在售,产业研发用房
5909,363.74,70171.16,214.01,119265.73,25524061.00,在售,产业研发用房
5908,396.60,69711.39,233.34,118486.07,27647540.00,在售,产业研发用房
5906,363.74,69941.28,214.01,118875.01,25440442.00,在售,产业研发用房
5905,266.13,68447.02,156.58,116335.47,18215808.00,在售,产业研发用房
5903,363.74,67872.31,214.01,115358.52,24687877.00,在售,产业研发用房
5902,396.60,68102.20,233.34,115750.98,27009334.00,在售,产业研发用房
5901,363.54,69021.74,213.89,117313.40,25092164.00,在售,产业研发用房
5810,266.06,68734.38,156.54,116822.99,18287471.00,在售,产业研发用房
5809,363.74,70113.69,214.01,119168.05,25503156.00,在售,产业研发用房
5808,396.60,69653.92,233.34,118388.39,27624747.00,在售,产业研发用房
5806,363.74,69883.81,214.01,118777.33,25419538.00,在售,产业研发用房
5805,266.13,68389.55,156.58,116237.78,18200513.00,在售,产业研发用房
5803,363.74,67814.84,214.01,115260.83,24666972.00,在售,产业研发用房
5802,396.60,68044.73,233.34,115653.29,26986540.00,在售,产业研发用房
5801,363.54,68964.27,213.89,117215.72,25071271.00,在售,产业研发用房
5710,266.06,68676.91,156.54,116725.30,18272180.00,在售,产业研发用房
5709,363.74,70056.22,214.01,119070.37,25482252.00,在售,产业研发用房
5708,396.60,69596.45,233.34,118290.70,27601954.00,在售,产业研发用房
5706,363.74,69826.34,214.01,118679.65,25398633.00,在售,产业研发用房
5705,266.13,68332.08,156.58,116140.11,18185219.00,在售,产业研发用房
5703,363.74,67757.37,214.01,115163.16,24646068.00,在售,产业研发用房
5702,396.60,67987.25,233.34,115555.61,26963747.00,在售,产业研发用房
5701,363.54,68906.79,213.89,117118.04,25050378.00,在售,产业研发用房
5610,266.06,68619.44,156.54,116627.62,18256889.00,在售,产业研发用房
5609,363.74,69998.75,214.01,118972.69,25461347.00,在售,产业研发用房
5608,396.60,69538.98,233.34,118193.02,27579161.00,在售,产业研发用房
5606,363.74,69768.87,214.01,118581.97,25377729.00,在售,产业研发用房
5605,266.13,68274.61,156.58,116042.43,18169924.00,在售,产业研发用房
5603,363.74,67699.90,214.01,115065.47,24625163.00,在售,产业研发用房
5602,396.60,67929.78,233.34,115457.93,26940954.00,在售,产业研发用房
5601,363.54,68849.32,213.89,117020.36,25029485.00,在售,产业研发用房
5510,266.06,68561.97,156.54,116529.95,18241599.00,在售,产业研发用房
5509,363.74,69941.28,214.01,118875.01,25440442.00,在售,产业研发用房
5508,396.60,69481.51,233.34,118095.34,27556368.00,在售,产业研发用房
5506,363.74,69711.39,214.01,118484.29,25356824.00,在售,产业研发用房
