房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
D栋1301,1049.17,100000.00,630.67,166358.00,104917000.00,在售,生产用房
D栋1201,1049.17,100000.00,630.67,166358.00,104917000.00,在售,生产用房
D栋1101,1049.17,100000.00,630.67,166358.00,104917000.00,在售,生产用房
D栋1001,1049.17,100000.00,630.67,166358.00,104917000.00,在售,生产用房
D栋901,1167.51,100000.00,630.67,185122.17,116751000.00,在售,生产用房
D栋804,525.00,100000.00,336.55,155994.65,52500000.00,在售,生产用房
D栋803,353.26,100000.00,226.46,155992.22,35326000.00,在售,生产用房
D栋802,183.95,100000.00,117.92,155995.59,18395000.00,在售,生产用房
D栋801,984.89,100000.00,631.37,155992.52,98489000.00,在售,生产用房
D栋704,525.15,100000.00,336.62,156006.77,52515000.00,在售,生产用房
D栋703,353.29,100000.00,226.46,156005.47,35329000.00,在售,生产用房
D栋702,183.96,100000.00,117.92,156004.07,18396000.00,在售,生产用房
D栋701,985.38,100000.00,631.64,156003.41,98538000.00,在售,生产用房
D栋604,525.15,100000.00,336.62,156006.77,52515000.00,在售,生产用房
D栋603,353.29,100000.00,226.46,156005.47,35329000.00,在售,生产用房
D栋602,183.96,100000.00,117.92,156004.07,18396000.00,在售,生产用房
D栋601,985.38,100000.00,631.64,156003.41,98538000.00,在售,生产用房
D栋504,525.15,100000.00,336.62,156006.77,52515000.00,在售,生产用房
D栋503,353.29,100000.00,226.46,156005.47,35329000.00,在售,生产用房
D栋502,183.96,100000.00,117.92,156004.07,18396000.00,在售,生产用房
D栋501,985.38,100000.00,631.64,156003.41,98538000.00,在售,生产用房
D栋404,525.15,100000.00,336.62,156006.77,52515000.00,在售,生产用房
D栋403,353.29,100000.00,226.46,156005.47,35329000.00,在售,生产用房
D栋402,183.96,100000.00,117.92,156004.07,18396000.00,在售,生产用房
D栋401,985.38,100000.00,631.64,156003.41,98538000.00,在售,生产用房
D栋304,525.15,100000.00,336.62,156006.77,52515000.00,在售,生产用房
D栋303,353.29,100000.00,226.46,156005.47,35329000.00,在售,生产用房
D栋301,985.38,100000.00,631.64,156003.41,98538000.00,在售,生产用房
D栋205,216.21,100000.00,156.82,137871.44,21621000.00,在售,生产用房
D栋204,292.62,100000.00,212.25,137865.72,29262000.00,在售,生产用房
D栋203,296.96,100000.00,215.40,137864.43,29696000.00,在售,生产用房
D栋202,220.55,100000.00,159.98,137860.98,22055000.00,在售,生产用房
D栋201,481.34,100000.00,349.13,137868.41,48134000.00,在售,生产用房
D栋105,208.78,100000.00,156.82,133133.52,20878000.00,在售,产业研发用房
D栋104,280.93,100000.00,211.02,133129.56,28093000.00,在售,产业研发用房
D栋103,288.40,100000.00,216.63,133130.22,28840000.00,在售,产业研发用房
D栋102,212.97,100000.00,159.97,133131.21,21297000.00,在售,产业研发用房
D栋101,464.80,100000.00,349.13,133130.92,46480000.00,在售,产业研发用房
D栋半地下08,320.51,100000.00,289.02,110895.43,32051000.00,在售,产业研发用房
D栋半地下07,116.44,100000.00,105.00,110895.23,11644000.00,在售,产业研发用房
D栋半地下06,117.82,100000.00,106.25,110889.41,11782000.00,在售,产业研发用房
D栋半地下05,119.20,100000.00,107.49,110894.03,11920000.00,在售,产业研发用房
D栋半地下04,325.28,100000.00,293.33,110892.16,32528000.00,在售,产业研发用房
D栋半地下03,233.40,100000.00,210.47,110894.66,23340000.00,在售,产业研发用房
D栋半地下02,117.30,100000.00,105.78,110890.52,11730000.00,在售,产业研发用房
D栋半地下01,115.94,100000.00,104.55,110894.30,11594000.00,在售,产业研发用房
C栋1804,571.57,20000.00,413.58,27640.00,11431400.00,在售,生产用房
C栋1803,335.49,20500.00,242.76,28330.00,6877545.00,在售,生产用房
C栋1802,559.47,20500.00,404.82,28331.00,11469135.00,在售,生产用房
C栋1801,354.65,20400.00,256.62,28192.00,7234860.00,在售,生产用房
C栋1704,571.57,23837.00,413.58,32942.00,13624514.00,在售,生产用房
C栋1703,335.49,20500.00,242.76,28330.00,6877545.00,在售,生产用房
C栋1702,559.47,20400.00,404.82,28193.00,11413188.00,在售,生产用房
C栋1701,354.65,23992.00,256.62,33157.00,8508762.00,在售,生产用房
C栋1604,571.57,23615.00,413.58,32636.00,13497625.00,在售,生产用房
C栋1603,335.49,20200.00,242.76,27916.00,6776898.00,在售,生产用房
C栋1602,559.47,23986.00,404.82,33149.00,13419447.00,在售,生产用房
C栋1601,354.65,23769.00,256.62,32848.00,8429675.00,在售,生产用房
C栋1504,571.57,23393.00,413.58,32329.00,13370737.00,在售,生产用房
C栋1503,335.49,23913.00,242.76,33047.00,8022572.00,在售,生产用房
C栋1502,559.47,23764.00,404.82,32842.00,13295245.00,在售,生产用房
C栋1501,354.65,23547.00,256.62,32542.00,8350943.00,在售,生产用房
C栋1404,571.57,23171.00,413.58,32022.00,13243848.00,在售,生产用房
C栋1403,335.49,23690.00,242.76,32739.00,7947758.00,在售,生产用房
C栋1402,559.47,23541.00,404.82,32534.00,13170483.00,在售,生产用房
C栋1401,354.65,23325.00,256.62,32235.00,8272211.00,在售,生产用房
C栋1304,571.57,22949.00,413.58,31715.00,13116959.00,在售,生产用房
C栋1303,335.49,23468.00,242.76,32432.00,7873279.00,在售,生产用房
C栋1302,559.47,23319.00,404.82,32227.00,13046280.00,在售,生产用房
C栋1301,354.65,23103.00,256.62,31928.00,8193478.00,在售,生产用房
C栋1204,571.57,22782.00,413.58,31484.00,13021507.00,在售,生产用房
C栋1203,335.49,23302.00,242.76,32202.00,7817587.00,在售,生产用房
C栋1202,559.47,23152.00,404.82,31996.00,12952849.00,在售,生产用房
C栋1201,354.65,22936.00,256.62,31697.00,8134252.00,在售,生产用房
C栋1104,571.57,22615.00,413.58,31254.00,12926055.00,在售,生产用房
C栋1103,335.49,23135.00,242.76,31972.00,7761561.00,在售,生产用房
C栋1102,559.47,22986.00,404.82,31767.00,12859977.00,在售,生产用房
C栋1101,354.65,22769.00,256.62,31466.00,8075025.00,在售,生产用房
C栋1004,571.57,22449.00,413.58,31024.00,12831174.00,在售,生产用房
C栋1003,335.49,22968.00,242.76,31741.00,7705534.00,在售,生产用房
C栋1002,559.47,22819.00,404.82,31536.00,12766545.00,在售,生产用房
C栋1001,354.65,22603.00,256.62,31237.00,8016153.00,在售,生产用房
C栋904,571.57,22393.00,413.58,30947.00,12799167.00,在售,生产用房
C栋903,335.49,22913.00,242.76,31665.00,7687082.00,在售,生产用房
C栋902,559.47,22764.00,404.82,31460.00,12735775.00,在售,生产用房
C栋901,354.65,22547.00,256.62,31160.00,7996293.00,在售,生产用房
C栋804,571.57,22337.00,413.58,30869.00,12767159.00,在售,生产用房
C栋803,335.49,22857.00,242.76,31587.00,7668294.00,在售,生产用房
C栋802,559.47,22708.00,404.82,31382.00,12704444.00,在售,生产用房
C栋801,354.65,22492.00,256.62,31084.00,7976787.00,在售,生产用房
C栋704,571.57,22282.00,413.58,30793.00,12735722.00,在售,生产用房
C栋703,335.49,22802.00,242.76,31511.00,7649842.00,在售,生产用房
C栋702,559.47,22652.00,404.82,31305.00,12673114.00,在售,生产用房
C栋701,354.65,22436.00,256.62,31006.00,7956927.00,在售,生产用房
C栋604,571.57,22226.00,413.58,30716.00,12703714.00,在售,生产用房
C栋603,335.49,22746.00,242.76,31434.00,7631055.00,在售,生产用房
C栋602,559.47,22597.00,404.82,31229.00,12642343.00,在售,生产用房
C栋601,354.65,22381.00,256.62,30930.00,7937421.00,在售,生产用房
C栋504,571.57,22171.00,413.58,30640.00,12672278.00,在售,生产用房
C栋503,335.49,22690.00,242.76,31357.00,7612268.00,在售,生产用房
C栋502,559.47,22541.00,404.82,31152.00,12611013.00,在售,生产用房
C栋501,354.65,22325.00,256.62,30853.00,7917561.00,在售,产业研发用房
C栋404,571.57,22115.00,413.58,30563.00,12640270.00,在售,生产用房
C栋403,335.49,22635.00,242.76,31281.00,7593816.00,在售,生产用房
C栋402,619.52,22486.00,448.28,31075.00,13930526.00,在售,生产用房
C栋401,294.60,22269.00,213.17,30775.00,6560447.00,在售,生产用房
C栋304,583.46,22060.00,413.58,31121.00,12871127.00,在售,生产用房
C栋303,342.47,22579.00,242.76,31852.00,7732630.00,在售,生产用房
C栋302,589.14,22430.00,417.61,31642.00,13214410.00,在售,生产用房
C栋301,306.50,22214.00,217.26,31338.00,6808591.00,在售,生产用房
C栋204,217.57,23004.00,139.06,35991.00,5004980.00,在售,生产用房
C栋203,93.78,23635.00,59.94,36978.00,2216490.00,在售,生产用房
C栋202,480.40,22375.00,307.04,35008.00,10748950.00,在售,生产用房
C栋201,338.63,22158.00,216.43,34668.00,7503363.00,在售,生产用房
C栋101,221.89,23325.00,153.98,33612.00,5175584.00,在售,生产用房
B栋2406,319.51,19769.16,235.00,26878.48,6316444.68,在售,产业研发用房
B栋2405,312.52,19421.10,229.86,26405.13,6069484.43,在售,产业研发用房
B栋2404,333.30,20024.71,245.14,27226.23,6674238.08,在售,产业研发用房
B栋2403,333.30,21272.86,245.14,28923.25,7090245.86,在售,产业研发用房
B栋2402,312.52,20828.42,229.86,28318.53,6509297.95,在售,产业研发用房
B栋2401,319.51,21161.75,235.00,28771.88,6761391.94,在售,产业研发用房
B栋2306,319.51,26521.00,235.00,36058.00,8473724.00,在售,产业研发用房
B栋2305,312.52,26050.00,229.86,35417.00,8141145.00,在售,产业研发用房
B栋2304,333.30,19858.05,245.14,26999.62,6618688.08,在售,产业研发用房
B栋2303,333.30,21050.64,245.14,28621.11,7016179.20,在售,产业研发用房
B栋2302,312.52,20606.19,229.86,28016.39,6439849.06,在售,产业研发用房
B栋2301,319.51,20939.53,235.00,28469.74,6690389.72,在售,产业研发用房
B栋2206,319.51,26220.00,235.00,35649.00,8377552.00,在售,产业研发用房
B栋2205,312.52,25749.00,229.86,35008.00,8047077.00,在售,产业研发用房
B栋2204,333.30,19635.82,245.14,26697.48,6544621.42,在售,产业研发用房
B栋2203,333.30,20772.86,245.14,28243.43,6923595.86,在售,产业研发用房
B栋2202,312.52,20328.42,229.86,27638.72,6353037.95,在售,产业研发用房
B栋2201,319.51,20661.75,235.00,28092.07,6601636.94,在售,产业研发用房
B栋2106,319.51,19158.05,235.00,26047.61,6121188.57,在售,产业研发用房
B栋2105,312.52,18809.99,229.86,25574.26,5878499.99,在售,产业研发用房
B栋2104,333.30,19413.60,245.14,26395.34,6470554.75,在售,产业研发用房
B栋2103,333.30,20495.08,245.14,27865.76,6831012.53,在售,产业研发用房
B栋2102,312.52,20050.64,229.86,27261.05,6266226.84,在售,产业研发用房
B栋2101,319.51,20383.97,235.00,27714.40,6512884.17,在售,产业研发用房
B栋2006,319.51,25619.00,235.00,34832.00,8185526.00,在售,产业研发用房
B栋2005,312.52,18587.77,229.86,25272.12,5809051.10,在售,产业研发用房
B栋2004,333.30,19191.38,245.14,26093.20,6396488.08,在售,产业研发用房
B栋2003,333.30,20217.30,245.14,27488.08,6738429.20,在售,产业研发用房
B栋2002,312.52,19772.86,229.86,26883.38,6179415.73,在售,产业研发用房
B栋2001,319.51,20106.19,235.00,27336.72,6424131.39,在售,产业研发用房
B栋1906,319.51,18491.38,235.00,25141.19,5908181.91,在售,产业研发用房
B栋1905,312.52,18143.32,229.86,24667.85,5670153.32,在售,产业研发用房
B栋1904,333.30,18635.82,245.14,25337.85,6211321.42,在售,产业研发用房
B栋1903,333.30,19106.19,245.14,25977.38,6368095.86,在售,产业研发用房
B栋1902,312.52,18661.75,229.86,25372.71,5832171.28,在售,产业研发用房
B栋1901,319.51,18995.08,235.00,25826.04,6069120.28,在售,产业研发用房
B栋1806,319.51,20500.00,235.00,27872.00,6549955.00,在售,产业研发用房
B栋1805,312.52,20500.00,229.86,27872.00,6406660.00,在售,产业研发用房
B栋1804,333.30,21000.00,245.14,28552.00,6999300.00,在售,产业研发用房
B栋1803,333.30,21000.00,245.14,28552.00,6999300.00,在售,产业研发用房
B栋1802,312.52,21000.00,229.86,28551.00,6562920.00,在售,产业研发用房
B栋1801,319.51,21000.00,235.00,28551.00,6709710.00,在售,产业研发用房
B栋1706,319.51,24416.00,235.00,33196.00,7801156.00,在售,产业研发用房
B栋1705,312.52,17698.88,229.86,24063.58,5531255.54,在售,产业研发用房
B栋1704,333.30,18191.38,245.14,24733.57,6063188.08,在售,产业研发用房
B栋1703,333.30,18661.75,245.14,25373.10,6219962.53,在售,产业研发用房
B栋1702,312.52,18217.30,229.86,24768.43,5693273.51,在售,产业研发用房
B栋1701,319.51,18550.64,235.00,25221.76,5927115.83,在售,产业研发用房
B栋1606,319.51,24116.00,235.00,32788.00,7705303.00,在售,产业研发用房
B栋1605,312.52,17476.66,229.86,23761.44,5461806.65,在售,产业研发用房
B栋1604,333.30,17969.16,245.14,24431.43,5989121.42,在售,产业研发用房
B栋1603,333.30,18439.53,245.14,25070.96,6145895.86,在售,产业研发用房
B栋1602,312.52,17995.08,229.86,24466.30,5623824.62,在售,产业研发用房
B栋1601,319.51,18328.42,235.00,24919.63,5856113.61,在售,产业研发用房
B栋1506,319.51,23815.00,235.00,32379.00,7609130.00,在售,产业研发用房
B栋1505,312.52,17254.44,229.86,23459.31,5392357.76,在售,产业研发用房
B栋1504,333.30,17746.93,245.14,24129.29,5915054.75,在售,产业研发用房
B栋1503,333.30,18217.30,245.14,24768.82,6071829.20,在售,产业研发用房
B栋1502,312.52,17772.86,229.86,24164.16,5554375.73,在售,产业研发用房
B栋1501,319.51,24497.00,235.00,33306.00,7827036.00,在售,产业研发用房
