房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
E3613,85.90,67545.00,60.43,96013.82,5802115.50,在售,未销售
E3612,58.89,65693.00,41.43,93378.24,3868660.77,在售,未销售
E3611,67.02,65028.00,47.15,92432.16,4358176.56,在售,未销售
E3610,84.74,70585.00,59.61,100341.76,5981372.90,在售,未销售
E3609,86.86,69160.00,61.10,98318.12,6007237.60,在售,未销售
E3608,64.44,64125.00,45.34,91138.39,4132215.00,在售,未销售
E3607,64.51,64125.00,45.38,91156.97,4136703.75,在售,未销售
E3606,64.61,64078.00,45.45,91090.85,4140079.58,在售,未销售
E3605,88.07,68448.00,61.95,97307.75,6028215.36,在售,未销售
E3604,51.27,71440.00,36.07,101545.01,3662728.80,在售,未销售
E3603,52.80,70348.00,37.15,99983.16,3714374.40,在售,未销售
E3602,55.44,67735.00,39.00,96287.90,3755228.40,在售,未销售
E3601,85.90,70205.00,60.43,99794.96,6030609.50,在售,未销售
E3513,85.90,67415.00,60.43,95829.03,5790948.50,在售,未销售
E3512,58.89,65563.00,41.43,93193.46,3861005.07,在售,未销售
E3511,67.02,64898.00,47.15,92247.37,4349463.96,在售,未销售
E3510,84.74,70455.00,59.61,100156.96,5970356.70,在售,未销售
E3509,86.86,69030.00,61.10,98133.31,5995945.80,在售,未销售
E3508,64.44,63995.00,45.34,90953.63,4123837.80,在售,未销售
E3507,64.51,63995.00,45.38,90972.17,4128317.45,在售,未销售
E3506,64.61,63948.00,45.45,90906.05,4131680.28,在售,未销售
E3505,88.07,68318.00,61.95,97122.94,6016766.26,在售,未销售
E3504,51.27,71310.00,36.07,101360.23,3656063.70,在售,未销售
E3503,52.80,70218.00,37.15,99798.39,3707510.40,在售,未销售
E3502,55.44,67605.00,39.00,96103.10,3748021.20,在售,未销售
E3501,85.90,70075.00,60.43,99610.16,6019442.50,在售,未销售
E3413,85.90,67285.00,60.43,95644.24,5779781.50,在售,未销售
E3412,58.89,65433.00,41.43,93008.67,3853349.37,在售,未销售
E3411,67.02,64768.00,47.15,92062.59,4340751.36,在售,未销售
E3410,84.74,70325.00,59.61,99972.16,5959340.50,在售,未销售
E3409,86.86,68900.00,61.10,97948.51,5984654.00,在售,未销售
E3408,64.44,63865.00,45.34,90768.87,4115460.60,在售,未销售
E3407,64.51,63865.00,45.38,90787.37,4119931.15,在售,未销售
E3406,64.61,63818.00,45.45,90721.25,4123280.98,在售,未销售
E3405,88.07,68188.00,61.95,96938.13,6005317.16,在售,未销售
E3404,51.27,71180.00,36.07,101175.45,3649398.60,在售,未销售
E3403,52.80,70088.00,37.15,99613.63,3700646.40,在售,未销售
E3402,55.44,67475.00,39.00,95918.30,3740814.00,在售,未销售
E3401,85.90,69945.00,60.43,99425.37,6008275.50,在售,未销售
E3313,85.90,67155.00,60.43,95459.44,5768614.50,在售,未销售
E3312,58.89,65303.00,41.43,92823.88,3845693.67,在售,未销售
E3311,67.02,64638.00,47.15,91877.81,4332038.76,在售,未销售
E3310,84.74,70195.00,59.61,99787.35,5948324.30,在售,未销售
E3309,86.86,68770.00,61.10,97763.70,5973362.20,在售,未销售
E3308,64.44,63735.00,45.34,90584.10,4107083.40,在售,未销售
E3307,64.51,63735.00,45.38,90602.57,4111544.85,在售,未销售
E3306,64.61,63688.00,45.45,90536.45,4114881.68,在售,未销售
E3305,88.07,68058.00,61.95,96753.31,5993868.06,在售,未销售
E3304,51.27,71050.00,36.07,100990.67,3642733.50,在售,未销售
E3303,52.80,69958.00,37.15,99428.86,3693782.40,在售,未销售
E3302,55.44,67345.00,39.00,95733.50,3733606.80,在售,未销售
E3301,85.90,69815.00,60.43,99240.58,5997108.50,在售,未销售
E3213,85.90,67025.00,60.43,95274.65,5757447.50,在售,未销售
E3212,58.89,65173.00,41.43,92639.10,3838037.97,在售,未销售
E3211,67.02,64508.00,47.15,91693.02,4323326.16,在售,未销售
E3210,84.74,70065.00,59.61,99602.55,5937308.10,在售,未销售
E3209,86.86,68640.00,61.10,97578.89,5962070.40,在售,未销售
