房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
E座3104,88.71,27897.00,68.01,36387.92,2474743.00,在售,住宅
E座3103,88.63,27919.00,67.95,36415.90,2474461.00,在售,住宅
E座3102,88.83,28854.00,68.11,37631.78,2563101.00,在售,住宅
E座3101,114.47,28308.99,87.76,36924.92,3240531.00,在售,住宅
E座3004,88.71,27997.00,68.01,36518.36,2483614.00,在售,住宅
E座3003,88.63,28519.00,67.95,37198.51,2527639.00,在售,住宅
E座3002,88.83,28954.00,68.11,37762.20,2571984.00,在售,住宅
E座3001,114.47,28408.99,87.76,37055.35,3251978.00,在售,住宅
E座2904,88.71,27967.00,68.01,36479.23,2480953.00,在售,住宅
E座2903,88.63,28488.99,67.95,37159.38,2524980.00,在售,住宅
E座2902,88.83,28924.00,68.11,37723.08,2569319.00,在售,住宅
E座2901,114.47,28378.99,87.76,37016.22,3248544.00,在售,住宅
E座2804,88.71,27936.99,68.01,36440.09,2478291.00,在售,住宅
E座2803,88.63,28458.99,67.95,37120.25,2522321.00,在售,住宅
E座2802,88.83,28893.99,68.11,37683.95,2566654.00,在售,住宅
E座2801,114.47,28348.99,87.76,36977.09,3245110.00,在售,住宅
E座2704,88.71,27907.00,68.01,36400.97,2475630.00,在售,住宅
E座2703,88.63,28428.99,67.95,37081.11,2519662.00,在售,住宅
E座2702,88.83,28863.99,68.11,37644.82,2563989.00,在售,住宅
E座2701,114.47,28319.00,87.76,36937.96,3241676.00,在售,住宅
E座2604,88.71,27877.00,68.01,36361.84,2472969.00,在售,住宅
E座2603,88.63,28398.99,67.95,37041.98,2517003.00,在售,住宅
E座2602,88.83,28833.99,68.11,37605.69,2561324.00,在售,住宅
E座2601,114.47,28289.00,87.76,36898.83,3238242.00,在售,住宅
E座2504,88.71,27846.99,68.01,36322.70,2470307.00,在售,住宅
E座2503,88.63,28368.99,67.95,37002.85,2514344.00,在售,住宅
E座2502,88.83,28803.99,68.11,37566.56,2558659.00,在售,住宅
E座2501,114.47,28259.00,87.76,36859.70,3234808.00,在售,住宅
E座2404,88.71,27816.99,68.01,36283.57,2467646.00,在售,住宅
E座2403,88.63,28339.00,67.95,36963.73,2511686.00,在售,住宅
E座2402,88.83,28773.99,68.11,37527.44,2555994.00,在售,住宅
E座2401,114.47,28229.00,87.76,36820.57,3231374.00,在售,住宅
E座2304,88.71,27767.00,68.01,36218.36,2463211.00,在售,住宅
E座2303,88.63,28288.99,67.95,36898.51,2507254.00,在售,住宅
E座2302,88.83,28724.00,68.11,37462.23,2551553.00,在售,住宅
E座2301,114.47,28178.99,87.76,36755.35,3225650.00,在售,住宅
E座2204,88.71,27716.99,68.01,36153.13,2458775.00,在售,住宅
E座2203,88.63,28239.00,67.95,36833.30,2502823.00,在售,住宅
E座2202,88.83,28673.99,68.11,37397.01,2547111.00,在售,住宅
E座2201,114.47,28129.00,87.76,36690.14,3219927.00,在售,住宅
E座2104,88.71,27667.00,68.01,36087.92,2454340.00,在售,住宅
E座2103,88.63,28188.99,67.95,36768.07,2498391.00,在售,住宅
E座2102,88.83,28624.00,68.11,37331.81,2542670.00,在售,住宅
E座2101,114.47,28078.99,87.76,36624.92,3214203.00,在售,住宅
E座2004,88.71,27616.99,68.01,36022.70,2449904.00,在售,住宅
E座2003,88.63,28139.00,67.95,36702.86,2493960.00,在售,住宅
E座2002,88.83,28573.99,68.11,37266.59,2538228.00,在售,住宅
E座2001,114.47,28029.00,87.76,36559.70,3208480.00,在售,住宅
E座1904,88.71,27497.00,68.01,35866.18,2439259.00,在售,住宅
E座1903,88.63,28019.00,67.95,36546.34,2483324.00,在售,住宅
E座1902,88.83,28454.00,68.11,37110.10,2527569.00,在售,住宅
E座1901,114.47,27908.99,87.76,36403.17,3194743.00,在售,住宅
E座1804,88.71,27407.00,68.01,35748.78,2431275.00,在售,住宅
E座1803,88.63,27928.99,67.95,36428.94,2475347.00,在售,住宅
E座1802,88.83,28363.99,68.11,36992.71,2519574.00,在售,住宅
E座1801,114.47,27819.00,87.76,36285.79,3184441.00,在售,住宅
E座1704,88.71,27316.99,68.01,35631.39,2423291.00,在售,住宅
E座1703,88.63,27839.00,67.95,36311.56,2467371.00,在售,住宅
E座1702,88.83,28273.99,68.11,36875.33,2511579.00,在售,住宅
E座1701,114.47,27729.00,87.76,36168.40,3174139.00,在售,住宅
E座1604,88.71,27226.99,68.01,35513.99,2415307.00,在售,住宅
E座1603,88.63,27749.00,67.95,36194.17,2459394.00,在售,住宅
E座1602,88.83,28184.00,68.11,36757.96,2503585.00,在售,住宅
E座1601,114.47,27638.99,87.76,36051.00,3163836.00,在售,住宅
E座1504,88.71,27136.99,68.01,35396.60,2407323.00,在售,住宅
E座1503,88.63,27658.99,67.95,36076.77,2451417.00,在售,住宅
E座1502,88.83,28093.99,68.11,36640.58,2495590.00,在售,住宅
E座1501,114.47,27548.99,87.76,35933.61,3153534.00,在售,住宅
E座1404,88.71,27046.99,68.01,35279.20,2399339.00,在售,住宅
E座1403,88.63,27568.99,67.95,35959.38,2443440.00,在售,住宅
E座1402,88.83,28003.99,68.11,36523.19,2487595.00,在售,住宅
E座1401,114.47,27459.00,87.76,35816.22,3143232.00,在售,住宅
E座1304,88.71,26956.99,68.01,35161.81,2391355.00,在售,住宅
E座1303,88.63,27479.00,67.95,35842.00,2435464.00,在售,住宅
E座1302,88.83,27914.00,68.11,36405.82,2479601.00,在售,住宅
E座1301,114.47,27368.99,87.76,35698.82,3132929.00,在售,住宅
