房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
塔楼2座2002,323.79,34089.25,214.74,51400.57,11037759.78,在售,配套办公
塔楼2座2001,210.82,31897.77,139.82,48095.32,6724689.22,在售,配套办公
塔楼2座1906,227.91,33518.39,175.74,43468.63,7639178.18,在售,配套办公
塔楼2座1905,230.13,33498.13,177.45,43442.81,7708926.72,在售,配套办公
塔楼2座1904,383.60,32077.55,295.79,41600.29,12304950.91,在售,配套办公
塔楼2座1903,258.95,29689.52,199.67,38504.05,7688103.73,在售,仓储
塔楼2座1902,278.61,28355.36,214.83,36773.67,7900089.14,在售,仓储
塔楼2座1901,383.54,31418.13,295.74,40745.62,12050110.84,在售,配套办公
塔楼2座1806,227.91,33347.50,175.74,43247.01,7600230.48,在售,配套办公
塔楼2座1805,230.45,33281.58,177.70,43161.18,7669741.66,在售,配套办公
塔楼2座1804,383.59,31906.30,295.79,41377.11,12238937.71,在售,配套办公
塔楼2座1803,258.94,29502.09,199.67,38259.49,7639272.70,在售,仓储
塔楼2座1802,278.58,28166.77,214.81,36528.56,7846700.50,在售,仓储
塔楼2座1801,383.51,31247.88,295.73,40523.02,11983874.89,在售,配套办公
塔楼2座1706,227.91,33167.86,175.74,43014.04,7559289.15,在售,配套办公
塔楼2座1705,230.44,33107.74,177.69,42936.28,7629348.86,在售,配套办公
塔楼2座1704,383.47,31735.04,295.69,41156.06,12169437.07,在售,配套办公
塔楼2座1703,258.82,29315.84,199.57,38019.38,7587527.69,在售,仓储
塔楼2座1702,278.61,27984.98,214.83,36293.33,7796897.79,在售,仓储
塔楼2座1701,383.54,31067.73,295.74,40291.19,11915717.79,在售,配套办公
塔楼2座1606,227.91,32998.46,175.74,42794.35,7520680.44,在售,配套办公
塔楼2座1605,230.44,32936.12,177.69,42713.72,7589800.64,在售,配套办公
塔楼2座1604,383.58,31568.29,295.78,40939.09,12108965.63,在售,配套办公
塔楼2座1603,258.81,29128.40,199.57,37774.83,7538722.80,在售,仓储
塔楼2座1602,278.62,32756.27,214.84,42480.70,9126553.73,在售,仓储
塔楼2座1601,383.53,30878.75,295.74,40045.07,11842930.40,在售,配套办公
塔楼2座1506,227.74,32828.32,175.61,42573.44,7476322.28,在售,配套办公
塔楼2座1505,230.41,32760.91,177.67,42485.73,7548441.32,在售,配套办公
塔楼2座1504,383.58,31398.21,295.78,40718.53,12043728.37,在售,配套办公
塔楼2座1503,258.81,28939.79,199.57,37530.22,7489908.12,在售,仓储
