房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋B座1102,815.99,35421.42,499.40,57876.51,28903531.00,在售,研发办公
1栋B座1101,816.26,35646.42,499.56,58244.76,29096754.00,在售,研发办公
1栋B座1002,900.50,35100.00,499.42,63288.51,31607551.00,在售,研发办公
1栋B座1001,900.79,35325.00,499.58,63694.31,31820407.00,在售,研发办公
1栋B座902,815.99,34617.85,499.40,56563.52,28247826.00,在售,研发办公
1栋B座901,816.26,34842.85,499.56,56931.76,28440831.00,在售,研发办公
1栋B座802,900.50,34296.42,499.42,61839.60,30883934.00,在售,研发办公
1栋B座801,900.79,34521.42,499.58,62245.40,31096558.00,在售,研发办公
1栋B座702,544.39,33814.28,341.19,53952.80,18408159.00,在售,研发办公
1栋B座701,544.39,34039.28,341.19,54311.81,18530647.00,在售,研发办公
1栋B座602,745.18,34007.14,341.20,74271.52,25341443.00,在售,研发办公
1栋B座601,722.02,34007.14,330.60,74270.53,24553838.00,在售,研发办公
