房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋C座14C03,247.57,37181.08,158.08,58229.50,9204920.00,在售,研发
2栋C座14C02,225.83,37181.07,144.20,58228.86,8396603.00,在售,研发
2栋C座14C01,677.01,40111.11,432.28,62819.52,27155623.00,在售,研发
2栋C座13C03,247.57,35881.08,158.08,56193.56,8883079.00,在售,研发
2栋C座13C02,225.83,35881.07,144.20,56192.95,8103024.00,在售,研发
2栋C座13C01,677.01,38011.11,432.28,59530.63,25733902.00,在售,研发
2栋C座12C03,247.57,35581.08,158.08,55723.73,8808808.00,在售,研发
2栋C座12C02,225.83,35581.07,144.20,55723.12,8035275.00,在售,研发
2栋C座12C01,677.01,37711.11,432.28,59060.79,25530799.00,在售,研发
2栋C座11C03,247.57,35281.08,158.08,55253.90,8734537.00,在售,研发
2栋C座11C02,225.83,35281.07,144.20,55253.30,7967526.00,在售,研发
2栋C座11C01,677.01,37411.11,432.28,58590.95,25327696.00,在售,研发
2栋C座10C03,247.57,34981.08,158.08,54784.07,8660266.00,在售,研发
2栋C座10C02,225.83,34981.07,144.20,54783.47,7899777.00,在售,研发
2栋C座10C01,677.01,37111.11,432.28,58121.10,25124593.00,在售,研发
2栋C座9C03,247.57,34681.08,158.08,54314.23,8585995.00,在售,研发
2栋C座9C02,225.83,34681.07,144.20,54313.64,7832028.00,在售,研发
2栋C座9C01,677.01,36811.11,432.28,57651.26,24921490.00,在售,研发
2栋C座8C03,247.57,34381.08,158.08,53844.40,8511724.00,在售,研发
2栋C座8C02,225.83,34381.07,144.20,53843.82,7764279.00,在售,研发
2栋C座8C01,677.01,36011.11,432.28,56398.35,24379882.00,在售,研发
2栋C座7C03,247.57,34081.08,158.08,53374.57,8437453.00,在售,研发
2栋C座7C02,225.83,34081.07,144.20,53373.99,7696530.00,在售,研发
2栋C座7C01,677.01,35211.11,432.28,55145.44,23838274.00,在售,研发
2栋C座5C03,355.19,32017.79,253.30,44896.96,11372402.00,在售,研发
2栋C座5C02,354.75,32017.80,252.99,44896.30,11358315.00,在售,研发
2栋C座5C01,606.15,32319.30,432.28,45318.64,19590344.00,在售,研发
2栋C座4C03,355.19,31717.79,253.31,44474.53,11265845.00,在售,研发
2栋C座4C02,354.75,31717.80,252.99,44475.63,11251890.00,在售,研发
2栋C座4C01,606.15,32019.30,432.28,44897.98,19408499.00,在售,研发
2栋B座11B04,296.31,38186.61,188.16,60135.40,11315077.00,在售,研发
2栋B座11B03,350.74,38122.48,222.72,60035.37,13371079.00,在售,研发
2栋B座11B02,659.67,36665.91,418.89,57741.66,24187407.00,在售,研发
2栋B座11B01,500.28,36826.26,317.68,57993.72,18423446.00,在售,研发
2栋B座10B04,296.31,36886.61,188.16,58088.19,10929874.00,在售,研发
2栋B座10B03,350.74,36822.48,222.72,57988.13,12915117.00,在售,研发
2栋B座10B02,659.67,35365.91,418.89,55694.42,23329836.00,在售,研发
2栋B座10B01,500.28,35526.26,317.68,55946.49,17773082.00,在售,研发
2栋B座9B04,296.31,36586.61,188.16,57615.75,10840981.00,在售,研发
2栋B座9B03,350.74,36522.48,222.72,57515.69,12809895.00,在售,研发
2栋B座9B02,659.67,35065.91,418.89,55221.97,23131935.00,在售,研发
2栋B座9B01,500.28,35226.26,317.68,55474.05,17622998.00,在售,研发
2栋B座8B04,296.31,35786.61,188.16,56355.93,10603933.00,在售,研发
2栋B座8B03,350.74,35722.48,222.72,56255.85,12529303.00,在售,研发
2栋B座8B02,659.67,34765.91,418.89,54749.53,22934034.00,在售,研发
2栋B座8B01,500.28,34926.26,317.68,55001.61,17472914.00,在售,研发
2栋B座7B04,296.31,34986.61,188.16,55096.11,10366885.00,在售,研发
2栋B座7B03,350.74,34922.48,222.72,54996.00,12248711.00,在售,研发
2栋B座7B02,659.67,34465.91,418.89,54277.09,22736133.00,在售,研发
2栋B座7B01,500.28,34626.26,317.68,54529.18,17322830.00,在售,研发
2栋B座5B05,371.92,31806.74,265.24,44599.47,11829566.00,在售,研发
2栋B座5B04,518.21,32439.90,369.57,45487.13,16810681.00,在售,研发
2栋B座5B03,546.27,32289.15,389.58,45275.92,17638594.00,在售,研发
2栋B座5B02,263.84,32349.45,188.16,45360.75,8535079.00,在售,研发
2栋B座5B01,308.71,32379.59,220.16,45402.91,9995906.00,在售,研发
2栋B座4B05,371.92,31506.74,265.24,44178.81,11717990.00,在售,研发
2栋B座4B04,518.21,32139.90,369.57,45066.47,16655218.00,在售,研发
2栋B座4B03,546.27,31989.15,389.58,44855.26,17474713.00,在售,研发
2栋B座4B02,263.84,32049.45,188.16,44940.08,8455927.00,在售,研发
2栋B座4B01,308.71,32079.59,220.16,44982.25,9903293.00,在售,研发
2栋A座11A07,509.75,36429.28,332.44,55859.18,18569828.00,在售,研发
2栋A座11A06,639.88,36365.34,417.30,55761.94,23269460.00,在售,研发
2栋A座11A05,341.51,38012.88,222.72,58287.45,12981781.00,在售,研发
2栋A座11A04,392.54,38396.49,256.00,58875.62,15072159.00,在售,研发
2栋A座11A03,337.99,40020.26,220.42,61366.69,13526448.00,在售,研发
2栋A座11A02,639.88,36972.72,417.30,56693.28,23658106.00,在售,研发
2栋A座11A01,509.75,36621.08,332.44,56153.28,18667599.00,在售,研发
2栋A座10A07,509.75,35129.28,332.44,53865.81,17907153.00,在售,研发
2栋A座10A06,639.88,35065.34,417.30,53768.55,22437616.00,在售,研发
2栋A座10A05,341.51,36712.88,222.72,56294.08,12537818.00,在售,研发
2栋A座10A04,392.54,37096.49,256.00,56882.25,14561857.00,在售,研发
2栋A座10A03,337.99,37320.26,220.42,57226.54,12613875.00,在售,研发
2栋A座10A02,639.88,35672.72,417.30,54699.88,22826262.00,在售,研发
2栋A座10A01,509.75,35321.08,332.44,54159.92,18004924.00,在售,研发
2栋A座9A07,509.75,34829.28,332.44,53405.81,17754228.00,在售,研发
2栋A座9A06,639.88,34765.34,417.30,53308.53,22245652.00,在售,研发
2栋A座9A05,341.51,36412.88,222.72,55834.07,12435365.00,在售,研发
2栋A座9A04,392.54,36796.49,256.00,56422.24,14444095.00,在售,研发
2栋A座9A03,337.99,37020.26,220.42,56766.52,12512478.00,在售,研发
2栋A座9A02,639.88,35372.72,417.30,54239.87,22634298.00,在售,研发
2栋A座9A01,509.75,35021.08,332.44,53699.91,17851999.00,在售,研发
2栋A座8A07,509.75,34529.28,332.44,52945.80,17601303.00,在售,研发
2栋A座8A06,639.88,34465.34,417.30,52848.52,22053688.00,在售,研发
2栋A座8A05,341.51,35612.88,222.72,54607.38,12162157.00,在售,研发
2栋A座8A04,392.54,35996.49,256.00,55195.55,14130063.00,在售,研发
2栋A座8A03,337.99,36220.26,220.42,55539.81,12242086.00,在售,研发
2栋A座8A02,639.88,35072.72,417.30,53779.85,22442334.00,在售,研发
2栋A座8A01,509.75,34721.08,332.44,53239.90,17699074.00,在售,研发
2栋A座7A07,509.75,34229.28,332.44,52485.79,17448378.00,在售,研发
2栋A座7A06,639.88,34165.34,417.30,52388.50,21861724.00,在售,研发
2栋A座7A05,341.51,34812.88,222.72,53380.69,11888949.00,在售,研发
2栋A座7A04,392.54,35196.49,256.00,53968.87,13816031.00,在售,研发
2栋A座7A03,337.99,35420.26,220.42,54313.10,11971694.00,在售,研发
2栋A座7A02,639.88,34772.72,417.30,53319.84,22250370.00,在售,研发
2栋A座7A01,509.75,34421.08,332.44,52779.89,17546149.00,在售,研发
2栋A座5A10,574.29,32198.69,409.56,45149.40,18491391.00,在售,研发
2栋A座5A09,493.58,31686.15,352.00,44430.82,15639650.00,在售,研发
2栋A座5A08,576.25,31927.34,410.96,44768.67,18398135.00,在售,研发
2栋A座5A07,386.38,31565.54,275.55,44261.64,12196297.00,在售,研发
2栋A座5A06,168.83,31535.40,120.40,44220.28,5324122.00,在售,研发
2栋A座5A05,261.48,31716.29,186.48,44472.21,8293178.00,在售,研发
2栋A座5A04,457.04,32258.99,325.94,45234.25,14743653.00,在售,研发
2栋A座5A03,308.71,32379.59,220.16,45402.91,9995906.00,在售,研发
2栋A座5A02,400.25,32620.79,285.44,45741.57,13056475.00,在售,研发
2栋A座5A01,894.51,32711.24,637.93,45867.94,29260540.00,在售,研发
2栋A座4A10,574.29,31898.69,409.56,44728.74,18319104.00,在售,研发
2栋A座4A09,493.58,31386.15,352.00,44010.15,15491576.00,在售,研发
2栋A座4A08,576.25,31627.34,410.96,44348.01,18225260.00,在售,研发
2栋A座4A07,386.38,31265.54,275.55,43840.98,12080383.00,在售,研发
2栋A座4A06,168.83,31235.40,120.40,43799.60,5273473.00,在售,研发
