房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋商业02层09,33.48,111285.62,28.41,131145.46,3725842.62,在售,商业
3栋商业02层08,33.27,118059.52,28.23,139137.10,3927840.54,在售,商业
3栋商业02层07,33.27,109350.21,28.23,128872.89,3638081.81,在售,商业
3栋商业02层06,33.48,123865.73,28.41,145970.60,4147024.83,在售,商业
3栋商业02层05,33.26,111285.62,28.23,131114.40,3701359.78,在售,商业
3栋商业02层04,33.27,122898.03,28.23,144839.44,4088817.61,在售,商业
3栋商业02层03,33.48,127736.54,28.41,150532.18,4276619.36,在售,商业
3栋商业02层02,45.95,135478.14,38.99,159661.98,6225220.92,在售,商业
3栋商业02层01,33.66,114188.72,28.56,134579.56,3843592.49,在售,商业
3栋商业01层14,78.39,174742.03,71.76,190886.67,13698028.02,在售,商业
3栋商业01层13,100.98,162510.09,92.44,177523.46,16410269.03,在售,商业
3栋商业01层12,52.26,192216.23,47.84,209975.34,10045220.55,在售,商业
3栋商业01层11,99.50,160762.67,91.08,175624.56,15995885.77,在售,商业
3栋商业01层10,77.82,169499.77,71.24,185155.42,13190472.31,在售,商业
3栋商业01层09,44.96,192216.23,41.16,209962.14,8642042.02,在售,商业
3栋商业01层08,102.12,160762.67,93.49,175602.56,16417083.97,在售,商业
3栋商业01层06,106.94,160762.67,97.89,175625.29,17191960.04,在售,商业
3栋商业01层05,86.41,178448.60,79.10,194939.87,15419743.81,在售,商业
3栋商业01层04,84.30,169499.77,77.18,185136.44,14288830.84,在售,商业
3栋商业01层03,83.89,169499.77,76.80,185147.60,14219335.93,在售,商业
3栋商业01层02,78.81,171247.19,72.14,187080.55,13495991.28,在售,商业
3栋商业01层01,77.97,174742.03,71.38,190874.70,13624636.37,在售,商业
3栋B座住宅2D,86.91,42078.41,66.28,55175.54,3657035.32,在售,住宅
3栋B座住宅2C,86.91,41499.20,66.28,54416.05,3606696.17,在售,住宅
3栋B座住宅2B,95.94,41770.86,73.16,54777.15,4007496.37,在售,住宅
3栋B座住宅2A,95.94,42292.49,73.16,55461.20,4057541.95,在售,住宅
3栋B座住宅3D,86.91,42497.99,66.28,55725.71,3693500.42,在售,住宅
3栋B座住宅3C,86.91,41918.78,66.28,54966.22,3643161.26,在售,住宅
3栋B座住宅3B,95.94,42190.43,73.16,55327.36,4047750.21,在售,住宅
3栋B座住宅3A,95.94,42712.06,73.16,56011.42,4097795.80,在售,住宅
3栋B座住宅4D,86.91,42518.96,66.28,55753.22,3695323.67,在售,住宅
3栋B座住宅4C,86.91,41939.75,66.28,54993.73,3644984.52,在售,住宅
3栋B座住宅4B,95.94,42211.41,73.16,55354.87,4049762.90,在售,住宅
3栋B座住宅4A,95.94,42733.04,73.16,56038.93,4099808.49,在售,住宅
3栋B座住宅5D,86.91,42539.94,66.28,55780.73,3697146.93,在售,住宅
3栋B座住宅5C,86.91,41960.73,66.28,55021.23,3646807.77,在售,住宅
3栋B座住宅5B,95.94,42316.30,73.16,55492.43,4059826.36,在售,住宅
3栋B座住宅5A,95.94,42837.93,73.16,56176.48,4109871.95,在售,住宅
3栋B座住宅6D,86.91,42560.92,66.28,55808.24,3698970.18,在售,住宅
3栋B座住宅6C,86.91,41981.71,66.28,55048.74,3648631.03,在售,住宅
3栋B座住宅6B,95.94,42337.28,73.16,55519.94,4061839.05,在售,住宅
3栋B座住宅6A,95.94,42858.91,73.16,56204.00,4111884.64,在售,住宅
