房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3B11F03,88.74,15321.00,68.65,19804.60,1359586.00,在售,住宅
3B11F02,78.58,14250.00,60.79,18420.21,1119765.00,在售,住宅
3B11F01,89.87,14843.99,69.52,19189.15,1334030.00,在售,住宅
3B10F03,88.74,15301.00,68.65,19778.74,1357811.00,在售,住宅
3B10F02,78.58,14229.99,60.79,18394.35,1118193.00,在售,住宅
3B10F01,89.87,14824.00,69.52,19163.30,1332233.00,在售,住宅
3B9F03,88.74,15281.00,68.65,19752.89,1356036.00,在售,住宅
3B9F02,78.58,14210.00,60.79,18368.51,1116622.00,在售,住宅
3B9F01,89.87,14803.99,69.52,19137.44,1330435.00,在售,住宅
3B8F03,88.74,15260.99,68.65,19727.03,1354261.00,在售,住宅
3B8F02,78.58,14189.99,60.79,18342.65,1115050.00,在售,住宅
3B8F01,89.87,14783.99,69.52,19111.59,1328638.00,在售,住宅
3B7F03,88.74,15090.99,68.65,19507.28,1339175.00,在售,住宅
3B7F02,78.58,14020.00,60.79,18122.91,1101692.00,在售,住宅
3B7F01,89.87,14613.99,69.52,18891.82,1313360.00,在售,住宅
3B6F03,88.74,15071.00,68.65,19481.44,1337401.00,在售,住宅
3B6F02,78.58,14000.00,60.79,18097.05,1100120.00,在售,住宅
3B6F01,89.87,14594.00,69.52,18865.98,1311563.00,在售,住宅
3B5F03,88.74,15051.00,68.65,19455.58,1335626.00,在售,住宅
3B5F02,78.58,13979.99,60.79,18071.19,1098548.00,在售,住宅
3B5F01,89.87,14573.99,69.52,18840.11,1309765.00,在售,住宅
3B4F03,88.74,15031.00,68.65,19429.73,1333851.00,在售,住宅
3B4F02,78.58,13960.00,60.79,18045.35,1096977.00,在售,住宅
3B4F01,89.87,14554.00,69.52,18814.26,1307968.00,在售,住宅
3B3F03,88.74,15010.99,68.65,19403.87,1332076.00,在售,住宅
3B3F02,78.58,13939.99,60.79,18019.49,1095405.00,在售,住宅
3B3F01,89.87,14534.00,69.52,18788.42,1306171.00,在售,住宅
3B2F03,88.85,14990.99,68.73,19379.45,1331950.00,在售,住宅
3B2F02,78.58,13920.00,60.79,17993.65,1093834.00,在售,住宅
3B2F01,89.94,14513.99,69.58,18760.98,1305389.00,在售,住宅
3A32F05,143.90,13410.79,112.31,17182.00,1929812.00,在售,住宅
3A32F04,145.58,13722.15,113.64,17578.00,1997670.00,在售,住宅
3A32F03,147.35,13915.92,115.00,17830.00,2050510.00,在售,住宅
3A32F02,174.68,14924.28,136.39,19114.00,2606973.00,在售,住宅
3A32F01,168.77,14470.78,131.76,18535.00,2442233.00,在售,住宅
3A31F05,79.27,14366.00,61.51,18513.94,1138793.00,在售,住宅
3A31F04,79.94,14579.99,62.03,18789.69,1165525.00,在售,住宅
3A31F03,80.82,14550.00,62.71,18751.88,1175931.00,在售,住宅
3A31F02,89.28,14140.99,69.28,18223.26,1262508.00,在售,住宅
3A31F01,89.42,14400.00,69.39,18556.67,1287648.00,在售,住宅
3A30F05,79.27,14345.99,61.51,18488.16,1137207.00,在售,住宅
3A30F04,79.94,14559.99,62.03,18763.92,1163926.00,在售,住宅
3A30F03,80.82,14530.00,62.71,18726.12,1174315.00,在售,住宅
3A30F02,89.28,14121.00,69.28,18197.50,1260723.00,在售,住宅
3A30F01,89.42,14380.00,69.39,18530.91,1285860.00,在售,住宅
3A29F05,79.27,14325.99,61.51,18462.39,1135622.00,在售,住宅
3A29F04,79.94,14540.00,62.03,18738.15,1162328.00,在售,住宅
3A29F03,80.82,14509.99,62.71,18700.33,1172698.00,在售,住宅
3A29F02,89.28,14100.99,69.28,18171.72,1258937.00,在售,住宅
3A293F01,89.42,14359.99,69.39,18505.13,1284071.00,在售,住宅
3A28F05,79.27,14306.00,61.51,18436.62,1134037.00,在售,住宅
3A28F04,79.94,14520.00,62.03,18712.38,1160729.00,在售,住宅
3A283F03,80.82,14490.00,62.71,18674.56,1171082.00,在售,住宅
3A28F02,89.28,14081.00,69.28,18145.95,1257152.00,在售,住宅
3A28F01,89.42,14340.00,69.39,18479.36,1282283.00,在售,住宅
