房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋E座4202,252.76,117928.90,186.31,159989.85,29807710.00,在售,商务公寓
1栋E座4102,252.76,117447.90,186.31,159337.30,29686133.00,在售,商务公寓
1栋E座4002,252.76,116966.91,186.31,158684.75,29564557.00,在售,商务公寓
1栋E座3902,252.76,116485.91,186.31,158032.20,29442980.00,在售,商务公寓
1栋E座3802,252.76,116004.91,186.31,157379.65,29321404.00,在售,商务公寓
1栋E座3702,252.76,115523.92,186.31,156727.10,29199827.00,在售,商务公寓
1栋E座3602,252.76,115042.92,186.31,156074.55,29078250.00,在售,商务公寓
1栋E座3502,252.76,111034.62,186.31,150636.64,28065113.00,在售,商务公寓
1栋E座3402,252.76,110553.63,186.31,149984.09,27943536.00,在售,商务公寓
1栋E座3302,252.76,110072.63,186.31,149331.54,27821960.00,在售,商务公寓
1栋E座3202,252.76,109591.64,186.31,148678.99,27700383.00,在售,商务公寓
1栋E座3102,252.76,109110.64,186.31,148026.44,27578807.00,在售,商务公寓
1栋E座3002,252.76,108629.64,186.31,147373.89,27457230.00,在售,商务公寓
1栋E座2902,252.76,106625.50,186.31,144654.93,26950661.00,在售,商务公寓
1栋E座2702,252.76,106144.50,186.31,144002.38,26829085.00,在售,商务公寓
1栋E座2602,252.76,105663.50,186.31,143349.83,26707508.00,在售,商务公寓
1栋E座2502,252.76,105182.51,186.31,142697.28,26585932.00,在售,商务公寓
1栋E座2402,252.76,104701.51,186.31,142044.73,26464355.00,在售,商务公寓
1栋E座2302,252.76,104220.52,186.31,141392.18,26342779.00,在售,商务公寓
1栋E座2202,252.76,103739.52,186.31,140739.64,26221202.00,在售,商务公寓
1栋E座2102,252.76,103258.52,186.31,140087.09,26099626.00,在售,商务公寓
1栋E座2002,252.76,102777.53,186.31,139434.54,25978049.00,在售,商务公寓
1栋E座1902,252.76,102296.53,186.31,138781.99,25856473.00,在售,商务公寓
1栋E座1802,252.76,101815.54,186.31,138129.44,25734896.00,在售,商务公寓
1栋E座1702,252.76,101334.54,186.31,137476.89,25613320.00,在售,商务公寓
1栋E座1602,252.76,100853.54,186.31,136824.34,25491743.00,在售,商务公寓
1栋E座1502,252.76,100372.55,186.31,136171.79,25370167.00,在售,商务公寓
1栋E座1402,252.76,99891.55,186.31,135519.24,25248590.00,在售,商务公寓
1栋E座1202,252.76,99410.56,186.31,134866.69,25127014.00,在售,商务公寓
1栋E座1102,252.76,98929.56,186.31,134214.14,25005437.00,在售,商务公寓
1栋E座1002,252.76,98448.57,186.31,133561.59,24883861.00,在售,商务公寓
1栋E座902,252.76,97967.57,186.31,132909.04,24762284.00,在售,商务公寓
1栋E座802,252.76,97486.57,186.31,132256.49,24640708.00,在售,商务公寓
1栋E座702,252.76,97005.58,186.31,131603.94,24519131.00,在售,商务公寓
1栋E座602,252.76,96524.58,186.31,130951.39,24397555.00,在售,商务公寓
1栋E座502,252.76,96043.59,186.31,130298.84,24275978.00,在售,商务公寓
1栋E座402,252.76,95562.59,186.31,129646.29,24154402.00,在售,商务公寓
1栋E座4201,252.75,112401.89,186.30,152493.71,28409580.00,在售,商务公寓
