房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋商业162,91.06,200000.00,52.59,346301.57,18212000.00,在售,商业
1栋商业161,28.18,200000.00,16.27,346404.42,5636000.00,在售,商业
1栋商业160,74.75,200000.00,43.18,346225.10,14950000.00,在售,商业
1栋商业159,340.21,200000.00,196.49,346287.34,68042000.00,在售,商业
1栋商业158,180.92,200000.00,104.49,346291.51,36184000.00,在售,商业
1栋商业156,11.15,280000.00,6.44,484782.60,3122000.00,在售,商业
1栋商业153,24.24,200000.00,14.00,346285.71,4848000.00,在售,商业
1栋商业146,152.47,200000.00,88.06,346286.62,30494000.00,在售,商业
1栋商业145,173.08,200000.00,99.96,346298.51,34616000.00,在售,商业
1栋商业144,177.20,200000.00,102.34,346296.65,35440000.00,在售,商业
1栋商业143,121.86,200000.00,70.38,346291.56,24372000.00,在售,商业
1栋商业142,173.87,200000.00,100.42,346285.60,34774000.00,在售,商业
1栋商业141,208.73,200000.00,120.55,346296.14,41746000.00,在售,商业
1栋商业140,357.63,200000.00,206.55,346289.03,71526000.00,在售,商业
1栋商业139,353.42,200000.00,204.12,346286.49,70684000.00,在售,商业
1栋商业138,353.42,200000.00,204.12,346286.49,70684000.00,在售,商业
1栋商业137,235.30,200000.00,135.90,346284.03,47060000.00,在售,商业
1栋商业128,31.82,200000.00,18.38,346245.91,6364000.00,在售,商业
1栋商业126,8.76,280000.00,5.06,484743.08,2452800.00,在售,商业
1栋商业122,62.47,200000.00,36.08,346286.03,12494000.00,在售,商业
1栋商业121,4.19,280000.00,2.42,484793.38,1173200.00,在售,商业
1栋商业120,89.45,200000.00,51.66,346302.74,17890000.00,在售,商业
1栋商业119,59.63,200000.00,34.44,346283.39,11926000.00,在售,商业
1栋商业118,59.63,200000.00,34.44,346283.39,11926000.00,在售,商业
1栋商业117,59.63,200000.00,34.44,346283.39,11926000.00,在售,商业
1栋商业110,134.05,200000.00,77.42,346292.94,26810000.00,在售,商业
1栋商业109,271.04,200000.00,156.54,346288.48,54208000.00,在售,商业
1栋商业108,124.12,200000.00,71.69,346268.65,24824000.00,在售,商业
1栋商业107,325.00,200000.00,187.70,346297.28,65000000.00,在售,商业
1栋商业106,204.99,200000.00,118.40,346266.89,40998000.00,在售,商业
1栋商业105,91.06,200000.00,52.59,346301.57,18212000.00,在售,商业
1栋商业104,28.19,200000.00,16.28,346314.49,5638000.00,在售,商业
1栋商业103,74.75,200000.00,43.18,346225.10,14950000.00,在售,商业
1栋商业102,495.82,200000.00,286.37,346279.28,99164000.00,在售,商业
1栋商业101,180.92,200000.00,104.49,346291.51,36184000.00,在售,商业
1栋商业98,11.14,280000.00,6.44,484347.82,3119200.00,在售,商业
1栋商业94,49.61,200000.00,28.65,346317.62,9922000.00,在售,商业
1栋商业93,18.89,280000.00,10.91,484802.93,5289200.00,在售,商业
1栋商业89,148.35,200000.00,85.68,346288.51,29670000.00,在售,商业
1栋商业88,173.07,200000.00,99.96,346278.51,34614000.00,在售,商业
1栋商业87,177.20,200000.00,102.34,346296.65,35440000.00,在售,商业
1栋商业86,121.86,200000.00,70.38,346291.56,24372000.00,在售,商业
1栋商业84,165.39,200000.00,95.52,346293.96,33078000.00,在售,商业
1栋商业83,73.77,200000.00,42.61,346256.74,14754000.00,在售,商业
1栋商业82,101.55,200000.00,58.65,346291.56,20310000.00,在售,商业
1栋商业81,68.10,200000.00,39.33,346300.53,13620000.00,在售,商业
1栋商业78,210.46,200000.00,121.55,346293.70,42092000.00,在售,商业
1栋商业73,253.05,200000.00,146.15,346288.06,50610000.00,在售,商业
1栋商业72,132.44,200000.00,76.49,346293.63,26488000.00,在售,商业
1栋商业71,173.32,200000.00,100.10,346293.70,34664000.00,在售,商业
1栋商业70,66.45,200000.00,38.38,346274.10,13290000.00,在售,商业
1栋商业63,4.19,280000.00,2.42,484793.38,1173200.00,在售,商业
1栋商业62,89.45,200000.00,51.66,346302.74,17890000.00,在售,商业
1栋商业61,59.63,200000.00,34.44,346283.39,11926000.00,在售,商业
1栋商业60,59.63,200000.00,34.44,346283.39,11926000.00,在售,商业
1栋商业52,127.21,200000.00,73.47,346291.00,25442000.00,在售,商业
1栋商业51,273.72,200000.00,158.09,346283.76,54744000.00,在售,商业
1栋商业50,124.12,200000.00,71.69,346268.65,24824000.00,在售,商业
1栋商业49,325.00,200000.00,187.70,346297.28,65000000.00,在售,商业
1栋商业48,204.99,200000.00,118.39,346296.13,40998000.00,在售,商业
1栋商业47,57.09,200000.00,32.97,346314.83,11418000.00,在售,商业
1栋商业46,54.64,200000.00,31.55,346370.83,10928000.00,在售,商业
1栋商业45,252.05,200000.00,145.57,346293.87,50410000.00,在售,商业
1栋商业33,28.36,200000.00,16.38,346275.94,5672000.00,在售,商业
1栋商业32,135.72,200000.00,78.38,346312.83,27144000.00,在售,商业
1栋商业31,174.59,200000.00,100.83,346305.66,34918000.00,在售,商业
1栋商业30,114.25,200000.00,65.98,346317.06,22850000.00,在售,商业
1栋商业27,303.54,200000.00,175.31,346289.43,60708000.00,在售,商业
1栋商业21,135.07,200000.00,78.01,346288.93,27014000.00,在售,商业
1栋商业20,185.36,200000.00,107.06,346273.11,37072000.00,在售,商业
1栋商业19,97.24,200000.00,56.16,346296.29,19448000.00,在售,商业
1栋商业12,4.19,280000.00,2.42,484793.38,1173200.00,在售,商业
