房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2号楼110,89.10,90737.00,87.46,92438.45,8084667.12,在售,商业
2号楼109,23.03,99215.26,22.61,101058.27,2284927.56,在售,商业
2号楼108,100.56,94360.19,98.71,96128.67,9488861.02,在售,商业
2号楼107,35.50,100374.68,34.85,102246.81,3563301.35,在售,商业
2号楼106,44.94,92765.99,44.11,94511.53,4168903.60,在售,商业
2号楼105,108.45,86708.01,106.45,88337.10,9403484.68,在售,商业
2号楼103,51.57,93780.48,50.63,95521.61,4836259.50,在售,商业
2号楼102,65.40,83374.68,64.20,84933.09,5452704.45,在售,商业
2号楼101,60.43,92186.28,59.32,93911.27,5570816.90,在售,商业
1号楼312,259.02,74045.20,174.87,109676.84,19179189.11,在售,商业
1号楼311,234.60,75045.20,158.76,110894.46,17605605.19,在售,商业
1号楼310,228.96,68045.20,155.91,99927.07,15579630.23,在售,商业
1号楼309,229.24,68045.20,156.07,99946.70,15598682.89,在售,商业
1号楼308,225.79,67795.20,156.56,97773.88,15307479.43,在售,商业
1号楼307,230.66,65045.20,155.76,96323.36,15003327.08,在售,商业
1号楼306,234.07,66045.20,155.27,99563.34,15459201.23,在售,商业
1号楼305,234.95,67795.20,155.91,102164.60,15928483.51,在售,商业
1号楼303,235.93,76545.20,159.86,112969.53,18059310.31,在售,商业
1号楼302,312.90,71545.20,211.74,105726.33,22386494.77,在售,商业
1号楼209,303.37,69690.93,235.62,89729.81,21142138.23,在售,商业
1号楼207,132.37,78262.36,102.81,100764.40,10359588.75,在售,商业
1号楼205,139.83,79214.74,108.60,101994.45,11076597.39,在售,商业
1号楼203,81.08,79690.93,62.97,102609.82,6461340.81,在售,商业
1号楼201,407.44,71595.69,316.45,92181.86,29170949.78,在售,商业
1号楼120,27.23,113838.52,23.25,133325.72,3099823.07,在售,商业
1号楼119,58.17,106031.50,49.66,124201.62,6167852.87,在售,商业
1号楼118,38.11,110154.31,32.53,129049.52,4197980.97,在售,商业
1号楼117,36.16,110856.07,30.88,129810.73,4008555.50,在售,商业
1号楼116,30.58,104645.54,26.11,122560.73,3200060.73,在售,商业
1号楼115,25.76,109084.14,22.00,127727.61,2810007.45,在售,商业
1号楼113,36.16,109628.00,30.87,128414.26,3964148.48,在售,商业
1号楼112,38.11,108926.24,32.53,127610.79,4151179.22,在售,商业
1号楼111,38.11,108926.24,32.53,127610.79,4151179.22,在售,商业
1号楼110,36.16,108399.92,30.87,126975.75,3919741.46,在售,商业
1号楼109,30.88,103838.52,26.37,121597.78,3206533.69,在售,商业
1号楼108,4027.91,93800.00,3280.99,115153.64,377817958.00,在售,商业
2号楼B座3005,115.36,42134.77,89.96,54031.43,4860668.00,在售,住宅
2号楼B座3003,82.26,41431.52,64.15,53127.93,3408157.00,在售,住宅
2号楼B座3002,82.22,41377.18,64.11,53065.54,3402032.00,在售,住宅
2号楼B座3001,115.36,41950.00,89.96,53794.48,4839352.00,在售,住宅
2号楼B座2905,118.88,42145.65,92.73,54030.78,5010275.00,在售,住宅
2号楼B座2903,82.23,41540.21,64.15,53247.88,3415852.00,在售,住宅
2号楼B座2902,82.19,41485.87,64.11,53185.52,3409724.00,在售,住宅
2号楼B座2901,118.88,41977.17,92.73,53814.80,4990247.00,在售,住宅
2号楼B座2805,118.88,42140.21,92.73,54023.82,5009629.00,在售,住宅
2号楼B座2803,82.23,41485.86,64.15,53178.22,3411383.00,在售,住宅
2号楼B座2802,82.19,41431.52,64.11,53115.84,3405257.00,在售,住宅
2号楼B座2801,118.88,41971.73,92.73,53807.82,4989600.00,在售,住宅
2号楼B座2705,118.88,42129.34,92.73,54009.88,5008337.00,在售,住宅
2号楼B座2703,82.23,41431.52,64.15,53108.55,3406914.00,在售,住宅
2号楼B座2702,82.19,41377.17,64.11,53046.17,3400790.00,在售,住宅
2号楼B座2701,118.88,41939.13,92.73,53766.03,4985724.00,在售,住宅
2号楼B座2605,118.88,42123.91,92.73,54002.92,5007691.00,在售,住宅
2号楼B座2603,82.23,41377.17,64.15,53038.89,3402445.00,在售,住宅
2号楼B座2602,82.19,41322.82,64.11,52976.49,3396323.00,在售,住宅
2号楼B座2601,118.88,41917.38,92.73,53738.15,4983139.00,在售,住宅
