房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4座1902,466.05,39990.00,319.49,58334.65,18637339.50,在售,在售
4座1901,594.48,39906.00,407.53,58212.44,23723318.88,在售,在售
4座1806,289.34,39990.00,198.25,58364.21,11570706.60,在售,在售
4座1805,151.70,39911.00,103.94,58249.93,6054498.70,在售,在售
4座1804,122.51,39916.00,83.94,58257.19,4890109.16,在售,在售
4座1803,94.06,39990.00,64.44,58371.49,3761459.40,在售,在售
4座1802,250.27,39990.00,171.47,58367.62,10008297.30,在售,在售
4座1801,149.85,39901.00,102.67,58236.72,5979164.85,在售,在售
4座1706,300.59,39891.00,206.04,58196.63,11990835.69,在售,在售
4座1705,150.21,39990.00,102.97,58336.38,6006897.90,在售,在售
4座1704,122.45,39911.00,83.94,58221.37,4887101.95,在售,在售
4座1703,95.05,39906.00,65.15,58220.49,3793065.30,在售,在售
4座1702,249.63,39990.00,171.12,58337.44,9982703.70,在售,在售
4座1701,142.30,39896.00,97.54,58203.82,5677200.80,在售,在售
4座1606,289.45,39989.64,198.25,58385.89,11575002.70,在售,在售
4座1605,151.76,39990.00,103.94,58388.32,6068882.40,在售,在售
4座1604,122.56,39906.00,83.94,58266.37,4890879.36,在售,在售
4座1603,95.13,39901.00,65.15,58262.19,3795782.13,在售,在售
4座1602,246.88,39990.00,169.08,58390.88,9872731.20,在售,在售
4座1601,149.90,39891.00,102.67,58241.55,5979660.90,在售,在售
4座1506,292.52,39983.55,200.15,58436.12,11695990.12,在售,在售
4座1505,150.39,39990.00,102.90,58446.02,6014096.10,在售,在售
4座1504,122.68,39901.00,83.94,58316.11,4895054.68,在售,在售
4座1503,95.22,39896.00,65.15,58310.00,3798897.12,在售,在售
4座1502,247.15,39990.00,169.11,58444.37,9883528.50,在售,在售
4座1501,142.56,39886.00,97.54,58295.55,5686148.16,在售,在售
4座1406,296.84,39977.06,203.37,58350.74,11866791.84,在售,在售
4座1405,151.71,39891.00,103.94,58224.58,6051863.61,在售,在售
4座1404,121.18,39990.00,83.03,58364.30,4845988.20,在售,在售
4座1403,95.10,39891.00,65.15,58229.22,3793634.10,在售,在售
4座1402,250.28,39990.00,171.47,58369.96,10008697.20,在售,在售
4座1401,142.37,39881.00,97.54,58210.55,5677857.97,在售,在售
4座1306,287.26,39975.43,199.79,57477.06,11483343.46,在售,在售
4座1305,149.44,39886.00,103.94,57346.19,5960563.84,在售,在售
4座1304,120.69,39891.00,83.94,57355.78,4814444.79,在售,在售
4座1303,93.68,39886.00,65.15,57352.57,3736520.48,在售,在售
4座1302,246.03,39990.00,171.12,57496.14,9838739.70,在售,在售
4座1301,147.61,39876.00,102.67,57330.24,5886096.36,在售,在售
4座1206,285.62,39971.03,198.25,57586.51,11416526.92,在售,在售
4座1205,148.26,39990.00,102.90,57618.24,5928917.40,在售,在售
4座1204,120.93,39886.00,83.94,57462.63,4823413.98,在售,在售
4座1203,93.87,39881.00,65.15,57461.69,3743629.47,在售,在售
4座1202,243.61,39999.14,169.08,57630.66,9744192.36,在售,在售
4座1201,140.53,39871.00,97.54,57443.83,5603071.63,在售,在售
4座1106,288.19,39965.09,200.15,57544.54,11517541.59,在售,在售
4座1105,149.66,39876.00,103.94,57416.22,5967842.16,在售,在售
4座1104,120.86,39881.00,83.94,57422.17,4820017.66,在售,在售
4座1103,93.81,39876.00,65.15,57417.76,3740767.56,在售,在售
4座1102,243.48,39990.00,169.11,57576.51,9736765.20,在售,在售
4座1101,140.45,34066.00,97.54,49053.00,4784629.00,在售,在售
4座1006,285.31,39990.00,198.13,57586.16,11409546.90,在售,在售
4座1005,149.67,39871.00,103.94,57412.85,5967492.57,在售,在售
4座1004,119.58,39990.00,83.04,57586.75,4782004.20,在售,在售
4座1003,93.82,39871.00,65.15,57416.68,3740697.22,在售,在售
4座1002,246.92,39987.49,171.47,57582.74,9873712.72,在售,在售
4座1001,140.46,39861.00,97.54,57400.82,5598876.06,在售,在售
4座906,289.50,39954.62,201.34,57449.41,11566864.50,在售,在售
4座905,148.00,39990.00,102.93,57500.43,5918520.00,在售,在售
4座904,120.69,39871.00,83.94,57327.03,4812030.99,在售,在售
4座903,93.68,39866.00,65.15,57323.82,3734646.88,在售,在售
4座902,244.87,39990.00,170.30,57500.59,9792351.30,在售,在售
4座901,147.62,39856.00,102.67,57305.37,5883542.72,在售,在售
4座806,285.33,39990.00,198.00,57628.01,11410346.70,在售,在售
4座805,148.32,39990.00,102.93,57624.76,5931316.80,在售,在售
4座804,120.96,39866.00,83.94,57448.07,4822191.36,在售,在售
4座803,93.89,39861.00,65.15,57445.11,3742549.29,在售,在售
4座802,242.62,39990.00,168.36,57628.73,9702373.80,在售,在售
4座801,140.56,39851.00,97.54,57427.27,5601456.56,在售,在售
4座706,289.53,39990.00,201.10,57574.86,11578304.70,在售,在售
4座705,148.62,39990.00,103.22,57579.09,5943313.80,在售,在售
4座704,120.85,39861.00,83.94,57388.63,4817201.85,在售,在售
4座703,92.78,39990.00,64.44,57577.16,3710272.20,在售,在售
4座702,244.51,39973.69,169.83,57551.48,9773968.01,在售,在售
4座701,140.44,39846.00,97.54,57371.05,5595972.24,在售,在售
4座606,285.39,39990.00,198.00,57640.13,11412746.10,在售,在售
4座605,148.35,39990.00,102.93,57636.41,5932516.50,在售,在售
4座604,120.98,39856.00,83.94,57443.16,4821778.88,在售,在售
4座603,92.63,39990.00,64.27,57636.12,3704273.70,在售,在售
4座602,242.66,39990.00,168.36,57638.23,9703973.40,在售,在售
4座601,140.59,39841.00,97.54,57425.11,5601246.19,在售,在售
4座506,289.53,39990.00,201.10,57574.86,11578304.70,在售,在售
4座505,148.62,39990.00,103.22,57579.09,5943313.80,在售,在售
4座504,120.85,39851.00,83.94,57374.23,4815993.35,在售,在售
4座503,92.78,39990.00,64.44,57577.16,3710272.20,在售,在售
4座502,244.51,39963.69,169.83,57537.08,9771522.91,在售,在售
4座501,140.44,39836.00,97.54,57356.65,5594567.84,在售,在售
4座405,311.10,39826.00,215.97,57368.47,12389868.60,在售,在售
4座404,266.91,39990.00,185.29,57605.54,10673730.90,在售,在售
4座403,89.77,39990.00,62.32,57604.33,3589902.30,在售,在售
4座401,117.92,39831.00,81.87,57369.87,4696871.52,在售,在售
3座1501,463.38,39995.00,345.71,53608.17,18532883.10,在售,在售
3座1401,463.50,39994.00,345.80,53606.76,18537219.00,在售,在售
3座1301,458.50,39993.00,342.05,53608.50,18336790.50,在售,在售
3座1201,463.50,39992.00,345.80,53604.08,18536292.00,在售,在售
3座1101,463.38,39991.00,345.71,53602.81,18531029.58,在售,在售
3座1001,458.50,39990.00,342.05,53604.48,18335415.00,在售,在售
3座901,458.50,39989.00,342.05,53603.14,18334956.50,在售,在售
3座801,458.50,39988.00,342.05,53601.80,18334498.00,在售,在售
3座701,458.50,39987.00,342.05,53600.46,18334039.50,在售,在售
3座601,458.50,39986.00,342.05,53599.12,18333581.00,在售,在售
3座501,458.50,39985.00,342.05,53597.78,18333122.50,在售,在售
3座401,458.50,39984.00,342.05,53596.44,18332664.00,在售,在售
2座1601,253.79,39997.00,193.64,52421.18,10150838.63,在售,在售
2座1501,505.55,39996.00,389.85,51866.04,20219977.80,在售,在售
2座1401,505.70,39995.00,389.97,51864.17,20225471.50,在售,在售
2座1301,505.57,39994.00,389.86,51864.17,20219766.58,在售,在售
