房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
343,417.10,30300.00,278.27,45416.78,12638130.00,在售,商业
342,117.42,21000.00,78.34,31475.87,2465820.00,在售,商业
341,392.12,30300.00,261.61,45415.83,11881236.00,在售,商业
340,166.29,41700.00,110.94,62504.89,6934293.00,在售,商业
339,14.99,24000.00,10.00,35976.00,359760.00,在售,商业
338,43.17,24000.00,28.80,35975.00,1036080.00,在售,商业
337,66.89,34500.00,44.62,51719.07,2307705.00,在售,商业
336,28.91,24000.00,19.29,35968.89,693840.00,在售,商业
335,97.40,32700.00,64.98,49014.77,3184980.00,在售,商业
334,29.98,37200.00,20.00,55762.80,1115256.00,在售,商业
333,9.25,37200.00,6.17,55769.85,344100.00,在售,商业
332,25.11,21000.00,16.75,31481.19,527310.00,在售,商业
331,241.39,37200.00,161.05,55757.26,8979708.00,在售,商业
330,221.62,27600.00,147.86,41368.26,6116712.00,在售,商业
329,25.11,21000.00,16.75,31481.19,527310.00,在售,商业
327,299.71,27600.00,199.96,41368.25,8271996.00,在售,商业
326,91.91,21000.00,61.32,31476.02,1930110.00,在售,商业
325,513.67,31500.00,342.70,47215.07,16180605.00,在售,商业
324,236.85,30600.00,158.01,45868.04,7247610.00,在售,商业
323,264.04,30600.00,176.16,45865.25,8079624.00,在售,商业
322,27.68,21000.00,18.47,31471.57,581280.00,在售,商业
321,32.89,23700.00,21.94,35528.39,779493.00,在售,商业
320,42.36,23700.00,28.26,35524.84,1003932.00,在售,商业
319,28.35,21000.00,18.91,31483.34,595350.00,在售,商业
318,28.35,21000.00,18.91,31483.34,595350.00,在售,商业
317,42.36,23700.00,28.26,35524.84,1003932.00,在售,商业
316,36.98,31200.00,24.67,46768.38,1153776.00,在售,商业
315,54.30,31200.00,36.23,46761.24,1694160.00,在售,商业
314,55.16,29400.00,36.80,44068.04,1621704.00,在售,商业
313,47.49,29100.00,31.68,43622.44,1381959.00,在售,商业
312,48.92,28800.00,32.64,43164.70,1408896.00,在售,商业
311,46.90,28500.00,31.29,42718.12,1336650.00,在售,商业
310,59.67,28200.00,39.81,42268.12,1682694.00,在售,商业
309,144.58,27900.00,96.45,41822.51,4033782.00,在售,商业
308,47.69,29700.00,31.81,44526.65,1416393.00,在售,商业
307,42.29,29700.00,28.21,44523.67,1256013.00,在售,商业
306,43.57,29700.00,29.07,44514.24,1294029.00,在售,商业
305,43.40,29700.00,28.95,44524.35,1288980.00,在售,商业
304,53.78,29700.00,35.88,44516.88,1597266.00,在售,商业
303,60.24,29700.00,40.19,44516.74,1789128.00,在售,商业
302,53.11,29700.00,35.43,44520.66,1577367.00,在售,商业
301,268.85,30600.00,179.36,45867.58,8226810.00,在售,商业
244,716.33,46800.00,465.32,72045.56,33524244.00,在售,商业
243,410.96,45000.00,266.95,69275.89,18493200.00,在售,商业
242,156.15,56250.00,101.43,86596.05,8783438.00,在售,商业
241,97.09,56700.00,63.07,87284.01,5505003.00,在售,商业
240,179.24,56250.00,116.43,86594.94,10082250.00,在售,商业
239,58.75,32400.00,38.16,49882.07,1903500.00,在售,商业
238,154.87,32400.00,100.60,49878.60,5017788.00,在售,商业
237,43.29,32400.00,28.12,49878.94,1402596.00,在售,商业
236,155.88,47250.00,101.26,72736.81,7365330.00,在售,商业
235,206.19,32400.00,133.94,49877.22,6680556.00,在售,商业
234,76.30,63000.00,49.56,96991.52,4806900.00,在售,商业
233,54.31,63000.00,35.28,96982.14,3421530.00,在售,商业
232,65.95,63000.00,42.84,96985.29,4154850.00,在售,商业
231,99.71,63000.00,64.77,96985.17,6281730.00,在售,商业
230,188.99,63000.00,122.76,96989.00,11906370.00,在售,商业
229,55.47,45000.00,36.04,69260.54,2496150.00,在售,商业
228,31.40,36000.00,20.40,55411.76,1130400.00,在售,商业
227,46.93,36000.00,30.49,55410.95,1689480.00,在售,商业
226,44.34,36000.00,28.80,55425.00,1596240.00,在售,商业
225,109.34,42750.00,71.03,65807.19,4674285.00,在售,商业
224,130.67,42750.00,84.88,65812.24,5586143.00,在售,商业
223,283.34,49500.00,184.05,76203.91,14025330.00,在售,商业
222,313.21,49500.00,203.46,76201.19,15503895.00,在售,商业
221,23.86,45000.00,15.50,69270.96,1073700.00,在售,商业
220,22.51,31500.00,14.62,48499.65,709065.00,在售,商业
219,60.89,31500.00,39.55,48496.46,1918035.00,在售,商业
218,300.44,46800.00,195.16,72046.48,14060592.00,在售,商业
217,270.78,46800.00,175.90,72043.79,12672504.00,在售,商业
216,225.90,46800.00,146.74,72046.61,10572120.00,在售,商业
215,270.27,46800.00,175.56,72047.36,12648636.00,在售,商业
214,58.86,44550.00,38.24,68572.51,2622213.00,在售,商业
213,34.94,31500.00,22.70,48485.02,1100610.00,在售,商业
212,51.72,31500.00,33.60,48487.50,1629180.00,在售,商业
211,61.94,44550.00,40.23,68591.27,2759427.00,在售,商业
210,111.81,63000.00,72.63,96985.13,7044030.00,在售,商业
209,48.68,63000.00,31.62,96990.51,3066840.00,在售,商业
208,245.60,56250.00,159.54,86592.70,13815000.00,在售,商业
207,235.36,56250.00,152.88,86597.33,13239000.00,在售,商业
206,66.98,58500.00,43.51,90055.84,3918330.00,在售,商业
205,38.62,56700.00,25.09,87275.96,2189754.00,在售,商业
204,38.42,56250.00,24.96,86583.53,2161125.00,在售,商业
203,102.16,49500.00,66.36,76204.33,5056920.00,在售,商业
202,134.12,44550.00,87.13,68576.21,5975046.00,在售,商业
201,230.93,46350.00,150.01,71352.61,10703606.00,在售,商业
145,247.41,97500.00,204.13,118172.12,24122475.00,在售,商业
144,39.87,75750.00,32.89,91825.87,3020153.00,在售,商业
143,54.40,75750.00,44.88,91818.18,4120800.00,在售,商业
142,72.60,75750.00,59.90,91810.51,5499450.00,在售,商业
141,88.77,72750.00,73.24,88176.10,6458018.00,在售,商业
140,129.09,71250.00,106.51,86354.92,9197663.00,在售,商业
139,69.85,73500.00,57.63,89085.11,5133975.00,在售,商业
