房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋5号楼半地下商业01层123,119.48,13680.00,116.00,14090.00,1634486.00,在售,商业
1栋5号楼半地下商业01层122,59.74,13679.00,58.00,14090.00,817220.00,在售,商业
1栋5号楼半地下商业01层121,59.74,13680.00,58.00,14090.00,817243.00,在售,商业
1栋5号楼半地下商业01层120,60.86,13680.00,59.09,14089.00,832564.00,在售,商业
1栋5号楼半地下商业01层119,60.88,13680.00,59.10,14092.00,832838.00,在售,商业
1栋5号楼半地下商业01层118,58.38,13680.00,56.68,14090.00,798638.00,在售,商业
1栋5号楼半地下商业01层117,39.21,13680.00,38.07,14089.00,536392.00,在售,商业
1栋5号楼半地下商业01层116,194.09,13680.00,188.44,14090.00,2655151.00,在售,商业
1栋5号楼半地下商业01层115,95.58,13680.00,92.80,14089.00,1307534.00,在售,商业
1栋5号楼半地下商业01层114,53.68,13680.00,52.12,14089.00,734342.00,在售,商业
1栋5号楼半地下商业01层112,212.74,13680.00,206.55,14089.00,2910283.00,在售,商业
1栋5号楼半地下商业01层111,136.15,13680.00,110.57,16844.00,1862532.00,在售,商业
1栋裙楼商业02层208,1180.52,9000.00,935.55,11356.00,10624680.00,在售,商业
1栋裙楼商业02层202,3265.62,7638.00,2587.97,9637.00,24942805.00,在售,商业
1栋裙楼商业02层201,374.00,29727.00,296.39,37511.04,11117898.00,在售,商业
1栋裙楼商业01层108,1040.95,10000.00,834.36,12476.00,10409500.00,在售,商业
1栋裙楼商业01层102,3052.80,7637.00,2446.92,9529.00,23316700.00,在售,商业
1栋裙楼商业01层101,3576.49,29727.00,2866.68,37087.61,106318318.23,在售,商业
1栋半地下临街商铺02层228,34.10,45000.00,33.14,46303.56,1534500.00,在售,商业
1栋半地下临街商铺02层227,158.80,40000.00,154.33,41158.55,6352000.00,在售,商业
1栋半地下临街商铺02层226,48.70,50000.00,47.33,51447.28,2435000.00,在售,商业
1栋半地下临街商铺02层225,20.69,50000.00,20.11,51442.06,1034500.00,在售,商业
1栋半地下临街商铺02层224,127.60,40000.00,124.01,41157.97,5104000.00,在售,商业
1栋半地下临街商铺02层210,150.11,13679.00,145.89,14075.00,2053401.00,在售,商业
1栋半地下临街商铺02层209,105.30,13680.00,102.34,14075.00,1440504.00,在售,商业
1栋半地下临街商铺02层207,40.08,45000.00,38.95,46305.51,1803600.00,在售,商业
1栋半地下临街商铺02层206,45.96,45000.00,44.67,46299.52,2068200.00,在售,商业
1栋半地下临街商铺02层205,72.96,45000.00,70.91,46300.94,3283200.00,在售,商业
1栋半地下临街商铺02层204,165.86,45000.00,161.19,46303.74,7463700.00,在售,商业
1栋半地下临街商铺02层203,40.17,45000.00,39.04,46302.51,1807650.00,在售,商业
1栋半地下临街商铺01层112,86.43,13680.00,84.00,14075.00,1182362.00,在售,商业
1栋半地下临街商铺01层111,61.74,13680.00,60.00,14076.00,844603.00,在售,商业
1栋半地下临街商铺01层110,36.53,50000.00,35.50,51450.70,1826500.00,在售,商业
1栋半地下临街商铺01层109,48.36,50000.00,47.00,51446.80,2418000.00,在售,商业
1栋半地下临街商铺01层108,49.39,50000.00,48.00,51447.91,2469500.00,在售,商业
1栋半地下临街商铺01层107,48.36,50000.00,47.00,51446.80,2418000.00,在售,商业
1栋半地下临街商铺01层106,38.84,50000.00,37.75,51443.70,1942000.00,在售,商业
1栋半地下临街商铺01层105,63.02,50000.00,61.25,51444.89,3151000.00,在售,商业
1栋半地下临街商铺01层104,96.90,50000.00,94.18,51444.04,4845000.00,在售,商业
1栋半地下临街商铺01层103,60.42,50000.00,58.72,51447.54,3021000.00,在售,商业
1栋半地下商业02层208,984.45,11400.00,788.98,14224.00,11222730.00,在售,商业
1栋半地下商业02层202,3369.32,7637.00,2700.30,9530.00,25733859.00,在售,商业
1栋半地下商业02层201,2665.51,33030.00,2136.24,41213.43,88041795.30,在售,商业
1栋半地下商业01层102,1636.84,7637.00,1314.67,9509.00,12501197.00,在售,商业
1栋半地下商业01层101,2096.31,36700.00,1683.70,45693.75,76934577.00,在售,商业
