房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
27L,122.58,65517.40,98.83,81262.00,8031124.05,在售,在售
27K,104.42,69590.90,84.19,86312.89,7266682.76,在售,在售
27J,55.88,77103.41,45.06,95617.82,4308538.99,在售,在售
27I,121.74,64338.55,98.16,79793.96,7832575.11,在售,在售
27H,81.50,68288.83,65.71,84698.52,5565540.31,在售,在售
27G,81.95,68438.82,66.07,84888.17,5608562.00,在售,在售
27F,122.58,63340.75,98.83,78562.27,7764309.70,在售,在售
27E,104.42,66597.27,84.19,82599.91,6954087.05,在售,在售
27D,55.88,76195.00,45.06,94491.27,4257777.02,在售,在售
27C,121.74,67883.06,98.16,84189.93,8264084.37,在售,在售
27B,81.50,73288.98,65.71,90900.20,5973052.22,在售,在售
27A,81.95,73438.97,66.07,91090.11,6018323.91,在售,在售
26L,122.58,65617.40,98.83,81386.03,8043382.05,在售,在售
26K,104.42,69690.90,84.19,86436.92,7277124.76,在售,在售
26J,55.88,77203.41,45.06,95741.83,4314126.99,在售,在售
26I,121.74,64438.55,98.16,79917.98,7844749.11,在售,在售
26H,81.50,68388.83,65.71,84822.55,5573690.31,在售,在售
26G,81.95,68538.82,66.07,85012.21,5616757.00,在售,在售
26F,122.58,63440.75,98.83,78686.30,7776567.70,在售,在售
26E,104.42,66697.27,84.19,82723.94,6964529.05,在售,在售
26D,55.88,76295.00,45.06,94615.29,4263365.02,在售,在售
26C,121.74,67983.06,98.16,84313.96,8276258.37,在售,在售
26B,81.50,73388.98,65.71,91024.23,5981202.22,在售,在售
26A,81.95,73538.97,66.07,91214.15,6026518.91,在售,在售
25L,122.58,65417.40,98.83,81137.97,8018866.05,在售,在售
25K,104.42,69490.90,84.19,86188.86,7256240.76,在售,在售
25J,55.88,77003.41,45.06,95493.80,4302950.99,在售,在售
25I,121.74,64238.55,98.16,79669.93,7820401.11,在售,在售
25H,81.50,68188.83,65.71,84574.49,5557390.31,在售,在售
25G,81.95,68338.82,66.07,84764.14,5600367.00,在售,在售
25F,122.58,63240.75,98.83,78438.24,7752051.70,在售,在售
25E,104.42,66497.27,84.19,82475.88,6943645.05,在售,在售
25D,55.88,76095.00,45.06,94367.26,4252189.02,在售,在售
25C,121.74,67783.06,98.16,84065.91,8251910.37,在售,在售
25B,81.50,73188.98,65.71,90776.17,5964902.22,在售,在售
25A,81.95,73338.97,66.07,90966.08,6010128.91,在售,在售
24L,122.58,65357.40,98.83,81063.55,8011511.25,在售,在售
24K,104.42,69430.90,84.19,86114.45,7249975.56,在售,在售
24J,55.88,76943.41,45.06,95419.40,4299598.19,在售,在售
24I,121.74,64178.55,98.16,79595.52,7813096.71,在售,在售
24H,81.50,68128.83,65.71,84500.08,5552500.31,在售,在售
24G,81.95,68278.82,66.07,84689.72,5595450.00,在售,在售
24F,122.58,63180.75,98.83,78363.82,7744696.90,在售,在售
24E,104.42,66437.27,84.19,82401.47,6937379.85,在售,在售
24D,55.88,76035.00,45.06,94292.85,4248836.22,在售,在售
