房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
二期南区1栋L座32E,112.59,61701.96,90.50,76762.69,6947024.00,已产权备案,待售
二期南区1栋L座32D,112.58,61921.29,90.50,77028.71,6971099.00,已产权备案,待售
二期南区1栋L座32C,86.46,59015.16,69.50,73416.56,5102451.00,已产权备案,待售
二期南区1栋L座32B,86.95,55670.36,69.89,69259.37,4840538.00,已产权备案,待售
二期南区1栋L座32A,85.51,55834.86,68.74,69456.48,4774439.00,已产权备案,待售
二期南区1栋L座31E,112.59,62305.12,90.50,77513.08,7014934.00,已产权备案,待售
二期南区1栋L座31D,112.58,62524.45,90.50,77779.03,7039003.00,已产权备案,待售
二期南区1栋L座31C,86.46,59618.32,69.50,74166.90,5154600.00,已产权备案,待售
二期南区1栋L座31B,86.95,56273.52,69.89,70009.77,4892983.00,已产权备案,待售
二期南区1栋L座31A,85.51,56438.01,68.74,70206.79,4826015.00,已产权备案,待售
二期南区1栋L座30E,112.59,63237.27,90.50,78672.76,7119885.00,已产权备案,待售
二期南区1栋L座30D,112.58,63456.60,90.50,78938.61,7143945.00,已产权备案,待售
二期南区1栋L座30C,86.46,60550.47,69.50,75326.53,5235194.00,已产权备案,待售
二期南区1栋L座30B,86.95,57205.68,69.89,71169.46,4974034.00,已产权备案,待售
二期南区1栋L座30A,85.51,57370.17,68.74,71366.36,4905724.00,已产权备案,待售
二期南区1栋L座29E,112.59,63621.11,90.50,79150.28,7163101.00,已产权备案,待售
二期南区1栋L座29D,112.58,63840.44,90.50,79416.09,7187157.00,已产权备案,待售
二期南区1栋L座29C,86.46,60934.30,69.50,75804.02,5268380.00,已产权备案,待售
二期南区1栋L座29B,86.95,57589.51,69.89,71646.98,5007408.00,已产权备案,待售
二期南区1栋L座29A,85.51,57754.00,68.74,71843.83,4938545.00,已产权备案,待售
二期南区1栋L座28E,112.59,66088.57,90.50,82220.03,7440913.00,已产权备案,待售
二期南区1栋L座28D,112.58,66307.91,90.50,82485.58,7464945.00,已产权备案,待售
二期南区1栋L座28C,86.46,63401.78,69.50,78873.64,5481718.00,已产权备案,待售
二期南区1栋L座28B,86.95,60056.98,69.89,74716.76,5221955.00,已产权备案,待售
二期南区1栋L座28A,85.51,60221.48,68.74,74913.28,5149539.00,已产权备案,待售
二期南区1栋L座27E,112.59,65935.04,90.50,82029.02,7423627.00,已产权备案,待售
二期南区1栋L座27D,112.58,66154.37,90.50,82294.58,7447660.00,已产权备案,待售
二期南区1栋L座27C,86.46,63248.24,69.50,78682.63,5468443.00,已产权备案,待售
二期南区1栋L座27B,86.95,59925.38,69.89,74553.04,5210512.00,已产权备案,待售
二期南区1栋L座27A,85.51,60089.88,68.74,74749.57,5138286.00,已产权备案,待售
二期南区1栋L座26E,112.59,65781.51,90.50,81838.02,7406341.00,已产权备案,待售
二期南区1栋L座26D,112.58,66000.84,90.50,82103.59,7430375.00,已产权备案,待售
