房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
23栋01C,132.96,71807.00,126.62,75402.00,9547459.00,在售,住宅
23栋01B,119.89,66275.00,114.19,69583.00,7945710.00,在售,住宅
23栋01A,142.11,72676.00,135.34,76311.00,10327986.00,在售,住宅
22栋C单元03F2,89.07,57801.00,79.36,64873.00,5148335.00,在售,住宅
22栋C单元03E2,89.07,55301.00,79.36,62067.00,4925660.00,在售,住宅
22栋B单元03D2,88.46,55301.00,79.36,61642.00,4891926.00,在售,住宅
22栋B单元03C2,88.46,55301.00,79.36,61642.00,4891926.00,在售,住宅
22栋A单元03B2,89.07,55301.00,79.36,62067.00,4925660.00,在售,住宅
22栋A单元03A2,89.07,56601.00,79.36,63526.00,5041451.00,在售,住宅
22栋C单元01F1,89.43,68044.00,79.69,76361.00,6085175.00,在售,住宅
22栋C单元01E1,89.43,65544.00,79.69,73555.00,5861600.00,在售,住宅
22栋B单元01D1,88.82,64544.00,79.69,71939.00,5732798.00,在售,住宅
22栋B单元01C1,88.82,64544.00,79.69,71939.00,5732798.00,在售,住宅
22栋A单元01B1,89.44,64544.00,79.69,72441.00,5772815.00,在售,住宅
22栋A单元01A1,89.44,65844.00,79.69,73900.00,5889087.00,在售,住宅
21栋C单元03F2,88.92,56801.00,79.36,63643.00,5050745.00,在售,住宅
21栋C单元03E2,88.92,54301.00,79.36,60842.00,4828445.00,在售,住宅
21栋B单元03D2,88.46,54301.00,79.36,60528.00,4803466.00,在售,住宅
21栋B单元03C2,88.46,54301.00,79.36,60528.00,4803466.00,在售,住宅
21栋A单元03B2,89.07,54301.00,79.36,60945.00,4836590.00,在售,住宅
21栋A单元03A2,89.07,56601.00,79.36,63526.00,5041451.00,在售,住宅
21栋C单元01F1,89.28,61544.00,79.69,68950.00,5494648.00,在售,住宅
21栋C单元01E1,89.28,59044.00,79.69,66149.00,5271448.00,在售,住宅
21栋B单元01D1,88.82,59044.00,79.69,65809.00,5244288.00,在售,住宅
21栋B单元01C1,88.82,59044.00,79.69,65809.00,5244288.00,在售,住宅
21栋A单元01B1,89.44,59044.00,79.69,66268.00,5280895.00,在售,住宅
21栋A单元01A1,89.44,61344.00,79.69,68849.00,5486607.00,在售,住宅
20栋D单元03H2,89.05,56801.00,79.44,63672.00,5058129.00,在售,住宅
20栋D单元03G2,89.05,54301.00,79.44,60870.00,4835504.00,在售,住宅
20栋C单元03F2,88.51,54301.00,79.44,60501.00,4806182.00,在售,住宅
20栋C单元03E2,88.51,54301.00,79.44,60501.00,4806182.00,在售,住宅
20栋B单元03D2,88.51,54301.00,79.44,60501.00,4806182.00,在售,住宅
20栋B单元03C2,88.51,54301.00,79.44,60501.00,4806182.00,在售,住宅
20栋A单元03B2,89.05,54301.00,79.44,60870.00,4835504.00,在售,住宅
20栋A单元03A2,89.05,55601.00,79.44,62327.00,4951269.00,在售,住宅
20栋D单元01H1,89.79,59044.00,80.10,66187.00,5301561.00,在售,住宅
20栋D单元01G1,89.79,56544.00,80.10,63384.00,5077086.00,在售,住宅
20栋C单元01F1,89.25,56544.00,80.10,63003.00,5046552.00,在售,住宅
20栋C单元01E1,89.25,56544.00,80.10,63003.00,5046552.00,在售,住宅
20栋B单元01D1,89.24,56544.00,80.10,62996.00,5045987.00,在售,住宅
20栋B单元01C1,89.24,56544.00,80.10,62996.00,5045987.00,在售,住宅
20栋A单元01B1,89.79,56544.00,80.10,63384.00,5077086.00,在售,住宅
20栋A单元01A1,89.79,57844.00,80.10,64842.00,5193813.00,在售,住宅
19栋C单元03F2,89.07,58301.00,79.36,65434.00,5192870.00,在售,住宅
19栋C单元03E2,89.07,55801.00,79.36,62628.00,4970195.00,在售,住宅
19栋B单元03D2,88.46,55801.00,79.36,62200.00,4936156.00,在售,住宅
19栋B单元03C2,88.46,55801.00,79.36,62200.00,4936156.00,在售,住宅
19栋A单元03B2,89.07,55801.00,79.36,62628.00,4970195.00,在售,住宅
19栋A单元03A2,89.07,58101.00,79.36,65210.00,5175056.00,在售,住宅
19栋C单元01F1,89.43,63044.00,79.69,70749.00,5638025.00,在售,住宅
19栋C单元01E1,89.43,60544.00,79.69,67944.00,5414450.00,在售,住宅
19栋B单元01D1,88.82,60544.00,79.69,67480.00,5377518.00,在售,住宅
19栋B单元01C1,88.82,60544.00,79.69,67480.00,5377518.00,在售,住宅
19栋A单元01B1,89.44,60544.00,79.69,67951.00,5415055.00,在售,住宅
19栋A单元01A1,89.44,62844.00,79.69,70533.00,5620767.00,在售,住宅
18栋C单元03F2,89.07,58301.00,79.36,65434.00,5192870.00,在售,住宅
18栋C单元03E2,89.07,55801.00,79.36,62628.00,4970195.00,在售,住宅
18栋B单元03D2,88.46,55801.00,79.36,62200.00,4936156.00,在售,住宅
18栋B单元03C2,88.46,55801.00,79.36,62200.00,4936156.00,在售,住宅
18栋A单元03B2,89.07,55801.00,79.36,62628.00,4970195.00,在售,住宅
18栋A单元03A2,89.07,58101.00,79.36,65210.00,5175056.00,在售,住宅
18栋C单元01F1,89.43,67044.00,79.69,75238.00,5995745.00,在售,住宅
18栋C单元01E1,89.43,64544.00,79.69,72433.00,5772170.00,在售,住宅
18栋B单元01D1,88.82,64544.00,79.69,71939.00,5732798.00,在售,住宅
18栋B单元01C1,88.82,64544.00,79.69,71939.00,5732798.00,在售,住宅
18栋A单元01B1,89.44,64544.00,79.69,72441.00,5772815.00,在售,住宅
18栋A单元01A1,89.44,66844.00,79.69,75022.00,5978527.00,在售,住宅
17栋C单元03F2,89.07,58301.00,79.36,65434.00,5192870.00,在售,住宅
17栋C单元03E2,89.07,55801.00,79.36,62628.00,4970195.00,在售,住宅
17栋B单元03D2,88.46,55801.00,79.36,62200.00,4936156.00,在售,住宅
17栋B单元03C2,88.46,55801.00,79.36,62200.00,4936156.00,在售,住宅
17栋A单元03B2,89.07,55801.00,79.36,62628.00,4970195.00,在售,住宅
17栋A单元03A2,89.07,58101.00,79.36,65210.00,5175056.00,在售,住宅
17栋C单元01F1,89.43,68044.00,79.69,76361.00,6085175.00,在售,住宅
17栋C单元01E1,89.43,65544.00,79.69,73555.00,5861600.00,在售,住宅
17栋B单元01D1,88.82,65544.00,79.69,73053.00,5821618.00,在售,住宅
17栋B单元01C1,88.82,65544.00,79.69,73053.00,5821618.00,在售,住宅
17栋A单元01B1,89.44,65544.00,79.69,73563.00,5862255.00,在售,住宅
17栋A单元01A1,89.44,67844.00,79.69,76145.00,6067967.00,在售,住宅
16栋C单元03F2,89.07,58301.00,79.45,65360.00,5192870.00,在售,住宅
16栋C单元03E2,89.07,55801.00,79.45,62558.00,4970195.00,在售,住宅
16栋B单元03D2,88.53,55801.00,79.45,62178.00,4940063.00,在售,住宅
16栋B单元03C2,88.53,55801.00,79.45,62178.00,4940063.00,在售,住宅
16栋A单元03B2,89.07,55801.00,79.45,62558.00,4970195.00,在售,住宅
16栋A单元03A2,89.07,58101.00,79.45,65136.00,5175056.00,在售,住宅
16栋C单元01F1,89.79,66544.00,80.10,74594.00,5974986.00,在售,住宅
16栋C单元01E1,89.79,64044.00,80.10,71792.00,5750511.00,在售,住宅
16栋B单元01D1,89.26,64044.00,80.10,71368.00,5716567.00,在售,住宅
16栋B单元01C1,89.25,64044.00,80.10,71360.00,5715927.00,在售,住宅
16栋A单元01B1,89.79,64044.00,80.10,71792.00,5750511.00,在售,住宅
16栋A单元01A1,89.79,66344.00,80.10,74370.00,5957028.00,在售,住宅
15栋01F,173.96,85467.00,163.49,90940.00,14867839.00,在售,住宅
15栋01E,173.96,81467.00,163.49,86684.00,14171999.00,在售,住宅
15栋01D,173.96,81467.00,163.49,86684.00,14171999.00,在售,住宅
15栋01C,173.96,81467.00,163.49,86684.00,14171999.00,在售,住宅
15栋01B,173.96,81467.00,163.49,86684.00,14171999.00,在售,住宅
15栋01A,173.96,85467.00,163.49,90940.00,14867839.00,在售,住宅
14栋B单元06D,89.90,52633.00,77.73,60874.00,4731707.00,在售,住宅
14栋B单元06C,89.90,52133.00,77.73,60295.00,4686757.00,在售,住宅
14栋B单元05D,89.90,52383.00,77.73,60584.00,4709232.00,在售,住宅
14栋B单元05C,89.90,51883.00,77.73,60006.00,4664282.00,在售,住宅
14栋B单元04D,89.90,52133.00,77.73,60295.00,4686757.00,在售,住宅
14栋B单元04C,89.90,51633.00,77.73,59717.00,4641807.00,在售,住宅
14栋B单元03D,89.90,51883.00,77.73,60006.00,4664282.00,在售,住宅
14栋B单元03C,89.90,51383.00,77.73,59428.00,4619332.00,在售,住宅
14栋B单元02D,89.90,51633.00,77.73,59717.00,4641807.00,在售,住宅
14栋B单元02C,89.90,51133.00,77.73,59139.00,4596857.00,在售,住宅
14栋B单元01D,89.90,52383.00,77.73,60584.00,4709232.00,在售,住宅
14栋B单元01C,89.90,51883.00,77.73,60006.00,4664282.00,在售,住宅
14栋A单元06B,89.90,52133.00,77.73,60295.00,4686757.00,在售,住宅
14栋A单元06A,89.91,52933.00,77.73,61227.00,4759206.00,在售,住宅
14栋A单元05B,89.90,51883.00,77.73,60006.00,4664282.00,在售,住宅
14栋A单元05A,89.91,52683.00,77.73,60938.00,4736729.00,在售,住宅
14栋A单元04B,89.90,51633.00,77.73,59717.00,4641807.00,在售,住宅
14栋A单元04A,89.91,52433.00,77.73,60649.00,4714251.00,在售,住宅
14栋A单元03B,89.90,51383.00,77.73,59428.00,4619332.00,在售,住宅
14栋A单元03A,89.91,52183.00,77.73,60360.00,4691774.00,在售,住宅
14栋A单元02B,89.90,51133.00,77.73,59139.00,4596857.00,在售,住宅
14栋A单元02A,89.91,51933.00,77.73,60071.00,4669296.00,在售,住宅
14栋A单元01B,89.90,51883.00,77.73,60006.00,4664282.00,在售,住宅
14栋A单元01A,89.91,52683.00,77.73,60938.00,4736729.00,在售,住宅
13栋B单元06D,89.90,52933.00,77.73,61221.00,4758677.00,在售,住宅
13栋B单元06C,89.90,52133.00,77.73,60295.00,4686757.00,在售,住宅
13栋B单元05D,89.90,52683.00,77.73,60931.00,4736202.00,在售,住宅
13栋B单元05C,89.90,51883.00,77.73,60006.00,4664282.00,在售,住宅
13栋B单元04D,89.90,52433.00,77.73,60642.00,4713727.00,在售,住宅
13栋B单元04C,89.90,51633.00,77.73,59717.00,4641807.00,在售,住宅
13栋B单元03D,89.90,52183.00,77.73,60353.00,4691252.00,在售,住宅
13栋B单元03C,89.90,51383.00,77.73,59428.00,4619332.00,在售,住宅
13栋B单元02D,89.90,51933.00,77.73,60064.00,4668777.00,在售,住宅
13栋B单元02C,89.90,51133.00,77.73,59139.00,4596857.00,在售,住宅
13栋B单元01D,89.90,52683.00,77.73,60931.00,4736202.00,在售,住宅
13栋B单元01C,89.90,51883.00,77.73,60006.00,4664282.00,在售,住宅
13栋A单元06B,89.90,52133.00,77.73,60295.00,4686757.00,在售,住宅
13栋A单元06A,89.91,52633.00,77.73,60880.00,4732233.00,在售,住宅
13栋A单元05B,89.90,51883.00,77.73,60006.00,4664282.00,在售,住宅
13栋A单元05A,89.91,52383.00,77.73,60591.00,4709756.00,在售,住宅
13栋A单元04B,89.90,51633.00,77.73,59717.00,4641807.00,在售,住宅
13栋A单元04A,89.91,52133.00,77.73,60302.00,4687278.00,在售,住宅
13栋A单元03B,89.90,51383.00,77.73,59428.00,4619332.00,在售,住宅
13栋A单元03A,89.91,51883.00,77.73,60013.00,4664801.00,在售,住宅
13栋A单元02B,89.90,51133.00,77.73,59139.00,4596857.00,在售,住宅
13栋A单元02A,89.91,51633.00,77.73,59724.00,4642323.00,在售,住宅
13栋A单元01B,89.90,51883.00,77.73,60006.00,4664282.00,在售,住宅
13栋A单元01A,89.91,52383.00,77.73,60591.00,4709756.00,在售,住宅
12栋01F,141.25,75593.00,135.34,78894.00,10677511.00,在售,住宅
12栋01E,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
12栋01D,119.42,69830.00,114.41,72888.00,8339099.00,在售,住宅
12栋01C,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
12栋01B,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
12栋01A,141.25,75593.00,135.34,78894.00,10677511.00,在售,住宅
11栋01F,141.25,75593.00,135.34,78894.00,10677511.00,在售,住宅
11栋01E,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
11栋01D,119.42,69830.00,114.41,72888.00,8339099.00,在售,住宅
11栋01C,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
11栋01B,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
11栋01A,141.25,75593.00,135.34,78894.00,10677511.00,在售,住宅
10栋01F,141.25,75593.00,135.34,78894.00,10677511.00,在售,住宅
10栋01E,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
10栋01D,119.42,69830.00,114.41,72888.00,8339099.00,在售,住宅
10栋01C,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
10栋01B,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
10栋01A,141.25,75593.00,135.34,78894.00,10677511.00,在售,住宅
9栋01F,141.25,75593.00,135.34,78894.00,10677511.00,在售,住宅
9栋01E,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
9栋01D,119.42,69830.00,114.41,72888.00,8339099.00,在售,住宅
9栋01C,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
9栋01B,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
9栋01A,141.25,75593.00,135.34,78894.00,10677511.00,在售,住宅
8栋01F,141.25,75593.00,135.34,78894.00,10677511.00,在售,住宅
8栋01E,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
8栋01D,119.42,69830.00,114.41,72888.00,8339099.00,在售,住宅
8栋01C,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
8栋01B,119.41,69830.00,114.41,72882.00,8338400.00,在售,住宅
8栋01A,141.25,75593.00,135.34,78894.00,10677511.00,在售,住宅
7栋01H,141.06,75600.00,135.34,78795.00,10664136.00,在售,住宅
7栋01G,119.24,69837.00,114.41,72785.00,8327364.00,在售,住宅
7栋01F,119.24,69837.00,114.41,72785.00,8327364.00,在售,住宅
7栋01E,119.24,69837.00,114.41,72785.00,8327364.00,在售,住宅
7栋01D,119.24,69837.00,114.41,72785.00,8327364.00,在售,住宅
7栋01C,119.24,69837.00,114.41,72785.00,8327364.00,在售,住宅
7栋01B,119.24,69837.00,114.41,72785.00,8327364.00,在售,住宅
7栋01A,141.06,75257.00,135.34,78438.00,10615752.00,在售,住宅
6栋01H,141.06,75164.00,135.34,78341.00,10602634.00,在售,住宅
6栋01G,119.24,69153.00,114.41,72072.00,8245804.00,在售,住宅
6栋01F,119.24,69153.00,114.41,72072.00,8245804.00,在售,住宅
6栋01E,119.24,69153.00,114.41,72072.00,8245804.00,在售,住宅
6栋01D,119.24,69153.00,114.41,72072.00,8245804.00,在售,住宅
6栋01C,119.24,69153.00,114.41,72072.00,8245804.00,在售,住宅
6栋01B,119.24,69153.00,114.41,72072.00,8245804.00,在售,住宅
6栋01A,141.06,73405.00,135.34,76507.00,10354509.00,在售,住宅
5栋C单元03F2,89.07,55301.00,79.45,61997.00,4925660.00,在售,住宅
5栋C单元03E2,89.07,52801.00,79.45,59194.00,4702985.00,在售,住宅
5栋B单元03D2,88.52,52801.00,79.45,58829.00,4673945.00,在售,住宅
5栋B单元03C2,88.53,52801.00,79.45,58835.00,4674473.00,在售,住宅
5栋A单元03B2,89.07,52801.00,79.45,59194.00,4702985.00,在售,住宅
5栋A单元03A2,89.07,55101.00,79.45,61773.00,4907846.00,在售,住宅
5栋C单元01F1,89.79,61544.00,80.10,68989.00,5526036.00,在售,住宅
5栋C单元01E1,89.79,60044.00,80.10,67308.00,5391351.00,在售,住宅
5栋B单元01D1,89.25,60044.00,80.10,66903.00,5358927.00,在售,住宅
5栋B单元01C1,89.25,60044.00,80.10,66903.00,5358927.00,在售,住宅
5栋A单元01B1,89.79,60044.00,80.10,67308.00,5391351.00,在售,住宅
5栋A单元01A1,89.79,61344.00,80.10,68765.00,5508078.00,在售,住宅
4栋C单元03F2,89.07,55301.00,79.45,61997.00,4925660.00,在售,住宅
4栋C单元03E2,89.07,52801.00,79.45,59194.00,4702985.00,在售,住宅
4栋B单元03D2,88.53,52801.00,79.45,58835.00,4674473.00,在售,住宅
4栋B单元03C2,88.53,52801.00,79.45,58835.00,4674473.00,在售,住宅
4栋A单元03B2,89.07,52801.00,79.45,59194.00,4702985.00,在售,住宅
4栋A单元03A2,89.07,55101.00,79.45,61773.00,4907846.00,在售,住宅
4栋C单元01F1,89.79,61544.00,80.10,68989.00,5526036.00,在售,住宅
4栋C单元01E1,89.79,60044.00,80.10,67308.00,5391351.00,在售,住宅
4栋B单元01D1,89.26,60044.00,80.10,66910.00,5359527.00,在售,住宅
4栋B单元01C1,89.25,60044.00,80.10,66903.00,5358927.00,在售,住宅
4栋A单元01B1,89.79,60044.00,80.10,67308.00,5391351.00,在售,住宅
4栋A单元01A1,89.79,61344.00,80.10,68765.00,5508078.00,在售,住宅
3栋C单元03F2,89.07,55301.00,79.45,61997.00,4925660.00,在售,住宅
3栋C单元03E2,89.07,52801.00,79.45,59194.00,4702985.00,在售,住宅
3栋B单元03D2,88.52,52801.00,79.45,58829.00,4673945.00,在售,住宅
3栋B单元03C2,88.53,52801.00,79.45,58835.00,4674473.00,在售,住宅
3栋A单元03B2,89.07,52801.00,79.45,59194.00,4702985.00,在售,住宅
3栋A单元03A2,89.07,55101.00,79.45,61773.00,4907846.00,在售,住宅
3栋C单元01F1,89.79,61544.00,80.10,68989.00,5526036.00,在售,住宅
3栋C单元01E1,89.79,60044.00,80.10,67308.00,5391351.00,在售,住宅
3栋B单元01D1,89.26,60044.00,80.10,66910.00,5359527.00,在售,住宅
3栋B单元01C1,89.25,60044.00,80.10,66903.00,5358927.00,在售,住宅
3栋A单元01B1,89.79,60044.00,80.10,67308.00,5391351.00,在售,住宅
3栋A单元01A1,89.79,61344.00,80.10,68765.00,5508078.00,在售,住宅
2栋C单元03F2,89.07,55301.00,79.45,61997.00,4925660.00,在售,住宅
2栋C单元03E2,89.07,52801.00,79.45,59194.00,4702985.00,在售,住宅
2栋B单元03D2,88.52,52801.00,79.45,58829.00,4673945.00,在售,住宅
2栋B单元03C2,88.53,52801.00,79.45,58835.00,4674473.00,在售,住宅
2栋A单元03B2,89.07,52801.00,79.45,59194.00,4702985.00,在售,住宅
2栋A单元03A2,89.07,55101.00,79.45,61773.00,4907846.00,在售,住宅
2栋C单元01F1,89.79,61544.00,80.10,68989.00,5526036.00,在售,住宅
2栋C单元01E1,89.79,60044.00,80.10,67308.00,5391351.00,在售,住宅
2栋B单元01D1,89.25,60044.00,80.10,66903.00,5358927.00,在售,住宅
2栋B单元01C1,89.25,60044.00,80.10,66903.00,5358927.00,在售,住宅
2栋A单元01B1,89.79,60044.00,80.10,67308.00,5391351.00,在售,住宅
2栋A单元01A1,89.79,61344.00,80.10,68765.00,5508078.00,在售,住宅
1栋C单元03F2,89.07,54301.00,79.45,60876.00,4836590.00,在售,住宅
1栋C单元03E2,89.07,52801.00,79.45,59194.00,4702985.00,在售,住宅
1栋B单元03D2,88.52,52801.00,79.45,58829.00,4673945.00,在售,住宅
1栋B单元03C2,88.53,52801.00,79.45,58835.00,4674473.00,在售,住宅
