房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6号楼3006房,89.84,16559.99,72.36,20560.39,1487750.00,在售,住宅
6号楼3005房,89.47,17559.99,72.07,21799.54,1571093.00,在售,住宅
6号楼3004房,89.53,16960.00,72.11,21057.12,1518429.00,在售,住宅
6号楼3003房,89.62,16559.99,72.19,20558.34,1484107.00,在售,住宅
6号楼3002房,89.47,17059.99,72.07,21178.82,1526358.00,在售,住宅
6号楼3001房,89.84,16259.99,72.36,20187.92,1460798.00,在售,住宅
6号楼2906房,89.84,15929.99,72.36,19778.20,1431151.00,在售,住宅
6号楼2905房,89.47,18329.99,72.07,22755.44,1639985.00,在售,住宅
6号楼2904房,89.53,17730.00,72.11,22013.13,1587367.00,在售,住宅
6号楼2903房,89.62,17330.00,72.19,21514.26,1553115.00,在售,住宅
6号楼2902房,89.47,17829.99,72.07,22134.73,1595250.00,在售,住宅
6号楼2901房,89.84,15629.99,72.36,19405.73,1404199.00,在售,住宅
6号楼2806房,89.84,16559.99,72.36,20560.39,1487750.00,在售,住宅
6号楼2805房,89.47,17559.99,72.07,21799.54,1571093.00,在售,住宅
6号楼2804房,89.53,16960.00,72.11,21057.12,1518429.00,在售,住宅
6号楼2803房,89.62,16559.99,72.19,20558.34,1484107.00,在售,住宅
6号楼2802房,89.47,17059.99,72.07,21178.82,1526358.00,在售,住宅
6号楼2801房,89.84,16259.99,72.36,20187.92,1460798.00,在售,住宅
6号楼2706房,89.84,15790.00,72.36,19604.39,1418574.00,在售,住宅
6号楼2705房,89.47,18189.99,72.07,22581.64,1627459.00,在售,住宅
6号楼2704房,89.53,17590.00,72.11,21839.31,1574833.00,在售,住宅
6号楼2703房,89.62,17190.00,72.19,21340.46,1540568.00,在售,住宅
6号楼2702房,89.47,17689.99,72.07,21960.92,1582724.00,在售,住宅
6号楼2701房,89.84,15490.00,72.36,19231.92,1391622.00,在售,住宅
6号楼2606房,89.84,16420.00,72.36,20386.58,1475173.00,在售,住宅
6号楼2605房,89.47,17419.99,72.07,21625.73,1558567.00,在售,住宅
6号楼2604房,89.53,16820.00,72.11,20883.30,1505895.00,在售,住宅
6号楼2603房,89.62,16419.99,72.19,20384.54,1471560.00,在售,住宅
6号楼2602房,89.47,16919.99,72.07,21005.02,1513832.00,在售,住宅
6号楼2601房,89.84,16120.00,72.36,20014.11,1448221.00,在售,住宅
6号楼2506房,89.84,15650.00,72.36,19430.56,1405996.00,在售,住宅
6号楼2505房,89.47,18050.00,72.07,22407.85,1614934.00,在售,住宅
6号楼2504房,89.53,17450.00,72.11,21665.49,1562299.00,在售,住宅
6号楼2503房,89.62,17050.00,72.19,21166.65,1528021.00,在售,住宅
6号楼2502房,89.47,17550.00,72.07,21787.13,1570199.00,在售,住宅
6号楼2501房,89.84,15350.00,72.36,19058.09,1379044.00,在售,住宅
6号楼2406房,89.84,16279.99,72.36,20212.75,1462595.00,在售,住宅
6号楼2405房,89.47,17280.00,72.07,21451.94,1546042.00,在售,住宅
6号楼2404房,89.53,16679.99,72.11,20709.47,1493360.00,在售,住宅
6号楼2403房,89.62,16280.00,72.19,20210.74,1459014.00,在售,住宅
6号楼2402房,89.47,16780.00,72.07,20831.23,1501307.00,在售,住宅
6号楼2401房,89.84,15979.99,72.36,19840.28,1435643.00,在售,住宅
6号楼2306房,89.84,15509.99,72.36,19256.74,1393418.00,在售,住宅
6号楼2305房,89.47,17910.00,72.07,22234.05,1602408.00,在售,住宅
6号楼2304房,89.53,17309.99,72.11,21491.66,1549764.00,在售,住宅
6号楼2303房,89.62,16909.99,72.19,20992.85,1515474.00,在售,住宅
6号楼2302房,89.47,17410.00,72.07,21613.33,1557673.00,在售,住宅
6号楼2301房,89.84,15209.99,72.36,18884.27,1366466.00,在售,住宅
6号楼2206房,89.84,16140.00,72.36,20038.94,1450018.00,在售,住宅
6号楼2205房,89.47,17140.00,72.07,21278.14,1533516.00,在售,住宅
6号楼2204房,89.53,16539.99,72.11,20535.65,1480826.00,在售,住宅
6号楼2203房,89.62,16140.00,72.19,20036.94,1446467.00,在售,住宅
6号楼2202房,89.47,16640.00,72.07,20657.43,1488781.00,在售,住宅
6号楼2201房,89.84,15840.00,72.36,19666.47,1423066.00,在售,住宅
6号楼2106房,89.84,15370.00,72.36,19082.93,1380841.00,在售,住宅
6号楼2105房,89.47,17770.00,72.07,22060.24,1589882.00,在售,住宅
6号楼2104房,89.53,17169.99,72.11,21317.84,1537230.00,在售,住宅
6号楼2103房,89.62,16769.99,72.19,20819.04,1502927.00,在售,住宅
6号楼2102房,89.47,17270.00,72.07,21439.53,1545147.00,在售,住宅
6号楼2101房,89.84,15070.00,72.36,18710.46,1353889.00,在售,住宅
6号楼2006房,89.84,16000.00,72.36,19865.11,1437440.00,在售,住宅
6号楼2005房,89.47,17000.00,72.07,21104.34,1520990.00,在售,住宅
6号楼2004房,89.53,16400.00,72.11,20361.83,1468292.00,在售,住宅
6号楼2003房,89.62,16000.00,72.19,19863.13,1433920.00,在售,住宅
6号楼2002房,89.47,16500.00,72.07,20483.62,1476255.00,在售,住宅
6号楼2001房,89.84,15700.00,72.36,19492.64,1410488.00,在售,住宅
6号楼1906房,89.84,15250.00,72.36,18933.94,1370060.00,在售,住宅
6号楼1905房,89.47,17650.00,72.07,21911.28,1579146.00,在售,住宅
6号楼1904房,89.53,17050.00,72.11,21168.86,1526487.00,在售,住宅
6号楼1903房,89.62,16650.00,72.19,20670.07,1492173.00,在售,住宅
6号楼1902房,89.47,17150.00,72.07,21290.56,1534411.00,在售,住宅
6号楼1901房,89.84,14950.00,72.36,18561.47,1343108.00,在售,住宅
6号楼1806房,89.84,15900.00,72.36,19740.96,1428456.00,在售,住宅
6号楼1805房,89.47,16900.00,72.07,20980.19,1512043.00,在售,住宅
6号楼1804房,89.53,16300.00,72.11,20237.67,1459339.00,在售,住宅
6号楼1803房,89.62,15900.00,72.19,19738.99,1424958.00,在售,住宅
6号楼1802房,89.47,16400.00,72.07,20359.48,1467308.00,在售,住宅
6号楼1801房,89.84,15600.00,72.36,19368.49,1401504.00,在售,住宅
6号楼1706房,89.84,15150.00,72.36,18809.78,1361076.00,在售,住宅
6号楼1705房,89.47,17550.00,72.07,21787.13,1570199.00,在售,住宅
6号楼1704房,89.53,16950.00,72.11,21044.70,1517534.00,在售,住宅
6号楼1703房,89.62,16550.00,72.19,20545.93,1483211.00,在售,住宅
6号楼1702房,89.47,17050.00,72.07,21166.42,1525464.00,在售,住宅
6号楼1701房,89.84,14850.00,72.36,18437.31,1334124.00,在售,住宅
6号楼1606房,89.84,15800.00,72.36,19616.80,1419472.00,在售,住宅
6号楼1605房,89.47,16800.00,72.07,20856.05,1503096.00,在售,住宅
6号楼1604房,89.53,16200.00,72.11,20113.52,1450386.00,在售,住宅
6号楼1603房,89.62,15800.00,72.19,19614.84,1415996.00,在售,住宅
6号楼1602房,89.47,16300.00,72.07,20235.34,1458361.00,在售,住宅
6号楼1601房,89.84,15500.00,72.36,19244.33,1392520.00,在售,住宅
6号楼1506房,89.84,15050.00,72.36,18685.62,1352092.00,在售,住宅
6号楼1505房,89.47,17450.00,72.07,21662.99,1561252.00,在售,住宅
6号楼1504房,89.53,16850.00,72.11,20920.55,1508581.00,在售,住宅
6号楼1503房,89.62,16450.00,72.19,20421.78,1474249.00,在售,住宅
6号楼1502房,89.47,16950.00,72.07,21042.27,1516517.00,在售,住宅
6号楼1501房,89.84,14750.00,72.36,18313.15,1325140.00,在售,住宅
6号楼1406房,89.84,15700.00,72.36,19492.64,1410488.00,在售,住宅
6号楼1405房,89.47,16700.00,72.07,20731.91,1494149.00,在售,住宅
6号楼1404房,89.53,16100.00,72.11,19989.36,1441433.00,在售,住宅
6号楼1403房,89.62,15700.00,72.19,19490.70,1407034.00,在售,住宅
6号楼1402房,89.47,16200.00,72.07,20111.19,1449414.00,在售,住宅
6号楼1401房,89.84,15400.00,72.36,19120.17,1383536.00,在售,住宅
6号楼1306房,89.84,14950.00,72.36,18561.47,1343108.00,在售,住宅
6号楼1305房,89.47,17350.00,72.07,21538.85,1552305.00,在售,住宅
6号楼1304房,89.53,16750.00,72.11,20796.39,1499628.00,在售,住宅
6号楼1303房,89.62,16350.00,72.19,20297.64,1465287.00,在售,住宅
6号楼1302房,89.47,16850.00,72.07,20918.13,1507570.00,在售,住宅
6号楼1301房,89.84,14650.00,72.36,18188.99,1316156.00,在售,住宅
6号楼1206房,89.84,15600.00,72.36,19368.49,1401504.00,在售,住宅
6号楼1205房,89.47,16600.00,72.07,20607.77,1485202.00,在售,住宅
6号楼1204房,89.53,16000.00,72.11,19865.20,1432480.00,在售,住宅
6号楼1203房,89.62,15600.00,72.19,19366.56,1398072.00,在售,住宅
6号楼1202房,89.47,16100.00,72.07,19987.05,1440467.00,在售,住宅
6号楼1201房,89.84,15300.00,72.36,18996.01,1374552.00,在售,住宅
6号楼1106房,89.84,14850.00,72.36,18437.31,1334124.00,在售,住宅
6号楼1105房,89.47,17250.00,72.07,21414.70,1543358.00,在售,住宅
6号楼1104房,89.53,16650.00,72.11,20672.23,1490675.00,在售,住宅
6号楼1103房,89.62,16250.00,72.19,20173.50,1456325.00,在售,住宅
6号楼1102房,89.47,16750.00,72.07,20793.99,1498623.00,在售,住宅
6号楼1101房,89.84,14550.00,72.36,18064.84,1307172.00,在售,住宅
6号楼1006房,89.84,15500.00,72.36,19244.33,1392520.00,在售,住宅
6号楼1005房,89.47,16500.00,72.07,20483.62,1476255.00,在售,住宅
6号楼1004房,89.53,15900.00,72.11,19741.04,1423527.00,在售,住宅
6号楼1003房,89.62,15500.00,72.19,19242.41,1389110.00,在售,住宅
6号楼1002房,89.47,16000.00,72.07,19862.91,1431520.00,在售,住宅
6号楼1001房,89.84,15200.00,72.36,18871.86,1365568.00,在售,住宅
6号楼906房,89.84,14750.00,72.36,18313.15,1325140.00,在售,住宅
