房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
12号楼1609,68.30,16743.50,55.98,20428.00,1143581.00,在售,住宅
12号楼1608,55.15,17788.36,45.20,21704.00,981028.00,在售,住宅
12号楼1602,55.15,13633.41,45.20,16634.57,751883.00,在售,住宅
12号楼1601,68.30,17296.94,55.98,21103.00,1181381.00,在售,住宅
12号楼1509,70.63,16950.12,57.98,20648.00,1197187.00,在售,住宅
12号楼1508,69.53,18785.59,57.07,22887.00,1306162.00,在售,住宅
12号楼1507,88.20,17138.23,72.35,20892.77,1511592.00,在售,住宅
12号楼1506,88.30,17346.80,72.44,21144.71,1531723.00,在售,住宅
12号楼1505,348.53,23128.15,285.88,28196.00,8060856.00,在售,住宅
12号楼1504,88.30,15834.86,72.44,19301.75,1398219.00,在售,住宅
12号楼1503,88.20,15596.02,72.35,19012.70,1375569.00,在售,住宅
12号楼1502,69.53,14714.15,57.07,17926.66,1023075.00,在售,住宅
12号楼1501,70.63,17503.57,57.98,21322.00,1236277.00,在售,住宅
12号楼1411,75.15,16636.23,61.64,20282.00,1250212.00,在售,住宅
12号楼1410,67.68,17588.26,55.51,21444.00,1190373.00,在售,住宅
12号楼1402,67.68,16653.77,55.51,20304.00,1127127.00,在售,住宅
12号楼1401,75.15,17189.65,61.64,20957.00,1291802.00,在售,住宅
12号楼1311,78.12,16770.86,64.15,20423.00,1310139.00,在售,住宅
12号楼1310,80.23,15770.95,65.88,19206.00,1265303.00,在售,住宅
12号楼1309,87.63,17138.22,71.93,20878.95,1501823.00,在售,住宅
12号楼1308,88.67,17346.80,72.78,21134.11,1538141.00,在售,住宅
12号楼1307,88.67,17921.75,72.78,21834.59,1589122.00,在售,住宅
12号楼1306,135.45,19110.55,111.18,23282.28,2588525.00,在售,住宅
12号楼1305,88.67,16566.51,72.78,20183.47,1468953.00,在售,住宅
12号楼1304,88.67,15834.87,72.78,19292.08,1404078.00,在售,住宅
12号楼1303,87.63,15596.02,71.93,19000.13,1366680.00,在售,住宅
12号楼1302,80.23,14573.66,65.88,17748.10,1169245.00,在售,住宅
12号楼1301,78.12,17324.29,64.15,21097.00,1353373.00,在售,住宅
12号楼1211,78.86,16476.61,64.87,20029.00,1299345.00,在售,住宅
12号楼1210,79.16,17310.98,65.12,21043.00,1370337.00,在售,住宅
12号楼1202,79.16,16453.36,65.12,20000.00,1302448.00,在售,住宅
12号楼1201,78.86,17030.06,64.87,20702.00,1342990.00,在售,住宅
12号楼1111,78.99,16624.30,64.87,20242.00,1313153.00,在售,住宅
12号楼1110,80.22,15662.48,65.88,19071.00,1256444.00,在售,住宅
12号楼1109,87.52,16922.07,71.93,20589.74,1481020.00,在售,住宅
