房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
E座2404,79.92,39789.52,60.29,52744.70,3179978.43,在售,住宅
E座2403,79.92,42638.02,60.29,56520.66,3407630.95,在售,住宅
E座2402,88.09,41938.84,66.45,55596.58,3694392.98,在售,住宅
E座2401,88.04,40566.38,66.41,53779.01,3571464.53,在售,住宅
E座2304,79.92,39939.52,60.29,52943.54,3191966.43,在售,住宅
E座2303,79.92,42788.02,60.29,56719.50,3419618.95,在售,住宅
E座2302,88.09,42088.84,66.45,55795.43,3707606.48,在售,住宅
E座2301,88.04,40716.38,66.41,53977.87,3584670.53,在售,住宅
E座2204,79.92,39789.52,60.29,52744.70,3179978.43,在售,住宅
E座2203,79.92,42638.02,60.29,56520.66,3407630.95,在售,住宅
E座2202,88.09,41938.84,66.45,55596.58,3694392.98,在售,住宅
E座2201,88.04,40566.38,66.41,53779.01,3571464.53,在售,住宅
E座2104,79.92,39639.52,60.29,52545.86,3167990.43,在售,住宅
E座2103,79.92,42488.02,60.29,56321.82,3395642.95,在售,住宅
E座2102,88.09,41788.84,66.45,55397.73,3681179.48,在售,住宅
E座2101,88.04,40416.38,66.41,53580.16,3558258.53,在售,住宅
E座2004,79.92,39489.52,60.29,52347.02,3156002.43,在售,住宅
E座2003,79.92,42338.02,60.29,56122.98,3383654.95,在售,住宅
E座2002,88.09,41638.84,66.45,55198.88,3667965.98,在售,住宅
E座2001,88.04,40266.38,66.41,53381.30,3545052.53,在售,住宅
E座1904,79.92,39339.52,60.29,52148.19,3144014.43,在售,住宅
E座1903,79.92,42188.02,60.29,55924.14,3371666.95,在售,住宅
E座1902,88.09,41488.84,66.45,55000.03,3654752.48,在售,住宅
E座1901,88.04,40116.38,66.41,53182.45,3531846.53,在售,住宅
E座1804,79.92,39189.52,60.29,51949.35,3132026.43,在售,住宅
E座1803,79.92,42038.02,60.29,55725.31,3359678.95,在售,住宅
E座1802,88.09,41338.84,66.45,54801.18,3641538.98,在售,住宅
E座1801,88.04,39966.38,66.41,52983.59,3518640.53,在售,住宅
E座1704,79.92,39039.52,60.29,51750.51,3120038.43,在售,住宅
E座1703,79.92,41888.02,60.29,55526.47,3347690.95,在售,住宅
E座1702,88.09,41188.84,66.45,54602.33,3628325.48,在售,住宅
E座1701,88.04,39816.38,66.41,52784.73,3505434.53,在售,住宅
E座1604,79.92,38889.52,60.29,51551.67,3108050.43,在售,住宅
E座1603,79.92,41738.02,60.29,55327.63,3335702.95,在售,住宅
E座1602,88.09,41038.84,66.45,54403.49,3615111.98,在售,住宅
E座1601,88.04,39666.38,66.41,52585.88,3492228.53,在售,住宅
E座1504,79.92,38739.52,60.29,51352.83,3096062.43,在售,住宅
E座1503,79.92,41588.02,60.29,55128.79,3323714.95,在售,住宅
E座1502,88.09,40888.84,66.45,54204.64,3601898.48,在售,住宅
E座1501,88.04,39516.38,66.41,52387.02,3479022.53,在售,住宅
E座1404,79.92,38589.52,60.29,51153.99,3084074.43,在售,住宅
E座1403,79.92,41438.02,60.29,54929.95,3311726.95,在售,住宅
E座1402,88.09,40738.84,66.45,54005.79,3588684.98,在售,住宅
E座1401,88.04,39366.38,66.41,52188.17,3465816.53,在售,住宅
E座1304,79.92,38439.52,60.29,50955.15,3072086.43,在售,住宅
E座1303,79.92,41288.02,60.29,54731.11,3299738.95,在售,住宅
E座1302,88.09,40588.84,66.45,53806.94,3575471.48,在售,住宅
E座1301,88.04,39216.38,66.41,51989.31,3452610.53,在售,住宅
E座1204,79.92,38289.52,60.29,50756.31,3060098.43,在售,住宅
E座1203,79.92,41138.02,60.29,54532.27,3287750.95,在售,住宅
E座1202,88.09,40438.84,66.45,53608.09,3562257.98,在售,住宅
E座1201,88.04,39066.38,66.41,51790.46,3439404.53,在售,住宅
E座1104,79.92,38139.52,60.29,50557.47,3048110.43,在售,住宅
E座1103,79.92,40988.02,60.29,54333.43,3275762.95,在售,住宅
E座1102,88.09,40288.84,66.45,53409.24,3549044.48,在售,住宅
E座1101,88.04,38916.38,66.41,51591.60,3426198.53,在售,住宅
E座1004,79.92,37989.52,60.29,50358.64,3036122.43,在售,住宅
E座1003,79.92,40838.02,60.29,54134.59,3263774.95,在售,住宅
E座1002,88.09,40138.84,66.45,53210.39,3535830.98,在售,住宅
E座1001,88.04,38766.38,66.41,51392.75,3412992.53,在售,住宅
E座904,79.92,37539.52,60.29,49762.12,3000158.43,在售,住宅
E座903,79.92,40438.02,60.29,53604.36,3231806.95,在售,住宅
E座902,88.09,39988.84,66.45,53011.54,3522617.48,在售,住宅
