房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3号楼B座206,88.35,19304.13,67.58,25237.06,1705520.71,在售,住宅
3号楼B座306,88.35,19334.13,67.58,25276.28,1708171.21,在售,住宅
3号楼B座406,88.35,19364.13,67.58,25315.50,1710821.71,在售,住宅
3号楼B座506,88.35,19394.13,67.58,25354.72,1713472.21,在售,住宅
3号楼B座606,88.35,19424.13,67.58,25393.94,1716122.71,在售,住宅
3号楼B座706,88.35,19454.13,67.59,25429.40,1718773.21,在售,住宅
3号楼B座806,88.35,19484.13,67.58,25472.38,1721423.71,在售,住宅
3号楼B座906,88.35,19514.13,67.59,25507.82,1724074.21,在售,住宅
3号楼B座1006,88.35,19544.13,67.58,25550.82,1726724.71,在售,住宅
3号楼B座1106,88.35,19574.13,67.59,25586.25,1729375.21,在售,住宅
3号楼B座1206,88.35,19604.13,67.58,25629.26,1732025.71,在售,住宅
3号楼B座1306,88.35,19634.13,67.59,25664.68,1734676.21,在售,住宅
3号楼B座1406,88.35,19664.13,67.58,25707.70,1737326.71,在售,住宅
3号楼B座1506,88.35,19694.13,67.59,25743.11,1739977.21,在售,住宅
3号楼B座1606,88.35,19724.13,67.58,25786.14,1742627.71,在售,住宅
3号楼B座1706,88.35,19754.13,67.59,25821.54,1745278.21,在售,住宅
3号楼B座1806,88.35,19784.13,67.58,25864.58,1747928.71,在售,住宅
3号楼B座1906,88.35,19814.13,67.59,25899.97,1750579.21,在售,住宅
3号楼B座2006,88.35,19844.13,67.58,25943.02,1753229.71,在售,住宅
3号楼B座2106,88.35,19874.13,67.59,25978.40,1755880.21,在售,住宅
3号楼B座2206,88.35,19904.13,67.58,26021.46,1758530.71,在售,住宅
3号楼B座2306,88.35,19934.13,67.59,26056.83,1761181.21,在售,住宅
3号楼B座2406,88.35,19919.13,67.58,26041.07,1759855.96,在售,住宅
3号楼B座2506,88.35,19904.13,67.59,26017.61,1758530.71,在售,住宅
3号楼B座2606,88.35,19889.13,67.58,26001.85,1757205.46,在售,住宅
3号楼B座2706,88.35,19874.13,67.59,25978.40,1755880.21,在售,住宅
3号楼B座2806,88.35,19859.13,67.58,25962.63,1754554.96,在售,住宅
3号楼B座2906,88.34,19844.13,67.58,25940.08,1753031.27,在售,住宅
3号楼B座3006,88.34,19829.13,67.58,25920.48,1751706.17,在售,住宅
3号楼B座3106,88.35,19814.13,67.59,25899.97,1750579.21,在售,住宅
3号楼B座3206,88.35,19799.13,67.58,25884.19,1749253.96,在售,住宅
3号楼B座3306,88.34,19649.13,67.58,25685.18,1735804.97,在售,住宅
3号楼B座205,71.69,19852.21,54.83,25956.69,1423205.38,在售,住宅
3号楼B座305,71.69,19882.21,54.84,25991.17,1425356.08,在售,住宅
3号楼B座405,71.69,19912.21,54.83,26035.14,1427506.78,在售,住宅
3号楼B座505,71.69,19942.21,54.84,26069.61,1429657.48,在售,住宅
3号楼B座605,71.69,19972.21,54.83,26113.59,1431808.18,在售,住宅
3号楼B座705,71.69,20002.21,54.84,26148.04,1433958.88,在售,住宅
3号楼B座805,71.69,20032.21,54.83,26192.04,1436109.58,在售,住宅
3号楼B座905,71.69,20062.21,54.84,26226.48,1438260.28,在售,住宅
3号楼B座1005,71.69,20092.21,54.83,26270.49,1440410.98,在售,住宅
3号楼B座1105,71.69,20122.21,54.84,26304.91,1442561.68,在售,住宅
3号楼B座1205,71.69,20152.21,54.83,26348.94,1444712.38,在售,住宅
3号楼B座1305,71.69,20182.21,54.84,26383.35,1446863.08,在售,住宅
3号楼B座1405,71.69,20212.21,54.83,26427.38,1449013.78,在售,住宅
3号楼B座1505,71.69,20242.21,54.84,26461.78,1451164.48,在售,住宅
3号楼B座1605,71.69,20272.21,54.83,26505.83,1453315.18,在售,住宅
3号楼B座1705,71.69,20302.21,54.84,26540.22,1455465.88,在售,住宅
3号楼B座1805,71.69,20332.21,54.83,26584.28,1457616.58,在售,住宅
3号楼B座1905,71.69,20362.21,54.84,26618.65,1459767.28,在售,住宅
3号楼B座2005,71.69,20392.21,54.83,26662.73,1461917.98,在售,住宅
3号楼B座2105,71.69,20422.21,54.84,26697.09,1464068.68,在售,住宅
3号楼B座2205,71.69,20452.21,54.83,26741.18,1466219.38,在售,住宅
