房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋318,80.02,61366.45,55.13,89072.07,4910543.00,在售,商业
3栋317,84.48,61834.27,58.21,89739.89,5223759.00,在售,商业
3栋316,67.43,62635.84,46.46,90906.91,4223535.00,在售,商业
3栋315,74.51,61607.18,51.34,89410.81,4590351.00,在售,商业
3栋314,55.72,63294.01,38.39,91866.16,3526742.00,在售,商业
3栋313,52.32,63935.86,36.05,92791.23,3345124.00,在售,商业
3栋312,52.32,63999.06,36.05,92882.97,3348431.00,在售,商业
3栋311,52.32,63999.06,36.05,92882.97,3348431.00,在售,商业
3栋310,52.31,63096.50,36.04,91580.97,3300578.00,在售,商业
3栋309,51.03,62916.58,35.15,91340.91,3210633.00,在售,商业
3栋308,56.42,62529.94,38.87,90762.52,3527939.00,在售,商业
3栋307,52.32,63096.35,36.05,91572.84,3301201.00,在售,商业
3栋306,52.32,63096.35,36.05,91572.84,3301201.00,在售,商业
3栋305,52.32,63999.06,36.05,92882.97,3348431.00,在售,商业
3栋304,52.32,63999.06,36.05,92882.97,3348431.00,在售,商业
3栋303,52.32,63999.06,36.05,92882.97,3348431.00,在售,商业
3栋302,52.32,63809.50,36.05,92607.85,3338513.00,在售,商业
3栋301,52.32,63780.06,36.05,92565.13,3336973.00,在售,商业
3栋214,59.93,62729.03,41.72,90109.08,3759351.00,在售,商业
3栋213,55.34,63422.84,38.53,91093.17,3509820.00,在售,商业
3栋212,55.34,63485.56,38.52,91206.93,3513291.00,在售,商业
3栋211,55.34,63485.56,38.53,91183.26,3513291.00,在售,商业
3栋210,55.34,62589.65,38.53,89896.47,3463711.00,在售,商业
3栋209,54.05,62151.67,37.63,89271.80,3359298.00,在售,商业
3栋208,59.40,61653.77,41.35,88566.72,3662234.00,在售,商业
3栋207,55.34,62466.01,38.53,89718.89,3456869.00,在售,商业
3栋206,55.34,62527.81,38.53,89807.66,3460289.00,在售,商业
3栋205,55.34,63422.84,38.53,91093.17,3509820.00,在售,商业
3栋204,55.34,63422.84,38.52,91116.82,3509820.00,在售,商业
3栋203,55.29,63423.55,38.49,91106.47,3506688.00,在售,商业
3栋202,55.34,63422.84,38.53,91093.17,3509820.00,在售,商业
3栋201,56.46,63229.45,39.30,90838.04,3569935.00,在售,商业
3栋116,23.89,91066.18,20.23,107541.82,2175571.00,在售,商业
3栋115,24.21,91066.13,20.50,107546.88,2204711.00,在售,商业
3栋114,42.37,90805.97,35.88,107231.02,3847449.00,在售,商业
3栋113,54.04,93699.11,45.76,110653.41,5063500.00,在售,商业
3栋112,86.43,94210.27,73.20,111237.62,8142594.00,在售,商业
3栋111,62.20,94714.24,52.68,111830.41,5891226.00,在售,商业
3栋110,72.62,94441.28,61.50,111517.50,6858326.00,在售,商业
3栋109,67.35,95167.41,57.03,112388.66,6409525.00,在售,商业
3栋108,75.15,93989.42,63.64,110988.45,7063305.00,在售,商业
3栋107,77.82,94441.29,65.90,111523.84,7349421.00,在售,商业
3栋106,108.36,93713.41,91.77,110654.73,10154785.00,在售,商业
3栋105,89.71,95954.90,75.97,113309.39,8608114.00,在售,商业
3栋104,71.74,96693.48,60.75,114185.84,6936790.00,在售,商业
3栋103,71.74,96693.48,60.75,114185.84,6936790.00,在售,商业
3栋102,71.74,97572.51,60.75,115223.90,6999852.00,在售,商业
3栋101,83.48,98571.86,70.69,116406.55,8228779.00,在售,商业
3栋3308,68.45,23643.92,52.99,30542.10,1618426.00,在售,住宅
3栋3307,65.15,23508.89,50.43,30370.89,1531604.00,在售,住宅
3栋3306,68.93,24146.09,53.36,31191.72,1664390.00,在售,住宅
3栋3305,67.30,23752.96,52.10,30682.80,1598574.00,在售,住宅
3栋3304,67.30,23752.96,52.10,30682.80,1598574.00,在售,住宅
3栋3303,68.93,23916.51,53.36,30895.15,1648565.00,在售,住宅
3栋3302,65.05,23286.41,50.35,30085.02,1514781.00,在售,住宅
3栋3301,68.44,23509.56,52.98,30369.84,1608994.00,在售,住宅
3栋3208,68.45,24173.91,52.99,31226.72,1654704.00,在售,住宅
3栋3207,65.15,24038.89,50.43,31055.60,1566134.00,在售,住宅
3栋3206,68.93,24676.09,53.36,31876.37,1700923.00,在售,住宅
3栋3205,67.30,24282.96,52.10,31367.43,1634243.00,在售,住宅
3栋3204,67.30,24282.96,52.10,31367.43,1634243.00,在售,住宅
3栋3203,68.93,24446.51,53.36,31579.80,1685098.00,在售,住宅
3栋3202,65.05,23816.40,50.35,30769.75,1549257.00,在售,住宅
3栋3201,68.44,24039.55,52.98,31054.49,1645267.00,在售,住宅
3栋3108,68.45,24173.91,52.99,31226.72,1654704.00,在售,住宅
3栋3107,65.15,24038.89,50.43,31055.60,1566134.00,在售,住宅
3栋3106,68.93,24676.09,53.36,31876.37,1700923.00,在售,住宅
3栋3105,67.30,24282.96,52.10,31367.43,1634243.00,在售,住宅
3栋3104,67.30,24282.96,52.10,31367.43,1634243.00,在售,住宅
3栋3103,68.93,24446.51,53.36,31579.80,1685098.00,在售,住宅
3栋3102,65.05,23816.40,50.35,30769.75,1549257.00,在售,住宅
3栋3101,68.44,24039.55,52.98,31054.49,1645267.00,在售,住宅
3栋3008,68.45,24138.92,52.99,31181.52,1652309.00,在售,住宅
3栋3007,65.15,24003.88,50.43,31010.37,1563853.00,在售,住宅
3栋3006,68.93,24641.10,53.36,31831.17,1698511.00,在售,住宅
3栋3005,67.30,24247.95,52.10,31322.21,1631887.00,在售,住宅
3栋3004,67.30,24247.95,52.10,31322.21,1631887.00,在售,住宅
3栋3003,68.93,24411.52,53.36,31534.60,1682686.00,在售,住宅
3栋3002,65.05,23781.40,50.35,30724.53,1546980.00,在售,住宅
3栋3001,68.44,24004.56,52.98,31009.29,1642872.00,在售,住宅
3栋2908,68.45,24103.92,52.99,31136.31,1649913.00,在售,住宅
3栋2907,65.15,23968.89,50.43,30965.16,1561573.00,在售,住宅
3栋2906,68.93,24606.09,53.36,31785.94,1696098.00,在售,住宅
3栋2905,67.30,24212.96,52.10,31277.01,1629532.00,在售,住宅
3栋2904,67.30,24212.96,52.10,31277.01,1629532.00,在售,住宅
3栋2903,68.93,24376.51,53.36,31489.37,1680273.00,在售,住宅
3栋2902,65.05,23746.41,50.35,30679.32,1544704.00,在售,住宅
3栋2901,68.44,23969.55,52.98,30964.06,1640476.00,在售,住宅
3栋2808,68.45,24068.91,52.99,31091.09,1647517.00,在售,住宅
3栋2807,65.15,23933.89,50.43,30919.95,1559293.00,在售,住宅
3栋2806,68.93,24571.10,53.36,31740.74,1693686.00,在售,住宅
3栋2805,67.30,24177.95,52.10,31231.79,1627176.00,在售,住宅
3栋2804,67.30,24177.95,52.10,31231.79,1627176.00,在售,住宅
3栋2803,68.93,24341.51,53.36,31444.15,1677860.00,在售,住宅
3栋2802,65.05,23711.41,50.35,30634.10,1542427.00,在售,住宅
3栋2801,68.44,23934.56,52.98,30918.86,1638081.00,在售,住宅
3栋2708,68.45,24033.91,52.99,31045.88,1645121.00,在售,住宅
3栋2707,65.15,23898.89,50.43,30874.74,1557013.00,在售,住宅
3栋2706,68.93,24536.09,53.36,31695.52,1691273.00,在售,住宅
3栋2705,67.30,24142.96,52.10,31186.58,1624821.00,在售,住宅
3栋2704,67.30,24142.96,52.10,31186.58,1624821.00,在售,住宅
3栋2703,68.93,24306.51,53.36,31398.95,1675448.00,在售,住宅
3栋2702,65.05,23676.40,50.35,30588.88,1540150.00,在售,住宅
3栋2701,68.44,23899.56,52.98,30873.65,1635686.00,在售,住宅
3栋2608,68.45,23998.92,52.99,31000.68,1642726.00,在售,住宅
3栋2607,65.15,23863.88,50.43,30829.51,1554732.00,在售,住宅
3栋2606,68.93,24501.10,53.36,31650.32,1688861.00,在售,住宅
3栋2605,67.30,24107.95,52.10,31141.36,1622465.00,在售,住宅
3栋2604,67.30,24107.95,52.10,31141.36,1622465.00,在售,住宅
3栋2603,68.93,24271.51,53.36,31353.73,1673035.00,在售,住宅
3栋2602,65.05,23641.40,50.35,30543.65,1537873.00,在售,住宅
3栋2601,68.44,23864.55,52.98,30828.43,1633290.00,在售,住宅
3栋2508,68.45,23963.92,52.99,30955.46,1640330.00,在售,住宅
3栋2507,65.15,23828.89,50.43,30784.30,1552452.00,在售,住宅
3栋2506,68.93,24466.10,53.36,31605.10,1686448.00,在售,住宅
3栋2505,67.30,24072.96,52.10,31096.16,1620110.00,在售,住宅
3栋2504,67.30,24072.96,52.10,31096.16,1620110.00,在售,住宅
3栋2503,68.93,24236.52,53.36,31308.53,1670623.00,在售,住宅
3栋2502,65.05,23606.41,50.35,30498.45,1535597.00,在售,住宅
3栋2501,68.44,23829.56,52.98,30783.22,1630895.00,在售,住宅
3栋2408,68.45,23928.91,52.99,30910.25,1637934.00,在售,住宅
3栋2407,65.15,23793.89,50.43,30739.08,1550172.00,在售,住宅
3栋2406,68.93,24431.09,53.36,31559.88,1684035.00,在售,住宅
3栋2405,67.30,24037.95,52.10,31050.94,1617754.00,在售,住宅
3栋2404,67.30,24037.95,52.10,31050.94,1617754.00,在售,住宅
3栋2403,68.93,24201.51,53.36,31263.31,1668210.00,在售,住宅
3栋2402,65.05,23571.41,50.35,30453.23,1533320.00,在售,住宅
3栋2401,68.44,23794.55,52.98,30738.00,1628499.00,在售,住宅
3栋2308,68.45,23828.91,52.99,30781.07,1631089.00,在售,住宅
3栋2307,65.15,23693.89,50.43,30609.89,1543657.00,在售,住宅
3栋2306,68.93,24331.09,53.36,31430.70,1677142.00,在售,住宅
3栋2305,67.30,23937.95,52.10,30921.77,1611024.00,在售,住宅
3栋2304,67.30,23937.95,52.10,30921.77,1611024.00,在售,住宅
3栋2303,68.93,24101.51,53.36,31134.13,1661317.00,在售,住宅
3栋2302,65.05,23471.41,50.35,30324.03,1526815.00,在售,住宅
3栋2301,68.44,23694.55,52.98,30608.81,1621655.00,在售,住宅
3栋2208,68.45,23793.91,52.99,30735.86,1628693.00,在售,住宅
3栋2207,65.15,23658.89,50.43,30564.68,1541377.00,在售,住宅
3栋2206,68.93,24296.10,53.36,31385.49,1674730.00,在售,住宅
3栋2205,67.30,23902.96,52.10,30876.56,1608669.00,在售,住宅
3栋2204,67.30,23902.96,52.10,30876.56,1608669.00,在售,住宅
3栋2203,68.93,24066.52,53.36,31088.92,1658905.00,在售,住宅
3栋2202,65.05,23436.40,50.35,30278.81,1524538.00,在售,住宅
3栋2201,68.44,23659.56,52.98,30563.61,1619260.00,在售,住宅
3栋2108,68.45,23758.92,52.99,30690.66,1626298.00,在售,住宅
3栋2107,65.15,23623.88,50.43,30519.45,1539096.00,在售,住宅
3栋2106,68.93,24261.09,53.36,31340.27,1672317.00,在售,住宅
3栋2105,67.30,23867.95,52.10,30831.34,1606313.00,在售,住宅
3栋2104,67.30,23867.95,52.10,30831.34,1606313.00,在售,住宅
3栋2103,68.93,24031.51,53.36,31043.70,1656492.00,在售,住宅
3栋2102,65.05,23401.40,50.35,30233.58,1522261.00,在售,住宅
3栋2101,68.44,23624.56,52.98,30518.40,1616865.00,在售,住宅
3栋2008,68.45,23723.92,52.99,30645.44,1623902.00,在售,住宅
3栋2007,65.15,23588.89,50.43,30474.24,1536816.00,在售,住宅
3栋2006,68.93,24226.10,53.36,31295.07,1669905.00,在售,住宅
3栋2005,67.30,23832.96,52.10,30786.14,1603958.00,在售,住宅
3栋2004,67.30,23832.96,52.10,30786.14,1603958.00,在售,住宅
