房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4栋2708,89.28,65716.00,70.04,83768.19,5867212.00,在售,住宅
4栋2706,43.29,66678.00,33.96,84996.77,2886501.00,在售,住宅
4栋2705,88.61,66228.00,69.52,84414.02,5868507.00,在售,住宅
4栋2703,87.87,64717.00,68.93,82499.38,5686717.00,在售,住宅
4栋2702,43.29,66074.00,33.97,84202.04,2860353.00,在售,住宅
4栋2701,88.17,64116.00,69.17,81727.73,5653194.00,在售,住宅
4栋2608,89.28,65736.00,70.04,83793.69,5868997.00,在售,住宅
4栋2606,43.29,66698.00,33.96,85022.27,2887366.00,在售,住宅
4栋2605,88.61,66248.00,69.52,84439.51,5870279.00,在售,住宅
4栋2603,87.87,64737.00,68.93,82524.88,5688474.00,在售,住宅
4栋2602,43.29,66094.00,33.97,84227.53,2861219.00,在售,住宅
4栋2601,88.17,64136.00,69.17,81753.23,5654957.00,在售,住宅
4栋2508,89.28,65156.00,70.04,83054.36,5817215.00,在售,住宅
4栋2506,43.29,66118.00,33.96,84282.92,2862258.00,在售,住宅
4栋2505,88.61,65668.00,69.52,83700.25,5818885.00,在售,住宅
4栋2503,87.87,64157.00,68.93,81785.51,5637509.00,在售,住宅
4栋2502,43.29,65514.00,33.97,83488.40,2836111.00,在售,住宅
4栋2501,88.17,63556.00,69.17,81013.91,5603819.00,在售,住宅
4栋2408,89.28,65626.00,70.04,83653.47,5859177.00,在售,住宅
4栋2406,43.29,66588.00,33.96,84882.05,2882604.00,在售,住宅
4栋2405,88.61,66138.00,69.52,84299.31,5860532.00,在售,住宅
4栋2403,87.87,64627.00,68.93,82384.65,5678808.00,在售,住宅
4栋2402,43.29,65984.00,33.97,84087.35,2856457.00,在售,住宅
4栋2401,88.17,64026.00,69.17,81613.01,5645259.00,在售,住宅
4栋2308,89.28,65646.00,70.04,83678.96,5860962.00,在售,住宅
4栋2306,43.29,66608.00,33.96,84907.54,2883470.00,在售,住宅
4栋2305,88.61,66158.00,69.52,84324.80,5862304.00,在售,住宅
4栋2303,87.87,64647.00,68.93,82410.15,5680566.00,在售,住宅
4栋2302,43.29,66004.00,33.97,84112.83,2857323.00,在售,住宅
4栋2301,88.17,64046.00,69.17,81638.51,5647022.00,在售,住宅
4栋2208,89.28,65616.00,70.04,83640.72,5858284.00,在售,住宅
4栋2206,43.29,66578.00,33.96,84869.30,2882172.00,在售,住宅
4栋2205,88.61,66128.00,69.52,84286.56,5859646.00,在售,住宅
4栋2203,87.87,64617.00,68.93,82371.91,5677930.00,在售,住宅
