房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
14-3406,89.20,8255.53,70.19,10491.42,736393.28,在售,住宅
14-3405,68.20,9122.36,53.66,11594.20,622144.95,在售,住宅
14-3404,68.80,9122.36,54.14,11592.50,627618.37,在售,住宅
14-3403,68.80,9122.36,54.14,11592.50,627618.37,在售,住宅
14-3402,68.20,9122.36,53.66,11594.20,622144.95,在售,住宅
14-3401,89.20,8255.53,70.19,10491.42,736393.28,在售,住宅
14-3306,89.20,8255.53,70.19,10491.42,736393.28,在售,住宅
14-3305,68.20,9122.36,53.66,11594.20,622144.95,在售,住宅
14-3304,68.80,9122.36,54.14,11592.50,627618.37,在售,住宅
14-3303,68.80,9122.36,54.14,11592.50,627618.37,在售,住宅
14-3302,68.20,9122.36,53.66,11594.20,622144.95,在售,住宅
14-3301,89.20,8255.53,70.19,10491.42,736393.28,在售,住宅
14-3206,89.20,8183.75,70.19,10400.20,729990.50,在售,住宅
14-3205,68.20,9043.04,53.66,11493.39,616735.33,在售,住宅
14-3204,68.80,9043.04,54.14,11491.70,622161.15,在售,住宅
14-3203,68.80,9043.04,54.14,11491.70,622161.15,在售,住宅
14-3202,68.20,9043.04,53.66,11493.39,616735.33,在售,住宅
14-3201,89.20,8183.75,70.19,10400.20,729990.50,在售,住宅
14-3106,89.20,8111.96,70.19,10308.97,723586.83,在售,住宅
14-3105,68.20,8963.71,53.66,11392.56,611325.02,在售,住宅
14-3104,68.80,8963.71,54.14,11390.89,616703.25,在售,住宅
14-3103,68.80,8963.71,54.14,11390.89,616703.25,在售,住宅
14-3102,68.20,8963.71,53.66,11392.56,611325.02,在售,住宅
14-3101,89.20,8111.96,70.19,10308.97,723586.83,在售,住宅
14-3006,89.20,8040.17,70.19,10217.73,717183.16,在售,住宅
14-3005,68.20,8884.39,53.66,11291.75,605915.40,在售,住宅
14-3004,68.80,8884.39,54.14,11290.10,611246.03,在售,住宅
14-3003,68.80,8884.39,54.14,11290.10,611246.03,在售,住宅
14-3002,68.20,8884.39,53.66,11291.75,605915.40,在售,住宅
14-3001,89.20,8040.17,70.19,10217.73,717183.16,在售,住宅
14-2906,89.20,7968.38,70.19,10126.50,710779.50,在售,住宅
14-2905,68.20,8805.06,53.66,11190.92,600505.09,在售,住宅
14-2904,68.80,8805.06,54.14,11189.28,605788.13,在售,住宅
14-2903,68.80,8805.06,54.14,11189.28,605788.13,在售,住宅
14-2902,68.20,8805.06,53.66,11190.92,600505.09,在售,住宅
14-2901,89.20,7968.38,70.19,10126.50,710779.50,在售,住宅
14-2806,89.20,7896.60,70.19,10035.28,704376.72,在售,住宅
14-2805,68.20,8725.74,53.66,11090.11,595095.47,在售,住宅
14-2804,68.80,8725.74,54.14,11088.49,600330.91,在售,住宅
14-2803,68.80,8725.74,54.14,11088.49,600330.91,在售,住宅
14-2802,68.20,8725.74,53.66,11090.11,595095.47,在售,住宅
14-2801,89.20,7896.60,70.19,10035.28,704376.72,在售,住宅
14-2706,89.20,7824.81,70.19,9944.05,697973.05,在售,住宅
14-2705,68.20,8646.41,53.66,10989.28,589685.16,在售,住宅
14-2704,68.80,8646.41,54.14,10987.68,594873.01,在售,住宅
14-2703,68.80,8646.41,54.14,10987.68,594873.01,在售,住宅
14-2702,68.20,8646.41,53.66,10989.28,589685.16,在售,住宅
14-2701,89.20,7824.81,70.19,9944.05,697973.05,在售,住宅
14-2606,89.20,7753.02,70.19,9852.81,691569.38,在售,住宅
14-2605,68.20,8567.09,53.66,10888.47,584275.54,在售,住宅
14-2604,68.80,8567.09,54.14,10886.88,589415.79,在售,住宅
14-2603,68.80,8567.09,54.14,10886.88,589415.79,在售,住宅
14-2602,68.20,8567.09,53.66,10888.47,584275.54,在售,住宅
14-2601,89.20,7753.02,70.19,9852.81,691569.38,在售,住宅
14-2506,89.20,7681.23,70.19,9761.58,685165.72,在售,住宅
14-2505,68.20,8487.76,53.66,10787.64,578865.23,在售,住宅
14-2504,68.80,8487.76,54.14,10786.07,583957.89,在售,住宅
14-2503,68.80,8487.76,54.14,10786.07,583957.89,在售,住宅
14-2502,68.20,8487.76,53.66,10787.64,578865.23,在售,住宅
14-2501,89.20,7681.23,70.19,9761.58,685165.72,在售,住宅
14-2406,89.20,7609.45,70.19,9670.36,678762.94,在售,住宅
14-2405,68.20,8408.44,53.66,10686.83,573455.61,在售,住宅
14-2404,68.80,8408.44,54.14,10685.27,578500.67,在售,住宅
14-2403,68.80,8408.44,54.14,10685.27,578500.67,在售,住宅
14-2402,68.20,8408.44,53.66,10686.83,573455.61,在售,住宅
14-2401,89.20,7609.45,70.19,9670.36,678762.94,在售,住宅
14-2306,89.20,7537.66,70.19,9579.13,672359.27,在售,住宅
14-2305,68.20,8329.11,53.66,10586.01,568045.30,在售,住宅
14-2304,68.80,8329.11,54.14,10584.46,573042.77,在售,住宅
14-2303,68.80,8329.11,54.14,10584.46,573042.77,在售,住宅
14-2302,68.20,8329.11,53.66,10586.01,568045.30,在售,住宅
14-2301,89.20,7537.66,70.19,9579.13,672359.27,在售,住宅
14-2206,89.20,7465.87,70.19,9487.89,665955.60,在售,住宅
14-2205,68.20,8249.79,53.66,10485.19,562635.68,在售,住宅
14-2204,68.80,8249.79,54.14,10483.66,567585.55,在售,住宅
14-2203,68.80,8249.79,54.14,10483.66,567585.55,在售,住宅
14-2202,68.20,8249.79,53.66,10485.19,562635.68,在售,住宅
14-2201,89.20,7465.87,70.19,9487.89,665955.60,在售,住宅
14-2106,89.20,7394.09,70.19,9396.67,659552.83,在售,住宅
14-2105,68.20,8170.46,53.66,10384.37,557225.37,在售,住宅
14-2104,68.80,8170.46,54.14,10382.85,562127.65,在售,住宅
14-2103,68.80,8170.46,54.14,10382.85,562127.65,在售,住宅
14-2102,68.20,8170.46,53.66,10384.37,557225.37,在售,住宅
14-2101,89.20,7394.09,70.19,9396.67,659552.83,在售,住宅
14-2006,89.20,7322.30,70.19,9305.44,653149.16,在售,住宅
14-2005,68.20,8091.14,53.66,10283.55,551815.75,在售,住宅
14-2004,68.80,8091.14,54.14,10282.05,556670.43,在售,住宅
14-2003,68.80,8091.14,54.14,10282.05,556670.43,在售,住宅
14-2002,68.20,8091.14,53.66,10283.55,551815.75,在售,住宅
14-2001,89.20,7322.30,70.19,9305.44,653149.16,在售,住宅
14-1906,89.20,7250.51,70.19,9214.21,646745.49,在售,住宅
14-1905,68.20,8011.81,53.66,10182.73,546405.44,在售,住宅
14-1904,68.80,8011.81,54.14,10181.24,551212.53,在售,住宅
14-1903,68.80,8011.81,54.14,10181.24,551212.53,在售,住宅
14-1902,68.20,8011.81,53.66,10182.73,546405.44,在售,住宅
14-1901,89.20,7250.51,70.19,9214.21,646745.49,在售,住宅
14-1806,89.20,7178.72,70.19,9122.97,640341.82,在售,住宅
14-1805,68.20,7932.49,53.66,10081.91,540995.82,在售,住宅
14-1804,68.80,7932.49,54.14,10080.44,545755.31,在售,住宅
14-1803,68.80,7932.49,54.14,10080.44,545755.31,在售,住宅
14-1802,68.20,7932.49,53.66,10081.91,540995.82,在售,住宅
14-1801,89.20,7178.72,70.19,9122.97,640341.82,在售,住宅
14-1706,89.20,7178.72,70.19,9122.97,640341.82,在售,住宅
14-1705,68.20,7932.49,53.66,10081.91,540995.82,在售,住宅
14-1704,68.80,7932.49,54.14,10080.44,545755.31,在售,住宅
14-1703,68.80,7932.49,54.14,10080.44,545755.31,在售,住宅
14-1702,68.20,7932.49,53.66,10081.91,540995.82,在售,住宅
14-1701,89.20,7178.72,70.19,9122.97,640341.82,在售,住宅
14-1606,89.20,7106.94,70.19,9031.75,633939.05,在售,住宅
14-1605,68.20,7853.16,53.66,9981.09,535585.51,在售,住宅
14-1604,68.80,7853.16,54.14,9979.63,540297.41,在售,住宅
14-1603,68.80,7853.16,54.14,9979.63,540297.41,在售,住宅
14-1602,68.20,7853.16,53.66,9981.09,535585.51,在售,住宅
14-1601,89.20,7106.94,70.19,9031.75,633939.05,在售,住宅
14-1506,89.20,7035.15,70.19,8940.52,627535.38,在售,住宅
14-1505,68.20,7773.84,53.66,9880.28,530175.89,在售,住宅
14-1504,68.80,7773.84,54.14,9878.83,534840.19,在售,住宅
14-1503,68.80,7773.84,54.14,9878.83,534840.19,在售,住宅
14-1502,68.20,7773.84,53.66,9880.28,530175.89,在售,住宅
14-1501,89.20,7035.15,70.19,8940.52,627535.38,在售,住宅
14-1406,89.20,6963.36,70.19,8849.29,621131.71,在售,住宅
14-1405,68.20,7694.51,53.66,9779.45,524765.58,在售,住宅
14-1404,68.80,7694.51,54.14,9778.02,529382.29,在售,住宅
14-1403,68.80,7694.51,54.14,9778.02,529382.29,在售,住宅
14-1402,68.20,7694.51,53.66,9779.45,524765.58,在售,住宅
14-1401,89.20,6963.36,70.19,8849.29,621131.71,在售,住宅
14-1306,89.20,6891.57,70.19,8758.05,614728.04,在售,住宅
14-1305,68.20,7615.19,53.66,9678.64,519355.96,在售,住宅
14-1304,68.80,7615.19,54.14,9677.22,523925.07,在售,住宅
14-1303,68.80,7615.19,54.14,9677.22,523925.07,在售,住宅
14-1302,68.20,7615.19,53.66,9678.64,519355.96,在售,住宅
