房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋C40,67.45,49696.25,66.02,50772.00,3352012.00,在售,商业
3栋C39,95.09,47386.74,93.08,48410.00,4506005.00,在售,商业
3栋C38,58.97,48485.44,57.72,49535.00,2859186.00,在售,商业
3栋C37,55.91,49346.85,54.72,50419.00,2758982.00,在售,商业
3栋C36,73.14,52469.34,71.59,53605.00,3837607.00,在售,商业
3栋C35,70.75,55190.89,69.25,56386.00,3904755.00,在售,商业
3栋C34,34.57,57249.30,33.84,58484.00,1979108.00,在售,商业
3栋C33,34.58,71612.71,33.85,73157.00,2476367.00,在售,商业
3栋C32,46.46,66685.22,45.48,68122.00,3098195.00,在售,商业
3栋C31,54.55,57199.03,53.40,58430.00,3120207.00,在售,商业
3栋C30,89.09,58751.11,87.20,60024.00,5234136.00,在售,商业
3栋C29,56.26,65151.91,55.07,66559.00,3665446.00,在售,商业
3栋C28,56.18,65151.91,54.99,66561.00,3660234.00,在售,商业
3栋C27,90.29,59763.46,88.38,61055.00,5396042.00,在售,商业
3栋C26,47.14,66500.83,46.14,67942.00,3134849.00,在售,商业
3栋C25,49.45,67080.23,48.40,68535.00,3317117.00,在售,商业
3栋C24,49.45,68659.18,48.40,70148.00,3395196.00,在售,商业
3栋C23,51.00,70059.83,49.92,71575.00,3573051.00,在售,商业
2栋C22,51.79,67604.37,49.92,70136.00,3501230.00,在售,商业
2栋C21,50.21,66898.47,48.40,69400.00,3358972.00,在售,商业
2栋C20,47.70,65475.83,45.98,67925.00,3123197.00,在售,商业
2栋C19,51.68,62967.46,49.82,65318.00,3254158.00,在售,商业
2栋C18,82.10,61056.13,79.14,63339.00,5012708.00,在售,商业
2栋C17,75.33,60448.58,72.62,62704.00,4553591.00,在售,商业
2栋C14,122.78,47205.01,118.35,48971.00,5795831.00,在售,商业
2栋C13,65.14,52331.26,62.79,54289.00,3408858.00,在售,商业
2栋C12,65.14,55182.27,62.79,57247.00,3594573.00,在售,商业
2栋C11,63.83,51749.48,62.10,53191.00,3303169.00,在售,商业
2栋C10,67.59,51707.40,65.76,53146.00,3494903.00,在售,商业
2栋C09,59.13,53167.55,57.53,54646.00,3143797.00,在售,商业
2栋C08,49.22,49984.30,47.88,51383.00,2460227.00,在售,商业
2栋C07,72.08,41076.53,70.13,42218.00,2960796.00,在售,商业
2栋C06,61.02,48122.16,59.37,49459.00,2936414.00,在售,商业
2栋C05,47.54,52438.39,46.25,53900.00,2492921.00,在售,商业
1栋B54,1106.59,28402.15,877.80,35804.00,31429540.00,在售,商业
1栋B41,34.01,60092.07,26.98,75749.00,2043731.00,在售,商业
1栋B40,35.80,40032.77,28.40,50463.00,1433173.00,在售,商业
1栋B39,35.80,40638.05,28.40,51226.00,1454842.00,在售,商业
1栋B38,35.80,40032.77,28.40,50463.00,1433173.00,在售,商业
1栋B37,35.80,60092.07,28.40,75749.00,2151296.00,在售,商业
1栋B36,37.60,59565.75,29.82,75106.00,2239672.00,在售,商业
1栋B35,23.72,57453.67,18.82,72412.00,1362801.00,在售,商业
1栋B34,19.60,51137.88,15.55,64456.00,1002302.00,在售,商业
1栋B33,34.80,51137.88,27.61,64454.00,1779598.00,在售,商业
1栋B31,6.22,57199.04,4.93,72165.00,355778.00,在售,商业
1栋B30,26.53,49295.78,21.04,62158.00,1307817.00,在售,商业
1栋B29,79.38,44032.62,62.97,55507.00,3495309.00,在售,商业
1栋B28,22.54,53243.14,17.88,67119.00,1200100.00,在售,商业
1栋B27,23.47,55611.56,18.62,70096.00,1305203.00,在售,商业
1栋B26,24.40,58932.75,19.35,74313.00,1437959.00,在售,商业
1栋B25,43.31,48076.53,34.35,60617.00,2082194.00,在售,商业
1栋B24,58.80,30076.54,46.65,37909.00,1768500.00,在售,商业
1栋B23,28.37,31076.53,22.51,39166.00,881641.00,在售,商业
1栋B22,18.90,54032.61,14.99,68126.00,1021216.00,在售,商业
1栋B14,54.79,62632.05,43.46,78960.00,3431610.00,在售,商业
1栋B13,10.16,62986.82,8.06,79397.00,639946.00,在售,商业
1栋B12,39.33,59036.03,31.20,74419.00,2321887.00,在售,商业
1栋B11,36.38,55611.58,28.86,70102.00,2023149.00,在售,商业
1栋B10,35.99,54295.78,28.55,68445.00,1954105.00,在售,商业
1栋B09,69.20,44558.94,54.89,56175.00,3083478.00,在售,商业
1栋B08,58.33,53124.35,46.27,66970.00,3098743.00,在售,商业
1栋B07,15.08,53243.17,11.96,67132.00,802907.00,在售,商业
1栋B06,17.53,50716.83,13.91,63915.00,889066.00,在售,商业
1栋B05,17.90,53769.45,14.20,67779.00,962473.00,在售,商业
1栋B04,17.90,53769.45,14.20,67779.00,962473.00,在售,商业
1栋B03,17.90,51769.45,14.20,65258.00,926673.00,在售,商业
1栋B02,17.90,55611.57,14.20,70101.00,995447.00,在售,商业
1栋B01,17.68,60774.85,14.02,76640.00,1074499.00,在售,商业
1栋A17,52.42,93508.25,41.58,117886.00,4901702.00,在售,商业
1栋A16,52.42,94297.72,41.58,118881.00,4943086.00,在售,商业
1栋A15,35.20,120000.00,27.92,151289.00,4224000.00,在售,商业
1栋A14,36.65,120000.00,29.07,151289.00,4398000.00,在售,商业
1栋A13,51.93,94297.71,41.19,118885.00,4896880.00,在售,商业
1栋A12,48.04,93508.25,38.11,117872.00,4492136.00,在售,商业
1栋A11,53.98,91666.14,42.82,115556.00,4948138.00,在售,商业
1栋A10,68.82,92455.61,54.59,116556.00,6362795.00,在售,商业
1栋A09,17.26,95613.50,13.69,120547.00,1650289.00,在售,商业
1栋A08,43.07,92981.93,34.16,117234.00,4004731.00,在售,商业
1栋A07,39.12,94824.03,31.04,119507.00,3709516.00,在售,商业
1栋A06,41.10,95350.35,32.60,120211.00,3918899.00,在售,商业
1栋A05,41.10,95350.35,32.60,120211.00,3918899.00,在售,商业
1栋A04,153.26,67419.62,121.57,84994.00,10332731.00,在售,商业
1栋A03,114.72,70970.17,91.00,89469.00,8141698.00,在售,商业
1栋A02,41.10,96139.81,32.60,121206.00,3951346.00,在售,商业
1栋A01,185.23,66542.59,146.93,83888.00,12325684.00,在售,商业
3栋B座28F,95.44,20920.03,76.38,26140.45,1996608.00,在售,商务公寓
3栋B座27F,95.44,21260.94,76.38,26566.44,2029145.00,在售,商务公寓
3栋B座26F,95.44,21158.66,76.38,26438.63,2019383.00,在售,商务公寓
3栋B座25F,95.44,21283.67,76.38,26594.84,2031314.00,在售,商务公寓
3栋B座24F,95.44,21238.21,76.38,26538.03,2026975.00,在售,商务公寓
3栋B座23F,95.44,21295.03,76.38,26609.03,2032398.00,在售,商务公寓
3栋B座22F,95.44,21215.48,76.38,26509.63,2024806.00,在售,商务公寓
3栋B座21F,95.44,21249.59,76.38,26552.25,2028061.00,在售,商务公寓
3栋B座10F,95.44,20988.21,76.38,26225.64,2003115.00,在售,商务公寓
3栋B座9F,95.44,21022.31,76.38,26268.26,2006370.00,在售,商务公寓
3栋B座8F,95.44,20885.94,76.38,26097.86,1993355.00,在售,商务公寓
3栋B座7F,95.44,20976.85,76.38,26211.45,2002031.00,在售,商务公寓
3栋B座6F,95.44,20840.48,76.38,26041.05,1989016.00,在售,商务公寓
3栋B座5F,95.44,20931.40,76.38,26154.66,1997693.00,在售,商务公寓
3栋B座4F,95.44,20908.67,76.38,26126.26,1995524.00,在售,商务公寓
3栋B座3F,95.44,20908.67,76.38,26126.26,1995524.00,在售,商务公寓
3栋B座2F,95.44,20772.31,76.38,25955.87,1982510.00,在售,商务公寓
3栋B座28E,95.44,20907.82,76.38,26125.20,1995443.00,在售,商务公寓
