房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
5栋A座1D22,57.45,44918.63,56.11,45991.00,2580575.00,在售,商业
5栋A座1D21,72.29,43076.53,70.61,44101.00,3114002.00,在售,商业
5栋A座1D20,42.85,45181.80,41.86,46250.00,1936040.00,在售,商业
5栋A座1D19,42.85,45181.80,41.86,46250.00,1936040.00,在售,商业
5栋A座1D18,72.28,44414.57,70.61,45465.00,3210285.00,在售,商业
5栋A座1D16,28.41,61871.99,27.75,63343.00,1757783.00,在售,商业
5栋A座1D15,77.54,59008.01,75.75,60402.00,4575481.00,在售,商业
5栋A座1D14,62.25,58218.54,60.81,59597.00,3624104.00,在售,商业
5栋A座1D13,77.61,55586.97,75.81,56906.00,4314104.00,在售,商业
5栋A座1D12,48.39,58481.70,47.26,59880.00,2829929.00,在售,商业
5栋A座1D11,48.37,58218.55,47.24,59611.00,2816031.00,在售,商业
5栋A座1D10,80.49,55586.96,78.62,56909.00,4474194.00,在售,商业
5栋A座1D09,64.60,58218.53,63.10,59602.00,3760917.00,在售,商业
5栋A座1D08,56.72,58744.86,55.40,60144.00,3332008.00,在售,商业
5栋A座1D07,56.72,60850.11,55.40,62299.00,3451418.00,在售,商业
5栋A座1D06,58.63,63448.56,57.27,64955.00,3719989.00,在售,商业
4栋1D05,115.33,59376.81,111.51,61410.00,6847927.00,在售,商业
4栋1D04,92.04,57692.23,88.99,59669.00,5309992.00,在售,商业
4栋1D03,59.77,60060.64,57.79,62118.00,3589824.00,在售,商业
5栋A座25F,96.78,20671.44,76.18,26261.24,2000582.00,在售,商务公寓
5栋A座26F,96.78,20771.43,76.18,26388.27,2010259.00,在售,商务公寓
5栋A座27F,96.78,20760.33,76.18,26374.17,2009185.00,在售,商务公寓
5栋A座28F,96.78,20426.99,76.18,25950.70,1976925.00,在售,商务公寓
5栋A座25E,96.78,20842.28,76.18,26478.28,2017116.00,在售,商务公寓
5栋A座26E,96.78,20942.29,76.18,26605.34,2026795.00,在售,商务公寓
5栋A座27E,96.78,20931.17,76.18,26591.21,2025719.00,在售,商务公寓
5栋A座28E,96.78,20597.84,76.18,26167.74,1993459.00,在售,商务公寓
5栋A座2D,73.84,20603.68,58.12,26176.46,1521376.00,在售,商务公寓
5栋A座3D,73.84,20737.02,58.12,26345.87,1531222.00,在售,商务公寓
5栋A座4D,73.84,20737.02,58.12,26345.87,1531222.00,在售,商务公寓
5栋A座5D,73.84,20959.23,58.12,26628.18,1547630.00,在售,商务公寓
5栋A座6D,73.84,20870.35,58.12,26515.26,1541067.00,在售,商务公寓
5栋A座7D,73.84,20948.13,58.12,26614.07,1546810.00,在售,商务公寓
5栋A座8D,73.84,20914.78,58.12,26571.71,1544348.00,在售,商务公寓
5栋A座9D,73.84,20992.57,58.12,26670.54,1550092.00,在售,商务公寓
5栋A座10D,73.84,21070.35,58.12,26769.35,1555835.00,在售,商务公寓
5栋A座11D,73.84,21037.02,58.12,26727.01,1553374.00,在售,商务公寓
5栋A座12D,73.84,21114.80,58.12,26825.82,1559117.00,在售,商务公寓
