房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
D座1023,70.84,56696.20,49.39,81319.00,4016359.00,在售,办公
D座1021,53.77,55881.10,37.48,80169.00,3004727.00,在售,办公
D座1020,53.77,55881.10,37.48,80169.00,3004727.00,在售,办公
D座1019,53.77,52156.50,37.49,74805.00,2804455.00,在售,办公
D座1018,53.77,52468.90,37.48,75274.00,2821253.00,在售,办公
D座1017,53.77,56294.70,37.48,80762.00,3026966.00,在售,办公
D座1016,53.32,56718.20,37.17,81362.00,3024214.00,在售,办公
D座1015,70.84,56778.70,49.39,81438.00,4022203.00,在售,办公
D座1012,53.32,53868.10,37.17,77273.00,2872247.00,在售,办公
D座1011,53.70,53868.10,37.43,77283.00,2892717.00,在售,办公
D座1010,53.77,53868.10,37.48,77281.00,2896488.00,在售,办公
D座1009,53.70,53868.10,37.43,77283.00,2892717.00,在售,办公
D座1008,70.84,54191.50,49.39,77727.00,3838926.00,在售,办公
D座1007,53.32,53653.60,37.17,76966.00,2860810.00,在售,办公
D座1006,53.77,53333.50,37.49,76494.00,2867742.00,在售,办公
D座1005,53.77,53333.50,37.49,76494.00,2867742.00,在售,办公
D座1003,53.77,53333.50,37.49,76494.00,2867742.00,在售,办公
D座1002,53.32,53443.50,37.17,76664.00,2849607.00,在售,办公
D座1001,70.84,54992.30,49.39,78875.00,3895655.00,在售,办公
D座0923,70.84,56856.80,49.39,81550.00,4027736.00,在售,办公
D座0922,51.72,56392.61,36.05,80905.00,2916626.00,在售,办公
D座0921,53.77,56041.70,37.48,80399.00,3013362.00,在售,办公
D座0920,53.77,56041.70,37.48,80399.00,3013362.00,在售,办公
D座0919,53.77,52317.10,37.49,75036.00,2813090.00,在售,办公
D座0918,53.77,52629.50,37.48,75504.00,2829888.00,在售,办公
D座0917,53.77,56455.30,37.48,80993.00,3035601.00,在售,办公
D座0916,53.32,56878.80,37.17,81592.00,3032778.00,在售,办公
D座0915,70.84,56939.30,49.39,81668.00,4033580.00,在售,办公
D座0913,70.84,54851.50,49.39,78673.00,3885680.00,在售,办公
D座0912,53.32,54028.70,37.17,77504.00,2880810.00,在售,办公
D座0911,53.70,54028.70,37.43,77514.00,2901341.00,在售,办公
D座0910,53.77,54028.70,37.48,77511.00,2905123.00,在售,办公
D座0909,53.70,54028.70,37.43,77514.00,2901341.00,在售,办公
D座0908,70.84,54352.10,49.39,77957.00,3850303.00,在售,办公
D座0907,53.32,53814.20,37.17,77196.00,2869373.00,在售,办公
D座0906,53.77,53494.10,37.49,76724.00,2876378.00,在售,办公
D座0905,53.77,53494.10,37.49,76724.00,2876378.00,在售,办公
D座0903,53.77,53494.10,37.49,76724.00,2876378.00,在售,办公
D座0902,53.32,53604.10,37.17,76895.00,2858171.00,在售,办公
D座0901,70.84,55152.90,49.39,79106.00,3907031.00,在售,办公
D座0823,70.84,56533.40,49.39,81086.00,4004826.00,在售,办公
D座0821,53.77,55718.30,37.48,79935.00,2995973.00,在售,办公
D座0820,53.77,55718.30,37.48,79935.00,2995973.00,在售,办公
D座0819,53.77,51993.70,37.49,74572.00,2795701.00,在售,办公
D座0818,53.77,52306.10,37.48,75040.00,2812499.00,在售,办公
D座0817,53.77,56131.90,37.48,80529.00,3018212.00,在售,办公
D座0816,53.32,56555.40,37.17,81128.00,3015534.00,在售,办公
D座0815,70.84,56615.90,49.39,81204.00,4010670.00,在售,办公
D座0813,70.84,54528.10,49.39,78210.00,3862771.00,在售,办公
D座0812,53.32,53705.30,37.17,77040.00,2863567.00,在售,办公
D座0811,53.70,53705.30,37.43,77050.00,2883975.00,在售,办公
D座0810,53.77,53705.30,37.48,77047.00,2887734.00,在售,办公
D座0809,53.70,53705.30,37.43,77050.00,2883975.00,在售,办公
D座0808,70.84,54028.70,49.39,77493.00,3827393.00,在售,办公
D座0801,70.84,54829.50,49.39,78642.00,3884122.00,在售,办公
D座0715,70.84,56292.50,49.39,80740.00,3987761.00,在售,办公
D座0713,70.84,54204.70,49.39,77746.00,3839861.00,在售,办公
D座0615,70.84,55969.10,49.39,80276.00,3964851.00,在售,办公
D座0613,70.84,53881.30,49.39,77282.00,3816951.00,在售,办公
D座0523,70.84,55563.20,49.39,79694.00,3936097.00,在售,办公
D座0522,51.72,55099.00,36.05,79049.00,2849720.00,在售,办公
D座0521,53.77,54748.10,37.48,78543.00,2943805.00,在售,办公
D座0520,53.77,54748.10,37.48,78543.00,2943805.00,在售,办公
D座0519,53.77,51023.50,37.49,73180.00,2743534.00,在售,办公
D座0518,53.77,51335.90,37.48,73648.00,2760331.00,在售,办公
D座0517,53.77,55161.70,37.48,79137.00,2966045.00,在售,办公
D座0516,53.32,55585.20,37.17,79736.00,2963803.00,在售,办公
D座0515,70.84,55645.70,49.39,79813.00,3941941.00,在售,办公
D座0513,70.84,53557.90,49.39,76818.00,3794042.00,在售,办公
D座0512,53.32,52735.10,37.17,75648.00,2811836.00,在售,办公
D座0511,53.70,52735.10,37.43,75658.00,2831875.00,在售,办公
D座0510,53.77,52735.10,37.48,75655.00,2835566.00,在售,办公
D座0509,53.70,52735.10,37.43,75658.00,2831875.00,在售,办公
D座0508,70.84,53058.50,49.39,76102.00,3758664.00,在售,办公
D座0507,53.32,52520.60,37.17,75340.00,2800398.00,在售,办公
D座0506,53.77,52200.50,37.49,74869.00,2806821.00,在售,办公
D座0505,53.77,52200.50,37.49,74869.00,2806821.00,在售,办公
D座0503,53.77,52200.50,37.49,74869.00,2806821.00,在售,办公
D座0502,53.32,52310.50,37.17,75039.00,2789196.00,在售,办公
D座0501,70.84,53859.30,49.39,77250.00,3815393.00,在售,办公
D座0423,70.84,55239.80,49.39,79230.00,3913187.00,在售,办公
D座0422,51.72,54775.60,36.05,78585.00,2832994.00,在售,办公
D座0421,53.77,54424.70,37.48,78079.00,2926416.00,在售,办公
D座0420,53.77,54424.70,37.48,78079.00,2926416.00,在售,办公
D座0419,53.77,50700.10,37.49,72717.00,2726144.00,在售,办公
D座0418,53.77,51012.50,37.48,73184.00,2742942.00,在售,办公
D座0417,53.77,54838.30,37.48,78673.00,2948655.00,在售,办公
D座0416,53.32,55261.80,37.17,79273.00,2946559.00,在售,办公
D座0415,70.84,55322.30,49.39,79349.00,3919032.00,在售,办公
D座0413,70.84,53234.50,49.39,76354.00,3771132.00,在售,办公
D座0412,53.32,52411.70,37.17,75184.00,2794592.00,在售,办公
D座0411,53.70,52411.70,37.43,75194.00,2814508.00,在售,办公
D座0410,53.77,52411.70,37.48,75191.00,2818177.00,在售,办公
D座0409,53.70,52411.70,37.43,75194.00,2814508.00,在售,办公
D座0408,70.84,52735.10,49.39,75638.00,3735754.00,在售,办公
D座0407,53.32,52197.20,37.17,74876.00,2783155.00,在售,办公
D座0406,53.77,51877.10,37.49,74405.00,2789432.00,在售,办公
D座0405,53.77,51877.10,37.49,74405.00,2789432.00,在售,办公
D座0403,53.77,51877.10,37.49,74405.00,2789432.00,在售,办公
D座0402,53.32,51987.10,37.17,74575.00,2771952.00,在售,办公
D座0401,70.84,53535.90,49.39,76786.00,3792483.00,在售,办公
D座0323,70.84,54432.40,49.39,78072.00,3855991.00,在售,办公
D座0322,51.72,53968.20,36.05,77427.00,2791235.00,在售,办公
D座0321,53.77,53617.30,37.48,76921.00,2883002.00,在售,办公
D座0320,53.77,53617.30,37.48,76921.00,2883002.00,在售,办公
D座0319,53.77,49892.70,37.49,71559.00,2682730.00,在售,办公
D座0318,53.77,50205.10,37.49,72007.00,2699528.00,在售,办公
D座0317,53.77,54030.90,37.49,77494.00,2905241.00,在售,办公
D座0316,53.32,54454.40,37.17,78114.00,2903509.00,在售,办公
D座0315,70.84,54514.90,49.39,78191.00,3861836.00,在售,办公
D座0313,70.84,52427.10,49.39,75196.00,3713936.00,在售,办公
D座0312,53.32,51604.30,37.17,74026.00,2751541.00,在售,办公
D座0311,53.70,51604.30,37.43,74036.00,2771151.00,在售,办公
D座0310,53.77,51604.30,37.48,74033.00,2774763.00,在售,办公
D座0309,53.70,51604.30,37.43,74036.00,2771151.00,在售,办公
D座0308,70.84,51819.90,49.39,74325.00,3670922.00,在售,办公
D座0307,53.32,51282.00,37.17,73564.00,2734356.00,在售,办公
D座0306,53.77,50961.90,37.49,73092.00,2740221.00,在售,办公
D座0305,53.77,50961.90,37.49,73092.00,2740221.00,在售,办公
D座0303,53.77,50961.90,37.49,73092.00,2740221.00,在售,办公
