房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
9座29M,49.51,37517.10,36.53,50847.00,1857471.00,在售,9座29L
49.51,37517.10,36.53,50847.00,1857471.00,在售,9座29K,49.51
37493.96,36.53,50816.00,1856325.00,在售,9座29J,49.51,37520.65
36.53,50852.00,1857647.00,在售,9座29H,67.19,39779.08,49.57
53918.00,2672756.00,在售
9座29G,67.19,40385.24,49.57,54740.00,2713484.00,在售,9座29F
49.51,37969.14,36.53,51460.00,1879852.00,在售,9座29E,49.51
37942.45,36.53,51424.00,1878530.00,在售,9座29D,49.51,37969.14
36.53,51460.00,1879852.00,在售,9座29C,49.51,37969.14,36.53
51460.00,1879852.00,在售
9座29B,67.19,40384.17,49.57,54739.00,2713412.00,在售,9座29A
67.19,39795.10,49.57,53940.00,2673832.00,在售,9座28M,49.51
37645.23,36.53,51021.00,1863815.00,在售,9座28L,49.51,37645.23
36.53,51021.00,1863815.00,在售,9座28K,49.51,37622.11,36.53
50990.00,1862670.00,在售
9座28J,49.51,24516.10,36.53,33227.28,1213792.55,在售,9座28H
67.19,26343.17,49.57,35707.03,1769997.79,在售,9座28G,67.19
26665.59,49.57,36144.06,1791661.39,在售,9座28F,49.51,38097.28
36.53,51634.00,1886196.00,在售,9座28E,49.51,38070.57,36.53
51597.00,1884873.00,在售
9座28D,49.51,38097.28,36.53,51634.00,1886196.00,在售,9座28C
49.51,38097.28,36.53,51634.00,1886196.00,在售,9座28B,67.19
25698.32,49.57,34832.97,1726670.58,在售,9座28A,67.19,26020.74
49.57,35270.00,1748334.18,在售,9座27M,49.51,37517.10,36.53
50847.00,1857471.00,在售
9座27L,49.51,37517.10,36.53,50847.00,1857471.00,在售,9座27K
49.51,37493.96,36.53,50816.00,1856325.00,在售,9座27J,49.51
24482.40,36.53,33181.59,1212123.68,在售,9座27H,67.19,26309.46
49.57,35661.34,1767732.96,在售,9座27G,67.19,26631.88,49.57
36098.37,1789396.56,在售
9座27F,49.51,37969.14,36.53,51460.00,1879852.00,在售,9座27E
49.51,37942.45,36.53,51424.00,1878530.00,在售,9座27D,49.51
37969.14,36.53,51460.00,1879852.00,在售,9座27C,49.51,37969.14
36.53,51460.00,1879852.00,在售,9座27B,67.19,25664.61,49.57
34787.28,1724405.75,在售
9座27A,67.19,25987.04,49.57,35224.31,1746069.35,在售,9座26M
49.51,37559.80,36.53,50905.00,1859585.00,在售,9座26L,49.51
37559.80,36.53,50905.00,1859585.00,在售,9座26K,49.51,37536.68
36.53,50874.00,1858441.00,在售,9座26J,49.51,24448.69,36.53
33135.91,1210454.80,在售
