房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2-2076,50.02,112500.00,33.68,167079.86,5627250.00,在售,商铺
2-2075,75.17,106000.00,50.62,157408.53,7968020.00,在售,商铺
2-2074,61.43,108500.00,41.36,161149.78,6665155.00,在售,商铺
2-2073,80.88,104500.00,54.46,155195.73,8451960.00,在售,商铺
2-2072,76.38,106000.00,51.43,157423.29,8096280.00,在售,商铺
2-2071,62.34,108500.00,41.98,161121.72,6763890.00,在售,商铺
2-2070,44.66,114500.00,30.07,170055.53,5113570.00,在售,商铺
2-2069,43.43,114500.00,29.24,170066.17,4972735.00,在售,商铺
2-2068,62.22,108500.00,41.89,161157.07,6750870.00,在售,商铺
2-2067,40.68,114500.00,27.39,170056.95,4657860.00,在售,商铺
2-2066,115.91,98500.00,78.05,146279.75,11417135.00,在售,商铺
2-2065,64.27,108500.00,43.28,161120.49,6973295.00,在售,商铺
2-2064,80.56,104500.00,54.25,155180.09,8418520.00,在售,商铺
2-2063,95.24,102000.00,64.13,151481.05,9714480.00,在售,商铺
2-2062,77.02,106000.00,51.87,157395.79,8164120.00,在售,商铺
2-2061,63.17,108500.00,42.54,161117.65,6853945.00,在售,商铺
2-2060,86.40,104000.00,58.18,154444.82,8985600.00,在售,商铺
2-2059,85.18,104000.00,57.36,154440.72,8858720.00,在售,商铺
2-2058,74.93,106500.00,50.46,158145.95,7980045.00,在售,商铺
2-2057,37.23,115000.00,25.07,170779.81,4281450.00,在售,商铺
2-2056,112.25,98500.00,75.59,146271.00,11056625.00,在售,商铺
2-2055,70.38,106500.00,47.39,158165.64,7495470.00,在售,商铺
2-2054,130.01,98000.00,87.54,145544.66,12740980.00,在售,商铺
2-2053,187.06,93000.00,125.96,138111.94,17396580.00,在售,商铺
2-2052,180.19,93000.00,121.33,138116.45,16757670.00,在售,商铺
2-2051,125.65,98000.00,84.61,145534.80,12313700.00,在售,商铺
2-2050,103.91,98500.00,69.97,146278.90,10235135.00,在售,商铺
2-2049,81.51,104500.00,54.89,155179.35,8517795.00,在售,商铺
2-2048,83.42,104500.00,56.17,155196.54,8717390.00,在售,商铺
2-2047,73.51,106500.00,49.50,158157.87,7828815.00,在售,商铺
2-2046,42.78,114500.00,28.81,170021.17,4898310.00,在售,商铺
2-2045,200.79,91000.00,135.21,135137.12,18271890.00,在售,商铺
2-2044,373.59,91000.00,251.56,135143.46,33996690.00,在售,商铺
2-1089,39.73,165000.00,33.68,194639.25,6555450.00,在售,商铺
2-1088,49.11,164000.00,41.63,193467.21,8054040.00,在售,商铺
2-1087,82.06,154500.00,69.56,182263.80,12678270.00,在售,商铺
