房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B座27D,115.26,39419.19,87.67,51824.52,4543456.00,在售,住宅
B座27C,114.32,41569.31,86.95,54654.44,4752204.00,在售,住宅
B座27B,85.97,41080.64,65.39,54009.83,3531703.00,在售,住宅
B座27A,85.80,37873.31,65.26,49793.59,3249530.00,在售,住宅
B座26D,115.26,38889.19,87.67,51127.72,4482368.00,在售,住宅
B座26C,114.32,41039.31,86.95,53957.60,4691614.00,在售,住宅
B座26B,85.97,40550.64,65.39,53313.02,3486139.00,在售,住宅
B座26A,85.80,38843.31,65.26,51068.89,3332756.00,在售,住宅
B座25D,115.26,39859.19,87.67,52402.98,4594170.00,在售,住宅
B座25C,114.32,42009.31,86.95,55232.93,4802504.00,在售,住宅
B座25B,85.97,41520.64,65.39,54588.30,3569529.00,在售,住宅
B座25A,85.80,38313.31,65.26,50372.08,3287282.00,在售,住宅
B座24D,115.26,38829.19,87.67,51048.84,4475452.00,在售,住宅
B座24C,114.32,40979.31,86.95,53878.72,4684755.00,在售,住宅
B座24B,85.97,40490.64,65.39,53234.13,3480980.00,在售,住宅
B座24A,85.80,38783.31,65.26,50990.00,3327608.00,在售,住宅
B座23D,115.26,39799.19,87.67,52324.11,4587255.00,在售,住宅
B座23C,114.32,41949.31,86.95,55154.05,4795645.00,在售,住宅
B座23B,85.97,41460.64,65.39,54509.42,3564371.00,在售,住宅
B座23A,85.80,38253.31,65.26,50293.19,3282134.00,在售,住宅
B座22D,115.26,38769.19,87.67,50969.96,4468537.00,在售,住宅
B座22C,114.32,40919.31,86.95,53799.83,4677896.00,在售,住宅
B座22B,85.97,40430.64,65.39,53155.25,3475822.00,在售,住宅
B座22A,85.80,38723.31,65.26,50911.12,3322460.00,在售,住宅
B座21D,115.26,39739.19,87.67,52245.22,4580339.00,在售,住宅
B座21C,114.32,41889.31,86.95,55075.16,4788786.00,在售,住宅
B座21B,85.97,41400.64,65.39,54430.53,3559213.00,在售,住宅
B座21A,85.80,38193.31,65.26,50214.31,3276986.00,在售,住宅
B座20D,115.26,38709.19,87.67,50891.08,4461621.00,在售,住宅
B座20C,114.32,40859.31,86.95,53720.94,4671036.00,在售,住宅
B座20B,85.97,40370.64,65.39,53076.37,3470664.00,在售,住宅
B座20A,85.80,38663.31,65.26,50832.24,3317312.00,在售,住宅
B座19D,115.26,39669.19,87.67,52153.19,4572271.00,在售,住宅
B座19C,114.32,41819.31,86.95,54983.13,4780784.00,在售,住宅
B座19B,85.97,41330.64,65.39,54338.50,3553195.00,在售,住宅
B座19A,85.80,38123.31,65.26,50122.28,3270980.00,在售,住宅
B座18D,115.26,38629.19,87.67,50785.90,4452400.00,在售,住宅
B座18C,114.32,40779.31,86.95,53615.76,4661891.00,在售,住宅
B座18B,85.97,40290.64,65.39,52971.18,3463786.00,在售,住宅
B座18A,85.80,38583.31,65.26,50727.06,3310448.00,在售,住宅
B座17D,115.26,39589.19,87.67,52048.02,4563050.00,在售,住宅
B座17C,114.32,41739.31,86.95,54877.95,4771638.00,在售,住宅
B座17B,85.97,41250.64,65.39,54233.33,3546318.00,在售,住宅
B座17A,85.80,38043.31,65.26,50017.10,3264116.00,在售,住宅
B座16D,115.26,38549.19,87.67,50680.73,4443180.00,在售,住宅
B座16C,114.32,40699.31,86.95,53510.58,4652745.00,在售,住宅
B座16B,85.97,40210.64,65.39,52866.01,3456909.00,在售,住宅
B座16A,85.80,38503.31,65.26,50621.88,3303584.00,在售,住宅
B座15D,115.26,39509.19,87.67,51942.84,4553829.00,在售,住宅
B座15C,114.32,41659.31,86.95,54772.76,4762492.00,在售,住宅
B座15B,85.97,41170.64,65.39,54128.15,3539440.00,在售,住宅
B座15A,85.80,37963.31,65.26,49911.92,3257252.00,在售,住宅
B座14D,115.26,38469.19,87.67,50575.55,4433959.00,在售,住宅
B座14C,114.32,40619.31,86.95,53405.40,4643600.00,在售,住宅
B座14B,85.97,40130.64,65.39,52760.83,3450031.00,在售,住宅
B座14A,85.80,38423.31,65.26,50516.70,3296720.00,在售,住宅
B座13D,115.26,39429.19,87.67,51837.66,4544608.00,在售,住宅
B座13C,114.32,41579.31,86.95,54667.59,4753347.00,在售,住宅
B座13B,85.97,41090.64,65.39,54022.96,3532562.00,在售,住宅
B座13A,85.80,37883.31,65.26,49806.74,3250388.00,在售,住宅
B座12D,115.26,38389.19,87.67,50470.37,4424738.00,在售,住宅
B座12C,114.32,40539.31,86.95,53300.21,4634454.00,在售,住宅
B座12B,85.97,40050.64,65.39,52655.66,3443154.00,在售,住宅
B座12A,85.80,38343.31,65.26,50411.52,3289856.00,在售,住宅
B座11D,115.26,39349.19,87.67,51732.49,4535388.00,在售,住宅
B座11C,114.32,41499.31,86.95,54562.40,4744201.00,在售,住宅
B座11B,85.97,41010.64,65.39,53917.80,3525685.00,在售,住宅
B座11A,85.80,37803.31,65.26,49701.56,3243524.00,在售,住宅
B座10D,115.26,40287.32,87.67,52965.86,4643517.00,在售,住宅
B座10C,114.32,40459.31,86.95,53195.03,4625308.00,在售,住宅
B座10B,85.97,39970.64,65.39,52550.48,3436276.00,在售,住宅
B座10A,85.80,40547.69,65.26,53309.71,3478992.00,在售,住宅
B座9D,115.26,38759.19,87.67,50956.81,4467384.00,在售,住宅
B座9C,114.32,40909.31,86.95,53786.68,4676752.00,在售,住宅
B座9B,85.97,40420.64,65.39,53142.10,3474962.00,在售,住宅
B座9A,85.80,37213.31,65.26,48925.86,3192902.00,在售,住宅
B座8D,115.26,37409.19,87.67,49181.96,4311783.00,在售,住宅
B座8C,114.32,39859.31,86.95,52406.16,4556716.00,在售,住宅
B座8B,85.97,39370.64,65.39,51761.64,3384694.00,在售,住宅
B座8A,85.80,37363.31,65.26,49123.07,3205772.00,在售,住宅
B座7D,115.26,38159.19,87.67,50167.99,4398228.00,在售,住宅
B座7C,114.32,40809.31,86.95,53655.20,4665320.00,在售,住宅
B座7B,85.97,40320.64,65.39,53010.62,3466365.00,在售,住宅
B座7A,85.80,36613.31,65.26,48137.02,3141422.00,在售,住宅
B座6D,115.26,37109.19,87.67,48787.55,4277205.00,在售,住宅
B座6C,114.32,39759.31,86.95,52274.68,4545284.00,在售,住宅
B座6B,85.97,39270.64,65.39,51630.17,3376097.00,在售,住宅
B座6A,85.80,37063.31,65.26,48728.65,3180032.00,在售,住宅
B座5D,115.26,38059.19,87.67,50036.52,4386702.00,在售,住宅
B座5C,114.32,40709.31,86.95,53523.72,4653888.00,在售,住宅
B座5B,85.97,40220.64,65.39,52879.15,3457768.00,在售,住宅
B座5A,85.80,36513.31,65.26,48005.54,3132842.00,在售,住宅
B座4D,115.26,37009.19,87.67,48656.08,4265679.00,在售,住宅
B座4C,114.32,39659.31,86.95,52143.20,4533852.00,在售,住宅
B座4B,85.97,39170.64,65.39,51498.70,3367500.00,在售,住宅
B座4A,85.80,36963.31,65.26,48597.18,3171452.00,在售,住宅
B座3D,115.26,37959.19,87.67,49905.05,4375176.00,在售,住宅
B座3C,114.32,40609.31,86.95,53392.24,4642456.00,在售,住宅
B座3B,85.97,40120.64,65.39,52747.68,3449171.00,在售,住宅
B座3A,85.80,36413.31,65.26,47874.07,3124262.00,在售,住宅
A座2单元24D,89.17,37160.10,65.26,50774.83,3313566.00,在售,住宅
A座2单元24C,79.35,36930.33,58.08,50454.92,2930422.00,在售,住宅
A座2单元24B,87.08,36553.69,63.73,49946.57,3183095.00,在售,住宅
A座2单元24A,88.68,37512.93,64.90,51258.04,3326647.00,在售,住宅
A座2单元23D,89.17,38630.10,65.26,52783.42,3444646.00,在售,住宅
A座2单元23C,79.35,38400.33,58.08,52463.25,3047066.00,在售,住宅
A座2单元23B,87.08,38023.69,63.73,51955.17,3311103.00,在售,住宅
A座2单元23A,88.68,38982.93,64.90,53266.65,3457006.00,在售,住宅
A座2单元22D,89.17,37600.10,65.26,51376.04,3352801.00,在售,住宅
A座2单元22C,79.35,37370.33,58.08,51056.06,2965336.00,在售,住宅
A座2单元22B,87.08,36993.69,63.73,50547.79,3221411.00,在售,住宅
A座2单元22A,88.68,37952.93,64.90,51859.26,3365666.00,在售,住宅
