房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋1层24,31.30,86800.00,18.48,147015.15,2716840.00,在售,商业
1栋1层23,67.07,86700.00,39.60,146842.65,5814969.00,在售,商业
1栋1层22,92.14,86600.00,54.40,146678.75,7979324.00,在售,商业
1栋1层21,75.41,86500.00,44.52,146517.63,6522965.00,在售,商业
1栋1层20,25.52,86400.00,15.07,146312.40,2204928.00,在售,商业
1栋1层19,20.62,86300.00,12.17,146220.70,1779506.00,在售,商业
1栋1层18,37.25,86200.00,21.99,146018.64,3210950.00,在售,商业
1栋1层17,215.47,86100.00,127.21,145837.33,18551967.00,在售,商业
1栋1层16,266.08,86000.00,157.09,145667.32,22882880.00,在售,商业
1栋1层15,96.81,85900.00,57.15,145511.44,8315979.00,在售,商业
1栋半地下14,84.85,95900.00,50.71,160463.71,8137115.00,在售,商业
1栋半地下13,25.21,95800.00,15.07,160259.98,2415118.00,在售,商业
1栋半地下12,20.37,95700.00,12.17,160181.51,1949409.00,在售,商业
1栋半地下11,36.80,95600.00,21.99,159985.44,3518080.00,在售,商业
1栋半地下10,33.71,95500.00,20.15,159766.99,3219305.00,在售,商业
1栋半地下09,62.59,95400.00,37.41,159612.02,5971086.00,在售,商业
1栋半地下08,92.01,95300.00,54.99,159457.22,8768553.00,在售,商业
1栋半地下07,16.33,95200.00,9.76,159284.42,1554616.00,在售,商业
1栋半地下06,60.31,95100.00,36.05,159097.94,5735481.00,在售,商业
1栋半地下05,140.15,95000.00,83.76,158957.13,13314250.00,在售,商业
1栋半地下04,142.42,94900.00,85.12,158783.57,13515658.00,在售,商业
1栋半地下03,130.27,94800.00,77.86,158612.84,12349596.00,在售,商业
1栋半地下02,69.61,94700.00,41.61,158425.06,6592067.00,在售,商业
1栋半地下01,130.73,94600.00,78.13,158288.21,12367058.00,在售,商业
3栋B座31层31E,116.55,42300.00,89.36,55170.83,4930065.00,已产权备案,住宅
3栋B座31层31D,82.71,43788.00,63.41,57115.68,3621705.27,已产权备案,住宅
3栋B座31层31C,82.79,44233.00,63.47,57697.34,3662050.07,已产权备案,住宅
3栋B座31层31B,90.37,43395.66,69.29,56597.86,3921665.72,已产权备案,住宅
3栋B座31层31A,110.21,42724.90,84.50,55724.39,4708711.23,在售,住宅
3栋B座30层30E,116.55,42223.00,89.36,55070.40,4921090.94,已产权备案,住宅
3栋B座30层30D,82.71,43712.00,63.41,57016.55,3615419.44,已产权备案,住宅
3栋B座30层30C,82.79,44157.00,63.47,57598.20,3655758.03,已产权备案,住宅
3栋B座30层30B,90.37,43319.60,69.29,56498.66,3914792.15,已产权备案,住宅
3栋B座30层30A,110.21,42648.85,84.50,55625.20,4700329.76,已产权备案,住宅
3栋B座29层29E,116.55,42147.00,89.36,54971.27,4912232.85,在售,住宅
3栋B座29层29D,82.71,43636.00,63.41,56917.42,3609133.56,已产权备案,住宅
3栋B座29层29C,82.79,44081.00,63.47,57499.07,3649465.99,已产权备案,住宅
3栋B座29层29B,90.37,43243.55,69.29,56399.47,3907919.61,已产权备案,住宅
3栋B座29层29A,110.21,42572.80,84.50,55526.02,4691948.29,已产权备案,住宅
3栋B座28层28E,116.55,42071.00,89.36,54872.15,4903375.32,已产权备案,住宅
3栋B座28层28D,82.71,43560.00,63.41,56818.29,3602847.60,已产权备案,住宅
3栋B座28层28C,82.79,44005.00,63.47,57399.94,3643173.95,已产权备案,住宅
3栋B座28层28B,90.37,43167.55,69.29,56300.35,3901051.49,已产权备案,住宅
3栋B座28层28A,110.21,42496.75,84.50,55426.83,4683566.82,已产权备案,住宅
3栋B座27层27E,116.55,41995.00,89.36,54773.02,4894517.07,已产权备案,住宅
3栋B座27层27D,82.71,43484.00,63.41,56719.16,3596561.64,已产权备案,住宅
3栋B座27层27C,82.79,43929.00,63.47,57300.80,3636881.91,已产权备案,住宅
3栋B座27层27B,90.37,43091.45,69.29,56201.10,3894174.34,已产权备案,住宅
3栋B座27层27A,110.21,42420.70,84.50,55327.64,4675185.35,已产权备案,住宅
3栋B座26层26E,116.55,41919.00,89.36,54673.90,4885659.45,已产权备案,住宅
3栋B座26层26D,82.71,43408.00,63.41,56620.02,3590275.68,已产权备案,住宅
3栋B座26层26C,82.79,43852.00,63.47,57200.36,3630506.85,已产权备案,住宅
3栋B座26层26B,90.37,43015.40,69.29,56101.92,3887301.70,已产权备案,住宅
3栋B座26层26A,110.21,42344.65,84.50,55228.45,4666803.88,已产权备案,住宅
3栋B座25层25E,116.55,41843.00,89.36,54574.77,4876801.65,已产权备案,住宅
3栋B座25层25D,82.71,43332.00,63.41,56520.89,3583989.72,已产权备案,住宅
3栋B座25层25C,82.79,43776.00,63.47,57101.23,3624215.07,已产权备案,住宅
3栋B座25层25B,90.37,42939.35,69.29,56002.73,3880429.06,已产权备案,住宅
3栋B座25层25A,110.21,42268.60,84.50,55129.26,4658422.41,已产权备案,住宅
3栋B座24层24E,116.55,41767.00,89.36,54475.65,4867943.85,已产权备案,住宅
3栋B座24层24D,82.71,43255.00,63.41,56420.45,3577621.05,已产权备案,住宅
3栋B座24层24C,82.79,43700.00,63.47,57002.10,3617923.00,已产权备案,住宅
3栋B座24层24B,90.37,42863.30,69.29,55903.54,3873556.42,已产权备案,住宅
3栋B座24层24A,110.21,42192.55,84.50,55030.07,4650040.94,已产权备案,住宅
3栋B座23层23E,116.55,41691.00,89.36,54376.52,4859085.83,已产权备案,住宅
3栋B座23层23D,82.71,43179.00,63.41,56321.32,3571335.09,已产权备案,住宅
3栋B座23层23C,82.79,43624.00,63.47,56902.96,3611630.96,已产权备案,住宅
3栋B座23层23B,90.37,42787.25,69.29,55804.36,3866683.78,已产权备案,住宅
3栋B座23层23A,110.21,42116.50,84.50,54930.88,4641659.47,已产权备案,住宅
3栋B座22层22E,116.55,41615.00,89.36,54277.40,4850228.25,已产权备案,住宅
3栋B座22层22D,82.71,43103.00,63.41,56222.19,3565049.13,已产权备案,住宅
3栋B座22层22C,82.79,43548.00,63.47,56803.83,3605339.09,已产权备案,住宅
3栋B座22层22B,90.37,42711.21,69.29,55705.18,3859812.05,已产权备案,住宅
3栋B座22层22A,110.21,42040.45,84.50,54831.69,4633277.99,已产权备案,住宅
3栋B座21层21E,116.55,41539.00,89.36,54178.27,4841370.21,已产权备案,住宅
3栋B座21层21D,82.71,43027.00,63.41,56123.06,3558763.17,已产权备案,住宅
3栋B座21层21C,82.79,43472.00,63.47,56704.69,3599046.88,已产权备案,住宅
3栋B座21层21B,90.37,42635.15,69.29,55605.98,3852938.51,已产权备案,住宅
3栋B座21层21A,110.21,41964.40,84.50,54732.50,4624896.52,已产权备案,住宅
3栋B座20层20E,116.55,41463.00,89.36,54079.15,4832512.65,已产权备案,住宅
3栋B座20层20D,82.71,42951.00,63.41,56023.93,3552477.21,已产权备案,住宅
3栋B座20层20C,82.79,43396.00,63.47,56605.56,3592754.84,已产权备案,住宅
