房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
110,817.98,15000.00,791.70,15497.91,12269700.00,在售,商业
109,156.32,15000.00,151.30,15497.68,2344800.00,在售,商业
108,137.24,15000.00,132.83,15498.00,2058600.00,在售,商业
107,163.68,15000.00,158.42,15498.04,2455200.00,在售,商业
106,160.00,15000.00,154.86,15497.86,2400000.00,在售,商业
105,160.00,15000.00,154.86,15497.86,2400000.00,在售,商业
104,136.09,15000.00,131.72,15497.64,2041350.00,在售,商业
103,115.11,15000.00,111.41,15498.15,1726650.00,在售,商业
102,70.14,15000.00,67.89,15497.12,1052100.00,在售,商业
101,80.70,15000.00,78.11,15497.37,1210500.00,在售,商业
3208,63.49,5604.70,48.91,7275.45,355842.40,在售,住宅
3207,63.86,5738.84,49.19,7450.35,366482.72,在售,住宅
3206,63.49,5993.72,48.91,7780.44,380541.56,在售,住宅
3205,63.86,6127.87,49.19,7955.39,391325.82,在售,住宅
3204,63.49,5604.70,48.91,7275.45,355842.40,在售,住宅
3203,63.86,5738.84,49.19,7450.35,366482.72,在售,住宅
3202,63.49,5993.72,48.91,7780.44,380541.56,在售,住宅
3201,63.86,6127.87,49.19,7955.39,391325.82,在售,住宅
3108,63.49,5639.70,48.91,7320.88,358064.55,在售,住宅
3107,63.86,5773.84,49.19,7495.78,368717.82,在售,住宅
3106,63.49,6028.72,48.91,7825.87,382763.71,在售,住宅
3105,63.86,6162.87,49.19,8000.83,393560.92,在售,住宅
3104,63.49,5639.70,48.91,7320.88,358064.55,在售,住宅
3103,63.86,5773.84,49.19,7495.78,368717.82,在售,住宅
3102,63.49,6028.72,48.91,7825.87,382763.71,在售,住宅
3101,63.86,6162.87,49.19,8000.83,393560.92,在售,住宅
3008,63.49,5604.70,48.91,7275.45,355842.40,在售,住宅
3007,63.86,5738.84,49.19,7450.35,366482.72,在售,住宅
3006,63.49,5993.72,48.91,7780.44,380541.56,在售,住宅
3005,63.86,6127.87,49.19,7955.39,391325.82,在售,住宅
3004,63.49,5604.70,48.91,7275.45,355842.40,在售,住宅
3003,63.86,5738.84,49.19,7450.35,366482.72,在售,住宅
3002,63.49,5993.72,48.91,7780.44,380541.56,在售,住宅
3001,63.86,6127.87,49.19,7955.39,391325.82,在售,住宅
2908,63.49,5569.80,48.91,7230.14,353626.60,在售,住宅
2907,63.86,5703.94,49.19,7405.04,364254.01,在售,住宅
2906,63.49,5958.82,48.91,7735.14,378325.76,在售,住宅
2905,63.86,6092.97,49.19,7910.08,389097.11,在售,住宅
2904,63.49,5569.80,48.91,7230.14,353626.60,在售,住宅
2903,63.86,5703.94,49.19,7405.04,364254.01,在售,住宅
2902,63.49,5958.82,48.91,7735.14,378325.76,在售,住宅
2901,63.86,6092.97,49.19,7910.08,389097.11,在售,住宅
2808,63.49,5534.80,48.91,7184.71,351404.45,在售,住宅
2807,63.86,5668.94,49.19,7359.60,362018.91,在售,住宅
2806,63.49,5923.82,48.91,7689.70,376103.61,在售,住宅
2805,63.86,6057.97,49.19,7864.64,386862.01,在售,住宅
2804,63.49,5534.80,48.91,7184.71,351404.45,在售,住宅
2803,63.86,5668.94,49.19,7359.60,362018.91,在售,住宅
2802,63.49,5923.82,48.91,7689.70,376103.61,在售,住宅
2801,63.86,6057.97,49.19,7864.64,386862.01,在售,住宅
2708,63.49,5499.80,48.91,7139.28,349182.30,在售,住宅
2707,63.86,5633.94,49.19,7314.16,359783.81,在售,住宅
2706,63.49,5888.82,48.91,7644.27,373881.46,在售,住宅
2705,63.86,6022.97,49.19,7819.20,384626.91,在售,住宅
2704,63.49,5499.80,48.91,7139.28,349182.30,在售,住宅
2703,63.86,5633.94,49.19,7314.16,359783.81,在售,住宅
2702,63.49,5888.82,48.91,7644.27,373881.46,在售,住宅
2701,63.86,6022.97,49.19,7819.20,384626.91,在售,住宅
2608,63.49,5464.80,48.91,7093.84,346960.15,在售,住宅
2607,63.86,5598.94,49.19,7268.72,357548.71,在售,住宅
2606,63.49,5853.82,48.91,7598.84,371659.31,在售,住宅
2605,63.86,5987.97,49.19,7773.77,382391.81,在售,住宅
2604,63.49,5464.80,48.91,7093.84,346960.15,在售,住宅
2603,63.86,5598.94,49.19,7268.72,357548.71,在售,住宅
2602,63.49,5853.82,48.91,7598.84,371659.31,在售,住宅
2601,63.86,5987.97,49.19,7773.77,382391.81,在售,住宅
2508,63.49,5429.80,48.91,7048.41,344738.00,在售,住宅
2507,63.86,5563.94,49.19,7223.28,355313.61,在售,住宅
2506,63.49,5818.82,48.91,7553.40,369437.16,在售,住宅
2505,63.86,5952.97,49.19,7728.33,380156.71,在售,住宅
2504,63.49,5429.80,48.91,7048.41,344738.00,在售,住宅
