房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋401,2302.62,60000.00,1913.52,72200.55,138157200.00,在售,商业
1栋318,7390.91,70000.00,6132.57,84363.28,517363700.00,在售,商业
1栋317,208.16,68100.02,172.44,82206.56,14175700.00,在售,商业
1栋316,179.91,68500.36,149.04,82688.54,12323900.00,在售,商业
1栋315,223.74,67100.21,185.35,80998.11,15013000.00,在售,商业
1栋313,236.86,65400.24,196.22,78945.57,15490700.00,在售,商业
1栋312,170.10,70500.29,140.91,85104.68,11992100.00,在售,商业
1栋311,175.84,71600.32,145.67,86429.60,12590200.00,在售,商业
1栋310,183.37,75000.27,151.90,90538.51,13752800.00,在售,商业
1栋309,68.50,71600.00,56.75,86424.67,4904600.00,在售,商业
1栋308,109.29,67500.23,90.54,81478.90,7377100.00,在售,商业
1栋307,57.51,75400.80,47.64,91022.25,4336300.00,在售,商业
1栋306,56.64,74200.21,46.92,89571.61,4202700.00,在售,商业
1栋305,53.22,73201.80,44.09,88360.17,3895800.00,在售,商业
1栋303,56.34,72600.28,46.67,87643.03,4090300.00,在售,商业
1栋302,80.42,72200.95,66.62,87157.01,5806400.00,在售,商业
1栋301,83.02,73200.43,68.78,88355.63,6077100.00,在售,商业
1栋298,48.72,102500.00,40.12,124471.59,4993800.00,在售,商业
1栋297,127.33,94400.38,104.87,114618.10,12020000.00,在售,商业
1栋296,82.14,91900.41,67.65,111584.63,7548700.00,在售,商业
1栋295,93.16,85000.00,71.66,110502.37,7918600.00,在售,商业
1栋293,63.73,91900.20,52.49,111579.35,5856800.00,在售,商业
1栋292,83.61,93100.11,68.86,113042.40,7784100.00,在售,商业
1栋291,75.35,85600.53,62.05,103948.43,6450000.00,在售,商业
1栋290,63.24,89100.25,52.09,108172.39,5634700.00,在售,商业
1栋289,73.19,87501.02,60.28,106240.88,6404200.00,在售,商业
1栋288,63.09,84100.49,51.96,102115.09,5305900.00,在售,商业
1栋287,68.26,86900.09,56.22,105510.49,5931800.00,在售,商业
1栋286,82.88,85600.87,68.26,103934.95,7094600.00,在售,商业
1栋285,69.38,89400.40,57.14,108550.93,6202600.00,在售,商业
1栋283,96.86,91200.70,79.77,110739.63,8833700.00,在售,商业
1栋282,127.48,88100.09,104.99,106972.09,11231000.00,在售,商业
1栋281,69.84,94400.06,57.52,114619.26,6592900.00,在售,商业
1栋280,67.19,86200.33,55.33,104677.39,5791800.00,在售,商业
1栋279,66.65,78700.68,54.89,95562.03,5245400.00,在售,商业
1栋278,67.19,78700.70,55.33,95570.22,5287900.00,在售,商业
1栋277,66.65,78700.68,54.89,95562.03,5245400.00,在售,商业
1栋276,67.19,78700.70,55.33,95570.22,5287900.00,在售,商业
1栋275,92.78,77500.54,76.41,94104.17,7190500.00,在售,商业
1栋273,59.16,81200.14,48.72,98600.16,4803800.00,在售,商业
1栋272,59.70,81201.01,49.17,98590.60,4847700.00,在售,商业
1栋271,58.65,79401.53,48.30,96416.15,4656900.00,在售,商业
1栋270,67.19,78700.70,55.33,95570.22,5287900.00,在售,商业
1栋269,66.65,78700.68,54.89,95562.03,5245400.00,在售,商业
1栋268,67.19,78700.70,55.33,95570.22,5287900.00,在售,商业
1栋267,66.65,85000.75,54.89,103211.88,5665300.00,在售,商业
1栋266,100.55,96900.05,82.81,117658.50,9743300.00,在售,商业
1栋265,254.92,101200.38,209.95,122876.88,25798000.00,在售,商业
1栋263,82.33,91200.05,67.81,110728.51,7508500.00,在售,商业
1栋262,49.77,90600.76,40.99,110007.32,4509200.00,在售,商业
1栋261,50.36,84400.32,41.48,102468.66,4250400.00,在售,商业
1栋260,50.36,84400.32,41.48,102468.66,4250400.00,在售,商业
1栋259,71.24,83700.17,58.67,101632.86,5962800.00,在售,商业
1栋258,56.50,82500.88,46.53,100178.38,4661300.00,在售,商业
1栋257,53.34,81201.72,43.93,98595.49,4331300.00,在售,商业
1栋256,62.09,77500.40,51.14,94094.64,4812000.00,在售,商业
1栋255,62.09,79400.87,51.14,96402.03,4930000.00,在售,商业
1栋253,62.09,79400.87,51.14,96402.03,4930000.00,在售,商业
1栋252,61.49,81200.20,50.65,98578.48,4993000.00,在售,商业
1栋251,62.09,83100.34,51.14,100893.63,5159700.00,在售,商业
1栋250,57.89,81900.16,47.68,99437.92,4741200.00,在售,商业
1栋249,50.73,90601.22,41.78,110009.57,4596200.00,在售,商业
1栋212,314.42,123100.31,258.95,149469.78,38705200.00,在售,商业
1栋1150,17126.19,140200.00,14007.00,171420.85,2401091900.00,在售,商业
1栋1149,41.98,161300.62,34.79,194636.39,6771400.00,在售,商业
1栋1146,4419.64,110000.00,3626.08,134073.27,486160400.00,在售,商业
1栋1145,86.31,139200.56,71.52,167986.58,12014400.00,在售,商业
1栋1143,69.85,161901.22,57.88,195383.55,11308800.00,在售,商业
1栋1142,84.85,149000.59,70.31,179813.68,12642700.00,在售,商业
1栋1141,67.33,156401.31,55.79,188752.46,10530500.00,在售,商业
1栋1140,76.38,151500.39,63.29,182834.57,11571600.00,在售,商业
1栋1139,55.54,157000.36,46.03,189437.32,8719800.00,在售,商业
1栋1138,68.32,154500.88,56.61,186459.99,10555500.00,在售,商业
1栋1137,99.56,147200.68,82.50,177640.00,14655300.00,在售,商业
1栋1136,57.63,153900.75,47.76,185705.61,8869300.00,在售,商业
1栋1135,98.98,149600.93,82.01,180557.25,14807500.00,在售,商业
1栋1133,63.13,157001.43,52.31,189476.20,9911500.00,在售,商业
1栋1132,64.56,161900.56,53.49,195406.62,10452300.00,在售,商业
1栋1131,65.47,158200.70,54.25,190919.82,10357400.00,在售,商业
1栋1130,74.42,162500.67,61.66,196128.77,12093300.00,在售,商业
1栋1129,253.05,178800.24,200.01,226215.69,45245400.00,在售,商业
1栋1128,357.64,188600.27,283.90,237587.18,67451000.00,在售,商业
1栋1125,56.33,160000.00,46.68,193076.26,9012800.00,在售,商业
1栋1123,53.81,160000.00,44.59,193083.65,8609600.00,在售,商业
1栋1122,59.81,160000.00,49.56,193091.20,9569600.00,在售,商业
1栋1121,59.25,166300.42,49.10,200678.21,9853300.00,在售,商业
1栋1120,72.33,162600.58,59.93,196243.95,11760900.00,在售,商业
1栋1119,65.07,156101.12,53.92,188380.93,10157500.00,在售,商业
1栋1118,56.58,155800.64,46.88,188037.54,8815200.00,在售,商业
1栋1117,75.16,155800.96,62.28,188021.84,11710000.00,在售,商业
1栋1113,137.48,163100.09,113.92,196831.11,22423000.00,在售,商业
1栋1112,27.00,155100.00,22.37,187201.61,4187700.00,在售,商业
1栋1111,60.01,151501.42,49.73,182819.22,9091600.00,在售,商业
1栋1110,48.80,174301.23,40.44,210333.83,8505900.00,在售,商业
1栋1109,45.41,161900.46,37.63,195373.37,7351900.00,在售,商业
1栋1108,91.49,148400.92,75.81,179095.11,13577200.00,在售,商业
1栋1107,96.37,143500.05,79.86,173166.79,13829100.00,在售,商业
1栋1106,100.14,143500.10,82.98,173175.46,14370100.00,在售,商业
1栋1105,64.61,147200.12,53.54,177635.41,9510600.00,在售,商业
1栋1103,70.21,150200.83,58.18,181258.16,10545600.00,在售,商业
1栋1102,70.76,150200.68,58.63,181275.80,10628200.00,在售,商业
1栋1101,70.21,149601.20,58.18,180534.55,10503500.00,在售,商业
