房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋233,48.66,38952.00,44.36,42728.00,1895404.00,在售,商业
1栋232,74.54,38952.00,67.96,42723.00,2903482.00,在售,商业
1栋231,57.11,38952.00,52.06,42730.00,2224549.00,在售,商业
1栋230,57.10,38952.00,52.06,42723.00,2224159.00,在售,商业
1栋229,55.65,38952.00,50.74,42721.00,2167679.00,在售,商业
1栋228,55.64,38952.00,50.73,42722.00,2167289.00,在售,商业
1栋227,28.63,38952.00,26.10,42728.00,1115196.00,在售,商业
1栋226,38.17,38952.00,34.80,42724.00,1486798.00,在售,商业
1栋225,62.82,38952.00,57.28,42719.00,2446965.00,在售,商业
1栋223,62.97,38952.00,57.41,42724.00,2452807.00,在售,商业
1栋222,64.38,38952.00,58.70,42721.00,2507730.00,在售,商业
1栋221,63.48,38952.00,57.87,42728.00,2472673.00,在售,商业
1栋220,49.71,38952.00,45.32,42725.00,1936304.00,在售,商业
1栋219,50.69,38952.00,46.21,42728.00,1974477.00,在售,商业
1栋218,71.26,38952.00,64.96,42730.00,2775720.00,在售,商业
1栋217,78.41,38952.00,71.48,42728.00,3054226.00,在售,商业
1栋216,48.81,38952.00,44.50,42725.00,1901247.00,在售,商业
1栋215,48.81,38952.00,44.50,42725.00,1901247.00,在售,商业
1栋213,43.88,38952.00,40.00,42730.00,1709214.00,在售,商业
1栋212,53.75,38952.00,49.00,42728.00,2093670.00,在售,商业
1栋211,36.15,40000.00,32.96,43871.00,1446000.00,在售,商业
1栋210,40.08,40000.00,36.54,43875.00,1603200.00,在售,商业
1栋209,34.35,40000.00,31.32,43870.00,1374000.00,在售,商业
1栋208,50.99,47000.00,46.49,51549.00,2396530.00,在售,商业
1栋207,18.19,47000.00,16.58,51564.00,854930.00,在售,商业
1栋206,29.12,47000.00,26.55,51550.00,1368640.00,在售,商业
1栋205,29.94,43500.00,27.30,47707.00,1302390.00,在售,商业
1栋203,31.65,43500.00,28.86,47705.00,1376775.00,在售,商业
1栋202,37.12,43500.00,33.84,47716.00,1614720.00,在售,商业
1栋201,38.26,43500.00,34.88,47715.00,1664310.00,在售,商业
1栋133,53.00,62599.00,48.32,68662.00,3317747.00,在售,商业
1栋132,81.78,62599.00,74.56,68661.00,5119346.00,在售,商业
1栋131,62.48,62599.00,56.96,68665.00,3911186.00,在售,商业
1栋130,62.48,62599.00,56.96,68665.00,3911186.00,在售,商业
1栋129,61.01,62599.00,55.62,68665.00,3819165.00,在售,商业
1栋128,61.01,62599.00,55.62,68665.00,3819165.00,在售,商业
1栋127,55.90,62599.00,50.96,68667.00,3499284.00,在售,商业
1栋126,45.63,62599.00,41.60,68663.00,2856392.00,在售,商业
1栋125,41.49,62599.00,37.83,68655.00,2597233.00,在售,商业
1栋123,41.49,62599.00,37.83,68655.00,2597233.00,在售,商业
1栋122,42.42,62599.00,38.68,68652.00,2655450.00,在售,商业
1栋121,41.79,62599.00,38.09,68680.00,2616012.00,在售,商业
1栋120,54.30,62599.00,49.50,68669.00,3399126.00,在售,商业
1栋119,55.46,62599.00,50.56,68666.00,3471741.00,在售,商业
1栋118,75.59,62599.00,68.91,68667.00,4731858.00,在售,商业
1栋117,78.41,62599.00,71.48,68668.00,4908388.00,在售,商业
1栋116,48.81,62599.00,44.50,68662.00,3055457.00,在售,商业
1栋115,48.81,62599.00,44.50,68662.00,3055457.00,在售,商业
1栋113,43.87,62599.00,40.00,68655.00,2746218.00,在售,商业
1栋112,53.75,62599.00,49.00,68667.00,3364696.00,在售,商业
1栋111,53.29,65000.00,48.58,71302.00,3463850.00,在售,商业
1栋110,45.15,65000.00,41.16,71301.00,2934750.00,在售,商业
1栋109,38.70,65000.00,35.28,71301.00,2515500.00,在售,商业
1栋108,60.67,78000.00,55.31,85559.00,4732260.00,在售,商业
1栋107,31.37,78000.00,28.60,85555.00,2446860.00,在售,商业
1栋106,34.38,78000.00,31.35,85539.00,2681640.00,在售,商业
1栋105,34.55,71500.00,31.50,78423.00,2470325.00,在售,商业
1栋103,36.92,71500.00,33.66,78425.00,2639780.00,在售,商业
1栋102,42.71,71500.00,38.94,78422.00,3053765.00,在售,商业
1栋101,42.87,71500.00,39.09,78414.00,3065205.00,在售,商业
1栋B座2612,77.55,22692.00,57.38,30669.00,1759765.00,在售,其他
1栋B座2611,67.54,23265.00,49.97,31445.00,1571318.00,在售,其他
1栋B座2610,66.75,24192.00,49.38,32702.00,1614816.00,在售,其他
1栋B座2609,66.81,22742.00,49.43,30738.00,1519393.00,在售,其他
1栋B座2608,66.81,24192.00,49.43,32698.00,1616268.00,在售,其他
1栋B座2607,67.09,22558.00,49.64,30488.00,1513416.00,在售,其他
1栋B座2606,67.54,23884.00,49.97,32282.00,1613125.00,在售,其他
1栋B座2605,77.92,22908.00,57.65,30963.00,1784991.00,在售,其他
1栋B座2603,66.81,23515.00,49.43,31783.00,1571037.00,在售,其他
1栋B座2602,64.79,23604.00,47.94,31900.00,1529303.00,在售,其他
1栋B座2601,64.73,23358.00,47.89,31572.00,1511963.00,在售,其他
1栋B座2512,77.55,22672.00,57.38,30642.00,1758214.00,在售,其他
1栋B座2511,67.54,23245.00,49.97,31418.00,1569967.00,在售,其他
1栋B座2510,66.75,24172.00,49.38,32675.00,1613481.00,在售,其他
1栋B座2509,66.81,22722.00,49.43,30711.00,1518057.00,在售,其他
1栋B座2508,66.81,24172.00,49.43,32671.00,1614931.00,在售,其他
1栋B座2507,67.09,22538.00,49.64,30461.00,1512074.00,在售,其他
1栋B座2506,67.54,23864.00,49.97,32255.00,1611775.00,在售,其他
1栋B座2505,77.92,22888.00,57.65,30936.00,1783433.00,在售,其他
1栋B座2503,66.81,23495.00,49.43,31756.00,1569701.00,在售,其他
1栋B座2502,64.79,23584.00,47.94,31873.00,1528007.00,在售,其他
1栋B座2501,64.73,23338.00,47.89,31545.00,1510669.00,在售,其他
1栋B座2412,77.55,22652.00,57.38,30615.00,1756663.00,在售,其他
1栋B座2411,67.54,23225.00,49.97,31391.00,1568617.00,在售,其他
1栋B座2410,66.75,24152.00,49.38,32648.00,1612146.00,在售,其他
1栋B座2409,66.81,22702.00,49.43,30684.00,1516721.00,在售,其他
1栋B座2408,66.81,24152.00,49.43,32644.00,1613595.00,在售,其他
1栋B座2407,67.09,22518.00,49.64,30434.00,1510733.00,在售,其他
1栋B座2406,67.54,23844.00,49.97,32228.00,1610424.00,在售,其他
1栋B座2405,77.92,22868.00,57.65,30908.00,1781875.00,在售,其他
1栋B座2403,66.81,23475.00,49.43,31729.00,1568365.00,在售,其他
1栋B座2402,64.79,23564.00,47.94,31846.00,1526712.00,在售,其他
1栋B座2401,64.73,23318.00,47.89,31518.00,1509374.00,在售,其他
1栋B座2312,77.55,22632.00,57.38,30588.00,1755112.00,在售,其他
1栋B座2311,67.54,23205.00,49.97,31364.00,1567266.00,在售,其他
1栋B座2310,66.75,24132.00,49.38,32621.00,1610811.00,在售,其他
1栋B座2309,66.81,22682.00,49.43,30657.00,1515384.00,在售,其他
1栋B座2308,66.81,24132.00,49.43,32617.00,1612259.00,在售,其他
1栋B座2307,67.09,22498.00,49.64,30407.00,1509391.00,在售,其他
1栋B座2306,67.54,23824.00,49.97,32201.00,1609073.00,在售,其他
1栋B座2305,77.92,22848.00,57.65,30881.00,1780316.00,在售,其他
1栋B座2303,66.81,23455.00,49.43,31702.00,1567029.00,在售,其他
