房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2908,114.68,27300.00,66.77,46888.78,3130764.00,在售,办公
2906,104.26,26400.00,60.71,45337.90,2752464.00,在售,办公
2905,87.80,28600.00,51.12,49121.28,2511080.00,在售,办公
2903,87.80,28600.00,51.12,49121.28,2511080.00,在售,办公
2902,95.12,26400.00,55.38,45344.31,2511168.00,在售,办公
2901,201.33,27300.00,117.22,46888.83,5496309.00,在售,办公
2820,185.80,27000.00,116.51,43057.24,5016600.00,在售,办公
2819,54.73,26500.00,34.32,42259.46,1450345.00,在售,办公
2818,54.73,26500.00,34.32,42259.46,1450345.00,在售,办公
2816,185.80,27200.00,116.51,43376.19,5053760.00,在售,办公
2815,88.32,26300.00,55.38,41943.22,2322816.00,在售,办公
2813,81.52,28100.00,51.12,44810.48,2290712.00,在售,办公
2812,81.52,28100.00,51.12,44810.48,2290712.00,在售,办公
2811,96.81,26300.00,60.70,41945.68,2546103.00,在售,办公
2810,174.36,27200.00,109.33,43378.68,4742592.00,在售,办公
2809,50.91,26400.00,31.92,42106.01,1344024.00,在售,办公
2808,50.91,26400.00,31.92,42106.01,1344024.00,在售,办公
2806,174.36,27000.00,109.33,43059.72,4707720.00,在售,办公
2805,96.81,26100.00,60.70,41626.70,2526741.00,在售,办公
2803,81.52,27900.00,51.12,44491.54,2274408.00,在售,办公
2802,81.52,27900.00,51.12,44491.54,2274408.00,在售,办公
2801,88.32,26100.00,55.38,41624.26,2305152.00,在售,办公
2720,185.80,26800.00,116.51,42738.30,4979440.00,在售,办公
2719,54.73,26300.00,34.32,41940.53,1439399.00,在售,办公
2718,54.73,26300.00,34.32,41940.53,1439399.00,在售,办公
2716,185.80,27000.00,116.51,43057.24,5016600.00,在售,办公
2715,88.32,26100.00,55.38,41624.26,2305152.00,在售,办公
2713,81.52,27900.00,51.12,44491.54,2274408.00,在售,办公
2712,81.52,27900.00,51.12,44491.54,2274408.00,在售,办公
2711,96.81,26100.00,60.70,41626.70,2526741.00,在售,办公
2710,174.36,27000.00,109.33,43059.72,4707720.00,在售,办公
2709,50.91,26200.00,31.92,41787.03,1333842.00,在售,办公
2708,50.91,26200.00,31.92,41787.03,1333842.00,在售,办公
2706,174.36,26800.00,109.33,42740.76,4672848.00,在售,办公
2705,96.81,25900.00,60.70,41307.72,2507379.00,在售,办公
2703,81.52,27700.00,51.12,44172.61,2258104.00,在售,办公
2702,81.52,27700.00,51.12,44172.61,2258104.00,在售,办公
