房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
7栋B单元33D,140.45,40000.00,117.21,47931.07,5618000.00,在售,住宅
7栋B单元33C,140.51,40000.00,117.26,47931.10,5620400.00,在售,住宅
7栋B单元33B,166.91,40000.00,139.29,47931.66,6676400.00,在售,住宅
7栋B单元33A,120.92,40000.00,100.92,47927.08,4836800.00,在售,住宅
7栋B单元32D,140.45,34770.00,117.21,41664.08,4883447.00,在售,住宅
7栋B单元32C,140.51,24811.00,117.26,29730.45,3486193.61,在售,住宅
7栋B单元32B,166.91,23983.00,139.29,28738.62,4003002.53,在售,住宅
7栋B单元32A,120.92,35643.00,100.92,42707.81,4310072.00,在售,住宅
7栋B单元31D,140.45,34728.00,117.21,41613.76,4877548.00,在售,住宅
7栋B单元31C,140.51,24772.00,117.26,29683.72,3480713.72,在售,住宅
7栋B单元31B,166.91,23941.00,139.29,28688.29,3995992.31,在售,住宅
7栋B单元31A,120.92,24473.00,100.92,29322.98,2959275.16,在售,住宅
7栋B单元30D,140.45,34686.00,117.21,41563.43,4871649.00,在售,住宅
7栋B单元30C,140.51,24733.00,117.26,29636.99,3475233.83,在售,住宅
7栋B单元30B,166.91,23898.00,139.29,28636.76,3988815.18,在售,住宅
7栋B单元30A,120.92,24435.00,100.92,29277.44,2954680.20,在售,住宅
7栋B单元29D,140.45,34644.00,117.21,41513.10,4865750.00,在售,住宅
7栋B单元29C,140.51,24694.00,117.26,29590.26,3469753.94,在售,住宅
7栋B单元29B,166.91,23855.00,139.29,28585.23,3981638.05,在售,住宅
7栋B单元29A,120.92,24396.00,100.92,29230.72,2949964.32,在售,住宅
7栋B单元28D,140.45,34602.00,117.21,41462.77,4859851.00,在售,住宅
7栋B单元28C,140.51,24655.00,117.26,29543.52,3464274.05,在售,住宅
7栋B单元28B,166.91,23813.00,139.29,28534.91,3974627.83,在售,住宅
7栋B单元28A,120.92,24358.00,100.92,29185.18,2945369.36,在售,住宅
7栋B单元27D,140.45,34560.00,117.21,41412.44,4853952.00,在售,住宅
7栋B单元27C,140.51,24616.00,117.26,29496.79,3458794.16,在售,住宅
7栋B单元27B,166.91,23770.00,139.29,28483.38,3967450.70,在售,住宅
7栋B单元27A,120.92,24320.00,100.92,29139.65,2940774.40,在售,住宅
7栋B单元26D,140.45,34518.00,117.21,41362.11,4848053.00,在售,住宅
7栋B单元26C,140.51,24577.00,117.26,29450.06,3453314.27,在售,住宅
7栋B单元26B,166.91,23728.00,139.29,28433.05,3960440.48,在售,住宅
7栋B单元26A,120.92,24281.00,100.92,29092.93,2936058.52,在售,住宅
7栋B单元25D,140.45,34476.00,117.21,41311.79,4842154.00,在售,住宅
7栋B单元25C,140.51,24538.00,117.26,29403.32,3447834.38,在售,住宅
7栋B单元25B,166.91,23685.00,139.29,28381.53,3953263.35,在售,住宅
7栋B单元25A,120.92,24243.00,100.92,29047.39,2931463.56,在售,住宅
7栋B单元24D,140.45,34434.00,117.21,41261.46,4836255.00,在售,住宅
7栋B单元24C,140.51,24499.00,117.26,29356.59,3442354.49,在售,住宅
7栋B单元24B,166.91,23642.00,139.29,28330.00,3946086.22,在售,住宅
7栋B单元24A,120.92,24204.00,100.92,29000.67,2926747.68,在售,住宅
7栋B单元23D,140.45,34392.00,117.21,41211.13,4830356.00,在售,住宅
7栋B单元23C,140.51,24460.00,117.26,29309.86,3436874.60,在售,住宅
7栋B单元23B,166.91,23600.00,139.29,28279.67,3939076.00,在售,住宅
7栋B单元23A,120.92,24166.00,100.92,28955.13,2922152.72,在售,住宅
7栋B单元22D,140.45,34350.00,117.21,41160.81,4824458.00,在售,住宅
7栋B单元22C,140.51,24421.00,117.26,29263.13,3431394.71,在售,住宅
7栋B单元22B,166.91,23557.00,139.29,28228.14,3931898.87,在售,住宅
7栋B单元22A,120.92,24128.00,100.92,28909.60,2917557.76,在售,住宅
7栋B单元21D,140.55,34287.00,117.30,41083.02,4819038.00,在售,住宅
7栋B单元21C,140.67,24363.00,117.40,29192.02,3427143.21,在售,住宅
7栋B单元21B,166.53,23494.00,138.98,28151.21,3912455.82,在售,住宅
7栋B单元21A,120.90,35193.00,100.90,42168.82,4254833.00,在售,住宅
7栋B单元20D,140.55,34224.00,117.30,41007.53,4810183.00,在售,住宅
7栋B单元20C,140.67,24304.00,117.40,29121.32,3418843.68,在售,住宅
7栋B单元20B,166.53,23429.00,138.98,28073.32,3901631.37,在售,住宅
7栋B单元20A,120.90,23993.00,100.90,28748.79,2900753.70,在售,住宅
7栋B单元19D,140.55,34161.00,117.30,40932.05,4801329.00,在售,住宅
7栋B单元19C,140.67,24246.00,117.40,29051.82,3410684.82,在售,住宅
7栋B单元19B,166.53,23366.00,138.98,27997.84,3891139.98,在售,住宅
7栋B单元19A,120.90,35058.00,100.90,42007.06,4238512.00,在售,住宅
7栋B单元18D,140.55,34098.00,117.30,40856.56,4792474.00,在售,住宅
7栋B单元18C,140.67,24187.00,117.40,28981.13,3402385.29,在售,住宅
7栋B单元18B,166.53,23302.00,138.98,27921.15,3880482.06,在售,住宅
7栋B单元18A,120.90,23859.00,100.90,28588.23,2884553.10,在售,住宅
7栋B单元17D,140.55,22943.00,117.30,27490.52,3224638.65,在售,住宅
7栋B单元17C,140.67,24129.00,117.40,28911.63,3394226.43,在售,住宅
7栋B单元17B,166.53,23238.00,138.98,27844.46,3869824.14,在售,住宅
7栋B单元17A,120.90,23744.00,100.90,28450.44,2870649.60,在售,住宅
7栋B单元16D,140.55,33972.00,117.30,40705.59,4774765.00,在售,住宅
7栋B单元16C,140.67,24070.00,117.40,28840.94,3385926.90,在售,住宅
7栋B单元16B,166.53,23174.00,138.98,27767.78,3859166.22,在售,住宅
7栋B单元16A,120.90,23734.00,100.90,28438.45,2869440.60,在售,住宅
7栋B单元15D,140.55,33909.00,117.30,40630.10,4765910.00,在售,住宅
7栋B单元15C,140.67,24012.00,117.40,28771.44,3377768.04,在售,住宅
7栋B单元15B,166.53,23110.00,138.98,27691.09,3848508.30,在售,住宅
7栋B单元15A,120.90,23695.10,100.90,28391.84,2864737.59,在售,住宅
7栋B单元14D,140.55,33867.00,117.30,40579.77,4760007.00,在售,住宅
7栋B单元14C,140.67,23953.00,117.40,28700.75,3369468.51,在售,住宅
7栋B单元14B,166.53,23047.00,138.98,27615.60,3838016.91,在售,住宅
7栋B单元14A,120.90,23657.00,100.90,28346.19,2860131.30,在售,住宅
7栋B单元13D,140.55,33825.00,117.30,40529.45,4754104.00,在售,住宅
7栋B单元13C,140.67,23895.00,117.40,28631.25,3361309.65,在售,住宅
7栋B单元13B,166.53,22983.00,138.98,27538.91,3827358.99,在售,住宅
7栋B单元13A,120.90,23619.00,100.90,28300.66,2855537.10,在售,住宅
7栋B单元12D,140.55,33867.00,117.30,40579.77,4760007.00,在售,住宅
7栋B单元12C,140.67,23856.00,117.40,28584.52,3355823.52,在售,住宅
7栋B单元12B,166.53,22929.00,138.98,27474.21,3818366.37,在售,住宅
7栋B单元12A,120.90,34693.00,100.90,41569.72,4194384.00,在售,住宅
7栋B单元11D,140.55,33825.00,117.30,40529.45,4754104.00,在售,住宅
7栋B单元11C,140.67,23817.00,117.40,28537.79,3350337.39,在售,住宅
7栋B单元11B,166.53,22877.00,138.98,27411.90,3809706.81,在售,住宅
7栋B单元11A,120.90,23503.00,100.90,28161.67,2841512.70,在售,住宅
7栋B单元10D,140.55,33783.00,117.30,40479.13,4748201.00,在售,住宅
7栋B单元10C,140.67,23778.00,117.40,28491.06,3344851.26,在售,住宅
7栋B单元10B,166.53,22823.00,138.98,27347.20,3800714.19,在售,住宅
7栋B单元10A,120.90,23446.00,100.90,28093.37,2834621.40,在售,住宅
7栋B单元9D,140.55,33740.00,117.30,40427.60,4742157.00,在售,住宅
7栋B单元9C,140.67,23739.00,117.40,28444.33,3339365.13,在售,住宅
7栋B单元9B,166.53,22770.00,138.98,27283.69,3791888.10,在售,住宅
7栋B单元9A,120.90,23389.00,100.90,28025.07,2827730.10,在售,住宅
7栋B单元8D,140.55,33698.00,117.30,40377.28,4736254.00,在售,住宅
7栋B单元8C,140.67,23700.00,117.40,28397.60,3333879.00,在售,住宅
7栋B单元8B,166.53,22716.00,138.98,27218.99,3782895.48,在售,住宅
7栋B单元8A,120.90,23330.00,100.90,27954.38,2820597.00,在售,住宅
7栋B单元7D,140.55,33655.00,117.30,40325.75,4730210.00,在售,住宅
7栋B单元7C,140.67,23661.00,117.40,28350.87,3328392.87,在售,住宅
7栋B单元7B,166.53,22664.00,138.98,27156.68,3774235.92,在售,住宅
7栋B单元7A,120.90,23273.00,100.90,27886.08,2813705.70,在售,住宅
7栋B单元6D,140.55,33378.00,117.30,39993.85,4691278.00,在售,住宅
7栋B单元6C,140.67,23622.00,117.40,28304.14,3322906.74,在售,住宅
7栋B单元6B,166.53,22610.00,138.98,27091.97,3765243.30,在售,住宅
7栋B单元6A,120.90,23215.10,100.90,27816.70,2806705.59,在售,住宅
7栋B单元5D,140.55,33334.00,117.30,39942.32,4685234.00,在售,住宅
7栋B单元5C,140.67,23583.00,117.40,28257.41,3317420.61,在售,住宅
7栋B单元5B,166.53,22557.00,138.98,27028.47,3756417.21,在售,住宅
7栋B单元5A,120.90,23158.00,100.90,27748.28,2799802.20,在售,住宅
7栋B单元4D,140.55,33293.00,117.30,39892.00,4679331.00,在售,住宅
7栋B单元4C,140.67,23544.00,117.40,28210.68,3311934.48,在售,住宅
7栋B单元4B,166.53,22504.00,138.98,26964.96,3747591.12,在售,住宅
7栋B单元4A,120.90,23101.00,100.90,27679.98,2792910.90,在售,住宅
7栋B单元3D,140.58,33019.00,117.32,39565.39,4641811.00,在售,住宅
7栋B单元3C,140.67,23270.00,117.40,27882.37,3273390.90,在售,住宅
7栋B单元3B,166.53,22226.00,138.98,26631.85,3701295.78,在售,住宅
7栋B单元3A,120.90,22812.00,100.90,27333.70,2757970.80,在售,住宅
7栋B单元2D,141.26,32978.00,117.89,39515.42,4658472.00,在售,住宅
7栋B单元2C,141.36,34370.00,117.97,41184.57,4858543.00,在售,住宅
7栋B单元2B,166.63,33273.00,139.06,39869.70,5544280.00,在售,住宅
7栋B单元2A,120.90,33878.00,100.90,40593.17,4095850.00,在售,住宅
7栋A单元33D,140.45,40000.00,117.21,47931.07,5618000.00,在售,住宅
7栋A单元33C,140.51,40000.00,117.26,47931.10,5620400.00,在售,住宅
7栋A单元33B,166.91,40000.00,139.29,47931.66,6676400.00,在售,住宅
7栋A单元33A,120.92,40000.00,100.92,47927.08,4836800.00,在售,住宅
7栋A单元32D,140.45,35082.00,117.21,42037.94,4927267.00,在售,住宅
7栋A单元32C,140.51,35792.00,117.26,42889.94,5029274.00,在售,住宅
7栋A单元32B,166.91,24300.00,139.29,29118.47,4055913.00,在售,住宅
7栋A单元32A,120.92,36240.00,100.92,43421.93,4382141.00,在售,住宅
7栋A单元31D,140.45,35040.00,117.21,41987.62,4921368.00,在售,住宅
7栋A单元31C,140.51,35754.00,117.26,42843.22,5023795.00,在售,住宅
7栋A单元31B,166.91,24261.00,139.29,29071.74,4049403.51,在售,住宅
7栋A单元31A,120.92,25046.00,100.92,30009.53,3028562.32,在售,住宅
7栋A单元30D,140.45,34999.00,117.21,41938.49,4915610.00,在售,住宅
7栋A单元30C,140.51,24577.00,117.26,29450.06,3453314.27,在售,住宅
7栋A单元30B,166.91,35348.00,139.29,42357.21,5899935.00,在售,住宅
7栋A单元30A,120.92,36167.00,100.92,43334.47,4373314.00,在售,住宅
7栋A单元29D,140.45,34957.00,117.21,41888.16,4909711.00,在售,住宅
7栋A单元29C,140.51,24538.00,117.26,29403.32,3447834.38,在售,住宅
7栋A单元29B,166.91,35309.00,139.29,42310.47,5893425.00,在售,住宅
7栋A单元29A,120.92,24973.00,100.92,29922.06,3019735.16,在售,住宅
7栋A单元28D,140.45,34916.00,117.21,41839.03,4903952.00,在售,住宅
7栋A单元28C,140.51,24498.00,117.26,29355.39,3442213.98,在售,住宅
7栋A单元28B,166.91,35270.00,139.29,42263.74,5886916.00,在售,住宅
7栋A单元28A,120.92,24936.00,100.92,29877.73,3015261.12,在售,住宅
7栋A单元27D,140.45,34874.00,117.21,41788.70,4898053.00,在售,住宅
7栋A单元27C,140.51,24459.00,117.26,29308.66,3436734.09,在售,住宅
7栋A单元27B,166.91,35230.00,139.29,42217.00,5880405.00,在售,住宅
7栋A单元27A,120.92,24899.00,100.92,29833.40,3010787.08,在售,住宅
7栋A单元26D,140.45,34831.00,117.21,41738.37,4892154.00,在售,住宅
7栋A单元26C,140.51,24420.00,117.26,29261.93,3431254.20,在售,住宅
7栋A单元26B,166.91,24065.00,139.29,28836.88,4016689.15,在售,住宅
7栋A单元26A,120.92,24863.00,100.92,29790.26,3006433.96,在售,住宅
7栋A单元25D,140.45,34790.00,117.21,41689.24,4886395.00,在售,住宅
7栋A单元25C,140.51,24380.00,117.26,29214.00,3425633.80,在售,住宅
7栋A单元25B,166.91,34790.00,139.29,41689.75,5806965.00,在售,住宅
7栋A单元25A,120.92,24826.00,100.92,29745.93,3001959.92,在售,住宅
7栋A单元24D,140.45,34749.00,117.21,41639.91,4880613.00,在售,住宅
7栋A单元24C,140.51,24341.00,117.26,29167.26,3420153.91,在售,住宅
7栋A单元24B,166.91,35113.00,139.29,42075.61,5860711.00,在售,住宅
7栋A单元24A,120.92,24790.00,100.92,29702.80,2997606.80,在售,住宅
7栋A单元23D,140.45,34707.00,117.21,41589.78,4874738.00,在售,住宅
7栋A单元23C,140.51,24301.00,117.26,29119.33,3414533.51,在售,住宅
7栋A单元23B,166.91,23948.00,139.29,28696.68,3997160.68,在售,住宅
7栋A单元23A,120.92,24753.00,100.92,29658.46,2993132.76,在售,住宅
7栋A单元22D,140.45,34666.00,117.21,41539.46,4868840.00,在售,住宅
7栋A单元22C,140.51,24262.00,117.26,29072.60,3409053.62,在售,住宅
7栋A单元22B,166.91,23908.00,139.29,28648.74,3990484.28,在售,住宅
7栋A单元22A,120.92,24716.00,100.92,29614.13,2988658.72,在售,住宅
7栋A单元21D,140.55,34604.00,117.30,41462.85,4863592.00,在售,住宅
7栋A单元21C,140.67,24203.00,117.40,29000.30,3404636.01,在售,住宅
7栋A单元21B,166.53,23850.00,138.98,28577.78,3971740.50,在售,住宅
7栋A单元21A,120.90,24653.00,100.90,29539.62,2980547.70,在售,住宅
7栋A单元20D,140.55,34541.00,117.30,41387.37,4854738.00,在售,住宅
7栋A单元20C,140.67,24144.00,117.40,28929.61,3396336.48,在售,住宅
7栋A单元20B,166.53,23791.00,138.98,28507.08,3961915.23,在售,住宅
7栋A单元20A,120.90,24588.00,100.90,29461.73,2972689.20,在售,住宅
7栋A单元19D,140.55,34478.00,117.30,41313.07,4846023.00,在售,住宅
7栋A单元19C,140.67,24085.00,117.40,28858.91,3388036.95,在售,住宅
7栋A单元19B,166.53,23732.00,138.98,28436.39,3952089.96,在售,住宅
7栋A单元19A,120.90,24524.00,100.90,29385.05,2964951.60,在售,住宅
7栋A单元18D,140.55,34416.00,117.30,41237.59,4837169.00,在售,住宅
7栋A单元18C,140.67,24026.00,117.40,28788.22,3379737.42,在售,住宅
7栋A单元18B,166.53,23673.00,138.98,28365.69,3942264.69,在售,住宅
7栋A单元18A,120.90,24460.00,100.90,29308.36,2957214.00,在售,住宅
7栋A单元17D,140.55,34354.00,117.30,41163.30,4828455.00,在售,住宅
7栋A单元17C,140.67,23967.00,117.40,28717.52,3371437.89,在售,住宅
7栋A单元17B,166.53,23614.00,138.98,28295.00,3932439.42,在售,住宅
7栋A单元17A,120.90,24350.00,100.90,29176.56,2943915.00,在售,住宅
7栋A单元16D,140.55,34292.00,117.30,41089.01,4819741.00,在售,住宅
7栋A单元16C,140.67,23907.00,117.40,28645.63,3362997.69,在售,住宅
7栋A单元16B,166.53,23556.00,138.98,28225.50,3922780.68,在售,住宅
7栋A单元16A,120.90,24340.00,100.90,29164.57,2942706.00,在售,住宅
7栋A单元15D,140.55,34229.00,117.30,41013.52,4810886.00,在售,住宅
7栋A单元15C,140.67,23848.00,117.40,28574.94,3354698.16,在售,住宅
7栋A单元15B,166.53,23497.00,138.98,28154.80,3912955.41,在售,住宅
7栋A单元15A,120.90,24304.00,100.90,29121.44,2938353.60,在售,住宅
7栋A单元14D,140.55,34167.00,117.30,40939.24,4802172.00,在售,住宅
7栋A单元14C,140.67,23789.00,117.40,28504.24,3346398.63,在售,住宅
7栋A单元14B,166.53,23438.00,138.98,28084.11,3903130.14,在售,住宅
7栋A单元14A,120.90,24267.00,100.90,29077.10,2933880.30,在售,住宅
7栋A单元13D,140.55,34104.00,117.30,40863.75,4793317.00,在售,住宅
7栋A单元13C,140.67,23730.00,117.40,28433.55,3338099.10,在售,住宅
7栋A单元13B,166.53,23379.00,138.98,28013.41,3893304.87,在售,住宅
7栋A单元13A,120.90,24231.00,100.90,29033.97,2929527.90,在售,住宅
7栋A单元12D,140.55,33602.00,117.30,40262.25,4722761.00,在售,住宅
7栋A单元12C,140.67,23691.00,117.40,28386.82,3332612.97,在售,住宅
7栋A单元12B,166.53,23330.00,138.98,27954.70,3885144.90,在售,住宅
7栋A单元12A,120.90,24176.00,100.90,28968.07,2922878.40,在售,住宅
7栋A单元11D,140.55,33562.00,117.30,40214.32,4717139.00,在售,住宅
7栋A单元11C,140.67,23651.00,117.40,28338.89,3326986.17,在售,住宅
7栋A单元11B,166.53,23281.00,138.98,27895.99,3876984.93,在售,住宅
7栋A单元11A,120.90,24121.00,100.90,28902.16,2916228.90,在售,住宅
7栋A单元10D,140.55,33521.00,117.30,40165.20,4711377.00,在售,住宅
7栋A单元10C,140.67,23612.00,117.40,28292.16,3321500.04,在售,住宅
7栋A单元10B,166.53,23232.00,138.98,27837.27,3868824.96,在售,住宅
7栋A单元10A,120.90,24065.00,100.90,28835.06,2909458.50,在售,住宅
