房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
菁英领寓2栋E,503.36,35000.00,491.48,35846.01,17617600.00,在售,商业
菁英领寓3栋2413,67.48,21210.00,51.86,27598.36,1431251.00,在售,住宅
菁英领寓3栋2412,83.77,24357.71,64.39,31688.85,2040445.00,在售,住宅
菁英领寓3栋2411,67.38,21960.34,51.79,28570.92,1479688.00,在售,住宅
菁英领寓3栋2410,67.38,21960.34,51.79,28570.92,1479688.00,在售,住宅
菁英领寓3栋2409,67.38,21960.34,51.79,28570.92,1479688.00,在售,住宅
菁英领寓3栋2408,67.38,21960.34,51.79,28570.92,1479688.00,在售,住宅
菁英领寓3栋2407,67.38,21960.34,51.79,28570.92,1479688.00,在售,住宅
菁英领寓3栋2406,67.38,21960.34,51.79,28570.92,1479688.00,在售,住宅
菁英领寓3栋2405,67.38,22694.95,51.79,29526.67,1529186.00,在售,住宅
菁英领寓3栋2316,66.78,21563.21,51.79,27804.42,1439991.00,在售,住宅
菁英领寓3栋2315,66.78,21160.00,51.79,27284.51,1413065.00,在售,住宅
菁英领寓3栋2313,66.88,21710.00,51.86,27997.78,1451965.00,在售,住宅
菁英领寓3栋2312,83.02,24857.70,64.39,32049.79,2063686.00,在售,住宅
菁英领寓3栋2311,66.78,22460.35,51.79,28961.23,1499902.00,在售,住宅
菁英领寓3栋2310,66.78,22460.35,51.79,28961.23,1499902.00,在售,住宅
菁英领寓3栋2309,66.78,22460.35,51.79,28961.23,1499902.00,在售,住宅
菁英领寓3栋2308,66.78,22460.35,51.79,28961.23,1499902.00,在售,住宅
菁英领寓3栋2307,66.78,22460.35,51.79,28961.23,1499902.00,在售,住宅
菁英领寓3栋2306,66.78,22460.35,51.79,28961.23,1499902.00,在售,住宅
菁英领寓3栋2305,66.78,23194.95,51.79,29908.46,1548959.00,在售,住宅
菁英领寓3栋2303,66.88,20882.15,51.86,26930.16,1396598.00,在售,住宅
菁英领寓3栋2302,66.78,20882.15,51.79,26926.24,1394510.00,在售,住宅
菁英领寓3栋2301,66.78,21039.77,51.79,27129.48,1405036.00,在售,住宅
菁英领寓3栋2216,66.78,22063.21,51.79,28449.14,1473381.00,在售,住宅
菁英领寓3栋2215,66.78,21660.00,51.79,27929.23,1446455.00,在售,住宅
菁英领寓3栋2213,66.88,21660.00,51.86,27933.30,1448621.00,在售,住宅
菁英领寓3栋2212,83.02,24807.70,64.39,31985.32,2059535.00,在售,住宅
菁英领寓3栋2211,66.78,22410.35,51.79,28896.76,1496563.00,在售,住宅
菁英领寓3栋2210,66.78,22410.35,51.79,28896.76,1496563.00,在售,住宅
菁英领寓3栋2209,66.78,22410.35,51.79,28896.76,1496563.00,在售,住宅
菁英领寓3栋2208,66.78,22410.35,51.79,28896.76,1496563.00,在售,住宅
菁英领寓3栋2207,66.78,22410.35,51.79,28896.76,1496563.00,在售,住宅
菁英领寓3栋2206,66.78,22410.35,51.79,28896.76,1496563.00,在售,住宅
菁英领寓3栋2205,66.78,23144.95,51.79,29843.99,1545620.00,在售,住宅
菁英领寓3栋2203,66.88,21382.15,51.86,27574.97,1430038.00,在售,住宅
菁英领寓3栋2202,66.78,21382.15,51.79,27570.96,1427900.00,在售,住宅
菁英领寓3栋2201,66.78,21539.77,51.79,27774.20,1438426.00,在售,住宅
菁英领寓3栋2116,66.78,22013.21,51.79,28384.67,1470042.00,在售,住宅
菁英领寓3栋2115,66.78,21610.00,51.79,27864.76,1443116.00,在售,住宅
菁英领寓3栋2113,66.88,21610.00,51.86,27868.82,1445277.00,在售,住宅
菁英领寓3栋2112,83.02,24757.70,64.39,31920.86,2055384.00,在售,住宅
菁英领寓3栋2111,66.78,22360.35,51.79,28832.28,1493224.00,在售,住宅
菁英领寓3栋2110,66.78,22360.35,51.79,28832.28,1493224.00,在售,住宅
菁英领寓3栋2109,66.78,22360.35,51.79,28832.28,1493224.00,在售,住宅
菁英领寓3栋2108,66.78,22360.35,51.79,28832.28,1493224.00,在售,住宅
菁英领寓3栋2107,66.78,22360.35,51.79,28832.28,1493224.00,在售,住宅
菁英领寓3栋2106,66.78,22360.35,51.79,28832.28,1493224.00,在售,住宅
菁英领寓3栋2105,66.78,23094.95,51.79,29779.51,1542281.00,在售,住宅
菁英领寓3栋2103,66.88,21332.15,51.86,27510.49,1426694.00,在售,住宅
菁英领寓3栋2102,66.78,21332.15,51.79,27506.49,1424561.00,在售,住宅
菁英领寓3栋2101,66.78,21489.77,51.79,27709.73,1435087.00,在售,住宅
菁英领寓3栋2016,66.78,21963.21,51.79,28320.20,1466703.00,在售,住宅
菁英领寓3栋2015,66.78,21560.00,51.79,27800.29,1439777.00,在售,住宅
菁英领寓3栋2013,66.88,21560.00,51.86,27804.34,1441933.00,在售,住宅
菁英领寓3栋2012,83.02,24707.70,64.39,31856.39,2051233.00,在售,住宅
菁英领寓3栋2011,66.78,22310.35,51.79,28767.81,1489885.00,在售,住宅
菁英领寓3栋2010,66.78,22310.35,51.79,28767.81,1489885.00,在售,住宅
菁英领寓3栋2009,66.78,22310.35,51.79,28767.81,1489885.00,在售,住宅
菁英领寓3栋2008,66.78,22310.35,51.79,28767.81,1489885.00,在售,住宅
菁英领寓3栋2007,66.78,22310.35,51.79,28767.81,1489885.00,在售,住宅
菁英领寓3栋2006,66.78,22310.35,51.79,28767.81,1489885.00,在售,住宅
菁英领寓3栋2005,66.78,23044.95,51.79,29715.04,1538942.00,在售,住宅
菁英领寓3栋2003,66.88,21282.15,51.86,27446.01,1423350.00,在售,住宅
菁英领寓3栋2002,66.78,21282.15,51.79,27442.02,1421222.00,在售,住宅
菁英领寓3栋2001,66.78,21439.77,51.79,27645.26,1431748.00,在售,住宅
菁英领寓3栋1916,66.78,21913.21,51.79,28255.73,1463364.00,在售,住宅
菁英领寓3栋1915,66.78,21510.00,51.79,27735.82,1436438.00,在售,住宅
菁英领寓3栋1913,66.88,21510.00,51.86,27739.86,1438589.00,在售,住宅
菁英领寓3栋1912,83.02,24657.70,64.39,31791.92,2047082.00,在售,住宅
菁英领寓3栋1911,66.78,22260.35,51.79,28703.34,1486546.00,在售,住宅
菁英领寓3栋1910,66.78,22260.35,51.79,28703.34,1486546.00,在售,住宅
菁英领寓3栋1909,66.78,22260.35,51.79,28703.34,1486546.00,在售,住宅
