房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
C3110,51.23,56571.24,39.11,74102.40,2898145.00,在售,商务公寓
C3109,84.40,56295.90,64.44,73733.30,4751374.00,在售,商务公寓
C3108,51.57,56810.97,39.37,74415.59,2929742.00,在售,商务公寓
C3107,124.61,55086.31,95.13,72157.11,6864306.00,在售,商务公寓
C3106,116.76,54949.32,89.14,71975.36,6415884.00,在售,商务公寓
C3105,120.45,55189.05,91.96,72287.10,6647522.00,在售,商务公寓
C3104,120.89,53646.58,92.30,70263.66,6485336.00,在售,商务公寓
C3103,51.57,55906.86,39.37,73231.31,2883117.00,在售,商务公寓
C3102,84.40,54241.11,64.43,71053.08,4577950.00,在售,商务公寓
C3101,51.23,56605.49,39.11,74147.25,2899899.00,在售,商务公寓
C3010,51.23,56571.24,39.11,74102.40,2898145.00,在售,商务公寓
C3009,84.40,56295.90,64.44,73733.30,4751374.00,在售,商务公寓
C3008,51.57,56810.97,39.37,74415.59,2929742.00,在售,商务公寓
C3007,124.61,55086.31,95.13,72157.11,6864306.00,在售,商务公寓
C3006,116.76,54949.32,89.14,71975.36,6415884.00,在售,商务公寓
C3005,120.45,55189.05,91.96,72287.10,6647522.00,在售,商务公寓
C3004,120.89,53646.58,92.30,70263.66,6485336.00,在售,商务公寓
C3003,51.57,55906.86,39.37,73231.31,2883117.00,在售,商务公寓
C3002,84.40,54241.11,64.43,71053.08,4577950.00,在售,商务公寓
C3001,51.23,56605.49,39.11,74147.25,2899899.00,在售,商务公寓
C2910,51.23,56471.24,39.11,73971.41,2893022.00,在售,商务公寓
C2909,84.40,56195.90,64.44,73602.32,4742934.00,在售,商务公寓
C2908,51.57,56710.97,39.37,74284.60,2924585.00,在售,商务公寓
C2907,124.61,54936.31,95.13,71960.62,6845614.00,在售,商务公寓
C2906,116.76,54799.32,89.14,71778.88,6398370.00,在售,商务公寓
C2905,120.45,55039.05,91.96,72090.62,6629454.00,在售,商务公寓
C2904,120.89,53546.58,92.30,70132.68,6473247.00,在售,商务公寓
C2903,51.57,55806.86,39.37,73100.33,2877960.00,在售,商务公寓
C2902,84.40,54141.11,64.43,70922.08,4569510.00,在售,商务公寓
C2901,51.23,56505.49,39.11,74016.26,2894776.00,在售,商务公寓
C2810,51.23,56371.24,39.11,73840.42,2887899.00,在售,商务公寓
C2809,84.40,56095.90,64.44,73471.35,4734494.00,在售,商务公寓
C2808,51.57,56610.97,39.37,74153.61,2919428.00,在售,商务公寓
C2807,124.61,54786.31,95.13,71764.14,6826923.00,在售,商务公寓
C2806,116.76,54649.32,89.14,71582.40,6380856.00,在售,商务公寓
C2805,120.45,54889.05,91.96,71894.16,6611387.00,在售,商务公寓
C2804,120.89,53446.58,92.30,70001.71,6461158.00,在售,商务公寓
C2803,51.57,55706.86,39.37,72969.34,2872803.00,在售,商务公寓
C2802,84.40,54041.11,64.43,70791.09,4561070.00,在售,商务公寓
C2801,51.23,56405.49,39.11,73885.27,2889653.00,在售,商务公寓
C2710,51.23,56271.24,39.11,73709.43,2882776.00,在售,商务公寓
C2709,84.40,55995.90,64.44,73340.37,4726054.00,在售,商务公寓
C2708,51.57,56510.97,39.37,74022.63,2914271.00,在售,商务公寓
C2707,124.61,54636.31,95.13,71567.65,6808231.00,在售,商务公寓
C2706,116.76,54499.32,89.14,71385.93,6363342.00,在售,商务公寓
C2705,120.45,54739.05,91.96,71697.68,6593319.00,在售,商务公寓
C2704,120.89,53346.58,92.30,69870.73,6449069.00,在售,商务公寓
C2703,51.57,55606.86,39.37,72838.35,2867646.00,在售,商务公寓
C2702,84.40,53941.11,64.43,70660.09,4552630.00,在售,商务公寓
C2701,51.23,56305.49,39.11,73754.28,2884530.00,在售,商务公寓
C2610,51.23,56171.24,39.11,73578.44,2877653.00,在售,商务公寓
C2609,84.40,55895.90,64.44,73209.40,4717614.00,在售,商务公寓
C2608,51.57,56410.97,39.37,73891.64,2909114.00,在售,商务公寓
C2607,124.61,54486.31,95.13,71371.17,6789540.00,在售,商务公寓
C2606,116.76,54349.32,89.14,71189.45,6345828.00,在售,商务公寓
C2605,120.45,54589.05,91.96,71501.21,6575252.00,在售,商务公寓
C2604,120.89,52246.58,92.30,68430.01,6316090.00,在售,商务公寓
C2603,51.57,54506.86,39.37,71397.48,2810919.00,在售,商务公寓
C2602,84.40,53841.11,64.43,70529.10,4544190.00,在售,商务公寓
C2601,51.23,56205.49,39.11,73623.29,2879407.00,在售,商务公寓
C2510,51.23,56071.24,39.11,73447.45,2872530.00,在售,商务公寓
C2509,84.40,55795.90,64.44,73078.42,4709174.00,在售,商务公寓
C2508,51.57,56310.97,39.37,73760.65,2903957.00,在售,商务公寓
C2507,124.61,54336.31,95.13,71174.68,6770848.00,在售,商务公寓
C2506,116.76,54199.32,89.14,70992.97,6328314.00,在售,商务公寓
C2505,120.45,54439.05,91.96,71304.74,6557184.00,在售,商务公寓
C2504,120.89,52146.58,92.30,68299.03,6304001.00,在售,商务公寓
C2503,51.57,54406.86,39.37,71266.49,2805762.00,在售,商务公寓
C2502,84.40,53741.11,64.43,70398.10,4535750.00,在售,商务公寓
C2501,51.23,56105.49,39.11,73492.30,2874284.00,在售,商务公寓
C2410,51.23,55971.24,39.11,73316.46,2867407.00,在售,商务公寓
C2409,84.40,55695.90,64.44,72947.45,4700734.00,在售,商务公寓
C2408,51.57,56210.97,39.37,73629.66,2898800.00,在售,商务公寓
C2407,124.61,53186.31,95.13,69668.31,6627547.00,在售,商务公寓
C2406,116.76,53049.32,89.14,69486.65,6194040.00,在售,商务公寓
C2405,120.45,53289.05,91.96,69798.46,6418667.00,在售,商务公寓
C2404,120.89,52046.58,92.30,68168.06,6291912.00,在售,商务公寓
C2403,51.57,54306.86,39.37,71135.50,2800605.00,在售,商务公寓
C2402,84.40,53641.11,64.43,70267.11,4527310.00,在售,商务公寓
C2401,51.23,56005.49,39.11,73361.31,2869161.00,在售,商务公寓
C2310,51.23,55871.24,39.11,73185.47,2862284.00,在售,商务公寓
C2309,84.41,55595.90,64.44,72825.10,4692850.00,在售,商务公寓
C2308,51.57,56110.97,39.37,73498.67,2893643.00,在售,商务公寓
C2307,124.63,53036.31,95.13,69482.98,6609916.00,在售,商务公寓
C2306,115.99,52899.32,88.54,69299.67,6135793.00,在售,商务公寓
C2305,119.68,53139.05,91.36,69611.23,6359682.00,在售,商务公寓
C2304,120.91,51946.58,92.30,68048.34,6280862.00,在售,商务公寓
C2303,51.57,54206.86,39.37,71004.52,2795448.00,在售,商务公寓
C2302,84.41,53541.11,64.43,70144.42,4519405.00,在售,商务公寓
C2301,51.23,55905.49,39.11,73230.32,2864038.00,在售,商务公寓
C2209,84.41,55495.90,64.44,72694.11,4684409.00,在售,商务公寓
C2206,115.99,52749.32,88.54,69103.17,6118395.00,在售,商务公寓
C1110,51.23,54171.24,39.11,70958.65,2775193.00,在售,商务公寓
C1109,84.41,53895.90,64.44,70598.27,4549353.00,在售,商务公寓
C1108,51.57,54410.97,39.37,71271.88,2805974.00,在售,商务公寓
C1107,124.63,51852.31,95.13,67931.81,6462354.00,在售,商务公寓
C1106,115.99,51711.32,88.54,67743.35,5997997.00,在售,商务公寓
C1105,119.68,51951.05,91.36,68054.96,6217502.00,在售,商务公寓
C1104,120.91,50746.58,92.30,66476.38,6135770.00,在售,商务公寓
C1103,51.57,53006.86,39.37,69432.66,2733564.00,在售,商务公寓
C1102,84.41,51841.11,64.43,67917.24,4375908.00,在售,商务公寓
