房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
G座45E,148.67,50715.74,113.10,66665.87,7539910.50,初始登记,住宅
G座44E,148.67,50815.74,113.10,66797.32,7554777.50,初始登记,住宅
G座43E,148.67,50615.74,113.10,66534.42,7525043.50,初始登记,住宅
G座42E,148.67,50415.74,113.10,66271.52,7495309.50,在售,住宅
G座41E,148.67,50215.74,113.10,66008.62,7465575.50,在售,住宅
G座40E,148.67,57633.00,113.10,75758.91,8568332.00,在售,住宅
G座39E,148.67,57511.00,113.10,75599.00,8550246.00,在售,住宅
G座38E,148.67,57450.42,113.10,75518.00,8541153.00,在售,住宅
G座37E,148.67,60155.41,113.10,79074.00,8943304.00,在售,住宅
G座36E,148.67,60071.54,113.10,78964.00,8930835.00,初始登记,住宅
G座45D,120.10,50876.70,91.37,66874.16,6110292.36,在售,住宅
G座44D,120.10,50976.70,91.37,67005.60,6122302.36,在售,住宅
G座43D,120.10,50776.70,91.37,66742.72,6098282.36,在售,住宅
G座42D,120.10,50576.70,91.37,66479.83,6074262.36,在售,住宅
G座41D,120.10,50376.70,91.37,66216.94,6050242.36,初始登记,住宅
G座40D,120.10,50176.70,91.37,65954.05,6026222.36,在售,住宅
G座39D,120.10,49976.70,91.37,65691.17,6002202.36,在售,住宅
G座38D,120.10,49776.70,91.37,65428.28,5978182.36,在售,住宅
G座37D,120.10,49576.70,91.37,65165.39,5954162.36,在售,住宅
G座36D,120.10,49376.70,91.37,64902.51,5930142.36,在售,住宅
G座45C,120.10,51502.64,91.37,67696.92,6185467.90,在售,住宅
G座44C,120.10,60739.77,91.37,79838.00,7294846.00,在售,住宅
G座43C,120.10,60633.86,91.37,79699.00,7282126.00,在售,住宅
G座42C,120.10,51202.64,91.37,67302.59,6149437.90,在售,住宅
G座41C,120.10,60422.00,91.37,79420.86,7256683.00,在售,住宅
G座40C,120.10,50802.64,91.37,66776.81,6101397.90,在售,住宅
G座39C,120.10,63133.00,91.37,82984.00,7582273.00,在售,住宅
G座38C,120.10,50402.64,91.37,66251.04,6053357.90,在售,住宅
G座37C,120.10,50202.64,91.37,65988.15,6029337.90,在售,住宅
G座36C,120.10,70418.72,91.37,92560.00,8457288.00,在售,住宅
G座45B,148.67,62761.45,113.10,82499.00,9330744.00,在售,住宅
G座44B,148.67,61563.38,113.10,80925.00,9152627.00,在售,住宅
G座43B,148.67,61455.56,113.10,80783.00,9136598.00,在售,住宅
G座42B,148.67,61347.00,113.10,80641.00,9120497.00,在售,住宅
G座41B,148.67,58404.00,113.10,76773.04,8683030.00,在售,住宅
G座40B,148.67,61239.91,113.10,80499.00,9104537.00,在售,住宅
G座39B,148.67,61024.26,113.10,80216.00,9072476.00,在售,住宅
G座38B,148.67,60940.39,113.10,80106.00,9060007.00,在售,住宅
G座37B,148.67,60855.00,113.10,79995.00,9047434.00,在售,住宅
G座36B,148.67,68065.39,113.10,89471.00,10119281.00,在售,住宅
G座45A,124.61,47354.56,94.79,62251.84,5900852.85,在售,住宅
G座44A,124.61,47454.56,94.79,62383.30,5913313.85,在售,住宅
G座43A,124.61,47254.56,94.79,62120.39,5888391.85,在售,住宅
G座42A,124.61,47054.56,94.79,61857.47,5863469.85,在售,住宅
G座41A,124.61,46854.56,94.79,61594.55,5838547.85,在售,住宅
G座40A,124.61,46654.56,94.79,61331.63,5813625.85,在售,住宅
G座39A,124.61,46454.56,94.79,61068.71,5788703.85,在售,住宅
G座38A,124.61,46254.56,94.79,60805.80,5763781.85,在售,住宅
G座37A,124.61,46054.56,94.79,60542.88,5738859.85,在售,住宅
G座36A,124.61,45854.56,94.79,60279.96,5713937.85,在售,住宅
F座45E,148.68,50952.91,113.10,66982.13,7575679.31,在售,住宅
F座44E,148.68,68950.46,113.10,90641.00,10251554.00,在售,住宅
F座43E,148.68,68824.87,113.10,90476.00,10232881.00,在售,住宅
F座42E,148.68,50652.91,113.10,66587.75,7531075.31,在售,住宅
F座41E,148.68,50452.91,113.10,66324.83,7501339.31,在售,住宅
F座40E,148.68,66614.68,113.10,87570.00,9904270.00,在售,住宅
F座39E,148.68,50052.91,113.10,65799.00,7441867.31,在售,住宅
F座38E,148.68,49852.91,113.10,65536.08,7412131.31,在售,住宅
F座37E,148.68,49652.91,113.10,65273.16,7382395.31,在售,住宅
F座36E,148.68,49452.91,113.10,65010.25,7352659.31,在售,住宅
F座45D,120.11,49710.98,91.37,65347.34,5970786.80,在售,住宅
F座44D,120.11,61722.82,91.37,81137.00,7413527.00,在售,住宅
F座43D,120.11,49610.98,91.37,65215.88,5958775.80,在售,住宅
F座42D,120.11,61492.66,91.37,80834.00,7385883.00,在售,住宅
F座41D,120.11,49210.98,91.37,64690.07,5910731.80,在售,住宅
F座40D,120.11,49010.98,91.37,64427.16,5886709.80,在售,住宅
F座39D,120.11,48810.98,91.37,64164.25,5862687.80,在售,住宅
F座38D,120.11,48610.98,91.37,63901.34,5838665.80,在售,住宅
F座37D,120.11,48410.98,91.37,63638.43,5814643.80,在售,住宅
F座36D,120.11,48210.98,91.37,63375.52,5790621.80,在售,住宅
F座45C,120.11,48411.29,91.37,63638.83,5814680.62,在售,住宅
F座44C,120.11,48511.29,91.37,63770.29,5826691.62,在售,住宅
F座43C,120.11,74208.75,91.37,97550.00,8913212.00,在售,住宅
F座42C,120.11,74075.27,91.37,97375.00,8897180.00,在售,住宅
F座41C,120.11,47911.29,91.37,62981.56,5754625.62,在售,住宅
F座40C,120.11,47711.29,91.37,62718.65,5730603.62,在售,住宅
F座39C,120.11,47511.29,91.37,62455.74,5706581.62,在售,住宅
F座38C,120.11,47311.29,91.37,62192.83,5682559.62,在售,住宅
F座37C,120.11,47111.29,91.37,61929.92,5658537.62,在售,住宅
F座36C,120.11,46911.29,91.37,61667.02,5634515.62,在售,住宅
F座45B,148.68,50615.01,113.10,66537.93,7525440.41,在售,住宅
F座44B,148.68,50715.01,113.10,66669.39,7540308.41,在售,住宅
F座43B,148.68,50515.01,113.10,66406.47,7510572.41,在售,住宅
F座42B,148.68,50315.01,113.10,66143.55,7480836.41,在售,住宅
F座41B,148.68,50115.01,113.10,65880.64,7451100.41,在售,住宅
F座40B,148.68,49915.01,113.10,65617.72,7421364.41,在售,住宅
F座39B,148.68,49715.01,113.10,65354.80,7391628.41,在售,住宅
F座38B,148.68,49515.01,113.10,65091.88,7361892.41,在售,住宅
F座37B,148.68,49315.01,113.10,64828.96,7332156.41,在售,住宅
F座36B,148.68,49115.01,113.10,64566.05,7302420.41,在售,住宅
F座45A,124.61,62549.53,94.79,82226.00,7794296.00,在售,住宅
F座44A,124.61,47447.89,94.79,62374.54,5912482.79,在售,住宅
F座43A,124.61,47247.89,94.79,62111.62,5887560.79,在售,住宅
F座42A,124.61,47047.89,94.79,61848.70,5862638.79,在售,住宅
F座41A,124.61,46847.89,94.79,61585.78,5837716.79,在售,住宅
F座40A,124.61,46647.89,94.79,61322.86,5812794.79,在售,住宅
F座39A,124.61,46447.89,94.79,61059.95,5787872.79,在售,住宅
F座38A,124.61,46247.89,94.79,60797.03,5762950.79,在售,住宅
F座37A,124.61,46047.89,94.79,60534.11,5738028.79,在售,住宅
F座36A,124.61,45847.89,94.79,60271.19,5713106.79,在售,住宅
