房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋２单元3205,88.96,44992.00,65.98,60662.14,4002488.32,在售,住宅
2栋２单元3203,88.89,42552.00,65.93,57370.65,3782447.28,在售,住宅
2栋２单元3202,88.89,42734.00,65.93,57616.03,3798625.26,在售,住宅
2栋２单元3201,88.96,45568.00,65.98,61438.75,4053729.28,在售,住宅
2栋２单元3105,88.96,45536.00,65.98,61395.61,4050882.56,在售,住宅
2栋２单元3103,88.89,43096.00,65.93,58104.10,3830803.44,在售,住宅
2栋２单元3102,88.89,43278.00,65.93,58349.48,3846981.42,在售,住宅
2栋２单元3101,88.96,46112.00,65.98,62172.22,4102123.52,在售,住宅
2栋２单元3005,88.96,45440.00,65.98,61266.17,4042342.40,在售,住宅
2栋２单元3003,88.89,43000.00,65.93,57974.67,3822270.00,在售,住宅
2栋２单元3002,88.89,43182.00,65.93,58220.05,3838447.98,在售,住宅
2栋２单元3001,88.96,49556.00,65.98,66815.72,4408501.76,在售,住宅
2栋２单元2905,88.96,45344.00,65.98,61136.74,4033802.24,在售,住宅
2栋２单元2903,88.89,42904.00,65.93,57845.23,3813736.56,在售,住宅
2栋２单元2902,88.89,43086.00,65.93,58090.61,3829914.54,在售,住宅
2栋２单元2901,88.96,45920.00,65.98,61913.35,4085043.20,在售,住宅
2栋２单元2805,88.96,45248.00,65.98,61007.30,4025262.08,在售,住宅
2栋２单元2803,88.89,42808.00,65.93,57715.80,3805203.12,在售,住宅
2栋２单元2802,88.89,42990.00,65.93,57961.18,3821381.10,在售,住宅
2栋２单元2801,88.96,45824.00,65.98,61783.91,4076503.04,在售,住宅
2栋２单元2705,88.96,45152.00,65.98,60877.87,4016721.92,在售,住宅
2栋２单元2703,88.89,42712.00,65.93,57586.37,3796669.68,在售,住宅
2栋２单元2702,88.89,42894.00,65.93,57831.75,3812847.66,在售,住宅
2栋２单元2701,88.96,45728.00,65.98,61654.48,4067962.88,在售,住宅
2栋２单元2605,88.96,45056.00,65.98,60748.43,4008181.76,在售,住宅
2栋２单元2603,88.89,42616.00,65.93,57456.94,3788136.24,在售,住宅
2栋２单元2602,88.89,42798.00,65.93,57702.32,3804314.22,在售,住宅
2栋２单元2601,88.96,45632.00,65.98,61525.04,4059422.72,在售,住宅
2栋２单元2505,88.96,44960.00,65.98,60618.99,3999641.60,在售,住宅
2栋２单元2503,88.89,42520.00,65.93,57327.51,3779602.80,在售,住宅
2栋２单元2502,88.89,42702.00,65.93,57572.89,3795780.78,在售,住宅
2栋２单元2501,88.96,45536.00,65.98,61395.61,4050882.56,在售,住宅
2栋２单元2405,88.96,44864.00,65.98,60489.56,3991101.44,在售,住宅
2栋２单元2403,88.89,42424.00,65.93,57198.07,3771069.36,在售,住宅
2栋２单元2402,88.89,42606.00,65.93,57443.46,3787247.34,在售,住宅
2栋２单元2401,88.96,45440.00,65.98,61266.17,4042342.40,在售,住宅
2栋２单元2305,88.96,44768.00,65.98,60360.12,3982561.28,在售,住宅
2栋２单元2303,88.89,42328.00,65.93,57068.64,3762535.92,在售,住宅
2栋２单元2302,88.89,42510.00,65.93,57314.02,3778713.90,在售,住宅
2栋２单元2301,88.96,45344.00,65.98,61136.74,4033802.24,在售,住宅
2栋２单元2205,88.96,44672.00,65.98,60230.69,3974021.12,在售,住宅
2栋２单元2203,88.89,42232.00,65.93,56939.21,3754002.48,在售,住宅
2栋２单元2202,88.89,42414.00,65.93,57184.59,3770180.46,在售,住宅
2栋２单元2201,88.96,45248.00,65.98,61007.30,4025262.08,在售,住宅
2栋２单元2105,88.96,44576.00,65.98,60101.25,3965480.96,在售,住宅
2栋２单元2103,88.89,42136.00,65.93,56809.78,3745469.04,在售,住宅
2栋２单元2102,88.89,42318.00,65.93,57055.16,3761647.02,在售,住宅
