房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
9C02,87.40,50254.00,67.95,64639.00,4392195.00,已签认购书,住宅
9C01,87.40,50353.00,67.95,64766.00,4400831.00,已签认购书,住宅
8C02,89.15,50091.00,69.32,64420.00,4465604.00,已签认购书,住宅
8C01,89.15,50190.00,69.32,64547.00,4474413.00,已签认购书,住宅
7C02,87.40,49928.00,67.95,64219.00,4363695.00,已签认购书,住宅
7C01,87.40,50027.00,67.95,64346.00,4372331.00,已签认购书,住宅
6C02,89.15,48895.00,69.32,62882.00,4359011.00,已签认购书,住宅
6C01,89.15,48994.00,69.32,63010.00,4367821.00,已签认购书,住宅
5C02,87.40,48808.00,67.95,62779.00,4265845.00,已签认购书,住宅
5C01,87.40,48907.00,67.95,62906.00,4274481.00,已签认购书,住宅
4C02,89.15,48721.00,69.32,62659.00,4343507.00,已签认购书,住宅
4C01,89.15,48820.00,69.32,62786.00,4352316.00,已签认购书,住宅
3C02,87.40,48634.00,67.95,62555.00,4250645.00,已签认购书,住宅
3C01,87.40,48733.00,67.95,62683.00,4259281.00,已签认购书,住宅
2C02,89.15,48547.00,69.32,62435.00,4328003.00,已签认购书,住宅
2C01,89.15,48646.00,69.32,62562.00,4336812.00,已签认购书,住宅
1C02,87.40,48460.00,67.95,62332.00,4235445.00,已签认购书,住宅
1C01,70.50,48559.00,54.81,62460.00,3423429.00,已签认购书,住宅
11B02,87.35,49666.00,67.95,63846.00,4338325.00,已签认购书,住宅
11B01,89.52,48283.00,69.64,62066.00,4322258.00,已签认购书,住宅
11A02,85.56,49123.00,69.64,60352.00,4202923.00,已签认购书,住宅
11A01,128.70,52087.00,104.76,63990.00,6703590.00,已签认购书,住宅
10B02,89.11,49557.00,69.32,63705.00,4416051.00,已签认购书,住宅
10B01,89.52,48174.00,69.64,61926.00,4312528.00,已签认购书,住宅
10A02,87.24,49014.00,71.01,60216.00,4275966.00,已签认购书,住宅
10A01,128.70,51978.00,104.76,63856.00,6689601.00,已签认购书,住宅
9B02,87.35,49449.00,67.95,63566.00,4319336.00,已签认购书,住宅
9B01,89.52,48065.00,69.64,61786.00,4302797.00,已签认购书,住宅
9A02,85.56,48905.00,69.64,60085.00,4184323.00,已签认购书,住宅
9A01,128.70,51870.00,104.76,63723.00,6675612.00,已签认购书,住宅
8B02,89.11,48470.00,69.32,62308.00,4319193.00,已签认购书,住宅
8B01,89.52,47087.00,69.64,60529.00,4215223.00,已签认购书,住宅
8A02,87.24,47927.00,71.01,58881.00,4181140.00,已签认购书,住宅
8A01,128.70,50348.00,104.76,61853.00,6479764.00,已签认购书,住宅
7B02,87.35,48362.00,67.95,62169.00,4224390.00,已签认购书,住宅
7B01,89.52,46978.00,69.64,60389.00,4205493.00,已签认购书,住宅
7A02,85.56,47818.00,69.64,58750.00,4091323.00,已签认购书,住宅
7A01,128.70,50239.00,104.76,61720.00,6465775.00,已签认购书,住宅
6B02,89.11,48253.00,69.32,62029.00,4299821.00,已签认购书,住宅
6B01,89.52,46870.00,69.64,60249.00,4195763.00,已签认购书,住宅
6A02,87.24,47709.00,71.01,58614.00,4162175.00,已签认购书,住宅
6A01,128.70,50130.00,104.76,61586.00,6451786.00,已签认购书,住宅
5B02,87.35,48144.00,67.95,61890.00,4205401.00,已签认购书,住宅
5B01,89.52,46761.00,69.64,60110.00,4186032.00,已签认购书,住宅
5A02,85.56,47601.00,69.64,58483.00,4072723.00,已签认购书,住宅
5A01,128.70,50022.00,104.76,61453.00,6437797.00,已签认购书,住宅
4B02,89.11,48036.00,69.32,61749.00,4280449.00,已签认购书,住宅
4B01,89.52,46652.00,69.64,59970.00,4176302.00,已签认购书,住宅
4A02,87.24,47492.00,71.01,58347.00,4143210.00,已签认购书,住宅
4A01,128.70,49913.00,104.76,61319.00,6423807.00,已签认购书,住宅
3B02,87.35,47927.00,67.95,61610.00,4186412.00,已签认购书,住宅
3B01,89.52,46543.00,69.64,59830.00,4166571.00,已签认购书,住宅
3A02,85.56,47383.00,69.64,58215.00,4054123.00,已签认购书,住宅
3A01,128.70,49804.00,104.76,61186.00,6409818.00,已签认购书,住宅
2B02,89.11,47818.00,69.32,61470.00,4261077.00,已签认购书,住宅
2B01,89.53,46435.00,69.65,59689.00,4157305.00,已签认购书,住宅
2A02,87.24,47275.00,71.01,58080.00,4124244.00,已签认购书,住宅
2A01,128.71,49696.00,104.76,61057.00,6396326.00,已签认购书,住宅
1B02,87.35,47709.00,67.95,61331.00,4167423.00,已签认购书,住宅
