房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋住宅B座22F,89.69,41853.55,67.76,55399.13,3753845.00,在售,住宅
2栋住宅B座22E,89.85,39105.47,67.87,51769.95,3513626.48,在售,住宅
2栋住宅B座22D,76.45,46857.15,57.76,62019.20,3582229.00,在售,住宅
2栋住宅B座22C,76.45,38587.32,57.76,51073.42,2950000.61,在售,住宅
2栋住宅B座22B,89.85,44554.61,67.87,58983.82,4003232.00,在售,住宅
2栋住宅B座22A,89.69,41610.01,67.76,55076.77,3732002.00,在售,住宅
2栋住宅B座21F,89.69,41742.85,67.76,55252.60,3743916.00,在售,住宅
2栋住宅B座21E,89.85,46192.95,67.87,61152.75,4150437.00,在售,住宅
2栋住宅B座21D,76.45,38878.72,57.76,51459.11,2972278.14,在售,住宅
2栋住宅B座21C,76.45,45661.60,57.76,60436.79,3490829.00,在售,住宅
2栋住宅B座21B,89.85,44443.91,67.87,58837.26,3993285.00,在售,住宅
2栋住宅B座21A,89.69,41499.31,67.76,54930.24,3722073.00,在售,住宅
2栋住宅B座20F,89.69,41632.14,67.76,55106.07,3733987.00,在售,住宅
2栋住宅B座20E,89.85,46082.26,67.87,61006.20,4140491.00,在售,住宅
2栋住宅B座20D,76.45,46635.75,57.76,61726.16,3565303.00,在售,住宅
2栋住宅B座20C,76.45,38430.35,57.76,50865.66,2938000.26,在售,住宅
2栋住宅B座20B,89.85,44333.21,67.87,58690.72,3983339.00,在售,住宅
2栋住宅B座20A,89.69,41388.61,67.76,54783.71,3712144.00,在售,住宅
2栋住宅B座19F,89.69,41521.45,67.76,54959.55,3724059.00,在售,住宅
2栋住宅B座19E,89.85,45971.56,67.87,60859.66,4130545.00,在售,住宅
2栋住宅B座19D,76.45,38878.72,57.76,51459.11,2972278.14,在售,住宅
2栋住宅B座19C,76.45,45440.21,57.76,60143.77,3473904.00,在售,住宅
2栋住宅B座19B,89.85,44222.52,67.87,58544.17,3973393.00,在售,住宅
2栋住宅B座19A,89.69,41277.91,67.76,54637.19,3702216.00,在售,住宅
2栋住宅B座18F,89.69,41410.75,67.76,54813.02,3714130.00,在售,住宅
2栋住宅B座18E,89.85,45860.86,67.87,60713.10,4120598.00,在售,住宅
2栋住宅B座18D,76.45,38888.90,57.76,51472.58,2973056.41,在售,住宅
2栋住宅B座18C,76.45,45329.51,57.76,59997.25,3465441.00,在售,住宅
2栋住宅B座18B,89.85,44111.81,67.87,58397.61,3963446.00,在售,住宅
2栋住宅B座18A,89.69,41167.21,67.76,54490.66,3692287.00,在售,住宅
2栋住宅B座17F,89.69,41300.06,67.76,54666.50,3704202.00,在售,住宅
2栋住宅B座17E,89.85,45750.16,67.87,60566.55,4110652.00,在售,住宅
2栋住宅B座17D,76.45,38391.83,57.76,50814.67,2935055.40,在售,住宅
2栋住宅B座17C,76.45,45218.81,57.76,59850.73,3456978.00,在售,住宅
2栋住宅B座17B,89.85,44001.11,67.87,58251.07,3953500.00,在售,住宅
2栋住宅B座17A,89.69,41056.52,67.76,54344.14,3682359.00,在售,住宅
2栋住宅B座16F,89.69,41189.35,67.76,54519.97,3694273.00,在售,住宅
2栋住宅B座16E,89.85,45639.47,67.87,60420.01,4100706.00,在售,住宅
2栋住宅B座16D,76.45,46192.96,57.76,61140.10,3531452.00,在售,住宅
2栋住宅B座16C,76.45,45108.11,57.76,59704.21,3448515.00,在售,住宅
2栋住宅B座16B,89.85,43890.42,67.87,58104.52,3943554.00,在售,住宅
2栋住宅B座16A,89.69,40945.81,67.76,54197.61,3672430.00,在售,住宅
2栋住宅B座14F,89.69,40912.60,67.76,54153.65,3669451.00,在售,住宅
2栋住宅B座14E,89.85,45362.72,67.87,60053.63,4075840.00,在售,住宅
2栋住宅B座14D,76.45,38391.83,57.76,50814.67,2935055.40,在售,住宅
2栋住宅B座14C,76.45,44831.35,57.76,59337.90,3427357.00,在售,住宅
2栋住宅B座14B,89.85,43613.67,67.87,57738.15,3918688.00,在售,住宅
2栋住宅B座14A,89.69,40669.06,67.76,53831.29,3647608.00,在售,住宅
2栋住宅B座13F,89.69,40801.91,67.76,54007.13,3659523.00,在售,住宅
2栋住宅B座13E,89.85,45252.01,67.87,59907.07,4065893.00,在售,住宅
2栋住宅B座13D,76.45,45805.51,57.76,60627.27,3501831.00,在售,住宅
2栋住宅B座13C,76.45,44720.65,57.76,59191.38,3418894.00,在售,住宅
2栋住宅B座13B,89.85,43502.96,67.87,57591.59,3908741.00,在售,住宅
2栋住宅B座13A,89.69,40558.37,67.76,53684.77,3637680.00,在售,住宅
2栋住宅B座12F,89.69,40691.20,67.76,53860.60,3649594.00,在售,住宅
2栋住宅B座12E,89.85,45141.31,67.87,59760.53,4055947.00,在售,住宅
2栋住宅B座12D,76.45,45694.81,57.76,60480.75,3493368.00,在售,住宅
2栋住宅B座12C,76.45,44609.95,57.76,59044.86,3410431.00,在售,住宅
2栋住宅B座12B,89.85,43392.26,67.87,57445.04,3898795.00,在售,住宅
2栋住宅B座12A,89.69,40447.66,67.76,53538.24,3627751.00,在售,住宅
2栋住宅B座11F,89.69,40580.51,67.76,53714.08,3639666.00,在售,住宅
2栋住宅B座11E,89.85,45030.62,67.87,59613.98,4046001.00,在售,住宅
2栋住宅B座11D,76.45,45584.11,57.76,60334.23,3484905.00,在售,住宅
2栋住宅B座11C,76.45,44499.25,57.76,58898.34,3401968.00,在售,住宅
2栋住宅B座11B,89.85,43281.57,67.87,57298.50,3888849.00,在售,住宅
2栋住宅B座11A,89.69,40336.97,67.76,53391.72,3617823.00,在售,住宅
2栋住宅B座10F,89.69,40469.81,67.76,53567.55,3629737.00,在售,住宅
2栋住宅B座10E,89.85,44919.92,67.87,59467.44,4036055.00,在售,住宅
2栋住宅B座10D,76.45,45473.41,57.76,60187.71,3476442.00,在售,住宅
2栋住宅B座10C,76.45,44388.55,57.76,58751.82,3393505.00,在售,住宅
2栋住宅B座10B,89.85,43170.87,67.87,57151.95,3878903.00,在售,住宅
2栋住宅B座10A,89.69,40226.27,67.76,53245.19,3607894.00,在售,住宅
2栋住宅B座9F,89.69,40359.10,67.76,53421.02,3619808.00,在售,住宅
2栋住宅B座9E,89.85,44809.22,67.87,59320.88,4026108.00,在售,住宅
2栋住宅B座9D,76.45,45362.71,57.76,60041.19,3467979.00,在售,住宅
2栋住宅B座9C,76.45,44277.85,57.76,58605.30,3385042.00,在售,住宅
2栋住宅B座9B,89.85,43060.17,67.87,57005.39,3868956.00,在售,住宅
2栋住宅B座9A,89.69,40115.56,67.76,53098.66,3597965.00,在售,住宅
2栋住宅B座8F,89.69,40248.41,67.76,53274.50,3609880.00,在售,住宅
2栋住宅B座8E,89.85,44698.52,67.87,59174.33,4016162.00,在售,住宅
2栋住宅B座8D,76.45,45252.01,57.76,59894.67,3459516.00,在售,住宅
2栋住宅B座8C,76.45,44167.16,57.76,58458.78,3376579.00,在售,住宅
2栋住宅B座8B,89.85,42949.47,67.87,56858.85,3859010.00,在售,住宅
2栋住宅B座8A,89.69,40004.87,67.76,52952.14,3588037.00,在售,住宅
2栋住宅B座7F,89.69,40082.36,67.76,53054.71,3594987.00,在售,住宅
2栋住宅B座7E,89.85,44532.47,67.87,58954.50,4001242.00,在售,住宅
2栋住宅B座7D,76.45,45085.96,57.76,59674.90,3446822.00,在售,住宅
2栋住宅B座7C,76.45,44056.47,57.76,58312.27,3368117.00,在售,住宅
2栋住宅B座7B,89.85,42838.78,67.87,56712.30,3849064.00,在售,住宅
2栋住宅B座7A,89.69,39838.82,67.76,52732.35,3573144.00,在售,住宅
2栋住宅B座6F,89.69,39971.66,67.76,52908.18,3585058.00,在售,住宅
2栋住宅B座6E,89.85,44421.77,67.87,58807.96,3991296.00,在售,住宅
2栋住宅B座6D,76.45,44975.26,57.76,59528.38,3438359.00,在售,住宅
2栋住宅B座6C,76.45,43945.77,57.76,58165.75,3359654.00,在售,住宅
2栋住宅B座6B,89.85,42728.07,67.87,56565.74,3839117.00,在售,住宅
