房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
29H,194.28,63856.20,185.50,66878.61,12405983.04,在售,住宅
29G,194.01,57888.20,185.25,60625.58,11230890.19,在售,住宅
29F,194.01,57888.20,185.25,60625.58,11230890.19,在售,住宅
29E,194.01,58267.20,185.25,61022.51,11304419.98,在售,住宅
29D,194.01,58267.20,185.25,61022.51,11304419.98,在售,住宅
29C,194.01,58267.20,185.25,61022.51,11304419.98,在售,住宅
29B,194.01,58267.20,185.25,61022.51,11304419.98,在售,住宅
29A,194.28,64235.20,185.50,67275.55,12479615.16,在售,住宅
28H,194.29,64235.20,185.50,67279.01,12480257.52,在售,住宅
28G,194.02,58267.20,185.25,61025.65,11305002.65,在售,住宅
28F,194.02,58267.20,185.25,61025.65,11305002.65,在售,住宅
28E,194.02,58267.20,185.25,61025.65,11305002.65,在售,住宅
28D,194.02,58267.20,185.25,61025.65,11305002.65,在售,住宅
28C,194.02,58267.20,185.25,61025.65,11305002.65,在售,住宅
28B,194.02,58267.20,185.25,61025.65,11305002.65,在售,住宅
28A,194.29,64235.20,185.50,67279.01,12480257.52,在售,住宅
27F,194.48,79597.00,185.50,83450.00,15480024.00,在售,住宅
27E,194.21,60920.20,185.25,63866.73,11831312.55,在售,住宅
27D,194.21,60920.20,185.25,63866.73,11831312.55,在售,住宅
27C,194.21,61299.20,185.25,64264.06,11904918.14,在售,住宅
27B,194.21,46536.00,185.25,48786.81,9037756.56,在售,住宅
27A,194.48,67267.20,185.50,70523.58,13082125.56,在售,住宅
26H,194.33,71435.20,185.50,74835.59,13882002.92,在售,住宅
26G,194.06,65467.20,185.25,68580.64,12704565.34,在售,住宅
26F,194.06,65467.20,185.25,68580.64,12704565.34,在售,住宅
26E,194.06,65467.20,185.25,68580.64,12704565.34,在售,住宅
26D,194.06,45990.00,185.25,48177.16,8924819.40,在售,住宅
26C,194.06,65467.20,185.25,68580.64,12704565.34,在售,住宅
26B,194.06,65467.20,185.25,68580.64,12704565.34,在售,住宅
26A,194.33,74277.20,185.50,77812.87,14434288.78,在售,住宅
25H,194.23,72288.20,185.50,75690.22,14040537.59,在售,住宅
25G,193.96,63477.20,185.25,66461.74,12312038.22,在售,住宅
25F,193.96,62151.20,185.25,65073.39,12054847.26,在售,住宅
25E,193.96,62151.20,185.25,65073.39,12054847.26,在售,住宅
25D,193.96,60825.20,185.25,63685.05,11797656.30,在售,住宅
25C,193.96,60825.20,185.25,63685.05,11797656.30,在售,住宅
25B,193.96,58930.20,185.25,61700.95,11430102.10,在售,住宅
