房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
9号楼-2D,84.88,24104.53,67.32,30392.05,2045993.00,在售,住宅
9号楼-2C,86.37,21439.64,68.49,27036.67,1851742.00,在售,住宅
9号楼-2B,86.37,21439.64,68.49,27036.67,1851742.00,在售,住宅
9号楼-2A2,62.40,21376.10,49.49,26952.29,1333869.00,在售,住宅
9号楼-2A1,89.14,20807.49,70.69,26238.22,1854780.00,在售,住宅
9号楼-3D,83.93,24164.81,66.63,30439.03,2028153.00,在售,住宅
9号楼-3C,86.29,21484.11,68.50,27063.70,1853864.00,在售,住宅
9号楼-3B,86.29,21484.11,68.49,27067.66,1853864.00,在售,住宅
9号楼-3A2,62.38,20514.76,49.52,25842.30,1279711.00,在售,住宅
9号楼-3A1,98.23,19822.73,77.97,24973.54,1947187.00,在售,住宅
9号楼-4D,84.88,24147.62,67.31,30450.89,2049650.00,在售,住宅
9号楼-4C,86.37,21482.72,68.49,27091.00,1855463.00,在售,住宅
9号楼-4B,86.37,21267.23,68.49,26819.25,1836851.00,在售,住宅
9号楼-4A2,62.43,21749.07,49.51,27424.66,1357795.00,在售,住宅
9号楼-4A1,89.10,21181.96,70.66,26709.77,1887313.00,在售,住宅
9号楼-5D,83.93,24369.53,66.63,30696.90,2045335.00,在售,住宅
9号楼-5C,86.29,21688.82,68.50,27321.59,1871529.00,在售,住宅
9号楼-5B,86.29,21473.34,68.49,27054.09,1852935.00,在售,住宅
9号楼-5A2,62.38,20719.47,49.52,26100.18,1292481.00,在售,住宅
9号楼-5A1,98.23,20027.45,77.97,25231.46,1967297.00,在售,住宅
9号楼-6D,84.88,24503.20,67.31,30899.30,2079832.00,在售,住宅
9号楼-6C,86.37,21838.31,68.49,27539.42,1886175.00,在售,住宅
9号楼-6B,86.37,21622.82,68.49,27267.67,1867563.00,在售,住宅
9号楼-6A2,62.43,21730.78,49.51,27401.59,1356653.00,在售,住宅
9号楼-6A1,89.10,21163.63,70.66,26686.66,1885680.00,在售,住宅
9号楼-7D,83.93,24563.47,66.63,30941.19,2061612.00,在售,住宅
9号楼-7C,86.29,21882.77,68.50,27565.91,1888265.00,在售,住宅
9号楼-7B,86.29,21667.28,68.49,27298.43,1869670.00,在售,住宅
9号楼-7A2,62.38,20870.31,49.52,26290.18,1301890.00,在售,住宅
9号楼-7A1,98.23,20178.28,77.97,25421.48,1982113.00,在售,住宅
9号楼-8D,84.88,24589.39,67.31,31007.99,2087148.00,在售,住宅
9号楼-8C,86.37,21924.49,68.49,27648.10,1893619.00,在售,住宅
9号楼-8B,86.37,21709.00,68.49,27376.36,1875007.00,在售,住宅
9号楼-8A2,62.43,22190.83,49.51,27981.70,1385374.00,在售,住宅
9号楼-8A1,89.10,21623.72,70.66,27266.82,1926674.00,在售,住宅
9号楼-9D,83.93,24649.67,66.63,31049.78,2068847.00,在售,住宅
9号楼-9C,86.29,21968.98,68.50,27674.51,1895704.00,在售,住宅
9号楼-9B,86.29,21753.49,68.49,27407.05,1877109.00,在售,住宅
9号楼-9A2,62.38,20999.61,49.52,26453.06,1309956.00,在售,住宅
9号楼-9A1,98.23,20307.58,77.97,25584.37,1994814.00,在售,住宅
9号楼-10D,84.88,24686.36,67.31,31130.27,2095379.00,在售,住宅
