房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1层07,59.05,80000.00,55.27,85471.32,4724000.00,在售,商业
1层06,59.05,80000.00,55.27,85471.32,4724000.00,在售,商业
1层05,59.03,80000.00,55.25,85473.30,4722400.00,在售,商业
1层04,58.60,80000.00,54.84,85485.04,4688000.00,在售,商业
1层03,34.19,80000.00,32.00,85475.00,2735200.00,在售,商业
1层02,42.03,80000.00,39.34,85470.25,3362400.00,在售,商业
半地下室01层02,23.39,80000.00,21.81,85795.50,1871200.00,在售,商业
地下商业01层01,4689.90,80000.00,3324.49,112857.00,375192000.00,在售,商业
1栋2009,70.69,24500.00,52.85,32770.19,1731905.00,在售,住宅
1栋2008,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋2007,69.72,24500.00,52.12,32773.21,1708140.00,在售,住宅
1栋2006,70.42,24500.00,52.65,32769.04,1725290.00,在售,住宅
1栋2005,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋2004,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋2003,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋2002,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋2001,69.72,24500.00,52.12,32773.21,1708140.00,在售,住宅
1栋1909,70.69,24500.00,52.85,32770.19,1731905.00,在售,住宅
1栋1908,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1907,69.72,24500.00,52.12,32773.21,1708140.00,在售,住宅
1栋1906,70.42,24500.00,52.65,32769.04,1725290.00,在售,住宅
1栋1905,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1904,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1903,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1902,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1901,69.72,24500.00,52.12,32773.21,1708140.00,在售,住宅
1栋1809,70.69,24500.00,52.85,32770.19,1731905.00,在售,住宅
1栋1808,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1807,69.72,24500.00,52.12,32773.21,1708140.00,在售,住宅
1栋1806,70.42,24500.00,52.65,32769.04,1725290.00,在售,住宅
1栋1805,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1804,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1803,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1802,69.88,24500.00,52.24,32772.97,1712060.00,在售,住宅
1栋1801,69.72,24500.00,52.12,32773.21,1708140.00,在售,住宅
1栋1709,70.74,24500.00,52.85,32793.37,1733130.00,在售,住宅
1栋1708,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1707,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1706,70.46,24500.00,52.65,32787.65,1726270.00,在售,住宅
1栋1705,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1704,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1703,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1702,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1701,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1609,70.74,24500.00,52.85,32793.37,1733130.00,在售,住宅
1栋1608,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1607,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1606,70.46,24500.00,52.65,32787.65,1726270.00,在售,住宅
1栋1605,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1604,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1603,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1602,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1601,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1509,70.74,24500.00,52.85,32793.37,1733130.00,在售,住宅
1栋1508,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1507,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1506,70.46,24500.00,52.65,32787.65,1726270.00,在售,住宅
1栋1505,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1504,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1503,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1502,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1501,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1409,70.74,24500.00,52.85,32793.37,1733130.00,在售,住宅
1栋1408,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1407,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1406,70.46,24500.00,52.65,32787.65,1726270.00,在售,住宅
1栋1405,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1404,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1403,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1402,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1401,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1309,70.74,24500.00,52.85,32793.37,1733130.00,在售,住宅
1栋1308,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1307,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1306,70.46,24500.00,52.65,32787.65,1726270.00,在售,住宅
1栋1305,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1304,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1303,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1302,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1301,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1209,70.74,24500.00,52.85,32793.37,1733130.00,在售,住宅
1栋1208,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1207,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1206,70.46,24500.00,52.65,32787.65,1726270.00,在售,住宅
1栋1205,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1204,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1203,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1202,69.92,24500.00,52.24,32791.73,1713040.00,在售,住宅
1栋1201,69.76,24500.00,52.12,32792.01,1709120.00,在售,住宅
1栋1109,70.74,23500.00,52.85,31454.87,1662390.00,在售,住宅
1栋1108,69.92,23500.00,52.24,31453.29,1643120.00,在售,住宅
1栋1107,69.76,23500.00,52.12,31453.56,1639360.00,在售,住宅
1栋1106,70.46,23500.00,52.65,31449.38,1655810.00,在售,住宅
1栋1105,69.92,23500.00,52.24,31453.29,1643120.00,在售,住宅
1栋1104,69.92,23500.00,52.24,31453.29,1643120.00,在售,住宅
1栋1103,69.92,23500.00,52.24,31453.29,1643120.00,在售,住宅
1栋1102,69.92,23500.00,52.24,31453.29,1643120.00,在售,住宅
1栋1101,69.76,23500.00,52.12,31453.56,1639360.00,在售,住宅
1栋1009,70.74,23500.00,52.85,31454.87,1662390.00,在售,住宅
1栋1008,69.92,23500.00,52.24,31453.29,1643120.00,在售,住宅
1栋1007,69.76,23500.00,52.12,31453.56,1639360.00,在售,住宅
1栋1006,70.46,23500.00,52.65,31449.38,1655810.00,在售,住宅
1栋1005,69.92,23500.00,52.24,31453.29,1643120.00,在售,住宅
1栋1004,69.92,23500.00,52.24,31453.29,1643120.00,在售,住宅
1栋1003,69.92,23500.00,52.24,31453.29,1643120.00,在售,住宅
1栋1002,69.92,23500.00,52.24,31453.29,1643120.00,在售,住宅
1栋1001,69.76,23500.00,52.12,31453.56,1639360.00,在售,住宅
1栋909,70.81,23500.00,52.85,31485.99,1664035.00,在售,住宅
1栋908,69.99,23500.00,52.24,31484.78,1644765.00,在售,住宅
1栋907,69.83,23500.00,52.12,31485.13,1641005.00,在售,住宅
1栋906,70.53,23500.00,52.65,31480.62,1657455.00,在售,住宅
1栋905,69.99,23500.00,52.24,31484.78,1644765.00,在售,住宅
1栋904,69.99,23500.00,52.24,31484.78,1644765.00,在售,住宅
1栋903,69.99,23500.00,52.24,31484.78,1644765.00,在售,住宅
1栋902,69.99,23500.00,52.24,31484.78,1644765.00,在售,住宅
1栋901,69.83,23500.00,52.12,31485.13,1641005.00,在售,住宅
1栋809,70.81,23500.00,52.85,31485.99,1664035.00,在售,住宅
1栋808,69.99,23500.00,52.24,31484.78,1644765.00,在售,住宅
1栋807,69.83,23500.00,52.12,31485.13,1641005.00,在售,住宅
1栋806,70.53,23500.00,52.65,31480.62,1657455.00,在售,住宅
1栋805,69.99,23500.00,52.24,31484.78,1644765.00,在售,住宅
1栋804,69.99,23500.00,52.24,31484.78,1644765.00,在售,住宅
1栋803,69.99,23500.00,52.24,31484.78,1644765.00,在售,住宅
1栋802,69.99,23500.00,52.24,31484.78,1644765.00,在售,住宅
1栋801,69.83,23500.00,52.12,31485.13,1641005.00,在售,住宅
1栋709,70.81,23500.00,52.85,31485.99,1664035.00,在售,住宅
1栋708,69.99,23500.00,52.24,31484.78,1644765.00,在售,住宅
