房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
20栋240,107.89,25000.00,93.12,28965.31,2697250.00,在售,住宅
20栋239,72.64,25000.00,62.70,28963.32,1816000.00,在售,住宅
20栋238,172.71,25000.00,149.07,28964.58,4317750.00,在售,住宅
20栋237,74.46,25000.00,64.27,28963.75,1861500.00,在售,住宅
20栋236,72.64,25000.00,62.70,28963.32,1816000.00,在售,住宅
20栋235,72.64,25000.00,62.70,28963.32,1816000.00,在售,住宅
20栋234,72.64,25000.00,62.70,28963.32,1816000.00,在售,住宅
20栋233,72.64,25000.00,62.70,28963.32,1816000.00,在售,住宅
20栋232,72.64,25000.00,62.70,28963.32,1816000.00,在售,住宅
20栋231,72.64,25000.00,62.70,28963.32,1816000.00,在售,住宅
20栋230,72.64,25000.00,62.70,28963.32,1816000.00,在售,住宅
20栋229,72.64,25000.00,62.70,28963.32,1816000.00,在售,住宅
20栋228,72.64,25000.00,62.70,28963.32,1816000.00,在售,住宅
20栋227,64.85,25000.00,55.97,28966.41,1621250.00,在售,住宅
20栋226,54.73,25000.00,47.24,28963.80,1368250.00,在售,住宅
20栋225,50.89,29050.00,43.92,33660.00,1478354.00,在售,住宅
20栋224,51.62,29049.71,44.56,33652.00,1499546.00,在售,住宅
20栋223,83.63,25000.00,72.19,28961.77,2090750.00,在售,住宅
20栋222,72.64,25000.00,62.70,28963.32,1816000.00,在售,住宅
20栋221,55.26,25000.00,47.70,28962.26,1381500.00,在售,住宅
20栋220,55.26,25000.00,47.70,28962.26,1381500.00,在售,住宅
20栋219,55.26,20707.00,47.70,23988.95,1144272.00,在售,住宅
20栋218,102.35,20107.17,88.34,23296.00,2057968.00,在售,住宅
20栋217,109.97,31434.39,94.92,36418.00,3456839.00,在售,住宅
20栋216,78.79,33602.28,68.01,38928.00,2647523.00,在售,住宅
20栋215,114.29,25000.00,98.65,28963.51,2857250.00,在售,住宅
20栋214,78.32,29700.08,67.60,34409.00,2326110.00,在售,住宅
20栋213,76.93,29591.69,66.40,34284.00,2276488.00,在售,住宅
20栋212,76.93,29808.48,66.40,34535.00,2293166.00,在售,住宅
20栋211,79.71,30892.42,68.80,35791.00,2462434.00,在售,住宅
20栋210,71.92,31434.39,62.07,36422.00,2260761.00,在售,住宅
