房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋3004,88.08,38384.00,69.58,48589.00,3380849.00,在售,在售
3栋3003,124.38,40089.00,98.26,50745.00,4986215.00,在售,在售
3栋3002,124.38,37816.00,98.26,47868.00,4703506.00,在售,在售
3栋3001,88.08,37475.00,69.58,47438.00,3300769.00,在售,在售
3栋2904,88.08,38463.00,69.58,48690.00,3387856.00,在售,在售
3栋2903,124.38,40168.00,98.26,50846.00,4996110.00,在售,在售
3栋2902,124.38,37895.00,98.26,47969.00,4713401.00,在售,在售
3栋2901,88.08,37554.00,69.58,47539.00,3307776.00,在售,在售
3栋2804,88.08,38429.00,69.58,48647.00,3384854.00,在售,在售
3栋2803,124.38,40134.00,98.26,50803.00,4991869.00,在售,在售
3栋2802,124.38,37861.00,98.26,47925.00,4709160.00,在售,在售
3栋2801,88.08,37520.00,69.58,47496.00,3304773.00,在售,在售
3栋2704,88.08,38395.00,69.58,48604.00,3381851.00,在售,在售
3栋2703,124.38,40100.00,98.26,50760.00,4987629.00,在售,在售
3栋2702,124.38,37827.00,98.26,47882.00,4704920.00,在售,在售
3栋2701,88.08,37486.00,69.58,47453.00,3301770.00,在售,在售
3栋2604,88.08,38361.00,69.58,48561.00,3378847.00,在售,在售
3栋2603,124.38,40066.00,98.26,50716.00,4983388.00,在售,在售
3栋2602,124.38,37793.00,98.26,47839.00,4700678.00,在售,在售
3栋2601,88.08,37452.00,69.58,47410.00,3298767.00,在售,在售
3栋2504,88.08,38327.00,69.58,48517.00,3375845.00,在售,在售
3栋2503,124.38,40032.00,98.26,50673.00,4979147.00,在售,在售
3栋2502,124.38,37759.00,98.26,47796.00,4696438.00,在售,在售
3栋2501,88.08,37418.00,69.58,47367.00,3295764.00,在售,在售
3栋2404,88.08,38293.00,69.58,48474.00,3372841.00,在售,在售
3栋2403,124.38,39998.00,98.26,50630.00,4974907.00,在售,在售
3栋2402,124.38,37725.00,98.26,47753.00,4692197.00,在售,在售
3栋2401,88.08,37384.00,69.58,47323.00,3292761.00,在售,在售
3栋2304,88.08,38259.00,69.58,48431.00,3369838.00,在售,在售
3栋2303,124.38,39964.00,98.26,50587.00,4970666.00,在售,在售
3栋2302,124.38,37691.00,98.26,47710.00,4687957.00,在售,在售
3栋2301,88.08,37350.00,69.58,47280.00,3289758.00,在售,在售
3栋2204,88.08,38225.00,69.58,48388.00,3366836.00,在售,在售
3栋2203,124.38,39929.00,98.26,50544.00,4966426.00,在售,在售
3栋2202,124.38,37657.00,98.26,47667.00,4683716.00,在售,在售
3栋2201,88.08,37316.00,69.58,47237.00,3286755.00,在售,在售
3栋2104,88.08,44130.84,69.58,55864.00,3887044.00,在售,在售
3栋2103,124.38,39895.00,98.26,50501.00,4962185.00,在售,在售
3栋2102,124.38,37622.00,98.26,47623.00,4679476.00,在售,在售
3栋2101,88.08,37281.00,69.58,47194.00,3283752.00,在售,在售
3栋2004,88.08,38157.00,69.58,48302.00,3360829.00,在售,在售
3栋2003,124.38,39861.00,98.26,50457.00,4957944.00,在售,在售
3栋2002,124.38,37588.00,98.26,47580.00,4675235.00,在售,在售
3栋2001,88.08,37247.00,69.58,47151.00,3280749.00,在售,在售
3栋1904,88.08,43845.45,69.58,55503.00,3861907.00,在售,在售
3栋1903,124.38,39827.00,98.26,50414.00,4953703.00,在售,在售
3栋1902,124.38,37554.00,98.26,47537.00,4670994.00,在售,在售
3栋1901,88.08,37213.00,69.58,47108.00,3277745.00,在售,在售
3栋1804,88.08,38088.00,69.58,48215.00,3354823.00,在售,在售
3栋1803,124.38,39793.00,98.26,50371.00,4949463.00,在售,在售
3栋1802,124.38,37520.00,98.26,47494.00,4666754.00,在售,在售
3栋1801,88.08,37179.00,69.58,47064.00,3274743.00,在售,在售
3栋1704,88.08,38054.00,69.58,48172.00,3351821.00,在售,在售
3栋1703,124.38,39759.00,98.26,50328.00,4945222.00,在售,在售
3栋1702,124.38,37486.00,98.26,47451.00,4662513.00,在售,在售
3栋1701,88.08,37145.00,69.58,47021.00,3271740.00,在售,在售
3栋1604,88.08,38020.00,69.58,48129.00,3348817.00,在售,在售
3栋1603,124.38,39725.00,98.26,50285.00,4940981.00,在售,在售
3栋1602,124.38,37452.00,98.26,47408.00,4658273.00,在售,在售
3栋1601,88.08,37111.00,69.58,46978.00,3268737.00,在售,在售
3栋1504,88.08,37986.00,69.58,48086.00,3345814.00,在售,在售
3栋1503,124.38,39691.00,98.26,50242.00,4936741.00,在售,在售
3栋1502,124.38,37418.00,98.26,47364.00,4654032.00,在售,在售
3栋1501,88.08,37077.00,69.58,46935.00,3265734.00,在售,在售
3栋1404,88.08,37952.00,69.58,48043.00,3342812.00,在售,在售
3栋1403,124.38,39657.00,98.26,50198.00,4932500.00,在售,在售
3栋1402,124.38,37384.00,98.26,47321.00,4649792.00,在售,在售
3栋1401,88.08,37043.00,69.58,46892.00,3262730.00,在售,在售
3栋1304,88.08,37918.00,69.58,48000.00,3339808.00,在售,在售
3栋1303,124.38,39623.00,98.26,50155.00,4928260.00,在售,在售
3栋1302,124.38,37350.00,98.26,47278.00,4645550.00,在售,在售
3栋1301,88.08,37009.00,69.58,46849.00,3259728.00,在售,在售
3栋1204,88.08,37884.00,69.58,47956.00,3336805.00,在售,在售
3栋1203,124.38,39589.00,98.26,50112.00,4924019.00,在售,在售
3栋1202,124.38,37316.00,98.26,47235.00,4641309.00,在售,在售
3栋1201,88.08,36975.00,69.58,46805.00,3256725.00,在售,在售
3栋1104,88.08,37850.00,69.58,47913.00,3333802.00,在售,在售
3栋1103,124.38,39554.00,98.26,50069.00,4919779.00,在售,在售
3栋1102,124.38,37281.00,98.26,47192.00,4637069.00,在售,在售
3栋1101,88.08,36941.00,69.58,46762.00,3253721.00,在售,在售
3栋1004,88.08,43575.44,69.58,55161.00,3838124.00,在售,在售
3栋1003,124.38,39520.00,98.26,50026.00,4915538.00,在售,在售
3栋1002,124.38,37247.00,98.26,47149.00,4632828.00,在售,在售
3栋1001,88.08,36906.00,69.58,46719.00,3250719.00,在售,在售
3栋904,88.08,37782.00,69.58,47827.00,3327796.00,在售,在售
3栋903,124.38,39486.00,98.26,49983.00,4911297.00,在售,在售
3栋902,124.38,37213.00,98.26,47106.00,4628588.00,在售,在售
3栋901,88.08,36872.00,69.58,46676.00,3247716.00,在售,在售
3栋804,88.08,37747.00,69.58,47784.00,3324793.00,在售,在售
3栋803,124.38,39452.00,98.26,49940.00,4907057.00,在售,在售
3栋802,124.38,37179.00,98.26,47062.00,4624347.00,在售,在售
3栋801,88.08,36838.00,69.58,46633.00,3244712.00,在售,在售
3栋704,88.08,37713.00,69.58,47741.00,3321790.00,在售,在售
3栋703,124.38,39418.00,98.26,49896.00,4902816.00,在售,在售
3栋702,124.38,37145.00,98.26,47019.00,4620107.00,在售,在售
3栋701,88.08,36804.00,69.58,46590.00,3241710.00,在售,在售
3栋604,88.08,37679.00,69.58,47697.00,3318788.00,在售,在售
3栋603,124.38,39384.00,98.26,49853.00,4898575.00,在售,在售
3栋602,124.38,37111.00,98.26,46976.00,4615866.00,在售,在售
3栋601,88.08,36770.00,69.58,46547.00,3238706.00,在售,在售
3栋504,88.08,37645.00,69.58,47654.00,3315784.00,在售,在售
3栋503,124.38,39350.00,98.26,49810.00,4894334.00,在售,在售
3栋502,124.38,37077.00,98.26,46933.00,4611625.00,在售,在售
3栋501,88.08,36736.00,69.58,46503.00,3235703.00,在售,在售
3栋404,88.08,37270.00,69.58,47180.00,3282751.00,在售,在售
3栋403,124.38,39259.00,98.26,49695.00,4883027.00,在售,在售
3栋402,124.38,36929.00,98.26,46746.00,4593249.00,在售,在售
3栋401,88.08,36361.00,69.58,46029.00,3202670.00,在售,在售
3栋304,88.08,37179.00,69.58,47064.00,3274743.00,在售,在售
3栋303,124.38,39168.00,98.26,49580.00,4871718.00,在售,在售
3栋302,124.38,36838.00,98.26,46631.00,4581940.00,在售,在售
3栋301,88.08,36270.00,69.58,45914.00,3194662.00,在售,在售
3栋204,88.08,37088.00,69.58,46949.00,3266735.00,在售,在售
3栋203,124.38,39077.00,98.26,49465.00,4860410.00,在售,在售
3栋202,124.38,36747.00,98.26,46516.00,4570633.00,在售,在售
3栋201,88.08,36179.00,69.58,45798.00,3186654.00,在售,在售
2栋B座3304,87.98,37918.00,69.58,47945.00,3336016.00,在售,在售
2栋B座3303,124.24,39054.00,98.26,49380.00,4852115.00,在售,在售
2栋B座3302,124.20,37350.00,98.23,47224.00,4638828.00,在售,在售
2栋B座3301,87.98,37577.00,69.58,47514.00,3306021.00,在售,在售
2栋B座3204,87.98,37997.00,69.58,48046.00,3343015.00,在售,在售
2栋B座3203,124.24,39134.00,98.26,49481.00,4861998.00,在售,在售
2栋B座3202,124.20,37429.00,98.23,47325.00,4648708.00,在售,在售
2栋B座3201,87.98,37657.00,69.58,47615.00,3313020.00,在售,在售
2栋B座3104,87.98,37963.00,69.58,48003.00,3340016.00,在售,在售
2栋B座3103,124.24,39100.00,98.26,49438.00,4857763.00,在售,在售
2栋B座3102,124.20,37395.00,98.23,47282.00,4644473.00,在售,在售
2栋B座3101,87.98,37622.00,69.58,47571.00,3310020.00,在售,在售
2栋B座3004,87.98,37929.00,69.58,47959.00,3337016.00,在售,在售
2栋B座3003,124.24,39066.00,98.26,49395.00,4853527.00,在售,在售
2栋B座3002,124.20,37361.00,98.23,47239.00,4640239.00,在售,在售
2栋B座3001,87.98,37588.00,69.58,47528.00,3307020.00,在售,在售
2栋B座2904,87.98,37895.00,69.58,47916.00,3334016.00,在售,在售
2栋B座2903,124.24,39032.00,98.26,49352.00,4849291.00,在售,在售
2栋B座2902,124.20,37327.00,98.23,47195.00,4636005.00,在售,在售
2栋B座2901,87.98,37554.00,69.58,47485.00,3304021.00,在售,在售
2栋B座2804,87.98,37861.00,69.58,47873.00,3331017.00,在售,在售
2栋B座2803,124.24,38998.00,98.26,49309.00,4845055.00,在售,在售
2栋B座2802,124.20,37293.00,98.23,47152.00,4631770.00,在售,在售
2栋B座2801,87.98,37520.00,69.58,47442.00,3301021.00,在售,在售
2栋B座2704,87.98,37827.00,69.58,47830.00,3328017.00,在售,在售
2栋B座2703,124.24,38963.00,98.26,49265.00,4840820.00,在售,在售
2栋B座2702,124.20,37259.00,98.23,47109.00,4627536.00,在售,在售
2栋B座2701,87.98,37486.00,69.58,47399.00,3298021.00,在售,在售
