房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
8栋246,20.30,25472.70,14.79,34962.00,517095.00,在售,在售
8栋245,177.77,16367.56,129.49,22470.00,2909661.00,在售,在售
8栋244,185.87,15608.80,135.38,21430.00,2901207.00,在售,在售
8栋243,72.08,21678.89,52.50,29764.00,1562614.00,在售,在售
8栋242,60.06,21678.89,43.75,29760.00,1302034.00,在售,在售
8栋241,72.08,19511.00,52.50,26787.00,1406352.00,在售,在售
8栋154,87.53,58587.20,73.50,69770.00,5128137.00,在售,在售
8栋153,62.52,59671.15,52.50,71059.00,3730640.00,在售,在售
8栋152,62.53,60213.12,52.50,71716.00,3765126.00,在售,在售
8栋3005,88.84,27992.30,69.58,35740.67,2486836.00,在售,在售
8栋3004,88.84,26780.53,69.58,34193.48,2379182.00,在售,在售
8栋3003,88.84,26780.53,69.58,34193.48,2379182.00,在售,在售
8栋3002,89.05,27509.94,69.74,35127.05,2449760.00,在售,在售
8栋3001,88.84,27992.30,69.58,35740.67,2486836.00,在售,在售
8栋2925,88.84,28074.65,69.58,35845.81,2494152.00,在售,在售
8栋2904,88.84,26862.88,69.58,34298.63,2386499.00,在售,在售
8栋2903,88.84,26862.88,69.58,34298.63,2386499.00,在售,在售
8栋2902,89.05,27592.30,69.74,35232.20,2457094.00,在售,在售
8栋2901,88.84,28074.65,69.58,35845.81,2494152.00,在售,在售
8栋2805,88.84,28039.35,69.58,35800.75,2491016.00,在售,在售
8栋2804,88.84,26827.59,69.58,34253.56,2383363.00,在售,在售
8栋2803,88.84,26827.59,69.58,34253.56,2383363.00,在售,在售
8栋2802,89.05,27557.00,69.74,35187.14,2453951.00,在售,在售
8栋2801,88.84,28039.35,69.58,35800.75,2491016.00,在售,在售
8栋2705,88.84,28004.06,69.58,35755.69,2487881.00,在售,在售
8栋2704,88.84,26792.30,69.58,34208.50,2380228.00,在售,在售
8栋2703,88.84,26792.30,69.58,34208.50,2380228.00,在售,在售
8栋2702,89.05,27521.71,69.74,35142.07,2450808.00,在售,在售
8栋2701,88.84,28004.06,69.58,35755.69,2487881.00,在售,在售
8栋2605,88.84,27968.77,69.58,35710.62,2484745.00,在售,在售
8栋2604,88.84,26757.00,69.58,34163.44,2377092.00,在售,在售
8栋2603,88.84,26757.00,69.58,34163.44,2377092.00,在售,在售
8栋2602,89.05,27486.41,69.74,35097.00,2447665.00,在售,在售
8栋2601,88.84,27968.77,69.58,35710.62,2484745.00,在售,在售
8栋2505,88.84,27933.47,69.58,35665.56,2481610.00,在售,在售
8栋2504,88.84,26721.71,69.58,34118.37,2373956.00,在售,在售
8栋2503,88.84,26721.71,69.58,34118.37,2373956.00,在售,在售
8栋2502,89.05,27451.12,69.74,35051.94,2444522.00,在售,在售
8栋2501,88.84,27933.47,69.58,35665.56,2481610.00,在售,在售
8栋2405,88.84,27898.18,69.58,35620.50,2478474.00,在售,在售
8栋2404,88.84,26686.41,69.58,34073.31,2370821.00,在售,在售
8栋2403,88.84,26686.41,69.58,34073.31,2370821.00,在售,在售
8栋2402,89.05,27415.82,69.74,35006.87,2441379.00,在售,在售
8栋2401,88.84,27898.18,69.58,35620.50,2478474.00,在售,在售
8栋2305,88.84,27862.88,69.58,35575.43,2475339.00,在售,在售
8栋2304,88.84,26651.12,69.58,34028.25,2367685.00,在售,在售
8栋2303,88.84,26651.12,69.58,34028.25,2367685.00,在售,在售
8栋2302,89.05,27380.53,69.74,34961.80,2438236.00,在售,在售
8栋2301,88.84,27862.88,69.58,35575.43,2475339.00,在售,在售
8栋2205,88.84,27827.59,69.58,35530.37,2472203.00,在售,在售
8栋2204,88.84,26615.82,69.58,33983.18,2364550.00,在售,在售
8栋2203,88.84,26615.82,69.58,33983.18,2364550.00,在售,在售
8栋2202,89.05,27345.24,69.74,34916.74,2435093.00,在售,在售
8栋2201,88.84,27827.59,69.58,35530.37,2472203.00,在售,在售
8栋2105,88.84,27792.30,69.58,35485.30,2469068.00,在售,在售
