房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋F座01层106,129.43,48285.00,106.38,58746.74,6249479.00,在售,商业
1栋F座01层105,132.85,48285.00,109.19,58747.24,6414612.00,在售,商业
1栋F座01层104,81.63,50826.00,67.09,61841.10,4148920.00,在售,商业
1栋F座01层103,35.66,54638.00,29.31,66475.12,1948386.00,在售,商业
1栋F座01层102,63.73,54638.00,52.38,66477.10,3482071.00,在售,商业
1栋F座01层101,127.21,57179.00,104.56,69565.42,7273761.00,在售,商业
1栋E座10层1022,62.14,56195.00,47.04,74234.33,3491983.00,在售,商业
1栋E座10层1021,62.14,56195.00,47.04,74234.33,3491983.00,在售,商业
1栋E座10层1020,62.14,56195.00,47.04,74234.33,3491983.00,在售,商业
1栋E座10层1019,62.14,56195.00,47.04,74234.33,3491983.00,在售,商业
1栋E座10层1018,62.14,54529.00,47.04,72032.65,3388416.00,在售,商业
1栋E座10层1017,62.14,54529.00,47.04,72032.65,3388416.00,在售,商业
1栋E座10层1016,62.14,57307.00,47.04,75702.12,3561028.00,在售,商业
1栋E座10层1015,62.14,57307.00,47.04,75702.12,3561028.00,在售,商业
1栋E座10层1014,62.14,51751.00,47.04,68363.20,3215805.00,在售,商业
1栋E座10层1013,62.14,50640.00,47.04,66895.42,3146761.00,在售,商业
1栋E座10层1012,62.14,50640.00,47.04,66895.42,3146761.00,在售,商业
1栋E座10层1011,60.53,50640.00,45.82,66897.22,3065231.00,在售,商业
1栋E座10层1010,62.01,55084.00,46.94,72769.02,3415778.00,在售,商业
1栋E座10层1009,62.14,55084.00,47.04,72766.56,3422939.00,在售,商业
1栋E座10层1008,62.14,55084.00,47.04,72766.56,3422939.00,在售,商业
1栋E座10层1007,62.14,55084.00,47.04,72766.56,3422939.00,在售,商业
1栋E座10层1006,62.14,55084.00,47.04,72766.56,3422939.00,在售,商业
1栋E座10层1005,62.14,53418.00,47.04,70564.88,3319372.00,在售,商业
1栋E座10层1004,62.14,53418.00,47.04,70564.88,3319372.00,在售,商业
1栋E座10层1003,62.14,54529.00,47.04,72032.65,3388416.00,在售,商业
1栋E座10层1002,62.14,54529.00,47.04,72032.65,3388416.00,在售,商业
1栋E座10层1001,62.01,54529.00,46.94,72035.10,3381328.00,在售,商业
1栋E座09层922,62.14,56195.00,47.04,74234.33,3491983.00,在售,商业
1栋E座09层921,62.14,56195.00,47.04,74234.33,3491983.00,在售,商业
1栋E座09层920,62.14,56195.00,47.04,74234.33,3491983.00,在售,商业
