房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋C34,22.42,52998.00,21.34,55680.00,1188210.00,在售,商业
3栋C33,27.63,52998.00,26.31,55657.00,1464328.00,在售,商业
3栋C32,46.13,49213.00,43.91,51701.00,2270200.00,在售,商业
3栋C31,55.70,49213.00,53.03,51691.00,2741170.00,在售,商业
3栋C30,48.15,49213.00,45.84,51693.00,2369611.00,在售,商业
3栋C29,33.80,52998.00,32.18,55666.00,1791324.00,在售,商业
3栋C28,28.05,56784.00,26.70,59655.00,1592779.00,在售,商业
3栋C27,19.71,52998.00,18.76,55682.00,1044585.00,在售,商业
3栋C26,15.15,52998.00,14.42,55681.00,802916.00,在售,商业
3栋C25,19.84,56784.00,18.89,59639.00,1126586.00,在售,商业
3栋C24,18.71,56784.00,17.81,59653.00,1062421.00,在售,商业
3栋C23,21.61,56784.00,20.58,59626.00,1227093.00,在售,商业
3栋C22,21.08,56784.00,20.07,59641.00,1196997.00,在售,商业
3栋C21,17.28,56784.00,16.45,59649.00,981220.00,在售,商业
3栋C20,28.37,52998.00,27.00,55687.00,1503546.00,在售,商业
3栋C19,26.34,52998.00,25.08,55660.00,1395961.00,在售,商业
3栋C18,23.71,64354.00,22.57,67605.00,1525834.00,在售,商业
3栋C17,20.13,56784.00,19.16,59658.00,1143053.00,在售,商业
3栋C16,14.46,56784.00,13.76,59672.00,821090.00,在售,商业
3栋C15,13.92,56784.00,13.25,59655.00,790427.00,在售,商业
3栋C14,15.41,60569.00,14.67,63625.00,933373.00,在售,商业
3栋C13,13.95,60569.00,13.28,63625.00,844943.00,在售,商业
3栋C12,19.96,68140.00,19.00,71583.00,1360071.00,在售,商业
3栋C11,25.16,64354.00,23.95,67605.00,1619147.00,在售,商业
3栋C10,14.86,60569.00,14.14,63653.00,900060.00,在售,商业
3栋C09,11.42,64354.00,10.87,67610.00,734922.00,在售,商业
3栋C08,12.19,64354.00,11.61,67569.00,784475.00,在售,商业
3栋C07,12.00,64354.00,11.42,67622.00,772248.00,在售,商业
3栋C06,12.62,64354.00,12.01,67623.00,812147.00,在售,商业
3栋C05,32.49,56784.00,30.93,59648.00,1844898.00,在售,商业
3栋C04,31.20,49213.00,29.70,51699.00,1535449.00,在售,商业
3栋C03,31.88,56784.00,30.35,59646.00,1810260.00,在售,商业
3栋C02,21.76,60569.00,20.72,63610.00,1317989.00,在售,商业
3栋C01,184.51,34071.00,175.64,35792.00,6286450.00,在售,商业
3栋二单元3003,163.25,16208.00,122.96,21519.00,2645956.00,在售,住宅
3栋二单元3002,139.71,15998.00,105.23,21240.00,2235081.00,在售,住宅
3栋二单元3001,118.12,16246.00,88.97,21569.00,1918978.00,在售,住宅
3栋二单元2905,77.57,11721.00,55.05,16516.00,909198.00,在售,住宅
3栋二单元2904,77.57,11731.00,55.05,16530.00,909974.00,在售,住宅
3栋二单元2903,60.79,12437.00,43.14,17525.00,756045.00,在售,住宅
3栋二单元2902,60.79,12421.00,43.14,17503.00,755073.00,在售,住宅
3栋二单元2901,89.17,11563.00,63.28,16294.00,1031073.00,在售,住宅
3栋二单元2805,77.57,11688.00,55.05,16469.00,906638.00,在售,住宅
3栋二单元2804,77.57,11698.00,55.05,16483.00,907414.00,在售,住宅
3栋二单元2803,60.79,12403.00,43.14,17477.00,753978.00,在售,住宅
3栋二单元2802,60.79,12388.00,43.14,17456.00,753067.00,在售,住宅
3栋二单元2801,89.17,11530.00,63.28,16247.00,1028130.00,在售,住宅
3栋二单元2705,80.92,11164.00,57.49,15714.00,903391.00,在售,住宅
3栋二单元2704,80.93,11151.00,57.49,15698.00,902450.00,在售,住宅
3栋二单元2703,60.72,12370.00,43.14,17411.00,751106.00,在售,住宅
3栋二单元2702,60.72,12354.00,43.14,17388.00,750135.00,在售,住宅
3栋二单元2701,89.07,11497.00,63.28,16183.00,1024038.00,在售,住宅
3栋二单元2605,77.57,11621.00,55.05,16375.00,901441.00,在售,住宅
3栋二单元2604,77.57,11631.00,55.05,16389.00,902217.00,在售,住宅
3栋二单元2603,60.79,12337.00,43.14,17384.00,749966.00,在售,住宅
3栋二单元2602,60.79,12321.00,43.14,17362.00,748994.00,在售,住宅
3栋二单元2601,89.17,11463.00,63.28,16153.00,1022156.00,在售,住宅
3栋二单元2505,80.92,11101.00,57.49,15625.00,898293.00,在售,住宅
3栋二单元2504,80.93,11087.00,57.49,15607.00,897271.00,在售,住宅
3栋二单元2503,60.72,12303.00,43.14,17317.00,747038.00,在售,住宅
3栋二单元2502,60.72,12288.00,43.14,17295.00,746127.00,在售,住宅
3栋二单元2501,89.07,11430.00,63.28,16088.00,1018070.00,在售,住宅
3栋二单元2405,77.57,11554.00,55.05,16281.00,896244.00,在售,住宅
3栋二单元2404,77.57,11564.00,55.05,16295.00,897019.00,在售,住宅
3栋二单元2403,60.79,12270.00,43.14,17290.00,745893.00,在售,住宅
3栋二单元2402,60.79,12254.00,43.14,17268.00,744921.00,在售,住宅
3栋二单元2401,89.17,11397.00,63.28,16060.00,1016270.00,在售,住宅
3栋二单元2305,80.92,11037.00,57.49,15535.00,893114.00,在售,住宅
3栋二单元2304,80.93,11023.00,57.49,15517.00,892091.00,在售,住宅
3栋二单元2303,60.72,12237.00,43.14,17224.00,743031.00,在售,住宅
3栋二单元2302,60.72,12221.00,43.14,17201.00,742059.00,在售,住宅
3栋二单元2301,89.07,11363.00,63.28,15994.00,1012102.00,在售,住宅
3栋二单元2205,77.57,11488.00,55.05,16188.00,891124.00,在售,住宅
3栋二单元2204,77.57,11498.00,55.05,16202.00,891900.00,在售,住宅
3栋二单元2203,60.79,12203.00,43.14,17196.00,741820.00,在售,住宅
3栋二单元2202,60.79,12188.00,43.14,17175.00,740909.00,在售,住宅
3栋二单元2201,89.17,11330.00,63.28,15965.00,1010296.00,在售,住宅
3栋二单元2105,80.92,10973.00,57.49,15445.00,887935.00,在售,住宅
3栋二单元2104,80.93,10960.00,57.49,15429.00,886993.00,在售,住宅
3栋二单元2103,60.72,12170.00,43.14,17129.00,738962.00,在售,住宅
3栋二单元2102,60.72,12154.00,43.14,17107.00,737991.00,在售,住宅
3栋二单元2101,89.07,11297.00,63.28,15901.00,1006224.00,在售,住宅
3栋二单元2005,77.57,11421.00,55.05,16093.00,885927.00,在售,住宅
3栋二单元2004,77.57,11431.00,55.05,16107.00,886703.00,在售,住宅
3栋二单元2003,60.79,12137.00,43.14,17103.00,737808.00,在售,住宅
3栋二单元2002,60.79,12121.00,43.14,17080.00,736836.00,在售,住宅
3栋二单元2001,89.17,11263.00,63.28,15871.00,1004322.00,在售,住宅
3栋二单元1905,80.92,10909.00,57.49,15355.00,882756.00,在售,住宅
3栋二单元1904,80.93,10896.00,57.49,15339.00,881813.00,在售,住宅
3栋二单元1903,60.72,12103.00,43.14,17035.00,734894.00,在售,住宅
3栋二单元1902,60.72,12088.00,43.14,17014.00,733983.00,在售,住宅
3栋二单元1901,89.07,11230.00,63.28,15807.00,1000256.00,在售,住宅
3栋二单元1805,77.57,11354.00,55.05,15999.00,880730.00,在售,住宅
3栋二单元1804,77.57,11364.00,55.05,16013.00,881505.00,在售,住宅
3栋二单元1803,60.79,12070.00,43.14,17008.00,733735.00,在售,住宅
3栋二单元1802,60.79,12054.00,43.14,16986.00,732763.00,在售,住宅
3栋二单元1801,89.17,11197.00,63.28,15778.00,998436.00,在售,住宅
3栋二单元1705,80.92,10846.00,57.49,15266.00,877658.00,在售,住宅
3栋二单元1704,80.93,10832.00,57.49,15248.00,876634.00,在售,住宅
3栋二单元1703,60.72,12037.00,43.14,16942.00,730887.00,在售,住宅
3栋二单元1702,60.72,12021.00,43.14,16920.00,729915.00,在售,住宅
3栋二单元1701,89.07,11163.00,63.28,15713.00,994288.00,在售,住宅
3栋二单元1605,77.57,11288.00,55.05,15906.00,875610.00,在售,住宅
3栋二单元1604,77.57,11298.00,55.05,15920.00,876386.00,在售,住宅
3栋二单元1603,60.79,12003.00,43.14,16914.00,729662.00,在售,住宅
3栋二单元1602,60.79,11988.00,43.14,16893.00,728751.00,在售,住宅
3栋二单元1601,89.17,11130.00,63.28,15684.00,992462.00,在售,住宅
3栋二单元1505,80.92,10781.00,57.49,15175.00,872399.00,在售,住宅
3栋二单元1504,80.93,10768.00,57.49,15158.00,871454.00,在售,住宅
3栋二单元1503,60.72,11970.00,43.14,16848.00,726818.00,在售,住宅
