房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋9座1706,163.19,22820.00,144.40,25789.44,3723996.00,在售,住宅
2栋9座1705,58.18,19420.00,50.19,22511.56,1129856.00,在售,住宅
2栋9座1704,180.20,22820.00,159.02,25859.41,4112164.00,在售,住宅
2栋9座1703,157.78,22640.00,139.93,25528.04,3572139.00,在售,住宅
2栋9座1702,198.12,24040.00,174.33,27320.62,4762805.00,在售,住宅
2栋9座1701,199.07,23430.00,175.30,26607.01,4664210.00,在售,住宅
2栋9座1606,83.71,19500.00,72.20,22608.65,1632345.00,在售,住宅
2栋9座1605,58.19,19330.00,50.19,22411.09,1124813.00,在售,住宅
2栋9座1604,101.97,20200.00,87.95,23420.05,2059794.00,在售,住宅
2栋9座1603,72.52,19330.00,62.56,22407.47,1401812.00,在售,住宅
2栋9座1602,123.25,21430.00,106.31,24844.77,2641248.00,在售,住宅
2栋9座1601,121.23,20820.00,104.57,24137.02,2524009.00,在售,住宅
2栋9座1506,83.71,19410.00,72.20,22504.30,1624811.00,在售,住宅
2栋9座1505,58.19,19240.00,50.19,22306.74,1119576.00,在售,住宅
2栋9座1504,101.97,20110.00,87.95,23315.71,2050617.00,在售,住宅
2栋9座1503,72.52,19240.00,62.56,22303.14,1395285.00,在售,住宅
2栋9座1502,123.25,21340.00,106.31,24740.42,2630155.00,在售,住宅
2栋9座1501,121.23,20730.00,104.57,24032.68,2513098.00,在售,住宅
2栋9座1406,83.71,19320.00,72.20,22399.96,1617277.00,在售,住宅
2栋9座1405,58.19,19150.00,50.19,22202.40,1114339.00,在售,住宅
2栋9座1404,101.97,20020.00,87.95,23211.36,2041439.00,在售,住宅
2栋9座1403,72.52,19150.00,62.56,22198.81,1388758.00,在售,住宅
2栋9座1402,123.25,21250.00,106.31,24636.08,2619063.00,在售,住宅
2栋9座1401,121.23,20640.00,104.57,23928.34,2502187.00,在售,住宅
2栋9座1306,83.71,19240.00,72.20,22307.20,1610580.00,在售,住宅
2栋9座1305,58.19,19060.00,50.19,22098.05,1109101.00,在售,住宅
2栋9座1304,101.97,19930.00,87.95,23107.01,2032262.00,在售,住宅
2栋9座1303,72.52,19060.00,62.56,22094.48,1382231.00,在售,住宅
2栋9座1302,123.25,21160.00,106.31,24531.74,2607970.00,在售,住宅
2栋9座1301,121.23,20550.00,104.57,23824.00,2491277.00,在售,住宅
2栋9座1206,83.71,19150.00,72.20,22202.86,1603047.00,在售,住宅
2栋9座1205,58.19,18970.00,50.19,21993.70,1103864.00,在售,住宅
2栋9座1204,101.97,19850.00,87.95,23014.26,2024105.00,在售,住宅
2栋9座1203,72.52,18970.00,62.56,21990.15,1375704.00,在售,住宅
2栋9座1202,123.25,21070.00,106.31,24427.41,2596878.00,在售,住宅
2栋9座1201,121.23,20460.00,104.57,23719.66,2480366.00,在售,住宅
2栋9座1106,83.71,19060.00,72.20,22098.51,1595513.00,在售,住宅
2栋9座1105,58.19,18880.00,50.19,21889.36,1098627.00,在售,住宅
2栋9座1104,101.97,19760.00,87.95,22909.91,2014927.00,在售,住宅
2栋9座1103,72.52,18880.00,62.56,21885.83,1369178.00,在售,住宅
2栋9座1102,123.25,20980.00,106.31,24323.06,2585785.00,在售,住宅
2栋9座1101,121.23,20370.00,104.57,23615.33,2469455.00,在售,住宅
2栋9座1006,83.71,18970.00,72.20,21994.16,1587979.00,在售,住宅
2栋9座1005,58.19,18790.00,50.19,21785.01,1093390.00,在售,住宅
2栋9座1004,101.97,19670.00,87.95,22805.57,2005750.00,在售,住宅
2栋9座1003,72.52,18790.00,62.56,21781.50,1362651.00,在售,住宅
2栋9座1002,123.25,20900.00,106.31,24230.31,2575925.00,在售,住宅
2栋9座1001,121.23,95.00,104.57,111.00,11607.00,在售,住宅
2栋9座906,83.71,18880.00,72.20,21889.81,1580445.00,在售,住宅
2栋9座905,58.19,18700.00,50.19,21680.67,1088153.00,在售,住宅
2栋9座904,101.97,19580.00,87.95,22701.22,1996573.00,在售,住宅
2栋9座903,72.52,18700.00,62.56,21677.17,1356124.00,在售,住宅
2栋9座902,123.25,20810.00,106.31,24125.97,2564833.00,在售,住宅
2栋9座901,121.23,20190.00,104.57,23406.65,2447634.00,在售,住宅
2栋9座806,83.71,18790.00,72.20,21785.46,1572911.00,在售,住宅
2栋9座805,58.19,18620.00,50.19,21587.92,1083498.00,在售,住宅
2栋9座804,101.97,19490.00,87.95,22596.87,1987395.00,在售,住宅
2栋9座803,72.52,18620.00,62.56,21584.43,1350322.00,在售,住宅
2栋9座802,123.25,20720.00,106.31,24021.63,2553740.00,在售,住宅
2栋9座801,121.23,20100.00,104.57,23302.31,2436723.00,在售,住宅
2栋9座706,83.71,18460.00,72.20,21402.86,1545287.00,在售,住宅
2栋9座705,58.19,18280.00,50.19,21193.72,1063713.00,在售,住宅
2栋9座704,101.97,19160.00,87.95,22214.27,1953745.00,在售,住宅
2栋9座703,72.52,18280.00,62.56,21190.30,1325666.00,在售,住宅
2栋9座702,123.25,20380.00,106.31,23627.45,2511835.00,在售,住宅
2栋9座701,121.23,19770.00,104.57,22919.73,2396717.00,在售,住宅
2栋9座606,83.71,18370.00,72.20,21298.51,1537753.00,在售,住宅
2栋9座605,58.19,18190.00,50.19,21089.38,1058476.00,在售,住宅
2栋9座604,101.97,19070.00,87.95,22109.92,1944568.00,在售,住宅
2栋9座603,72.52,18190.00,62.56,21085.97,1319139.00,在售,住宅
2栋9座602,123.25,20300.00,106.31,23534.70,2501975.00,在售,住宅
2栋9座601,121.23,19680.00,104.57,22815.40,2385806.00,在售,住宅
2栋9座506,83.71,18280.00,72.20,21194.16,1530219.00,在售,住宅
2栋9座505,58.19,18100.00,50.19,20985.03,1053239.00,在售,住宅
2栋9座504,101.97,18980.00,87.95,22005.57,1935391.00,在售,住宅
2栋9座503,72.52,18100.00,62.56,20981.64,1312612.00,在售,住宅
2栋9座502,123.25,20210.00,106.31,23430.36,2490883.00,在售,住宅
2栋9座501,121.23,19590.00,104.57,22711.06,2374896.00,在售,住宅
2栋9座406,83.71,18190.00,72.20,21089.81,1522685.00,在售,住宅
2栋9座405,58.19,18020.00,50.19,20892.28,1048584.00,在售,住宅
2栋9座404,101.97,18890.00,87.95,21901.23,1926213.00,在售,住宅
2栋9座403,72.52,18020.00,62.56,20888.91,1306810.00,在售,住宅
2栋9座402,123.25,20120.00,106.31,23326.02,2479790.00,在售,住宅
2栋9座401,121.23,19500.00,104.57,22606.72,2363985.00,在售,住宅
2栋9座306,83.71,18100.00,72.20,20985.47,1515151.00,在售,住宅
2栋9座305,58.19,17930.00,50.19,20787.93,1043347.00,在售,住宅
2栋9座304,101.97,18800.00,87.95,21796.88,1917036.00,在售,住宅
2栋9座303,72.52,17930.00,62.56,20784.58,1300284.00,在售,住宅
2栋9座302,123.25,20030.00,106.31,23221.69,2468698.00,在售,住宅
2栋9座301,121.23,19420.00,104.57,22513.97,2354287.00,在售,住宅
2栋9座206,83.71,18010.00,72.20,20881.12,1507617.00,在售,住宅
2栋9座205,58.19,17840.00,50.19,20683.59,1038110.00,在售,住宅
2栋9座204,101.97,18710.00,87.95,21692.53,1907859.00,在售,住宅
2栋9座203,72.52,17840.00,62.56,20680.25,1293757.00,在售,住宅
2栋9座202,123.25,19940.00,106.31,23117.34,2457605.00,在售,住宅
2栋9座201,121.23,19330.00,104.57,22409.63,2343376.00,在售,住宅
2栋8座1706,163.57,22640.00,144.40,25645.60,3703225.00,在售,住宅
2栋8座1705,58.32,19240.00,50.19,22356.58,1122077.00,在售,住宅
2栋8座1704,180.63,22640.00,159.02,25716.65,4089463.00,在售,住宅
2栋8座1703,158.16,22460.00,139.93,25386.07,3552274.00,在售,住宅
2栋8座1702,198.59,24040.00,174.33,27385.43,4774104.00,在售,住宅
2栋8座1701,199.54,23430.00,175.30,26669.83,4675222.00,在售,住宅
2栋8座1606,83.90,19330.00,72.20,22462.42,1621787.00,在售,住宅
2栋8座1605,58.33,19150.00,50.19,22255.81,1117020.00,在售,住宅
2栋8座1604,102.21,20030.00,87.95,23277.61,2047266.00,在售,住宅
2栋8座1603,72.70,19150.00,62.56,22253.91,1392205.00,在售,住宅
2栋8座1602,123.54,21430.00,106.31,24903.22,2647462.00,在售,住宅
2栋8座1601,121.52,20820.00,104.57,24194.76,2530046.00,在售,住宅
2栋8座1506,83.90,19240.00,72.20,22357.83,1614236.00,在售,住宅
2栋8座1505,58.33,19060.00,50.19,22151.22,1111770.00,在售,住宅
2栋8座1504,102.21,19940.00,87.95,23173.02,2038067.00,在售,住宅
2栋8座1503,72.70,19060.00,62.56,22149.32,1385662.00,在售,住宅
2栋8座1502,123.54,21340.00,106.31,24798.64,2636344.00,在售,住宅
2栋8座1501,121.52,20730.00,104.57,24090.17,2519110.00,在售,住宅
2栋8座1406,83.90,19150.00,72.20,22253.25,1606685.00,在售,住宅
2栋8座1405,58.33,18970.00,50.19,22046.62,1106520.00,在售,住宅
2栋8座1404,102.21,19850.00,87.95,23068.43,2028869.00,在售,住宅
2栋8座1403,72.70,18970.00,62.56,22044.74,1379119.00,在售,住宅
2栋8座1402,123.54,21250.00,106.31,24694.05,2625225.00,在售,住宅
2栋8座1401,121.52,20640.00,104.57,23985.58,2508173.00,在售,住宅
2栋8座1306,83.90,19060.00,72.20,22148.67,1599134.00,在售,住宅
2栋8座1305,58.33,18880.00,50.19,21942.02,1101270.00,在售,住宅
2栋8座1304,102.21,19760.00,87.95,22963.83,2019670.00,在售,住宅
2栋8座1303,72.70,18880.00,62.56,21940.15,1372576.00,在售,住宅
2栋8座1302,123.54,21160.00,106.31,24589.46,2614106.00,在售,住宅
2栋8座1301,121.52,20550.00,104.57,23880.99,2497236.00,在售,住宅
2栋8座1206,83.90,18970.00,72.20,22044.08,1591583.00,在售,住宅
2栋8座1205,58.33,18800.00,50.19,21849.05,1096604.00,在售,住宅
2栋8座1204,102.21,19670.00,87.95,22859.24,2010471.00,在售,住宅
2栋8座1203,72.70,18800.00,62.56,21847.18,1366760.00,在售,住宅
2栋8座1202,123.54,21070.00,106.31,24484.88,2602988.00,在售,住宅
2栋8座1201,121.52,20460.00,104.57,23776.41,2486299.00,在售,住宅
2栋8座1106,83.90,18880.00,72.20,21939.50,1584032.00,在售,住宅
2栋8座1105,58.33,18710.00,50.19,21744.45,1091354.00,在售,住宅
2栋8座1104,102.21,19580.00,87.95,22754.65,2001272.00,在售,住宅
2栋8座1103,72.70,18710.00,62.56,21742.59,1360217.00,在售,住宅
2栋8座1102,123.54,20980.00,106.31,24380.29,2591869.00,在售,住宅
2栋8座1101,121.52,20370.00,104.57,23671.82,2475362.00,在售,住宅
2栋8座1006,83.90,18790.00,72.20,21834.91,1576481.00,在售,住宅
2栋8座1005,58.33,18620.00,50.19,21639.86,1086105.00,在售,住宅
2栋8座1004,102.21,19490.00,87.95,22650.06,1992073.00,在售,住宅
2栋8座1003,72.70,18620.00,62.56,21638.01,1353674.00,在售,住宅
2栋8座1002,123.54,20900.00,106.31,24287.32,2581986.00,在售,住宅
2栋8座1001,121.52,20280.00,104.57,23567.23,2464426.00,在售,住宅
2栋8座906,83.90,18700.00,72.20,21730.33,1568930.00,在售,住宅
2栋8座905,58.33,18530.00,50.19,21535.26,1080855.00,在售,住宅
2栋8座904,102.21,19400.00,87.95,22545.46,1982874.00,在售,住宅
2栋8座903,72.70,18530.00,62.56,21533.42,1347131.00,在售,住宅
2栋8座902,123.54,20810.00,106.31,24182.74,2570867.00,在售,住宅
2栋8座901,121.52,20190.00,104.57,23462.64,2453489.00,在售,住宅
2栋8座806,83.90,18620.00,72.20,21637.36,1562218.00,在售,住宅
2栋8座805,58.33,18440.00,50.19,21430.66,1075605.00,在售,住宅
2栋8座804,102.21,19310.00,87.95,22440.87,1973675.00,在售,住宅
2栋8座803,72.70,18440.00,62.56,21428.83,1340588.00,在售,住宅
2栋8座802,123.54,20720.00,106.31,24078.15,2559749.00,在售,住宅
2栋8座801,121.52,20100.00,104.57,23358.05,2442552.00,在售,住宅
2栋8座706,83.90,18280.00,72.20,21242.27,1533692.00,在售,住宅
2栋8座705,58.33,18110.00,50.19,21047.14,1056356.00,在售,住宅
2栋8座704,102.21,18980.00,87.95,22057.37,1939946.00,在售,住宅
2栋8座703,72.70,18110.00,62.56,21045.34,1316597.00,在售,住宅
2栋8座702,123.54,20380.00,106.31,23683.05,2517745.00,在售,住宅
2栋8座701,121.52,19770.00,104.57,22974.56,2402450.00,在售,住宅
2栋8座606,83.90,18190.00,72.20,21137.68,1526141.00,在售,住宅
2栋8座605,58.33,18020.00,50.19,20942.55,1051107.00,在售,住宅
2栋8座604,102.21,18890.00,87.95,21952.77,1930747.00,在售,住宅
2栋8座603,72.70,18020.00,62.56,20940.76,1310054.00,在售,住宅
2栋8座602,123.54,20300.00,106.31,23590.08,2507862.00,在售,住宅
2栋8座601,121.52,19680.00,104.57,22869.97,2391514.00,在售,住宅
2栋8座506,83.90,18100.00,72.20,21033.10,1518590.00,在售,住宅
2栋8座505,58.33,17930.00,50.19,20837.95,1045857.00,在售,住宅
2栋8座504,102.21,18800.00,87.95,21848.18,1921548.00,在售,住宅
2栋8座503,72.70,17930.00,62.56,20836.17,1303511.00,在售,住宅
2栋8座502,123.54,20210.00,106.31,23485.49,2496743.00,在售,住宅
2栋8座501,121.52,19590.00,104.57,22765.38,2380577.00,在售,住宅
2栋8座406,83.90,18020.00,72.20,20940.13,1511878.00,在售,住宅
2栋8座405,58.33,17840.00,50.19,20733.35,1040607.00,在售,住宅
2栋8座404,102.21,18710.00,87.95,21743.59,1912349.00,在售,住宅
2栋8座403,72.70,17840.00,62.56,20731.58,1296968.00,在售,住宅
2栋8座402,123.54,20120.00,106.31,23380.91,2485625.00,在售,住宅
2栋8座401,121.52,19500.00,104.57,22660.80,2369640.00,在售,住宅
2栋8座306,83.90,17930.00,72.20,20835.55,1504327.00,在售,住宅
2栋8座305,58.33,17750.00,50.19,20628.77,1035358.00,在售,住宅
2栋8座304,102.21,18630.00,87.95,21650.62,1904172.00,在售,住宅
2栋8座303,72.70,17750.00,62.56,20626.99,1290425.00,在售,住宅
2栋8座302,123.54,20030.00,106.31,23276.32,2474506.00,在售,住宅
2栋8座301,121.52,19420.00,104.57,22567.83,2359918.00,在售,住宅
2栋8座201,121.52,19330.00,104.57,22463.24,2348982.00,在售,住宅
1-1栋10座1706,163.27,21760.00,144.40,24603.56,3552755.00,在售,住宅
1-1栋10座1705,58.21,18360.00,50.19,21293.79,1068736.00,在售,住宅
1-1栋10座1704,180.30,21760.00,159.02,24671.91,3923328.00,在售,住宅
1-1栋10座1703,157.87,21940.00,139.93,24752.86,3463668.00,在售,住宅
1-1栋10座1702,198.22,23690.00,174.33,26936.45,4695832.00,在售,住宅
1-1栋10座1701,199.17,23080.00,175.30,26222.72,4596844.00,在售,住宅
1-1栋10座1606,83.75,18450.00,72.20,21401.48,1545188.00,在售,住宅
1-1栋10座1605,58.22,18270.00,50.19,21193.05,1063679.00,在售,住宅
1-1栋10座1604,102.02,19150.00,87.95,22213.56,1953683.00,在售,住宅
1-1栋10座1603,72.56,18620.00,62.56,21596.34,1351067.00,在售,住宅
1-1栋10座1602,123.32,21080.00,106.31,24452.87,2599586.00,在售,住宅
1-1栋10座1601,121.30,20460.00,104.57,23733.36,2481798.00,在售,住宅
1-1栋10座1506,83.75,18360.00,72.20,21297.09,1537650.00,在售,住宅
1-1栋10座1505,58.22,18190.00,50.19,21100.25,1059022.00,在售,住宅
1-1栋10座1504,102.02,19060.00,87.95,22109.16,1944501.00,在售,住宅
1-1栋10座1503,72.56,18540.00,62.56,21503.55,1345262.00,在售,住宅
1-1栋10座1502,123.32,20990.00,106.31,24348.47,2588487.00,在售,住宅
1-1栋10座1501,121.30,20380.00,104.57,23640.56,2472094.00,在售,住宅
1-1栋10座1406,83.75,18270.00,72.20,21192.69,1530113.00,在售,住宅
1-1栋10座1405,58.22,18100.00,50.19,20995.85,1053782.00,在售,住宅
1-1栋10座1404,102.02,18970.00,87.95,22004.76,1935319.00,在售,住宅
1-1栋10座1403,72.56,18450.00,62.56,21399.16,1338732.00,在售,住宅
1-1栋10座1402,123.32,20900.00,106.31,24244.07,2577388.00,在售,住宅
1-1栋10座1401,121.30,20290.00,104.57,23536.16,2461177.00,在售,住宅
1-1栋10座1306,83.75,18180.00,72.20,21088.29,1522575.00,在售,住宅
1-1栋10座1305,58.22,18010.00,50.19,20891.45,1048542.00,在售,住宅
1-1栋10座1304,102.02,18880.00,87.95,21900.37,1926138.00,在售,住宅
1-1栋10座1303,72.56,18360.00,62.56,21294.78,1332202.00,在售,住宅
1-1栋10座1302,123.32,20810.00,106.31,24139.67,2566289.00,在售,住宅
1-1栋10座1301,121.30,20200.00,104.57,23431.76,2450260.00,在售,住宅
1-1栋10座1206,83.75,18090.00,72.20,20983.89,1515038.00,在售,住宅
1-1栋10座1205,58.22,17920.00,50.19,20787.05,1043302.00,在售,住宅
1-1栋10座1204,102.02,18790.00,87.95,21795.97,1916956.00,在售,住宅
1-1栋10座1203,72.56,18270.00,62.56,21190.39,1325671.00,在售,住宅
1-1栋10座1202,123.32,20720.00,106.31,24035.27,2555190.00,在售,住宅
1-1栋10座1201,121.30,20110.00,104.57,23327.36,2439343.00,在售,住宅
1-1栋10座1106,83.75,18010.00,72.20,20891.11,1508338.00,在售,住宅
1-1栋10座1105,58.22,17830.00,50.19,20682.65,1038063.00,在售,住宅
1-1栋10座1104,102.02,18700.00,87.95,21691.57,1907774.00,在售,住宅
1-1栋10座1103,72.56,18180.00,62.56,21086.01,1319141.00,在售,住宅
1-1栋10座1102,123.32,20630.00,106.31,23930.87,2544092.00,在售,住宅
1-1栋10座1101,121.30,20020.00,104.57,23222.97,2428426.00,在售,住宅
1-1栋10座1006,83.75,17920.00,72.20,20786.70,1500800.00,在售,住宅
1-1栋10座1005,58.22,17740.00,50.19,20578.25,1032823.00,在售,住宅
1-1栋10座1004,102.02,18620.00,87.95,21598.77,1899612.00,在售,住宅
1-1栋10座1003,72.56,18090.00,62.56,20981.62,1312610.00,在售,住宅
1-1栋10座1002,123.32,20540.00,106.31,23826.47,2532993.00,在售,住宅
1-1栋10座1001,121.30,19930.00,104.57,23118.57,2417509.00,在售,住宅
1-1栋10座906,83.75,17830.00,72.20,20682.30,1493263.00,在售,住宅
1-1栋10座905,58.22,17650.00,50.19,20473.85,1027583.00,在售,住宅
1-1栋10座904,102.02,18530.00,87.95,21494.37,1890431.00,在售,住宅
1-1栋10座903,72.56,18000.00,62.56,20877.23,1306080.00,在售,住宅
1-1栋10座902,123.32,20460.00,106.31,23733.67,2523127.00,在售,住宅
1-1栋10座901,121.30,19840.00,104.57,23014.17,2406592.00,在售,住宅
1-1栋10座806,83.75,17740.00,72.20,20577.90,1485725.00,在售,住宅
1-1栋10座805,58.22,17560.00,50.19,20369.46,1022323.00,在售,住宅
1-1栋10座804,102.02,18440.00,87.95,21389.98,1881249.00,在售,住宅
1-1栋10座803,72.56,17910.00,62.56,20772.85,1299550.00,在售,住宅
1-1栋10座802,123.32,20370.00,106.31,23629.27,2512028.00,在售,住宅
1-1栋10座801,121.30,19750.00,104.57,22909.77,2395675.00,在售,住宅
1-1栋10座706,83.75,17410.00,72.20,20195.11,1458088.00,在售,住宅
1-1栋10座705,58.22,17230.00,50.19,19986.66,1003131.00,在售,住宅
1-1栋10座704,102.02,18100.00,87.95,20995.58,1846562.00,在售,住宅
1-1栋10座703,72.56,17580.00,62.56,20390.10,1275605.00,在售,住宅
1-1栋10座702,123.32,20030.00,106.31,23234.87,2470100.00,在售,住宅
1-1栋10座701,121.30,19420.00,104.57,22526.97,2355646.00,在售,住宅
1-1栋10座606,83.75,17320.00,72.20,20090.72,1450550.00,在售,住宅
1-1栋10座605,58.22,17140.00,50.19,19882.26,997891.00,在售,住宅
1-1栋10座604,102.02,18020.00,87.95,20902.79,1838400.00,在售,住宅
1-1栋10座603,72.56,17490.00,62.56,20285.71,1269074.00,在售,住宅
1-1栋10座602,123.32,19940.00,106.31,23130.47,2459001.00,在售,住宅
1-1栋10座601,121.30,19330.00,104.57,22422.57,2344729.00,在售,住宅
1-1栋10座506,83.75,17230.00,72.20,19986.32,1443013.00,在售,住宅
1-1栋10座505,58.22,17050.00,50.19,19777.86,992651.00,在售,住宅
1-1栋10座504,102.02,17930.00,87.95,20798.39,1829219.00,在售,住宅
1-1栋10座503,72.56,17400.00,62.56,20181.32,1262544.00,在售,住宅
1-1栋10座502,123.32,19660.00,106.31,22805.67,2424471.00,在售,住宅
1-1栋10座501,121.30,19040.00,104.57,22086.18,2309552.00,在售,住宅
1-1栋10座406,83.75,17140.00,72.20,19881.92,1435475.00,在售,住宅
1-1栋10座405,58.22,16960.00,50.19,19673.46,987411.00,在售,住宅
1-1栋10座404,102.02,17840.00,87.95,20693.99,1820037.00,在售,住宅
1-1栋10座403,72.56,17310.00,62.56,20076.94,1256014.00,在售,住宅
1-1栋10座402,123.32,19570.00,106.31,22701.27,2413372.00,在售,住宅
1-1栋10座401,121.30,18950.00,104.57,21981.78,2298635.00,在售,住宅
1-1栋10座306,83.76,17050.00,72.20,19779.88,1428108.00,在售,住宅
1-1栋10座305,57.76,16870.00,49.78,19574.35,974411.00,在售,住宅
1-1栋10座304,101.71,17750.00,87.67,20592.59,1805353.00,在售,住宅
1-1栋10座303,72.57,17220.00,62.56,19975.31,1249655.00,在售,住宅
1-1栋10座302,123.33,19480.00,106.31,22598.70,2402468.00,在售,住宅
1-1栋10座301,120.75,18860.00,104.08,21880.71,2277345.00,在售,住宅
1-1栋1座1104,84.44,16470.00,69.02,20149.62,1390727.00,在售,住宅
1-1栋1座1103,59.09,16430.00,48.30,20100.38,970849.00,在售,住宅
1-1栋1座1102,59.09,15990.00,48.30,19562.09,944849.00,在售,住宅
1-1栋1座1101,88.58,15370.00,72.40,18804.89,1361475.00,在售,住宅
1-1栋1座1004,84.44,16380.00,69.02,20039.51,1383127.00,在售,住宅
1-1栋1座1003,59.09,16340.00,48.30,19990.28,965531.00,在售,住宅
1-1栋1座1002,59.09,15900.00,48.30,19451.98,939531.00,在售,住宅
