房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B座2单元4805,65.57,105946.10,44.35,156637.79,6946886.00,在售,单身公寓
B座2单元4804,64.27,104025.30,43.48,153765.09,6685706.00,在售,单身公寓
B座2单元4803,63.46,102707.37,42.93,151824.13,6517810.00,在售,单身公寓
B座2单元4801,174.59,116200.80,118.10,171782.37,20287498.00,在售,住宅
B座2单元4705,65.57,105396.03,44.35,155824.53,6910818.00,在售,单身公寓
B座2单元4704,64.27,103475.25,43.48,152952.02,6650354.00,在售,单身公寓
B座2单元4703,63.46,102157.31,42.93,151011.02,6482903.00,在售,单身公寓
B座2单元4702,88.12,105224.42,59.61,155550.68,9272376.00,在售,住宅
B座2单元4701,174.59,115852.81,118.10,171267.93,20226742.00,在售,住宅
B座2单元4605,65.57,104845.98,44.35,155011.30,6874751.00,在售,单身公寓
B座2单元4604,64.27,102925.19,43.48,152138.96,6615002.00,在售,单身公寓
B座2单元4603,63.46,101607.26,42.93,150197.93,6447997.00,在售,单身公寓
B座2单元4602,88.12,104674.36,59.61,154737.54,9223905.00,在售,住宅
B座2单元4601,174.59,115504.81,118.10,170753.47,20165985.00,在售,住宅
B座2单元4505,65.57,104295.93,44.35,154198.06,6838684.00,在售,单身公寓
B座2单元4504,64.27,102375.14,43.48,151325.90,6579650.00,在售,单身公寓
B座2单元4503,63.46,101057.20,42.93,149384.81,6413090.00,在售,单身公寓
B座2单元4502,88.12,104124.32,59.61,153924.43,9175435.00,在售,住宅
B座2单元4501,174.59,115156.82,118.10,170239.03,20105230.00,在售,住宅
B座2单元4405,65.57,103745.87,44.35,153384.83,6802617.00,在售,单身公寓
B座2单元4404,64.27,101825.08,43.48,150512.83,6544298.00,在售,单身公寓
B座2单元4403,63.46,100507.15,42.93,148571.72,6378184.00,在售,单身公寓
B座2单元4402,88.12,103574.26,59.61,153111.29,9126964.00,在售,住宅
B座2单元4401,174.59,114808.83,118.10,169724.59,20044474.00,在售,住宅
B座2单元4305,65.57,103195.82,44.35,152571.59,6766550.00,在售,单身公寓
B座2单元4304,64.27,101275.03,43.48,149699.77,6508946.00,在售,单身公寓
B座2单元4303,63.46,99957.09,42.93,147758.61,6343277.00,在售,单身公寓
B座2单元4302,88.12,103024.21,59.61,152298.15,9078493.00,在售,住宅
B座2单元4301,174.59,114460.83,118.10,169210.14,19983717.00,在售,住宅
B座2单元4205,65.57,102645.77,44.35,151758.35,6730483.00,在售,单身公寓
B座2单元4204,64.27,100724.97,43.48,148886.71,6473594.00,在售,单身公寓
B座2单元4203,63.46,99407.04,42.93,146945.52,6308371.00,在售,单身公寓
B座2单元4202,88.12,102474.15,59.61,151485.02,9030022.00,在售,住宅
B座2单元4101,174.59,114112.84,118.10,168695.69,19922961.00,在售,住宅
B座2单元4105,65.57,102095.71,44.35,150945.12,6694416.00,在售,单身公寓
B座2单元4104,64.27,100174.92,43.48,148073.64,6438242.00,在售,单身公寓
B座2单元4103,63.46,98856.98,42.93,146132.40,6273464.00,在售,单身公寓
B座2单元4102,88.12,101924.09,59.61,150671.88,8981551.00,在售,住宅
B座2单元4101,174.59,113764.84,118.10,168181.24,19862204.00,在售,住宅
B座2单元4005,65.57,101545.66,44.35,150131.88,6658349.00,在售,单身公寓
B座2单元4004,64.27,99624.86,43.48,147260.58,6402890.00,在售,单身公寓
B座2单元4003,63.46,98306.93,42.93,145319.31,6238558.00,在售,单身公寓
B座2单元4002,88.12,101374.04,59.61,149858.75,8933080.00,在售,住宅
B座2单元4001,174.59,113416.85,118.10,167666.79,19801448.00,在售,住宅
B座2单元3905,65.57,100995.61,44.35,149318.65,6622282.00,在售,单身公寓
B座2单元3904,64.27,99074.81,43.48,146447.52,6367538.00,在售,单身公寓
B座2单元3903,63.46,97756.87,42.93,144506.20,6203651.00,在售,单身公寓
B座2单元3902,88.12,100823.98,59.61,149045.61,8884609.00,在售,住宅
B座2单元3901,174.59,113068.86,118.10,167152.35,19740692.00,在售,住宅
B座2单元3805,65.57,100445.55,44.35,148505.41,6586215.00,在售,单身公寓
B座2单元3804,64.27,98524.75,43.48,145634.45,6332186.00,在售,单身公寓
B座2单元3803,63.46,97206.82,42.93,143693.11,6168745.00,在售,单身公寓
B座2单元3802,88.12,100273.93,59.61,148232.49,8836139.00,在售,住宅
B座2单元3801,174.59,112720.86,118.10,166637.89,19679935.00,在售,住宅
B座2单元3706,65.77,91357.53,42.91,140027.62,6008585.00,在售,单身公寓
B座2单元3705,65.69,91321.24,42.85,139997.48,5998892.00,在售,单身公寓
B座2单元3704,64.57,92326.73,42.13,141503.37,5961537.00,在售,单身公寓
