房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3号楼38F,573.64,150000.00,459.82,187129.74,86046000.00,在售,住宅
3号楼37E,152.88,55204.51,122.96,68637.50,8439667.00,在售,住宅
3号楼37D,90.79,59816.46,73.02,74373.28,5430737.00,在售,住宅
3号楼37C,155.80,57290.86,125.31,71230.68,8925917.00,在售,住宅
3号楼37B,183.79,57490.00,147.82,71480.00,10566173.00,在售,住宅
3号楼37A,183.79,56147.00,147.82,69809.00,10319257.00,在售,住宅
3号楼36E,152.88,54106.43,122.96,67272.21,8271792.00,在售,住宅
3号楼36D,90.79,59157.61,73.02,73554.09,5370920.00,在售,住宅
3号楼36C,155.80,56192.78,125.31,69865.42,8754836.00,在售,住宅
3号楼36B,183.79,83551.00,147.82,103883.00,15355985.00,在售,住宅
3号楼36A,183.79,74602.00,147.82,92756.00,13711191.00,在售,住宅
3号楼35E,152.88,53008.35,122.96,65906.93,8103917.00,在售,住宅
3号楼35D,90.79,58498.75,73.02,72734.89,5311102.00,在售,住宅
3号楼35C,155.80,55094.70,125.31,68500.15,8583755.00,在售,住宅
3号楼35B,183.79,58883.08,147.82,73211.49,10822123.00,在售,住宅
3号楼35A,183.79,57455.58,147.82,71436.62,10559762.00,在售,住宅
3号楼34E,152.88,51910.27,122.96,64541.66,7936043.00,在售,住宅
3号楼34D,90.79,57839.91,73.02,71915.72,5251286.00,在售,住宅
3号楼34C,155.80,53996.62,125.31,67134.89,8412674.00,在售,住宅
3号楼34B,183.79,57785.01,147.82,71846.21,10620307.00,在售,住宅
3号楼34A,183.79,56357.50,147.82,70071.34,10357946.00,在售,住宅
3号楼33E,152.88,50812.18,122.96,63176.37,7768167.00,在售,住宅
3号楼33D,90.79,57181.06,73.02,71096.53,5191469.00,在售,住宅
3号楼33C,155.80,52898.54,125.31,65769.63,8241593.00,在售,住宅
3号楼33B,183.79,56686.92,147.82,70480.92,10418490.00,在售,住宅
3号楼33A,183.79,55259.42,147.82,68706.06,10156130.00,在售,住宅
3号楼32E,152.88,49714.10,122.96,61811.10,7600293.00,在售,住宅
3号楼32D,90.79,56522.22,73.02,70277.36,5131653.00,在售,住宅
3号楼32C,155.80,51800.46,125.31,64404.37,8070512.00,在售,住宅
3号楼32B,183.79,55588.84,147.82,69115.64,10216674.00,在售,住宅
3号楼32A,183.79,54161.34,147.82,67340.77,9954313.00,在售,住宅
3号楼31E,152.88,47517.94,122.96,59080.54,7264544.00,在售,住宅
3号楼31D,90.79,55863.36,73.02,69458.16,5071835.00,在售,住宅
3号楼31C,155.80,51251.42,125.31,63721.74,7984972.00,在售,住宅
3号楼31B,183.79,53392.68,147.82,66385.07,9813042.00,在售,住宅
3号楼31A,183.79,51965.17,147.82,64610.20,9550680.00,在售,住宅
3号楼30E,152.88,47298.33,122.96,58807.49,7230969.00,在售,住宅
3号楼30D,90.79,55643.76,73.02,69185.11,5051897.00,在售,住宅
3号楼30C,155.80,50921.99,125.31,63312.16,7933647.00,在售,住宅
3号楼30B,183.79,53173.06,147.82,66112.01,9772678.00,在售,住宅
3号楼30A,183.79,51745.56,147.82,64337.15,9510318.00,在售,住宅
3号楼29E,152.88,47078.71,122.96,58534.43,7197394.00,在售,住宅
3号楼29D,90.79,55424.14,73.02,68912.05,5031958.00,在售,住宅
3号楼29C,155.80,50592.57,125.31,62902.58,7882323.00,在售,住宅
3号楼29B,183.79,52953.45,147.82,65838.96,9732316.00,在售,住宅
3号楼29A,183.79,51525.94,147.82,64064.09,9469954.00,在售,住宅
3号楼28E,152.88,46859.09,122.96,58261.37,7163819.00,在售,住宅
3号楼28D,90.79,55204.51,73.02,68638.97,5012018.00,在售,住宅
3号楼28C,155.80,50263.15,125.31,62493.00,7830999.00,在售,住宅
3号楼28B,183.69,52733.83,147.74,65565.71,9686678.00,在售,住宅
3号楼28A,183.69,51306.33,147.74,63790.84,9424460.00,在售,住宅
3号楼27E,152.56,46639.48,122.70,57989.56,7115320.00,在售,住宅
3号楼27D,90.54,54984.90,72.82,68364.91,4978333.00,在售,住宅
3号楼27C,155.53,49933.72,125.08,62089.80,7766193.00,在售,住宅
3号楼27B,183.58,52514.22,147.65,65293.33,9640561.00,在售,住宅
3号楼27A,183.62,51086.71,147.68,63519.38,9380543.00,在售,住宅
3号楼26E,152.56,46419.86,122.70,57716.50,7081815.00,在售,住宅
3号楼26D,90.54,54765.28,72.82,68091.85,4958449.00,在售,住宅
3号楼26C,155.53,49604.29,125.08,61680.17,7714956.00,在售,住宅
3号楼26B,183.58,52294.60,147.65,65020.27,9600244.00,在售,住宅
3号楼26A,183.62,50867.10,147.68,63246.32,9340217.00,在售,住宅
3号楼25E,152.56,46200.25,122.70,57443.44,7048311.00,在售,住宅
3号楼25D,90.54,54545.67,72.82,67818.79,4938565.00,在售,住宅
3号楼25C,155.53,49274.87,125.08,61270.55,7663721.00,在售,住宅
