房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
462,77.24,500000.00,40.82,946104.85,38620000.00,在售,商业
461,58.64,500000.00,30.99,946111.64,29320000.00,在售,商业
460,48.64,500000.00,25.71,945935.43,24320000.00,在售,商业
459,54.36,500000.00,28.73,946049.42,27180000.00,在售,商业
458,55.76,500000.00,29.47,946046.82,27880000.00,在售,商业
457,60.56,500000.00,32.01,945954.38,30280000.00,在售,商业
456,60.68,500000.00,32.07,946055.50,30340000.00,在售,商业
455,56.42,500000.00,29.82,946009.38,28210000.00,在售,商业
454,53.81,500000.00,28.44,946026.72,26905000.00,在售,商业
453,57.11,500000.00,30.19,945842.99,28555000.00,在售,商业
452,51.82,500000.00,27.39,945965.68,25910000.00,在售,商业
451,53.11,500000.00,28.07,946027.78,26555000.00,在售,商业
450,49.62,500000.00,26.23,945863.51,24810000.00,在售,商业
449,50.09,500000.00,26.47,946165.47,25045000.00,在售,商业
448,51.78,500000.00,27.37,945926.19,25890000.00,在售,商业
447,49.97,500000.00,26.41,946043.16,24985000.00,在售,商业
446,58.41,500000.00,30.87,946064.13,29205000.00,在售,商业
445,54.36,500000.00,28.73,946049.42,27180000.00,在售,商业
444,40.69,500000.00,21.51,945839.14,20345000.00,在售,商业
443,45.97,500000.00,24.30,945884.77,22985000.00,在售,商业
442,69.76,500000.00,36.87,946026.57,34880000.00,在售,商业
441,71.19,500000.00,37.62,946172.24,35595000.00,在售,商业
440,56.15,500000.00,29.68,945923.18,28075000.00,在售,商业
439,53.68,500000.00,28.37,946069.79,26840000.00,在售,商业
438,57.97,500000.00,30.64,945985.63,28985000.00,在售,商业
437,56.65,500000.00,29.94,946058.78,28325000.00,在售,商业
436,124.37,500000.00,65.73,946067.24,62185000.00,在售,商业
435,85.52,500000.00,45.20,946017.69,42760000.00,在售,商业
434,60.77,500000.00,32.12,945983.81,30385000.00,在售,商业
433,63.14,500000.00,33.37,946059.33,31570000.00,在售,商业
432,60.38,500000.00,31.91,946098.40,30190000.00,在售,商业
431,60.60,500000.00,32.03,945988.13,30300000.00,在售,商业
430,60.03,500000.00,31.73,945950.20,30015000.00,在售,商业
429,59.77,500000.00,31.59,946027.22,29885000.00,在售,商业
428,81.15,500000.00,42.89,946024.71,40575000.00,在售,商业
427,80.86,500000.00,42.74,945952.26,40430000.00,在售,商业
426,61.37,500000.00,32.44,945900.12,30685000.00,在售,商业
425,57.63,500000.00,30.46,945994.74,28815000.00,在售,商业
424,60.49,500000.00,31.97,946043.16,30245000.00,在售,商业
423,60.38,500000.00,31.91,946098.40,30190000.00,在售,商业
422,60.49,500000.00,31.97,946043.16,30245000.00,在售,商业
421,62.58,500000.00,33.07,946174.78,31290000.00,在售,商业
420,78.99,500000.00,41.75,945988.02,39495000.00,在售,商业
419,51.13,500000.00,27.02,946150.99,25565000.00,在售,商业
418,63.25,500000.00,33.43,946006.58,31625000.00,在售,商业
417,70.01,500000.00,37.00,946081.08,35005000.00,在售,商业
416,65.49,500000.00,34.61,946113.83,32745000.00,在售,商业
415,63.88,500000.00,33.77,945809.89,31940000.00,在售,商业
414,64.15,500000.00,33.90,946165.19,32075000.00,在售,商业
413,67.91,500000.00,35.89,946085.26,33955000.00,在售,商业
412,83.73,500000.00,44.26,945887.93,41865000.00,在售,商业
411,85.87,500000.00,45.38,946121.63,42935000.00,在售,商业
410,79.43,500000.00,41.98,946045.73,39715000.00,在售,商业
409,115.04,500000.00,60.80,946052.63,57520000.00,在售,商业
408,62.13,500000.00,32.84,945950.06,31065000.00,在售,商业
407,48.10,500000.00,25.42,946105.42,24050000.00,在售,商业
406,45.43,500000.00,24.01,946064.13,22715000.00,在售,商业
405,44.84,500000.00,23.70,945991.56,22420000.00,在售,商业
404,46.76,500000.00,24.72,945792.88,23380000.00,在售,商业
403,67.13,500000.00,35.48,946025.93,33565000.00,在售,商业
402,68.04,500000.00,35.96,946051.16,34020000.00,在售,商业
401,68.46,500000.00,36.18,946102.81,34230000.00,在售,商业
362,77.25,500000.00,40.83,945995.59,38625000.00,在售,商业
361,58.64,500000.00,30.99,946111.64,29320000.00,在售,商业
360,48.65,500000.00,25.71,946129.91,24325000.00,在售,商业
359,54.36,500000.00,28.73,946049.42,27180000.00,在售,商业
358,55.76,500000.00,29.47,946046.82,27880000.00,在售,商业
357,60.57,500000.00,32.01,946110.59,30285000.00,在售,商业
356,60.68,500000.00,32.07,946055.50,30340000.00,在售,商业
355,56.43,500000.00,29.82,946177.06,28215000.00,在售,商业
354,53.81,500000.00,28.44,946026.72,26905000.00,在售,商业
353,57.12,500000.00,30.19,946008.61,28560000.00,在售,商业
352,51.83,500000.00,27.39,946148.22,25915000.00,在售,商业
351,53.11,500000.00,28.07,946027.78,26555000.00,在售,商业
350,49.63,500000.00,26.23,946054.13,24815000.00,在售,商业
349,50.09,500000.00,26.47,946165.47,25045000.00,在售,商业
348,51.79,500000.00,27.37,946108.87,25895000.00,在售,商业
347,49.97,500000.00,26.41,946043.16,24985000.00,在售,商业
346,58.41,500000.00,30.87,946064.13,29205000.00,在售,商业
345,54.36,500000.00,28.73,946049.42,27180000.00,在售,商业
344,40.69,500000.00,21.51,945839.14,20345000.00,在售,商业
343,45.98,500000.00,24.30,946090.53,22990000.00,在售,商业
342,69.77,500000.00,36.87,946162.19,34885000.00,在售,商业
341,71.19,500000.00,37.62,946172.24,35595000.00,在售,商业
340,56.36,500000.00,29.79,945955.01,28180000.00,在售,商业
339,53.48,500000.00,28.27,945879.02,26740000.00,在售,商业
338,57.97,500000.00,30.64,945985.63,28985000.00,在售,商业
337,56.66,500000.00,29.94,946225.78,28330000.00,在售,商业
336,123.48,500000.00,65.26,946061.90,61740000.00,在售,商业
335,85.53,500000.00,45.20,946128.31,42765000.00,在售,商业
334,60.78,500000.00,32.12,946139.47,30390000.00,在售,商业
333,63.15,500000.00,33.37,946209.16,31575000.00,在售,商业
332,60.38,500000.00,31.91,946098.40,30190000.00,在售,商业
331,60.61,500000.00,32.03,946144.23,30305000.00,在售,商业
330,60.04,500000.00,31.73,946107.78,30020000.00,在售,商业
329,59.77,500000.00,31.59,946027.22,29885000.00,在售,商业
328,81.27,500000.00,42.95,946100.11,40635000.00,在售,商业
327,80.87,500000.00,42.74,946069.25,40435000.00,在售,商业
326,61.37,500000.00,32.44,945900.12,30685000.00,在售,商业
325,57.64,500000.00,30.46,946158.89,28820000.00,在售,商业
324,60.50,500000.00,31.97,946199.56,30250000.00,在售,商业
323,60.38,500000.00,31.91,946098.40,30190000.00,在售,商业
322,60.50,500000.00,31.97,946199.56,30250000.00,在售,商业
321,62.58,500000.00,33.07,946174.78,31290000.00,在售,商业
320,79.00,500000.00,41.75,946107.78,39500000.00,在售,商业
319,51.13,500000.00,27.02,946150.99,25565000.00,在售,商业
318,63.26,500000.00,33.43,946156.14,31630000.00,在售,商业
317,70.02,500000.00,37.00,946216.21,35010000.00,在售,商业
316,65.50,500000.00,34.61,946258.30,32750000.00,在售,商业
315,63.89,500000.00,33.77,945957.95,31945000.00,在售,商业
314,64.15,500000.00,33.90,946165.19,32075000.00,在售,商业
313,67.92,500000.00,35.89,946224.57,33960000.00,在售,商业
312,83.74,500000.00,44.26,946000.90,41870000.00,在售,商业
311,85.88,500000.00,45.38,946231.82,42940000.00,在售,商业
310,79.44,500000.00,41.98,946164.84,39720000.00,在售,商业
309,115.05,500000.00,60.80,946134.86,57525000.00,在售,商业
308,62.14,500000.00,32.84,946102.31,31070000.00,在售,商业
307,48.10,500000.00,25.42,946105.42,24050000.00,在售,商业
306,45.23,500000.00,23.90,946234.30,22615000.00,在售,商业
305,45.04,500000.00,23.80,946218.48,22520000.00,在售,商业
304,46.97,500000.00,24.82,946212.73,23485000.00,在售,商业
303,67.13,500000.00,35.48,946025.93,33565000.00,在售,商业
302,68.04,500000.00,35.96,946051.16,34020000.00,在售,商业
301,68.47,500000.00,36.18,946241.01,34235000.00,在售,商业
204,544.75,500000.00,480.81,566491.96,272375000.00,在售,商业
128,68.28,500000.00,59.55,573299.74,34140000.00,在售,商业
