房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1号楼6705,214.04,54309.00,144.38,80511.00,11624298.00,初始登记,办公
1号楼6703,756.99,51779.00,510.62,76761.00,39196185.00,初始登记,办公
1号楼6702,214.04,54309.00,144.38,80511.00,11624298.00,初始登记,办公
1号楼6701,851.62,52153.00,574.45,77316.00,44414537.00,初始登记,办公
1号楼6605,217.12,53955.00,146.87,79762.00,11714709.00,初始登记,办公
1号楼6603,769.68,51424.00,520.64,76021.00,39580024.00,初始登记,办公
1号楼6602,217.12,53955.00,146.87,79762.00,11714709.00,初始登记,办公
1号楼6601,864.04,51825.00,584.47,76614.00,44778873.00,初始登记,办公
1号楼6505,220.09,53600.00,149.27,79030.00,11796824.00,已产权备案,办公
1号楼6503,782.03,51070.00,530.39,75299.00,39938272.00,已产权备案,办公
1号楼6502,220.09,53600.00,149.27,79030.00,11796824.00,已产权备案,办公
1号楼6501,876.15,51494.00,594.23,75924.00,45116468.00,已产权备案,办公
1号楼6405,222.93,53246.00,151.57,78314.00,11870130.00,已产权备案,办公
1号楼6403,793.94,50716.00,539.80,74593.00,40265461.00,已产权备案,办公
1号楼6402,222.93,53246.00,151.57,78314.00,11870130.00,已产权备案,办公
1号楼6401,887.82,51163.00,603.63,75250.00,45423534.00,已产权备案,办公
1号楼6305,225.67,52892.00,153.79,77613.00,11936137.00,已产权备案,办公
1号楼6303,805.48,50362.00,548.92,73900.00,40565583.00,已产权备案,办公
1号楼6302,225.67,52892.00,153.79,77613.00,11936137.00,已产权备案,办公
1号楼6301,899.15,50830.00,612.75,74587.00,45703794.00,已产权备案,办公
1号楼6205,228.28,52538.00,155.90,76929.00,11993374.00,已产权备案,办公
1号楼6203,816.56,50007.00,557.67,73222.00,40833715.00,已产权备案,办公
1号楼6202,228.28,52538.00,155.90,76929.00,11993374.00,已产权备案,办公
1号楼6201,910.02,50497.00,621.50,73939.00,45953279.00,已产权备案,办公
1号楼6105,231.39,52183.00,157.93,76455.00,12074624.00,已产权备案,办公
1号楼6103,829.43,49653.00,566.10,72749.00,41183687.00,已产权备案,办公
1号楼6102,231.39,52183.00,157.93,76455.00,12074624.00,已产权备案,办公
1号楼6101,883.10,51492.00,602.73,75444.00,45472585.00,已产权备案,办公
1号楼6005,234.39,51829.00,159.87,75987.00,12148199.00,初始登记,办公
1号楼6003,841.87,49299.00,574.19,72281.00,41503349.00,初始登记,办公
1号楼6002,234.39,51829.00,159.87,75987.00,12148199.00,初始登记,办公
1号楼6001,855.64,52688.00,583.58,77250.00,45081960.00,初始登记,办公
1号楼5905,234.82,51475.00,161.25,74960.00,12087359.00,初始登记,办公
1号楼5903,847.44,48945.00,581.93,71276.00,41477950.00,初始登记,办公
1号楼5902,234.82,51475.00,161.25,74960.00,12087359.00,初始登记,办公
