房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2B-24G,73.77,35114.04,55.13,46986.00,2590362.00,在售,未售
2B-24F,74.39,35348.04,55.58,47310.00,2629540.00,在售,未售
2B-24E,88.83,36646.74,66.38,49040.00,3255329.00,在售,未售
2B-24D,88.75,37067.94,66.32,49604.00,3289779.00,在售,未售
2B-23G,72.91,35067.24,54.47,46938.00,2556752.00,在售,未售
2B-23F,72.91,35301.24,54.48,47243.00,2573813.00,在售,未售
2B-23E,88.84,36599.94,66.38,48983.00,3251538.00,在售,未售
2B-23D,88.76,37021.14,66.32,49547.00,3285996.00,在售,未售
2B-22G,73.02,35020.44,54.56,46869.00,2557192.00,在售,未售
2B-22F,73.02,35254.44,54.56,47182.00,2574279.00,在售,未售
2B-22E,88.84,36553.14,66.38,48921.00,3247380.00,在售,未售
2B-22D,88.76,36974.34,66.32,49484.00,3281842.00,在售,未售
2B-21G,73.02,34973.64,54.56,46806.00,2553775.00,在售,未售
2B-21F,73.02,35207.64,54.56,47119.00,2570861.00,在售,未售
2B-21E,88.84,36506.34,66.38,48858.00,3243223.00,在售,未售
2B-21D,88.76,36927.54,66.32,49422.00,3277688.00,在售,未售
2B-20G,73.02,34926.84,54.56,46744.00,2550357.00,在售,未售
2B-20F,73.02,35160.84,54.56,47057.00,2567444.00,在售,未售
2B-20E,88.84,36459.54,66.38,48795.00,3239065.00,在售,未售
2B-20D,88.76,36880.74,66.32,49359.00,3273534.00,在售,未售
2B-19G,73.02,34880.04,54.56,46681.00,2546940.00,在售,未售
2B-19F,73.02,35114.04,54.56,46994.00,2564027.00,在售,未售
2B-19E,88.84,36412.74,66.38,48733.00,3234907.00,在售,未售
2B-19D,88.76,36833.94,66.32,49297.00,3269380.00,在售,未售
2B-18G,73.02,34833.24,54.56,46618.00,2543523.00,在售,未售
2B-18F,73.02,35067.24,54.56,46931.00,2560609.00,在售,未售
2B-18E,88.84,36365.94,66.38,48670.00,3230750.00,在售,未售
2B-18D,88.76,36787.14,66.32,49234.00,3265226.00,在售,未售
