房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
20C,99.48,37627.99,73.76,50748.82,3743233.00,在售,20B
97.72,37098.00,72.46,50030.59,3625217.00,在售,20A,132.70
38618.00,98.39,52084.65,5124609.00,在售,19C,99.48,37587.99
73.76,50694.87,3739254.00,在售,19B,97.72,37058.00,72.46
49976.64,3621308.00,在售
19A,132.70,38578.00,98.39,52030.70,5119301.00,在售,18C
99.48,37547.99,73.76,50640.93,3735275.00,在售,18B,97.72
37018.00,72.46,49922.70,3617399.00,在售,18A,132.70,38538.00
98.39,51976.75,5113993.00,在售,17C,99.48,37508.00,73.76
50586.98,3731296.00,在售
17B,97.72,36977.99,72.46,49868.75,3613490.00,在售,17A
132.70,38498.00,98.39,51922.80,5108685.00,在售,16C,99.48
37468.00,73.76,50533.03,3727317.00,在售,16B,97.72,36937.99
72.46,49814.80,3609581.00,在售,16A,132.70,38458.00,98.39
51868.85,5103377.00,在售
15C,99.48,37427.99,73.76,50479.08,3723337.00,在售,15B
97.72,36898.00,72.46,49760.87,3605673.00,在售,15A,132.70
38418.00,98.39,51814.91,5098069.00,在售,14C,99.48,37368.00
73.76,50398.16,3717369.00,在售,14B,97.72,36858.00,72.46
49706.92,3601764.00,在售
14A,132.70,38358.00,98.39,51733.98,5090107.00,在售,13C
99.48,37327.99,73.76,50344.21,3713389.00,在售,13B,97.72
36818.00,72.46,49652.98,3597855.00,在售,13A,132.70,38318.00
98.39,51680.03,5084799.00,在售,12C,99.48,37287.99,73.76
50290.26,3709410.00,在售
12B,97.72,36777.99,72.46,49599.03,3593946.00,在售,12A
132.70,38278.00,98.39,51626.09,5079491.00,在售,11C,99.48
37247.99,73.76,50236.32,3705431.00,在售,11B,97.72,36737.99
72.46,49545.08,3590037.00,在售,11A,132.70,38238.00,98.39
51572.14,5074183.00,在售
10C,99.48,37208.00,73.76,50182.37,3701452.00,在售,10B
97.72,36698.00,72.46,49491.15,3586129.00,在售,10A,132.70
38198.00,98.39,51518.19,5068875.00,在售,9C,99.48,37168.00
73.76,50128.43,3697473.00,在售,9B,97.72,36658.00,72.46
49437.20,3582220.00,在售
9A,132.70,38158.00,98.39,51464.24,5063567.00,在售,8C
99.48,37127.99,73.76,50074.47,3693493.00,在售,8B,97.72
36618.00,72.46,49383.25,3578311.00,在售,8A,132.70,38118.00
98.39,51410.29,5058259.00,在售,7C,99.48,37087.99,73.76
50020.52,3689514.00,在售
7B,97.72,36577.99,72.46,49329.31,3574402.00,在售,7A
132.70,38078.00,98.39,51356.34,5052951.00,在售,6C,99.48
37047.99,73.76,49966.58,3685535.00,在售,6B,97.72,36537.99
72.46,49275.36,3570493.00,在售,6A,132.70,38038.00,98.39
51302.39,5047643.00,在售
5C,99.48,37008.00,73.76,49912.63,3681556.00,在售,5B
97.72,36498.00,72.46,49221.43,3566585.00,在售,5A,132.70
37998.00,98.39,51248.45,5042335.00,在售,4C,99.48,36968.00
73.76,49858.69,3677577.00,在售,4B,97.72,36458.00,72.46
49167.48,3562676.00,在售
4A,132.70,37958.00,98.39,51194.50,5037027.00,在售,3C
99.48,36927.99,73.76,49804.73,3673597.00,在售,3B,97.72
36418.00,72.46,49113.53,3558767.00,在售,3A,132.70,37918.00
98.39,51140.55,5031719.00,在售,2C,99.53,36888.00,73.80
49748.82,3671463.00,在售
2B,97.65,36378.00,72.41,49058.30,3552312.00,在售,2A
132.70,37878.00,98.40,51081.41,5026411.00,在售
